-0.003941+0.0018189i,-0.0046477+0.0023261i,-0.003255+0.0031598i,-0.0015924+0.0025131i,-0.0010021+0.0020493i,-0.001268+0.0015902i,-0.0019112+0.0012814i,-0.00065859+0.0012081i,0.0011115+0.0010644i,0.0013826+0.00060523i,0.0017069-4.8375e-05i,0.0012013-4.0278e-05i,0.00014432-0.00098631i,4.1275e-05-0.0013306i,-0.00031567-0.0005882i,-0.00082683+0.00034265i,-0.00076318+0.00057542i,-2.1901e-05+0.00027403i,9.0622e-05+0.00044927i,-0.00013359+0.00029443i,-0.00057479-0.00020059i,-0.00043298-0.00044024i,0.0005384+0.00033044i
0.0038413-0.00044542i,0.0024689-0.00027045i,0.0024364-0.00047926i,0.0017367-0.0012974i,-0.00042587-0.0017283i,-0.0017-0.00035457i,-0.00065753+0.0010333i,0.00078472+0.00037777i,0.00030218-0.00056506i,-0.00049234-0.0010276i,-0.00082755-0.0011895i,-0.0012013-0.00082901i,-0.00082301+0.00033627i,4.5651e-06+0.00021185i,0.00065177-0.00017322i,0.00030433+0.00041915i,-0.0003905+0.00021559i,-0.00053705-0.00064697i,-0.00022714-0.00089215i,-8.5237e-06-0.00058497i,-0.00015441-0.00020888i,-0.00017683+0.00032047i,0.00014094+0.00041567i
-0.0018272+0.00092154i,-0.0017134+0.0011523i,-0.00052958+0.00049519i,0.00030547+0.00014983i,9.5355e-05+0.00092038i,0.0001337+0.00075078i,0.00024893+0.0001002i,-0.00032593-0.00011508i,-0.00070782-0.00032009i,-0.00085889-0.00083013i,-0.00084194-0.00097831i,-0.0012362-0.00047008i,-0.0016853-7.2046e-05i,-0.0013495-9.7165e-05i,-0.0005339-0.0004843i,-0.00030149-0.00059866i,-0.00011356-0.00046404i,5.6816e-05-0.00054565i,4.9014e-05-0.00083459i,0.00044331-0.00071722i,0.00079148-0.00033931i,0.00069922-8.4826e-05i,0.00063647+0.00053016i
0.00033784+0.0019957i,0.00052283+0.0017744i,0.001538+0.0021161i,0.001074+0.0016759i,0.00028607+0.00080677i,-0.00022982+0.0006136i,-0.00079892+0.00032925i,0.00013737-0.00021716i,0.00063033+5.9237e-05i,0.00059571+0.00011624i,0.00057838+8.134e-05i,-0.00021338+0.00016052i,-0.00021211-0.00026155i,0.00091558-7.8204e-05i,0.0010687-4.1399e-05i,0.0009235+0.00043999i,0.00061674+0.0010174i,-0.00010865+0.00087802i,-0.00021887+0.00021359i,0.00039924+0.00015559i,0.00059789+0.00042772i,-0.00048078+0.00059829i,-0.00059355+0.00053098i
-0.0016451+0.00037541i,-0.00010445-0.00040072i,0.0015081+0.00033316i,0.0012363+0.0012349i,0.001472+0.00080936i,0.0016765+0.000819i,0.00065739+0.00037403i,0.00072228-0.00025926i,0.00095008-0.00044458i,0.00031787-0.00040474i,8.976e-05+1.2344e-06i,0.00033935+0.00034897i,0.00025753+5.8267e-05i,-0.00051042-0.0005184i,-0.00060042-0.00010272i,-0.00017582+0.00028475i,0.00036364-0.00064863i,0.00044364-0.0011891i,-0.00035011-0.00053703i,-0.00095511-0.00056305i,-0.0010428-0.00029442i,-0.0012357-4.8489e-05i,-0.00088278-0.00014203i
0.0018321+0.00045873i,0.0014123+0.0018354i,0.0010477+0.0004329i,-0.00049527-0.0011427i,-0.0015482-0.0010301i,-0.0011852-0.00027672i,-0.00034802-3.639e-05i,-0.0004731-0.00019981i,-0.0013968-0.00034204i,-0.0007534-0.00065263i,-0.00012083-0.00018735i,-1.3338e-05+0.0011086i,0.00019783+0.0012763i,-0.00053955+0.0010454i,-0.0011346+0.00070802i,-0.00086354-0.00023558i,-0.00086965-0.00030098i,-3.5971e-05-0.00013099i,0.0015233+0.00018627i,0.0011786+0.00051726i,0.00021059+0.00072519i,-0.00027676+0.0005595i,0.00016394+0.00033414i
-0.00065732-0.0016279i,-0.00015966-0.00052951i,-0.0016625+0.00038085i,-0.0022817+0.0013158i,-0.0010264+0.0018043i,-0.00055708+0.00091794i,-0.00097211+2.9817e-05i,-0.0015037-0.00011086i,-0.00085685-6.5331e-05i,-0.00033956-0.00047097i,0.00027373-0.00057449i,0.0011141+0.00033741i,0.00089788+0.0012222i,0.00024959+0.00045815i,0.0006313-0.0001989i,0.00038511-0.00027651i,0.00027935-0.00057802i,-0.00026567-0.00039679i,-0.0002033-0.00025906i,0.00017841-0.00042664i,-0.00011728-0.00073471i,0.00017064-0.0010684i,0.00075903-0.00073282i
0.00060767-0.001118i,-0.00015803-0.00090388i,-0.0013735-0.001167i,-0.0011348-0.00038268i,-0.0016561+0.0010811i,-0.0011554+0.0015957i,-0.0010377+0.0011227i,-0.00072319+0.00087425i,0.00032417+0.00050842i,0.00051801-6.1169e-05i,0.00026498-0.00053232i,0.00029212-0.00013473i,0.00039967+0.0010154i,0.00084988+0.0020536i,0.0010781+0.0011635i,0.00021173+0.0003458i,-0.00098972+0.00081862i,-0.0015922+0.0010094i,-0.00082285+0.00016023i,0.00050404-0.00035275i,0.00089533-0.00020188i,0.00034951-0.00024896i,0.00051128+0.00048311i
0.00012371-0.00064736i,-0.00030724-0.00025787i,-0.0013231+0.00051273i,-0.0012447+0.0012025i,-0.00058204+0.00072876i,0.00026245+0.00015994i,0.00054157+0.00018715i,6.1289e-05-9.7316e-05i,-0.0004402-0.00086353i,-3.8221e-05-0.0010462i,0.0003631-0.00054252i,0.0001319-0.00010117i,0.00050125+0.00017165i,0.00048253+0.0003508i,-0.00072517+0.00034372i,-0.0010567+0.00025139i,9.4236e-05+3.2603e-05i,0.00032671-0.00053579i,-0.00016696-0.00064721i,9.3477e-05-0.00019747i,0.00074214+1.2321e-05i,0.0013211+0.00057324i,0.00079576+0.00072506i
0.00021408+0.0014034i,0.00031562+0.00094903i,0.00051498+0.00077469i,0.00083186+0.00014446i,0.0007841+0.00038721i,0.00019724+0.00090791i,-0.00011789-0.00023952i,-0.0002725-0.00077377i,-0.00050213-0.0002706i,-0.0001159+0.00020969i,-0.00024593+0.00068586i,-0.00077668+0.00064416i,-0.00051594+0.00046016i,-0.00022201+0.00069146i,0.00036522+0.0011238i,0.00098876+0.0001006i,0.0010635-0.00071867i,0.00070549-0.00065903i,-4.1094e-05-0.00076163i,-0.00050888-0.00057849i,-0.00083335-2.9157e-05i,-0.00028176+0.00040536i,0.00062354+0.00010103i
-0.0002136-0.0021924i,-0.00032852-0.0020025i,-0.00090225-0.0010064i,-0.0011714+0.00030802i,-0.0013244+0.0011917i,-0.00026411+0.0012163i,0.0009665-7.3643e-05i,0.0004315-0.00056902i,-0.00048412-0.00064737i,-0.00072793-0.00045413i,-0.00019439+0.00023904i,0.0003904+9.4561e-05i,0.00082601-0.00041677i,0.0012636-0.00027953i,0.0013465-0.00070294i,0.00083645-0.00060403i,0.00018964-5.5609e-05i,0.00019647-0.00048721i,0.0001689-0.0012521i,-5.8283e-05-0.00076336i,-0.00018273+0.000266i,0.00011128+0.0010146i,0.00018158+0.00046307i
-0.00088044-1.6844e-06i,-0.0015464-5.273e-05i,-0.0011404-0.00074089i,-0.00084197-5.2512e-05i,-0.0012873+0.0015529i,-0.0015458+0.0010988i,-0.00074499+0.00013136i,-0.0002928+0.00012067i,0.00019103+0.00053473i,1.1992e-05+0.0002461i,-0.00076878-4.1064e-05i,-0.0004397+0.00013303i,0.00039816+0.00046045i,3.55e-05-5.4171e-05i,-0.0011816+0.00014687i,-0.0014183+0.0013232i,-0.0011993+0.0012304i,-0.00038848+0.00069027i,0.00018669+0.00056651i,-2.7003e-05-0.00012227i,5.2696e-06-0.0001763i,0.00033039+0.00046382i,0.00010907+0.00011872i
0.0016421+0.00030586i,0.0010117+0.00052618i,0.00074782+0.00035625i,0.00014958+0.00032831i,-0.00032415-3.5562e-05i,0.00069033+0.0002916i,0.0013701+0.00028129i,0.0015238-0.0010074i,0.00073268-0.0010091i,0.00046722-8.42e-05i,0.00045719-8.5878e-05i,-5.9394e-05-0.00081547i,9.965e-05-0.00071737i,0.00063105+0.00060214i,-0.00014043+0.00029303i,-0.00077622-0.00040776i,-0.0005683-0.00021718i,-0.00026517+3.1026e-06i,9.2499e-05+5.4024e-05i,0.0002673-0.00043631i,0.0011087-0.00051364i,0.0020706+0.00046345i,0.0016184+0.0010271i
-0.0013788+0.00052687i,-0.0025087+0.00036438i,-0.0022292-0.00017071i,-0.00041835+9.7478e-05i,-9.2835e-05+0.0006798i,-0.00037426+0.00081026i,-0.00054855+0.00032285i,-0.00057539+0.00067722i,-0.00030756+0.0012853i,0.0002992+0.00080338i,0.00053272-0.00019016i,0.0004292-4.8228e-05i,5.0251e-05-0.00031465i,-0.00021581-0.00085307i,-0.00027752+8.3549e-06i,-0.00019348+0.00047149i,4.3939e-05-0.00056865i,-2.6251e-05-0.00032687i,-0.00051166-0.00011033i,-0.00048051-0.00083689i,0.00014629-0.00078665i,0.00026079-0.00055184i,1.7478e-05-0.00036861i
