-0.0066584+0.0013609i,-0.0046415+0.0022791i,-0.0048707+0.0036896i,-0.0035067+0.0048071i,-0.00097538+0.0035232i,0.00079091+0.0026011i,8.5395e-05+0.0022824i,-0.00098009+0.0018674i,-0.00052976+0.0020546i,0.00061213+0.0018163i,0.0017307+0.00051057i,0.0012899-0.00042912i,0.00047322-0.00071664i,-0.00093139-0.00109i,-0.0021294-0.00086258i,-0.0016028-0.00048306i,-0.0002579-0.00078448i,0.0011074-0.00076746i,0.0011356-0.00013422i,0.0010166+0.00014163i,0.00059197-1.955e-06i,-0.0002798-0.00027274i,0.00018475-0.00055976i
0.00056796+1.7105e-05i,0.0011024-0.000602i,1.7e-05-0.0011727i,-0.00087495-0.00050019i,-0.0012064+0.0008302i,-0.0006572+0.00116i,5.557e-05+0.001226i,-0.00064753+0.0003165i,-0.0012636-0.00067662i,-0.00087181-0.00097927i,1.1207e-05-0.00042247i,0.000596-0.00018359i,0.00036813-0.00019326i,-0.00055836+0.00062873i,-8.5639e-05+0.00065281i,0.00099839-1.618e-05i,0.0010087-3.9553e-05i,0.00040756-0.00031345i,-0.0004863-0.0007406i,-0.00061507-0.00029354i,0.00036151-0.00024536i,0.00077834-0.00015137i,0.00082007+0.00010003i
-0.00039007+0.00066124i,-0.00030277-3.2833e-05i,-0.00074369+0.00060122i,-0.00094461+0.0011299i,-0.0006446+0.0011237i,-0.00036499+0.0008867i,3.2433e-05+0.0007875i,0.00010168+0.00068486i,-0.00038523+0.00028244i,-0.00075531-0.0002747i,-0.0014631-0.00068731i,-0.00086967-0.0001919i,-8.3463e-05+0.00019226i,0.00020048-3.9965e-05i,0.00052634-0.0010154i,0.00023713-0.00091745i,4.1956e-05+0.00021152i,0.00016988+0.00082781i,8.2337e-06+0.00029043i,-5.0254e-05-0.00076538i,-6.6676e-05-0.00064611i,-3.0166e-05-9.3289e-05i,-0.00015889-0.00057825i
-0.00022424+0.00052563i,-0.0012113+0.00012503i,-0.0016598+3.0062e-05i,-0.0012847+0.00041139i,-0.00059514+0.00023206i,-0.00041888+0.0012646i,-0.0003974+0.0021945i,-0.00084923+0.0012437i,-0.0010866-5.7455e-05i,-0.00080167+0.00017469i,-0.0010718+0.00048282i,-0.00040213-0.00023436i,0.00027855-0.00020931i,0.00033938-1.7367e-05i,0.00043889-0.00013864i,0.00048116+0.00021376i,0.0001187+0.00052825i,-0.00025562-0.00020983i,0.00020006-0.00068776i,0.00053788-0.00011482i,-0.00034901+0.00011716i,-0.0010523+0.00013163i,-0.00021605+0.00022907i
0.0011458-0.0010904i,-0.00035708-0.0010344i,-0.0010886-0.0011904i,-0.00083032-0.00070465i,-0.0014246+0.00043035i,-0.0014568+0.00045033i,0.00012729-2.6531e-05i,0.0012721+6.763e-05i,0.001016-9.7175e-05i,0.00056134-0.00065233i,3.4304e-05-0.00049765i,-0.00030039-0.00028134i,-0.00018738-0.0005542i,-0.00058185-0.00078139i,-0.0008109-0.00022526i,-0.00059742+9.2074e-05i,-0.00042698-0.00023927i,-0.00037272+7.2321e-05i,-0.00034173+0.0009288i,-0.00016404+0.0012093i,5.4314e-06+0.0012763i,-0.00075736+0.00096562i,-0.00066691+5.8769e-05i
0.0030471-0.0028293i,0.0018274-0.003782i,6.7202e-05-0.0042584i,-0.0014663-0.0042383i,-0.0025873-0.0024375i,-0.0024716+0.00012419i,-0.0014986+0.001295i,-0.00038691+5.3844e-05i,0.00036626-0.00067761i,-0.00016779-0.00057838i,-0.00088947-0.0010507i,-0.00084129-0.00076342i,0.00050024+0.00012716i,0.00091588+0.00032136i,0.00023143+0.00041237i,0.00011607+4.1315e-05i,0.00025495-0.00071549i,0.00037894-0.00016532i,6.8632e-05+0.00079207i,-7.111e-05+0.00024079i,-0.0003905-0.00022077i,-0.0012632+0.00027005i,-0.00057342+0.00073016i
0.00086698-0.0023247i,0.00011128-0.0015649i,-0.00084062-0.00085187i,-0.00142+8.1681e-05i,-0.001782+0.00053561i,-0.0021175+0.0011427i,-0.0019383+0.0012217i,-0.0009284+0.00076922i,0.00048271+0.00047201i,0.00087261+0.00019817i,0.00090677-1.8689e-05i,0.00083871+0.00018752i,0.0004275-0.00013314i,-5.2449e-05-0.00066528i,-8.2782e-05-0.00012188i,0.00076858+0.00030516i,0.00063653+0.00020794i,-0.00036914+0.00017575i,-0.00070292-0.00016384i,-0.0004945-0.00042002i,-5.885e-05-0.00060848i,0.00079096-0.00098659i,0.00070203-0.001139i
-0.00093346-0.0012024i,-0.0012141-0.0020673i,-0.0013211-0.0016104i,-0.0016422-0.00046776i,-0.001799-0.00051887i,-0.00073263-0.00038306i,-0.00021855+0.00014231i,-0.00053627-0.00036524i,0.00025138-0.00057817i,0.00036777+0.00013277i,-9.0576e-06+4.804e-05i,0.00049035-0.00050987i,0.00018537-0.0003812i,-0.00015633-5.7218e-05i,-2.088e-05+0.00039144i,-0.0008029+0.00047299i,-0.0011305+0.00030744i,2.5142e-05-0.00017745i,0.0010495-0.00043868i,0.00073086-0.00014491i,0.00041783-2.1308e-05i,4.5367e-05+0.00027764i,-9.7774e-05-7.4667e-05i
-0.00076631+0.00049302i,-0.00086429+0.0003316i,2.2819e-06+0.00042285i,0.00035359-0.00038788i,-0.00028714-0.00059271i,-8.8374e-05-4.1314e-05i,0.00034101-0.00044902i,0.00020713-0.0005192i,-0.00085822+0.00031027i,-0.0011553-3.0438e-05i,-0.00062916-0.00078488i,-0.00035394-0.0014381i,-0.00032646-0.0013121i,-0.00018501-0.00030474i,2.1798e-05+0.0005645i,0.0003103+0.00015537i,0.00089276-0.00011772i,0.0014901-0.00028617i,0.0011188-0.00028645i,0.0007762-0.0002044i,0.00085624-0.00089886i,0.00038429-0.00084727i,-0.00013783+0.00028112i
-0.00017527+0.00031351i,-0.00030784+5.3895e-06i,-0.00033608-0.00046996i,0.00034452-0.00049864i,-0.00037946+0.00031377i,-0.0018527-0.00013111i,-0.001733-1.0332e-06i,-0.00060493+6.3583e-05i,-0.00012698-0.0011246i,-0.00028274-0.001245i,0.00064678-0.00084908i,0.00093176-0.0006483i,-0.00081308-5.9863e-05i,-0.0014054+0.00054396i,-0.0007694+0.00021649i,-0.0005484-0.00053817i,-0.00053852-0.00058562i,-0.00023304-0.00042122i,-0.00015813-0.00028813i,0.0002893-0.00027477i,0.00037773-0.00044999i,-3.5941e-05-0.00039661i,-0.00019486-7.8441e-05i
0.0015513-2.2039e-06i,0.0018397-0.0006334i,0.0018765-0.00044799i,0.00052296-0.00022689i,-0.00095217-0.00072493i,-0.00096465-0.00052434i,7.9889e-05+0.00091873i,-0.00014531+0.0013089i,-0.00076468+0.00051159i,-0.00046333-0.00017384i,1.0062e-05-0.00047965i,0.00028694-0.00036075i,-0.00027369+0.00020233i,-0.00050263-8.8757e-05i,0.00043183-0.00023781i,0.0011312-7.2693e-05i,0.00075698+0.00038044i,0.00020191+0.00024343i,-9.2025e-05+0.00024545i,-0.000518+9.0075e-05i,-0.00039604+7.6227e-05i,0.0002081+0.00032335i,0.00013+1.9561e-05i
5.0438e-05-0.0013757i,-0.0003667-0.0018141i,-0.00028839-0.002651i,-0.00039366-0.0019733i,-0.00072629-0.00056275i,-0.00098465+0.00047669i,-8.9858e-05+0.00088058i,0.0002432+0.00099059i,-0.00041326+0.00033377i,-0.00020188-0.0007483i,-0.00012514-0.00061956i,-0.00048485-0.00020783i,0.00031981-9.199e-05i,0.0010952-6.0762e-05i,0.00057423+0.00013556i,-0.00053744-4.1112e-05i,-0.00063581-0.00036508i,-0.00019682+8.9101e-05i,-0.00047333-1.2585e-06i,-0.00092881-0.00044751i,-0.00074315-0.00047596i,-0.00057995-0.00025956i,-0.00056379+0.00013916i
-4.019e-05-0.00065792i,-0.00043223-0.00027949i,-0.001193-0.00039832i,-0.0015433-0.00046005i,-0.0018248+4.4241e-05i,-0.0012138+0.00087177i,0.00031476+0.0013347i,0.00091478+0.00075109i,0.00038469-0.00040324i,3.7794e-05-0.00028814i,0.00012317+0.00046886i,1.2331e-05-3.6635e-05i,-0.00015119-0.00066278i,0.00031148-0.00061541i,0.00072958+0.00010177i,-0.00013449+0.0003776i,-0.00018289-0.00042465i,0.00059904-0.00055343i,0.00050215-0.0008173i,0.00042365-0.0016942i,0.00069503-0.00092591i,0.00068654+0.00010897i,0.00062188+7.6016e-05i
-0.00076862-0.00034688i,-0.0010428+6.5543e-06i,-0.00097244+0.00015603i,-0.001191-2.072e-05i,-0.00028182-0.00030204i,0.00061672-0.00021729i,4.0532e-05-0.00035086i,-0.00021217-0.00044908i,0.0004151-0.00090956i,-7.5892e-05-0.0010985i,-0.00087755-0.00054604i,-0.00018815-0.00061569i,-0.00018334-0.00051036i,-0.00048487-0.00047009i,-0.00071101-0.0005629i,-0.00085839+0.00012118i,-0.00033727+0.00046124i,-0.00028604-0.00030672i,-0.00018345-0.00048969i,7.0497e-05-0.00018953i,-4.5769e-06-0.00018019i,-0.00024459+0.00024888i,-0.00053647+0.00044655i
0.00038569-0.0012955i,-0.00035133-0.0015664i,-0.0012005-0.0015183i,-0.0021328-0.00071683i,-0.0017359+0.00023566i,-0.00091553+0.0011894i,-0.00060127+0.0015162i,-0.00044018+0.0011182i,-0.00023376+3.8641e-05i,0.00014588-0.00043093i,0.0011909-0.00065715i,0.00084158-0.00060303i,-8.2654e-05-0.00072164i,0.00052626-0.00052274i,0.00066635-0.00031299i,-0.00010283-0.00025664i,-0.00069534-0.00046074i,-0.00027737-0.00023364i,0.00055987+0.00041167i,0.00044758+8.7243e-05i,0.00023768-0.00033999i,0.00012201-0.00041455i,-0.00022456-0.00061251i
0.0013494+0.0010528i,0.0023912+0.00090988i,0.0024213+9.6118e-05i,0.0014577+0.00024816i,0.00050456+0.00026767i,6.357e-05-0.00018546i,0.00048325+0.00011946i,0.00017284+0.00018183i,-0.00028842+0.00060945i,-0.00016233+0.00032168i,-0.00011618-0.00023766i,0.00034775-0.00064777i,0.00017157-0.00089513i,-0.00030961-0.00020245i,0.00021029+8.8244e-05i,0.00014561+0.00030501i,-0.000366+0.00011813i,8.049e-05-0.00038492i,0.00082925+1.2621e-05i,0.00093415+0.00046926i,0.00071064+0.00013467i,0.000668-0.00017327i,0.00050554-0.0001191i
0.000932-0.00023028i,0.00039896-0.00047823i,3.1876e-05-0.001036i,5.1158e-05-0.00048594i,-0.00072396+0.0011483i,-0.0002575+0.001673i,0.00048009+0.00080165i,0.00066538+0.0004775i,-0.00049558+0.0007594i,-0.001166+0.00092694i,-8.2569e-05+0.00132i,0.00050105+0.00072148i,0.00038698-1.8444e-05i,-0.00080585-0.00031008i,-0.00085264-0.00036203i,1.749e-05-0.00066435i,0.00037704-0.00049456i,0.0012252+0.00064774i,0.0010501+0.00060835i,-0.00023568-0.0003847i,-0.00029692-0.00035221i,-7.4904e-05+0.001089i,-0.00058542+0.00094799i
0.0006876-0.0004342i,0.00074972-0.00030755i,3.7447e-05-0.00048468i,0.00012943-0.00048587i,0.001043-0.00018765i,0.00077713+0.00047924i,-0.0003938+0.00035483i,-0.00062247-0.00030895i,-0.00020025-3.6068e-05i,-1.4241e-05+8.0176e-06i,0.00015857-0.00038591i,0.00051724-0.00059349i,0.00071182-0.00083034i,-3.8109e-05-0.00056712i,-0.00022086+0.00045415i,-0.00034122+0.0009747i,-0.0012089+0.00085209i,-0.0011146+0.00092134i,-0.00074963+0.0010828i,-0.00075275+0.0010923i,0.00013493+9.4662e-05i,0.00062478-0.00018176i,0.00048374-0.0006024i
-0.0014994-0.0017924i,-0.0014179-0.00036826i,0.00054326-0.00057278i,0.00072793-0.00059031i,-0.0012036+0.00054172i,-0.0012522+0.0014542i,-0.00059761+0.0016734i,0.00027458+0.0012459i,0.00059569-0.00027503i,0.00092725-0.00095561i,0.001192-0.00048429i,0.00091812-0.0005211i,0.00061941-0.0010974i,2.7046e-06-0.00076945i,-0.00049983-3.9271e-05i,-7.9257e-05-0.00015822i,0.00033665-0.00054495i,0.00046719-0.00023628i,0.0010612-5.2672e-05i,0.0012996+0.0005655i,0.0010233+0.00053278i,0.00027947+7.373e-05i,-0.00061874+0.00021519i
0.0017081+0.00096472i,0.0015629+0.0014826i,0.0013909+0.00046824i,0.0010615-0.00048869i,0.0003659-0.00092556i,-0.00041103-0.00061427i,-0.00074568-0.00013488i,-0.00057785+0.00067981i,-9.2981e-05+0.00093529i,0.00027345+0.0007504i,0.00012683+7.4733e-05i,0.00028666-0.00075557i,1.8815e-05-0.00075881i,-0.00039454-0.00090745i,-0.00045746-0.00016692i,-0.00019552-0.00024089i,0.00019569-0.00093032i,0.00064771-0.0005216i,-0.00011404-0.00042561i,-0.00071429-0.00062802i,-2.2654e-05-0.00017593i,0.00043279+0.00012118i,0.00083557+0.00025743i
-0.00144-0.0019362i,-0.001587-0.0025537i,-0.0019428-0.0027341i,-0.0027886-0.0016002i,-0.0023624-0.0004847i,-0.0013576-0.00019154i,-0.0011087+1.6421e-05i,-0.00046686-0.00053618i,0.00032018-0.0013012i,0.00044876-0.00053062i,0.00052319+0.00038218i,0.0014678+0.00024794i,0.0015569+0.00041618i,0.00017746+0.00058159i,-0.00033101+0.00016087i,-7.3163e-06-0.00030016i,-0.00040452-0.00022284i,0.00011723+5.5622e-05i,0.0008375+0.00028607i,0.00045064+0.00020936i,-7.3943e-05+0.00019355i,-0.00075308+1.8983e-06i,-0.00070098+0.00047609i
0.0011965+0.00060567i,0.0012779+7.8843e-06i,0.00066114-0.00080266i,0.00052019-0.00030235i,-0.00019477+0.00072277i,-0.00065737+0.0010176i,-0.0013187+0.0012334i,-0.001614+0.0013056i,-0.00053931+0.00076343i,0.00035658+8.6796e-05i,0.00062189-0.00060358i,0.00015401-0.00078643i,-0.00095379-0.00071874i,-0.0018008-0.00099919i,-0.0014381-0.00067901i,-0.00059587-0.00054406i,0.00022978-0.00046231i,0.00041174-0.0004427i,-2.1203e-05-0.00044383i,0.00023685-0.00033399i,0.0004118-0.00028597i,0.00073538-0.00084753i,0.0012774-0.0016352i
-0.00038014+0.00086408i,-7.6908e-06+0.0013982i,-0.0001375+0.0014533i,-0.00013417+0.00082036i,0.00027656-0.00036261i,0.00019503-0.00017419i,-0.00014423+0.00069892i,-0.00056474+0.0009789i,-0.00072276+0.00069303i,0.00011543+5.3716e-05i,-5.1295e-05-0.00032631i,-0.00036692-0.0010419i,-7.5714e-05-0.00078881i,-0.00038449-0.00026367i,-0.0012296-9.2386e-05i,-0.001273+0.00069119i,-0.00086729+0.00026816i,-0.00023027+0.00035165i,0.00067882+0.00096334i,0.0011379+0.00069732i,0.0012551+0.00060323i,0.0010645+0.00072629i,0.00052695+3.7678e-05i
0.0006111-0.0013362i,-0.00044184-0.0013686i,-0.0012787-0.0018683i,-0.0015922-0.0012291i,-0.0017033+0.00029501i,-0.0014715+0.0011814i,-0.0011659+0.0014149i,-0.00044062+0.00043827i,0.0006752-0.00015969i,0.00073524-0.00040306i,0.00054246-0.0004034i,0.00036064-0.00020127i,0.00044+9.1392e-05i,0.0012288-0.00030443i,0.0012672-0.00088087i,0.00073064-0.00067522i,0.00055076-0.00058083i,8.4687e-05-0.00045323i,-0.00055693+0.00014883i,-0.00059607+0.00057056i,5.3028e-05+0.00044896i,0.00049822+4.5279e-05i,0.00028163-0.00015295i
-0.0002814-0.00057769i,-0.00043994-0.0012258i,-0.00023743-0.0011775i,-0.00037176-0.00080858i,-0.00032066+0.00015954i,-0.00017274+0.00096692i,-0.00018458+0.001139i,-0.00011812+9.5172e-05i,-0.00045757-6.3569e-05i,-0.00020635+6.7092e-05i,0.00047066-0.0004345i,0.00070359-0.00084684i,0.00026546-0.00037217i,-0.00061858-0.00018424i,-0.0010002-0.00015999i,-0.00059786+0.00034121i,-0.00040788+0.00042851i,-0.00034729+0.00042999i,0.00010965+0.00075104i,0.00046515+0.0008727i,0.00040488-0.00024069i,0.00028073-0.0010029i,4.8647e-05-0.00023155i
0.0020372-0.0015832i,0.00059431-0.00045098i,-0.00090017-0.00048488i,-0.001598-0.0011484i,-0.0020612-0.0011411i,-0.0014248-0.00023974i,-0.00022862+0.00024415i,0.00056388+0.0003379i,0.00037349+0.00034503i,-0.00021319+0.0007577i,-0.00041826+0.00043797i,0.00039633+0.00026909i,0.00053654+0.00028838i,5.7873e-05-2.8372e-05i,-0.00049321+4.7816e-05i,-0.00086366+0.00055987i,-0.0010489+0.00076427i,-0.00066441+0.00058994i,-0.00027487+0.00032606i,-0.00039001-0.00012238i,-0.00029638+0.00010024i,0.0001131-0.00027207i,0.00033161-0.00030845i
-3.7595e-05-0.00048879i,-4.2394e-06-0.00048194i,-0.00090761+0.00016163i,-0.001073+0.00025721i,-0.00097122+9.8669e-05i,-0.00050222+0.00068638i,-0.00048616+0.0013813i,-0.00048479+0.0012492i,-0.00045263+0.0010203i,5.1369e-05+0.00091683i,0.0004937+0.00020677i,0.00017994-4.8412e-05i,-0.00016693+6.4155e-05i,-0.00025921-0.00034871i,2.9334e-05-0.00044021i,0.00010168-0.00042234i,0.00017882+2.4179e-05i,0.00059776+0.00031806i,0.00027562+0.00010898i,-0.00044519+0.00028159i,-0.00046142+0.00066594i,-0.00048275+0.00039035i,-0.00038649-6.2147e-05i
