0.00032965-1.7738e-05i,0.00092776-0.00096086i,0.00037628-0.0013194i,-0.0017006-0.0016969i,-0.002171-0.0011636i,-0.00076973+0.00083162i,-0.00014226+0.0016732i,-1.5759e-05+0.0013973i,0.00076706+0.0013876i,0.0012816+0.0011302i,0.00024006+7.9385e-05i,-0.00080094-0.0011888i,-0.0005462-0.001272i,2.6008e-05-0.000933i,0.00038971-0.0011424i,0.00027136+5.796e-06i,8.376e-05+0.00022623i,0.00035758-0.00057558i,0.00033831-0.00041858i,-0.00044306+0.00013545i,-0.0010272+1.9122e-05i,-0.00020155-6.9292e-05i,9.8295e-05-0.00023882i
-0.0004363+0.0028838i,0.00033637+0.0035232i,0.00079966+0.0023573i,0.0010353-6.2925e-05i,0.0015781-0.0015762i,0.0011726-0.0016814i,4.1806e-05-0.00077083i,-0.000273+4.5572e-05i,0.00017428+0.00037146i,0.00023921-0.00017101i,0.00044071-0.0006997i,0.00057177-0.00051894i,0.00030616-0.00082462i,-0.00033499-0.0015687i,-0.00087909-0.001863i,-0.00038282-0.0016788i,0.0003673-0.0011529i,0.00012297-0.00045424i,-0.00055198-0.00022359i,-0.00016369-0.00053289i,0.0010428-0.00045782i,0.0011899-0.00090113i,0.00042887-0.0011101i
-0.0014312+0.00052542i,-0.0016282+0.00021375i,-0.001161+0.00071161i,-0.00032411+0.00091663i,0.00060805-0.00052941i,0.00040257-0.0017481i,-0.00039252-0.0012396i,1.0361e-05-0.00026675i,0.00069158-0.00032724i,0.0011529-0.00086448i,0.001553-0.00070891i,0.0013833-0.00016622i,0.00056929-8.8554e-05i,-7.9766e-05+2.4363e-05i,-0.00045868-9.998e-05i,-0.00045391-5.5748e-05i,1.4465e-05+0.00051824i,0.0003212+0.00012106i,0.00055542+0.00056633i,0.00037278+0.00072045i,0.00012576-0.00060347i,0.00018749-0.0010442i,0.00031976+0.00011589i
0.0012714+0.00027415i,0.0021669+0.00070924i,0.0018685+0.00034272i,0.0013042-0.0006358i,0.00085707-0.00096043i,0.00066193+2.6829e-05i,0.00092408+0.00036573i,0.00059741+0.00014565i,0.00067997+0.00026969i,0.00091364+0.00030458i,0.00073106+0.00031295i,0.0007534+0.00062546i,-6.6901e-05+0.00018293i,-0.00069055+0.00049908i,-0.00054524+0.00062874i,-0.00042947-7.9369e-05i,-0.00025139-0.00020923i,7.4088e-06-0.00028469i,0.00071836+0.00030636i,0.00090875+0.00098417i,0.00031979+0.00041036i,-0.00053084-0.00066739i,-0.0010663-0.000758i
0.00014642+0.0004941i,0.00011866-0.00073093i,0.00068336-0.0018148i,0.00098465-0.0019811i,0.00089427-0.0023228i,0.00022776-0.0024205i,-0.00015595-0.00097879i,1.8995e-05+0.00045048i,0.00037365+0.00058912i,0.00065873+0.00011001i,0.001101-0.00029697i,0.00060574-0.00044216i,-1.1235e-05-0.00066999i,0.00020494-0.0007529i,9.113e-06-0.00088974i,-0.0007235-0.0011485i,-0.00095494-0.0012221i,-0.00098743-0.0011662i,-0.00074765-0.00071724i,-0.00026862+6.3371e-05i,-0.00077969+0.00056854i,-0.00062264+0.00052987i,-0.00028973+0.0003175i
0.00072327+0.0006063i,0.001869+0.0011581i,0.0026716-0.00020257i,0.00098884-0.0007265i,-0.00098496-3.1345e-05i,-0.00095933-0.00023907i,6.3809e-05-4.019e-05i,0.00049101+0.00036495i,0.00073001+0.00076984i,0.00089167+0.0004958i,0.00063003+3.3391e-05i,0.0007502-0.00030827i,0.00094657-0.00043974i,0.00069668+8.451e-05i,0.00069007+0.00082437i,0.00070889+0.00065572i,0.00095211+0.00080462i,0.00093673+0.0014517i,0.00053934+0.0010768i,0.00011148+0.00059702i,-0.00072245+0.00067331i,-0.001188+0.00061275i,-0.00076015+7.0176e-05i
-0.00051637+0.0010697i,-0.0016395+0.00092873i,-0.001968+0.00017683i,-0.0014684-0.00041256i,-0.00076974-0.0014883i,0.00018547-0.00063126i,0.00063828+0.00057282i,0.00078829+0.00014859i,0.0005684-8.1266e-05i,-0.00045701-0.00055642i,-0.001259-0.00084324i,-0.00091153-0.0010709i,-0.00048764-0.00060379i,-0.00068223+4.6433e-05i,-0.0009746+6.8434e-05i,-0.00078089+0.00080596i,-0.00045984+0.001014i,-0.00066876+0.00047012i,-6.8657e-05-2.306e-05i,0.00040406+0.00010869i,0.00013681-0.00012648i,0.00033715-0.00043704i,-0.00038494-0.00029215i
-0.00079239-0.00027304i,-0.00098435-0.00088815i,-0.00075801-0.0010969i,-0.00072937-0.0010934i,-0.00023137-0.00081151i,0.00046599-5.887e-05i,0.00082237+0.00063256i,0.00050894+0.0005409i,-0.00010303+0.00045841i,-0.00058102+0.0003418i,-0.00092264+0.00048867i,-0.00013439+0.00048539i,0.00058427-9.5242e-06i,0.0010426+0.00018975i,0.0015347+0.00087697i,0.00092672+0.00065891i,2.1053e-07+0.00073i,-0.00053878+0.0013188i,-7.0858e-06+0.0010903i,-0.00039891+0.00052648i,-0.0013384+0.00032993i,-0.00057252+8.868e-06i,0.00055349+0.00040328i
0.00059967-7.6862e-05i,0.00059024-0.0014052i,-9.7955e-06-0.0012745i,-0.00064861-0.00086682i,-0.00013753-0.0011368i,0.0004701-0.0010701i,0.00049048-0.00030844i,0.00039595+0.00035714i,4.4235e-05+0.00029591i,-0.00053704-0.00029453i,-0.00023062-0.00089621i,0.00052081-0.00091033i,0.00069764-0.00010136i,0.00058744+0.00058444i,0.00087317+0.0004193i,0.00021993+0.00040425i,-0.00031054+0.00040867i,-3.9336e-05-0.00022089i,-8.6277e-05+1.3681e-05i,-0.00044372+0.0004502i,0.00042189+9.0572e-05i,0.0011258+8.0485e-05i,0.00083613+0.00075746i
0.00024673-0.00045851i,0.0013048-0.00045142i,0.00085457-0.00070649i,0.00029133-0.00057517i,4.3512e-05-0.00074268i,0.00013558-0.0010449i,0.00046981-0.00049836i,0.00012732+0.00010315i,-4.659e-05+0.00039487i,-4.5119e-05-4.3589e-05i,-0.00026927-2.7621e-05i,-0.00056254-0.00031427i,-0.00036158-0.00063253i,-0.00027376-0.00013439i,-0.00014495-0.00016481i,-0.00019173-0.00042655i,-0.00015304+0.00025564i,0.00018826+0.0011582i,0.0006029+0.00056238i,0.0014344-0.00030384i,0.0011615+0.00011808i,0.00019682+3.5263e-05i,0.0002184+1.4888e-05i
-0.00033821-0.00031205i,-0.00056561-8.3447e-05i,-0.00023207-0.00041992i,0.00017461+0.00013548i,-0.00024446+0.00023518i,-0.0010538+2.976e-05i,-0.00056125+0.00054335i,0.00037913+0.0014125i,0.0008916+0.0010903i,0.0010428+5.6805e-05i,0.00044451-0.00039633i,-0.00011234-0.00061138i,-0.00024942-0.00063153i,-0.00021421+5.4144e-05i,-0.00039705-0.00012855i,-0.00051185-0.00035563i,-0.00013682-4.5402e-05i,-0.0002151-0.00027381i,-0.00054906+0.00043909i,0.00027415+0.0004856i,0.0014177-0.00038564i,0.0019743-0.00033888i,0.0014792+0.00029952i
-0.0016621+0.00059109i,-0.00082879-0.0004662i,-0.00021039-0.0016329i,0.0003087-0.00072083i,0.00063154-0.00032782i,0.00099579-0.00060865i,0.000623-0.000259i,-0.00026266-0.00012763i,-0.00040445-6.9351e-05i,0.00030266+0.00019563i,0.00049731+0.00059642i,-0.00034249-0.0001671i,-0.00057463-0.00085536i,-0.00024879-0.0010018i,0.00017534-0.00081594i,0.00020286-0.00074563i,-2.2939e-05-0.00073217i,0.00041933+0.00029056i,0.00058773+0.0011613i,-0.00021947+0.00053282i,-0.00058485-0.0004158i,-0.000154-0.00031875i,-0.00051452+0.00018191i
-0.00086232-0.00061517i,-0.00075393-0.00056273i,-0.00057429+7.9946e-05i,-0.00065717+0.00033754i,-0.00035095+0.00086976i,-1.2451e-05+0.0010209i,0.00065902+0.00070051i,0.00070106+0.00032237i,-0.00028688-0.00011088i,-0.0014208+0.00048992i,-0.0014953+0.0012442i,-0.00048516+0.0007228i,-0.00050932-8.7364e-06i,-0.00073648-0.00047639i,-0.00031548+0.00023479i,-0.00081979+0.00065979i,-0.0011058+0.00072498i,-0.00092513+0.0004841i,-0.00050332-0.00028581i,-0.00018189-0.00048595i,0.00046668-0.00027135i,0.00055823+0.00017744i,0.00017225+0.00016755i
-0.0012545+0.00038263i,-0.00096233-0.00043799i,-0.0010074-0.00036197i,-0.0007345+0.00014721i,0.0001617+0.00017372i,0.0004323-0.00034384i,-0.00025149-5.3701e-05i,-0.00079942+0.00048204i,-0.00052631+0.00013167i,0.00073456-0.0001174i,0.00074174-2.1296e-05i,0.00038485-0.00011218i,-0.00026638+0.00013911i,-0.0010422-0.0001009i,-0.00057063-0.00049061i,-0.00036839-0.00031242i,-0.00012092-7.7123e-05i,0.00025827+1.5133e-05i,-0.00021065+0.00027196i,-0.00043194+0.00028403i,0.00028159-0.00014848i,0.0009636-3.4572e-05i,0.0007368+0.00068956i
3.3529e-06-0.000185i,-0.00059412-0.001414i,-0.0014832-0.0017549i,-0.00078457-0.0011203i,0.00020456-0.00073135i,-1.2685e-05-0.00025424i,-0.0005059+0.00049827i,-0.00052316+5.909e-06i,-7.7423e-05-0.00058743i,0.00052734-0.00041124i,0.0012916-0.00027786i,0.0010629-0.00023877i,0.00026186-0.0011388i,0.00043747-0.001291i,0.00067312-0.00091791i,0.00043799-0.0014202i,-7.4891e-05-0.0012292i,-0.00050547-0.00066957i,-0.00019029-0.00053316i,0.00031178-9.3389e-05i,0.0002487-0.00028187i,-0.00025545-0.00081114i,-0.00053313-0.00075879i
0.0010349-0.00073501i,0.0011968-0.00051518i,0.0013498-0.00098365i,0.0005347-0.0015639i,-0.00041333-0.0019697i,-0.00072427-0.0012632i,-0.00087716-0.00025604i,-0.00010465-5.3056e-05i,0.00059237-0.00046665i,0.00070894-0.00090545i,0.00011333-0.00022792i,-0.00069718+0.00018157i,-0.00071889+0.0003782i,0.00011042+0.00053324i,5.1037e-05-0.0002691i,0.0001715-0.00057739i,0.00039458-0.00012557i,0.0005036-0.00031036i,0.00062226-0.00020195i,0.0010184-0.00050079i,0.0010162-0.00095836i,-6.324e-05-0.0011647i,-0.00037937-0.00086668i
-5.8555e-06+0.0010047i,0.00087606+0.00092737i,0.00090812+0.00024371i,0.001298-0.001106i,0.0016608-0.00055956i,0.00037751-0.00034994i,-0.00072257-8.0511e-05i,-0.00020946+0.00055646i,0.00071473+0.00053319i,0.00077068-0.00037489i,0.00055713-0.0012758i,0.00048685-0.0013972i,0.00050381-0.00031689i,-0.00013786+0.0010742i,-0.0012229+0.0010363i,-0.0010412+0.00042895i,7.8597e-05+0.00048288i,0.00074403+0.00022072i,0.00057187+4.1833e-05i,0.00060544+7.639e-06i,0.00055693+0.00046147i,-0.0001162+0.00076374i,-0.00029545+0.00056035i
