-0.0015099+8.274e-05i,-0.0018841+0.0014803i,-0.0022211+0.0030932i,-0.0017461+0.002808i,-0.0013107+0.0014123i,-0.001011+0.0014343i,-0.00068229+0.0019353i,-0.00045218+0.0011806i,-0.00014772+0.0007517i,0.00022232+0.00048921i,0.00046666-0.00037919i,0.0005182-0.00084546i,0.00028402-0.00074212i,-0.00021675-6.674e-05i,-0.00076786+0.00059441i,-0.0015337+0.00015595i,-0.0017255-0.00034892i,-0.0014026-0.0010093i,-0.00062271-0.0011525i,-0.00043187-0.00032992i,-0.00020381-0.00033956i,0.00079718-0.0006445i,0.00089066+3.2113e-05i
4.5734e-05-0.00065824i,0.00020141-0.0014121i,-4.0213e-05-0.0016005i,0.00055814-0.0016881i,0.00081453-0.0011238i,0.00078777-0.00081921i,0.00038776-0.0017321i,-5.1981e-05-0.0017933i,-0.00055449-0.0013131i,-0.0002754-0.0014452i,4.0267e-05-0.0011223i,-0.00029835-0.0004668i,-0.00013157+9.4957e-05i,6.3851e-05+0.00012571i,-0.0006189+2.2186e-06i,-0.00062593+0.00070599i,-0.00037857+0.0010698i,0.00011589+0.00095974i,0.00080281+0.00076586i,0.00079462+0.00057193i,4.4713e-05+0.00029245i,-0.00031265-9.8605e-05i,-0.00025019+0.00062681i
-0.0013988+0.0013198i,-0.00013443+0.0025087i,0.00041784+0.0026962i,0.00021305+0.002209i,0.00021188+0.00093975i,-9.5052e-05-0.00062204i,-0.00064135-0.0010991i,-0.00094854-0.00080674i,-0.00074826-0.00068677i,-0.00068604-0.00079101i,-0.0011309-0.00045893i,-0.0011721-0.00033052i,-0.0004013-0.00085712i,-8.4403e-05-0.0018684i,-3.9572e-05-0.0013498i,-0.00027491+9.9087e-05i,-0.0004673+0.00095996i,-4.5744e-05+0.00050611i,-0.0007411+0.00067996i,-0.0010808+0.00062297i,-3.4267e-05-0.00058139i,0.00055456-0.0012725i,0.00026969-0.00079181i
-0.00060231+0.00045038i,-0.00014612-0.00010453i,0.00051692-0.0010122i,0.0012619-0.00060298i,0.00049078-0.00010129i,-0.00010501-0.0012026i,9.1619e-05-0.0016316i,0.00040466-0.00033572i,0.0001594+1.5307e-05i,-0.000188-0.00068239i,-3.9897e-05-0.00032518i,0.00019064+0.00036497i,-4.0993e-05+0.00015043i,0.00014102-0.00034953i,5.1715e-05-0.00057805i,-0.00034908-0.00096882i,-7.0523e-06-0.0005881i,0.00026353+0.00046094i,0.00035324+0.00085448i,0.00060368+0.00048676i,0.00092616+0.00021691i,0.00056108+0.00015521i,-9.2037e-05-2.9317e-05i
-0.00067246-0.00076453i,-0.00027184+0.00037605i,0.0004977+0.0014374i,0.00075725+0.0031541i,0.00032574+0.0031115i,6.8836e-05+0.00088154i,0.00018889-2.8107e-05i,0.00028237-0.00087448i,0.00036435-0.00086718i,0.00012288+0.0004006i,-0.00025455-0.00020918i,-0.0003517-0.0011311i,0.00013599-0.0010958i,0.00059907-0.00036239i,0.00049552+0.00038951i,0.00053269+0.00039059i,0.00061518+0.00045268i,0.00016931+0.00065936i,-3.5519e-05+0.00023135i,-6.1954e-05-0.0003947i,0.00061017-0.00063265i,0.0011877+0.00020142i,0.00049079+9.1498e-06i
-0.0010759-0.002966i,-0.0022629-0.00064968i,-0.0032832+0.00071258i,-0.0033071+0.0012424i,-0.0024987+0.0024592i,-0.0010775+0.0020277i,0.00052111-0.00012835i,0.0008478-0.0011239i,-2.1327e-06-0.0012429i,-0.00015253-0.00094442i,0.00032797-0.00046157i,0.00078204+0.00014359i,0.00087416+4.2216e-05i,0.00037244-0.00078154i,0.00045145-0.0013758i,0.0007913-0.0010189i,0.0004912-0.00028581i,0.00015706-4.9481e-06i,0.00034758-0.00038603i,0.00045902-0.0002767i,0.0004016+9.6057e-05i,0.00022603+0.00038889i,-0.00031977+0.00069032i
0.00021628-0.00071375i,-0.0011744+6.0536e-05i,-0.001678-0.00016986i,-0.001159-0.00041412i,-0.0013766-0.00034373i,-0.00075123-0.0004841i,0.00054912-0.00053553i,0.00055196-0.00045096i,-0.00031917-0.00072474i,-0.00075176-0.0011318i,-0.0012808-0.0007664i,-0.001177+7.3089e-05i,-0.00065975+0.00023471i,-0.00013489-6.083e-05i,0.00022+0.00031539i,-4.1881e-05+0.00067107i,-0.00059534-0.00049277i,-0.001164-0.00073636i,-0.00096766-0.00030695i,0.00030158-0.00034967i,0.00024896-0.00014994i,-0.00066642+0.00023955i,-0.00057462-0.00014653i
0.0012081+0.00027296i,0.00081194-0.00012843i,0.00010275-0.00023019i,-0.0010367-0.00038661i,-0.0012772-0.00070462i,-0.00033701-0.00043457i,-0.0008085-0.00037224i,-0.00095625-0.00077307i,-0.00040514-0.0012822i,-0.00046588-0.00074814i,-0.00033462-0.00022444i,0.00017692-0.00057037i,6.6307e-05-0.00095573i,-0.0004544-0.00079963i,-0.00085973-0.00089886i,-0.0004941-0.00068221i,0.00027811+0.00039398i,0.00076811+0.00035418i,0.00057531-0.00025971i,0.00078187-9.3352e-05i,0.0012542-0.00017889i,0.00070458-0.00034881i,0.00041337-0.00033784i
-0.0010236+0.0024051i,-0.00070687+0.0018762i,-0.00048614+0.002133i,0.00070957+0.0023184i,0.0015311+0.0012442i,0.00047663-0.0001769i,-0.00082538-0.00081953i,-0.00093826-0.00091328i,-0.00037082-0.0014893i,0.00015973-0.0016464i,-0.00031763-0.0014742i,-0.00076654-0.00099013i,-0.00026131+9.7068e-05i,0.00025774+0.00050148i,8.776e-05-0.0001253i,-0.00026991-6.1679e-05i,0.00045885+0.00057496i,0.00056866+0.00031829i,-0.00047862-0.00029112i,-0.0013271-0.00035527i,-0.001125-0.00038044i,-0.00083061-0.00052468i,-0.00065727-0.00034819i
-0.00053341-0.00034667i,-0.00061328+0.00049818i,-0.00080516+0.0018482i,-0.0012852+0.0019901i,-0.0007186+0.00080396i,0.00031843+0.00053201i,0.00053394+0.0012983i,0.00032339+0.0014788i,0.00046585+0.00075513i,0.00087698+0.00042781i,0.00086701+0.00055579i,0.0002194-0.00053944i,-4.7623e-06-0.0010649i,0.00034856-0.00014585i,0.0004458-7.619e-05i,0.00024494+0.000157i,-0.00029885+0.00068165i,-0.00021393+1.7986e-05i,-0.0002159-0.00037129i,-0.00062147-0.00043433i,-0.0010253-0.00044356i,-0.00087219-0.00047141i,-0.00090557-0.00043777i
0.00048639-0.00047804i,0.00055793-0.001136i,0.00040024-0.0017432i,-4.3158e-05-0.0018325i,-0.00088494-0.0017713i,-0.00094739-0.001508i,-0.00030812-0.00056914i,0.00018746+0.00016401i,-0.00016827+0.00032673i,-0.00074203+0.00017813i,-0.0013032-6.7276e-05i,-0.0014609-0.00021439i,-0.00075078-0.00030704i,0.00030949-0.00021101i,0.00056519-7.9142e-05i,0.00062431-0.00047543i,0.0001799-0.0001918i,-0.00045051+0.00070215i,0.00040959+0.00070612i,0.0012079-0.00010362i,0.00053301-0.0011022i,-0.00012686-0.0010253i,-0.00073478-0.0004539i
4.7477e-05+0.0004713i,0.00017479+0.00090101i,0.00022306+0.0022828i,0.0011499+0.001545i,0.001328-0.0002732i,-2.5283e-05-0.00069304i,-9.1901e-05-0.00087087i,0.00029927-0.00087529i,-4.8324e-05-0.00071394i,8.8293e-05-0.00074177i,0.00063659-0.00060485i,0.00030838+6.8177e-05i,-1.6198e-05+0.00069058i,0.00021739+5.4155e-06i,0.00077786-0.00054452i,2.0844e-05-0.00067062i,0.0004121-0.00082615i,0.00084143+3.9481e-05i,0.00058146+0.00040654i,0.0010354-0.00036773i,0.00050161-0.00032654i,-0.00023477-0.00034333i,1.884e-05-0.00083503i
-0.0020403+0.00088188i,-0.0022485+0.0019693i,-0.0017909+0.0029014i,-0.001027+0.0031411i,-5.533e-05+0.0012608i,0.00058264-0.0013282i,6.4216e-05-0.0020716i,-0.00073834-0.0014435i,-0.00053366-0.00076196i,-0.00061386-0.0006394i,-0.0009979-0.00060273i,-0.00041302-0.00096223i,0.0011979-0.0012691i,0.0011198-0.0015999i,-8.727e-05-0.001341i,-0.00069668-0.00063917i,-0.00088295-0.00098898i,-0.00059055-0.0014565i,0.00052645-0.0011389i,0.0010011-0.00040628i,0.00040586+0.00073389i,-0.00019381+0.00045057i,0.00032798+3.948e-05i
-0.00055621-0.0014347i,5.552e-05-0.0014145i,0.00049539-0.00056731i,0.00032448-7.1826e-05i,-0.00030468-0.00041824i,-0.0012789-0.00080528i,-0.0015252-9.4512e-05i,-0.00092489+0.00012837i,-0.00032489-0.00052601i,-0.00047006-0.00056009i,-0.00070444-0.00017751i,-0.00087843-0.00024776i,-0.0009366-0.00078021i,-0.00018324-0.00075237i,0.00082863-0.0008734i,0.0010386-0.00065816i,0.00074729+0.00014261i,0.00067798+0.00037957i,0.00085284+4.246e-05i,0.0012397+0.00011519i,0.0012008+0.00025405i,0.00079937-1.4605e-05i,0.00038648-0.0005466i
-0.0015208-0.00062232i,-0.0025639-0.00044635i,-0.0026853-0.0010533i,-0.0024578-0.00090787i,-0.002254+0.0005539i,-0.00057579+0.0019967i,0.0010486+0.0020413i,0.00095657+0.0010029i,0.00049042+3.1948e-05i,1.902e-05-0.00080937i,-0.00022773-7.0363e-05i,-0.00067307+0.00039462i,-0.00014754-0.0003114i,0.00081677-0.00097478i,0.00058844-0.00064344i,0.00053224-0.00056096i,0.00035774-0.00044596i,0.0007868-5.8873e-05i,0.0010737-0.00035067i,0.00070482-0.00055623i,0.00030791-0.00042707i,0.00050837+9.3207e-05i,0.00053206+0.00023436i
0.0010222+0.00032697i,0.0003657+0.00024614i,0.00046814+0.0011811i,0.00075619+0.0013105i,0.00068071+0.00081749i,0.00029463+9.9189e-05i,-4.0579e-05-0.00053179i,-4.6237e-06-0.00082664i,-6.6142e-05-0.00070408i,-9.4301e-05-0.00039222i,0.00010198-0.00047967i,0.00037036-0.0001815i,0.00023165+0.00023829i,-1.4521e-05+7.8904e-05i,-4.2801e-05-0.00050157i,0.00015469+4.8083e-05i,-5.2019e-05+0.00047411i,-0.00013241-0.00033245i,4.8084e-05+0.00011723i,-0.00051629+0.00079134i,-0.0012671+0.00053392i,-0.001076+0.00018157i,-0.00085015-0.00028468i
-0.0013532+0.00065455i,-0.0013486-0.00062883i,-0.0010749-0.001493i,-0.0013823-0.00063641i,-0.000946-0.00024235i,-0.00058868-0.0011744i,-0.00045422-0.0015677i,-0.00039063-0.0012967i,0.00012667-0.00051988i,0.00091384-6.5749e-05i,0.00066356-0.00030792i,0.00053661-0.00039929i,0.00088659-0.00053463i,-1.367e-05-0.0012486i,-0.00090609-0.00096078i,-0.00010179-0.00018025i,0.00074542-0.00058088i,0.00085397-0.0013566i,0.00076316-0.0013456i,0.00066862-0.00052598i,0.00056654+7.1389e-05i,0.00029845+0.0003278i,0.00033193+0.00035798i
0.0010525+0.00043633i,0.0019285+0.00075227i,0.0030006+0.00077417i,0.0022938-0.00070043i,0.0011331-0.0020408i,0.00028346-0.0021261i,0.00022968-0.0011565i,0.00065128-0.00039897i,0.00070798-0.00068444i,0.001316-0.001037i,0.00067817-0.00088413i,-0.0012456-0.00057642i,-0.0014967-3.8664e-05i,-0.00044581+0.00017647i,0.00035804-0.00032524i,0.00034711-0.00067258i,-6.6047e-06+4.8559e-05i,-0.00010541+0.00089747i,3.5883e-05+0.0012841i,0.00010735+0.0010529i,0.00017619+0.0001505i,0.00022009+0.00014139i,-0.00023836+0.00056971i
0.0031253-0.00051459i,0.0017066-0.0011679i,8.0986e-05-0.0022003i,-0.0011771-0.0017707i,-0.0020422-0.00071271i,-0.0019546-0.00066458i,-0.0015858-0.00032139i,-0.0012685+0.00052341i,-0.0010756+0.00040033i,-0.00082385+0.00011551i,-0.00077649+4.3204e-05i,-0.00064378-0.00014498i,0.00028907+0.00022754i,0.00087922+0.00024416i,0.00055663-0.00022486i,0.00035739-0.00028166i,6.9387e-05-1.466e-06i,-0.0001067+0.00012378i,0.00052435+2.2123e-06i,0.00095492+0.00050001i,0.00049011+2.1597e-05i,0.00023912-0.00027254i,6.566e-05+0.00027469i
0.0017062+0.0014736i,0.0012414+0.0017711i,2.0545e-05+0.0012015i,-0.00056405+3.5274e-05i,6.9965e-05-0.00083932i,-6.0338e-05-0.0014647i,-0.00103-0.0011716i,-0.00093704-9.3118e-05i,9.2487e-05-0.00024539i,0.00035453-0.0011045i,-0.00015753-0.00097064i,-0.00050255-0.00096996i,0.00027023-0.0005977i,0.00076768+6.0439e-05i,0.00028695-0.00052264i,-5.318e-06-0.00043214i,-0.00053286-4.3577e-05i,-0.00022958+0.00025867i,0.00048011+0.00053147i,0.00032624+0.00020967i,7.8915e-05-1.9546e-05i,-0.00045657+0.0003869i,-0.00056161+0.00059972i
0.001419-0.00074783i,0.0021503-0.0012588i,0.0028001-0.0023292i,0.001549-0.0022194i,0.00086066-0.0020367i,-0.00032353-0.0019998i,-0.0010667-0.00057036i,-0.00037218-0.0003918i,0.00022775-0.0010777i,0.00046418-0.0010033i,0.00020936-0.00084164i,0.00046722-0.00070649i,0.00063494-0.00031638i,0.00087471+2.5621e-05i,0.0012779-0.00011977i,0.00067275-0.00026556i,-0.00011775-0.00035688i,-0.00026281-0.00037724i,-7.5951e-06-0.00025491i,0.00016174+0.00070871i,-0.00035475+0.00077361i,-0.00059268-0.00058321i,-0.00039932-0.0014247i
