-0.00044476+0.0014194i,0.001126+0.00069357i,-8.5246e-05+1.9444e-05i,-0.00061325-0.00027917i,-0.0016733-0.00020762i,-0.0032577+0.00033942i,-0.0035584+0.0011148i,-0.0023406+0.00069717i,-5.9784e-05+1.9108e-05i,0.001572-0.00021152i,0.0015035-0.00050256i,0.0010328-0.00011494i,0.00064195+0.00045855i,-0.00021216+0.00057713i,-0.00040719+0.00082018i,0.00020853+0.00052013i,0.00012067+0.00012364i,-0.00014557+0.00079985i,-4.4945e-05+0.0014814i,-0.00042291+0.00058772i,-0.0011858-0.00020648i,-0.00075912-1.3936e-05i,6.2246e-05+0.00068409i
0.00046262+0.00078303i,0.00035456+0.00060781i,0.0012397+0.0012199i,0.0007047+0.00039795i,-0.00085505-0.0010425i,-0.0010687-0.0011927i,-0.0009503-0.00019563i,-0.0010846+0.00051195i,4.8129e-05+0.00096147i,0.0009521+0.00020538i,0.0010592-0.00082211i,0.00094712-0.00076734i,0.00048351-0.0007335i,0.00036583-0.000535i,0.00056702-0.00051812i,0.00048266-0.00041184i,-0.00021874-0.00012545i,6.4202e-05-0.00054983i,0.00053465-0.00088221i,0.0006553-0.00061203i,0.00098365-0.00036484i,0.00046966-0.00042035i,-7.487e-05-0.00023301i
-0.00088886-0.00013629i,-0.00018624+0.00035458i,5.6013e-05+0.0013168i,0.0002713+0.0019932i,-5.3779e-05+0.0012346i,-0.00054133+0.0004788i,-0.00049956+0.00028862i,-0.00032148-0.00048574i,-0.00030595-0.0013916i,-0.00023117-0.00086176i,0.00079168+0.00019209i,0.0019974+0.00084857i,0.0019899+0.00088077i,0.0009859-0.00041981i,0.00060583-0.0012186i,0.00079622-0.0006756i,0.00016546-0.00020475i,0.00015598-0.00027072i,0.00039533-0.00040008i,-3.1492e-05-0.00042933i,-0.00016751-0.00060054i,-0.0002875-0.00051366i,-0.00043066-4.6005e-06i
1.946e-05+0.002791i,0.00030525+0.0039428i,0.001466+0.0041894i,0.0022634+0.0029239i,0.0015118+0.00016616i,0.00020197-0.0011453i,-0.0012306-0.00058776i,-0.0018457-0.00070512i,-0.0012629-0.00018415i,-0.00052393-0.00064206i,9.1158e-05-0.00092583i,0.00048075+0.00018668i,0.00027363+0.00019691i,-0.00050605-0.00030491i,-0.00034915-5.0552e-05i,0.00011495+5.971e-06i,-0.00028535+2.6151e-05i,3.8571e-05-0.0002564i,0.00099031-0.00051417i,0.00081018-0.00017768i,0.00040006-0.0003366i,0.00035024-0.00012999i,0.00051136+0.00019295i
0.00069118+3.4059e-05i,0.00078196+7.1356e-05i,0.0010085-0.0002989i,0.0013423-0.0010275i,0.001188-0.0010057i,-0.00043096-0.00071284i,-0.0016387-0.00043854i,-0.0011818-8.0832e-05i,-0.00042438-0.00039672i,-0.00060073-0.00055848i,-0.000862-0.00019239i,-0.00026544+0.00015926i,0.00025117+7.9291e-05i,0.00057709-7.5317e-05i,0.0006002+0.00056172i,0.00035267+0.00072831i,0.00023852+0.00054458i,-0.00018924+0.00060167i,-0.00041234+0.0002361i,3.8244e-05-1.6798e-05i,6.8162e-05-0.00023179i,0.00037333-9.7564e-05i,0.00071976+1.8756e-05i
0.0003716+0.0015239i,0.00069229+0.0015737i,0.0021021+0.0016743i,0.0022751+0.001577i,0.00048187+0.00036085i,-0.00086995-0.0002327i,-0.0010357+3.1042e-05i,-0.00037391-6.1134e-05i,0.00022238-0.00046703i,0.00032089-0.00020683i,-0.00024976-0.00035207i,-0.0007685-0.00025222i,-0.00044901-0.00011055i,-5.799e-05-0.00012482i,6.6855e-06+0.00018007i,0.00095377-4.9069e-05i,0.00085605+0.00017887i,0.00032495+0.00031604i,0.00063051-0.0009132i,0.0004151-0.0017608i,0.00045258-0.00084088i,0.00046412+0.00012236i,-0.0001315+0.00010035i
0.0013744+0.00096617i,0.00041625+0.00097035i,0.00095996+0.00071186i,0.0015063+0.00099812i,0.00066944+0.00083746i,-0.00045294-0.00073236i,-0.0011325-0.0012899i,-0.00078941-0.00055648i,-1.781e-05-0.00066534i,0.00092992-0.0006614i,0.0010056-0.00029241i,0.00041065-6.4136e-06i,0.00032353+2.6946e-05i,0.00053672+5.3254e-05i,0.00085881-2.5382e-05i,0.0011185+0.00018245i,0.00085834+5.4499e-05i,0.00032804-0.00067504i,0.00064802-0.00076962i,0.00071609-0.00059277i,0.00030988+4.9191e-05i,7.4798e-05+0.0011044i,0.00070388+0.0010934i
0.00019156+0.0013795i,0.00067795+0.0014214i,0.00032236+0.0019655i,0.0005163+0.0017414i,0.00072393-0.0001697i,0.00018861-0.0011188i,-0.00034157-0.00062487i,-0.00045186-0.00051604i,-0.00024669-0.0010721i,-4.0382e-05-0.00057586i,0.00016737-3.9434e-05i,0.00026363-0.00038684i,-2.6563e-05-0.00013972i,-0.00011801+0.00041263i,-0.00011525+0.00063957i,1.728e-05+0.00071345i,1.9467e-05+0.00043202i,5.4343e-05-0.00017107i,0.00045671+7.7781e-05i,0.0010136-2.6671e-05i,0.001107-0.00037156i,0.00068372-0.00017261i,1.6427e-05-0.000102i
-0.00016228-5.109e-05i,-0.0011581+0.00040192i,-0.0010487+0.0016884i,-0.00024471+0.0021081i,0.00026561+0.00041897i,-0.00036978-0.00084101i,-0.0013749-0.0012047i,-0.0017403-0.00083384i,-0.0012858-0.00023683i,-0.00051789-0.00063172i,0.00036665-0.00089371i,0.00047537+0.00013302i,0.00079251+0.00047899i,0.00031083+0.00014141i,-0.0007101+0.00011106i,-0.00018243-0.00030921i,0.00025117-0.00033489i,0.00024202+0.00025219i,-0.00030614-7.4444e-05i,-0.00029925-0.00033509i,0.00032187-0.00041814i,0.00046555-0.00059141i,0.00023261-0.00043575i
-0.0030181+0.0017618i,-0.0025923+0.0015006i,-0.00077461+0.0024362i,0.00061874+0.0023913i,0.00072075+0.0012778i,0.00018779-0.00011102i,-0.00028813-8.9466e-05i,-0.00023048-1.8324e-06i,0.0004054+0.00016855i,0.0010236+0.0010303i,0.00072268+0.0013456i,0.00029969+0.0010022i,0.00020285+0.00013778i,-6.2315e-06-0.00020402i,0.00057235-0.00046665i,0.00075501-0.00018677i,0.00064357-0.00011689i,0.00050163+4.2923e-05i,0.00012012+0.00062514i,-3.4771e-05+0.00082985i,0.00054798+0.00065615i,0.00029736+0.00023519i,5.5072e-05-0.00016611i
-0.00023039+0.00021203i,-0.00023202+0.00017652i,-0.00067205+0.00086525i,0.00040467+0.0017798i,0.00050971+0.0009629i,-0.00087033-0.00057634i,-0.0010448-8.6641e-05i,-0.00033628+0.0004614i,-3.0546e-05+0.00046424i,3.2625e-05+0.00041029i,1.6339e-05+0.00064255i,0.00016615+0.00024494i,0.00098759-0.00046254i,0.0011811-0.00057855i,0.0009153-0.00065692i,0.00048964-0.00049923i,0.00016541-0.00036383i,0.00019925-0.00030473i,0.00029563-0.00048742i,0.0005602-0.00035867i,0.00060903-0.00096407i,0.00044348-0.0012349i,-4.4706e-05+0.0002179i
