-0.0023909+0.00052385i,-0.00061866+0.0012033i,-0.00078274+0.0022053i,-0.0017509+0.002483i,-0.0020841+0.0020643i,-0.0015287+0.0015823i,-0.0011965+0.0014719i,-0.0010241+0.001514i,8.9692e-05+0.0018763i,0.001592+0.0019349i,0.0020404+0.0010156i,0.0013384-5.0026e-05i,0.00031111-0.00075431i,0.00033997-0.00068982i,0.00063713-8.2165e-05i,5.6088e-05-6.0119e-05i,-0.0006591+0.00066504i,-0.00097263+0.0012554i,-0.00087208+0.00081754i,-0.00053117+0.00021825i,4.2405e-05-0.00066839i,0.00044609-0.00085737i,8.1752e-05+0.0002339i
-0.0017344-0.0015336i,-0.00026743-0.0019431i,3.717e-05-0.0014739i,-0.00019862-0.0012604i,-0.00077686-0.00098994i,-0.00060669-0.00063455i,-0.00032937-0.0010359i,-0.00083949-0.0010918i,-0.0010765-9.2691e-05i,-0.00043376+0.00036243i,-3.7532e-05+0.00070226i,-5.0807e-05+0.0010689i,-0.00067219+0.00029431i,-0.0008161-0.00030645i,-0.0013211-0.00029259i,-0.0014039-3.7982e-05i,-0.0013336+0.00023868i,-0.0011776+0.00018775i,0.00025196+0.00068595i,0.00034252+0.00086456i,-3.1699e-05+0.00044279i,-8.6213e-05+0.00032255i,-0.00046501+0.00071469i
-0.00036737-0.00056051i,-0.00081506-0.00042446i,-0.0016103+0.000626i,-0.0014634+0.0012522i,-0.0010475+0.00089993i,-0.00051853+0.00070278i,0.00034137+1.8898e-05i,0.00099482+5.7986e-06i,0.00012917+0.0007016i,-0.0010567+0.00027644i,-0.00074969+0.00024441i,-5.9891e-05+0.00043195i,0.00073099+0.00016213i,0.0012016-0.00017851i,0.00053618-0.00091071i,0.00019428-0.0011599i,4.0898e-05-0.00036309i,-0.00043334+0.00031298i,-0.00032549+0.0005148i,-9.0637e-05-8.6935e-05i,-0.0003674-0.00034309i,-0.00043311-0.00070369i,-0.000344-0.00074297i
-6.9625e-05+0.00045904i,0.00020586+0.00046015i,0.00023982-0.00061962i,3.7661e-05-0.0022314i,-0.00011416-0.0024733i,0.0004029-0.0012066i,0.00036137-0.00010451i,-0.00024924+0.00018243i,-0.00017517+0.00097976i,0.00029076+0.00085943i,0.0002801+0.00037248i,8.59e-05+0.00062537i,-0.00012367+0.00095947i,-1.2851e-05+0.00074137i,-0.00014758+0.00082243i,-0.00033174+0.00082443i,-0.00027647+0.00037228i,-0.00077806+0.00018915i,-0.0012242+0.0001984i,-0.0008623+0.00021514i,-0.00013053+0.00036947i,-0.00052962-0.0001982i,-0.0003359-0.0010602i
-0.0014254-0.00039223i,-0.0016892+0.00089983i,-0.00083654+0.0021475i,-0.00014135+0.0022112i,-8.0472e-06+0.0019953i,-0.00078752+0.00098488i,-0.0011781-0.0004945i,-0.00080914-0.00058601i,-0.00058413+0.00011644i,-0.00071755+0.00051732i,-0.00058232+0.00070946i,0.00021867+0.00069756i,0.00044261+0.00041523i,0.00023086+0.00054437i,-1.0708e-05+0.00030229i,0.00029741+0.00035905i,2.3577e-05+0.00083244i,-0.00029994+0.00023128i,0.00026253-0.00032416i,0.00026507+0.00016277i,-0.00015267+0.00091673i,-0.0007031+0.00079444i,-0.00065469+0.00037431i
0.00045053+0.00024595i,-0.00046126-0.00046277i,-0.00020686-0.0018999i,2.3341e-05-0.0017924i,-0.00042199-0.0015681i,-0.00093732-0.00087793i,-0.0010419-7.9702e-06i,2.4501e-05-9.0173e-06i,0.00024699-6.2704e-05i,3.7338e-05+0.00045766i,0.00035273+0.00092035i,0.00034935+0.00069151i,0.00014446+0.00059915i,0.00052412+0.00052429i,0.00108-0.00037603i,0.0011647-0.0010383i,0.0012611-0.00043001i,0.0008793+9.3164e-05i,0.00037098+0.0003568i,0.00064391+0.00015802i,0.00056707-0.00024815i,5.6618e-05+0.00012851i,-0.00022168+0.00042425i
0.00084205+0.00045386i,0.00014514+0.0010611i,-0.00040488+0.00017428i,-0.0008985-0.00065585i,-0.0013135-0.00088597i,-0.0010595-0.00027206i,-0.00056709+0.00015838i,-0.00020565+0.00060277i,-4.5197e-05+0.0009845i,0.00024163+0.0013431i,-0.00011482+0.00094023i,-0.00056046+0.00089851i,-0.00065065+0.0013776i,-0.00034265+0.0003135i,0.00022334-0.0005284i,0.00018092-0.00048692i,4.016e-05-0.00012577i,-0.00024326-0.00010163i,-0.00043733-0.00024874i,-0.0002724-0.0002069i,-0.00061935-0.00067709i,-0.00049699-0.00078887i,-0.00019892-0.00084292i
-3.9624e-05+0.00064164i,0.00077569+0.0010704i,0.0013046+0.00034231i,0.00083724-0.00011057i,-4.5266e-05+4.998e-05i,-0.00090984-0.00048097i,-0.0015365-0.0011706i,-0.0011498-0.00083145i,-0.00028637-0.00040055i,0.00020779-0.00040057i,0.00020183-0.00031456i,0.00057927-0.00026467i,0.00057594-6.8258e-05i,0.0011058+0.00048333i,0.0013963+0.0012862i,0.000268+0.00080465i,-0.00025053-0.0004952i,9.9555e-05-0.00067135i,0.00064415-5.535e-05i,0.00020671+0.00040996i,-0.00010121+0.00047073i,0.00034485+0.00039196i,0.00014697+0.0004567i
0.0010422-0.00065895i,0.00067814-0.00026539i,-0.00011124+0.00014591i,-0.00035984-4.0137e-05i,-0.00071283-0.00018383i,-0.0010072-0.000467i,-0.00099272-0.00084265i,-0.00080665-0.00060869i,-0.00057937+0.00033645i,-0.00078027-0.00012341i,-0.0002146-0.00085218i,0.00047055-0.00056376i,0.0002493-0.00013112i,1.971e-05-8.7469e-05i,0.00084406-0.00041744i,0.0012992-0.00045013i,0.000874+0.00032627i,0.000706+0.00051543i,0.00027103-0.00017095i,-0.00024029-0.0003543i,-0.00063632-0.00031539i,-0.0006661-0.00054536i,-0.0003282-0.00042704i
-0.00052497-0.00092256i,-0.00022632-0.00033622i,-0.0014282-0.00069226i,-0.0012928-0.00052217i,-0.00031201+0.0010742i,6.5717e-05+0.001398i,0.00058176-0.00040427i,5.3908e-05-0.00081651i,-0.00097993+0.0003456i,-0.0010825+0.0010199i,-0.00044215+0.00045764i,0.0014472-0.00019839i,0.0019352+5.3813e-05i,0.00084194+0.00017353i,6.1475e-05-0.00011011i,-4.324e-06-0.00053836i,0.00033588-0.00093869i,9.8776e-05-0.00098024i,-0.00027864+0.00013685i,-0.0006931+0.0010401i,-0.0005827+0.00033071i,0.0001089-3.8049e-05i,-1.9616e-05+7.2949e-05i
-0.00021948+0.00024342i,-0.00058653+8.4585e-05i,-0.00085789+0.00030087i,-0.00094866+0.00037479i,-0.00094807-0.0004279i,-0.001235-0.00096381i,-0.0010821-0.00079592i,-0.0005924-0.00060549i,-0.0005297+0.00029749i,-0.0014023+0.0011801i,-0.0015882+0.00069451i,-0.00059216+0.00017191i,0.00054424-0.00030328i,0.0010629-0.00089445i,0.00090191-0.001329i,0.0010425-0.0012281i,0.0012889-0.00059305i,0.0011519+0.00043759i,0.00079866+0.00062059i,0.00042663+0.00062555i,0.00017731+0.0010841i,-0.00041806+0.00026367i,-0.00027446-0.00064595i
