-0.0023909+0.00052385i,-0.00061866+0.0012033i,-0.00078274+0.0022053i,-0.0017509+0.002483i,-0.0020841+0.0020643i,-0.0015287+0.0015823i,-0.0011965+0.0014719i,-0.0010241+0.001514i,8.9692e-05+0.0018763i,0.001592+0.0019349i,0.0020404+0.0010156i,0.0013384-5.0026e-05i,0.00031111-0.00075431i,0.00033997-0.00068982i,0.00063713-8.2165e-05i,5.6088e-05-6.0119e-05i,-0.0006591+0.00066504i,-0.00097263+0.0012554i,-0.00087208+0.00081754i,-0.00053117+0.00021825i,4.2405e-05-0.00066839i,0.00044609-0.00085737i,8.1752e-05+0.0002339i
-0.00018879-0.0015676i,-0.00016501-0.0016847i,0.00079759-0.0013258i,0.00051058-0.00035815i,-0.00034717+0.00052676i,-0.0015117+0.00087779i,-0.0019434+0.00071357i,-0.0020036+0.0010415i,-0.0011726+0.0013583i,-0.00043215+0.00075674i,-2.255e-05+0.00073724i,0.00028869+0.0013112i,4.3531e-05+0.0011901i,-9.8865e-05+0.00031818i,-0.00022051+0.00021781i,-2.4622e-05+0.00043061i,-0.00010255+0.00034452i,0.00021999+0.00025371i,0.0008838-5.7401e-05i,0.0010384+0.0002785i,0.00018079-2.3935e-05i,-0.00012842-0.00049388i,0.00021126-0.00072257i
0.00057207+0.0014767i,-0.00042793+0.0014223i,-0.00046709-6.5639e-05i,-0.0004703-0.0016705i,-0.00043386-0.0028398i,-9.9931e-05-0.0024054i,0.0001075-0.0010146i,0.00043444+0.00013585i,-2.4647e-06+0.0007651i,-0.00024099+0.00090625i,0.00011046+0.00075834i,-1.8836e-05+6.9764e-05i,-0.00036154-0.00029752i,0.00028126-0.00034662i,0.0011597-0.00061639i,0.00090019-0.00090011i,0.00054808-0.00011086i,0.00011806+0.00018664i,-0.00017672-0.00020183i,-1.3117e-05-0.00031211i,0.00018538-0.00018736i,-2.6959e-05-1.2936e-05i,-0.0005191-0.00034124i
-0.00059608+0.0011184i,-0.00029489+0.00084709i,-0.00022564+0.00086319i,-0.00057873+0.0003986i,-0.00054777-0.0007101i,-0.00077957-0.0017003i,-0.0015831-0.0014829i,-0.0016928-0.00058036i,-0.00071599+0.00015482i,-0.00046127+0.00081393i,-0.00076137+0.0007436i,-0.00036165-0.00035483i,-0.00033103-0.0011638i,-0.00045954-0.0010534i,-0.00048024-0.0004132i,-0.0010585+3.4096e-05i,-0.0013398-0.00068124i,-0.00081937-0.0011367i,-0.00034635-0.00024976i,-0.00013512+0.001013i,0.00039075+0.0010913i,0.00055371+0.00068559i,0.00065356+0.00035837i
-0.00018643+5.4456e-05i,-0.00042741-0.0002125i,3.0961e-05+7.1174e-05i,-0.00019175+0.00035227i,-0.00070598+2.1675e-05i,-0.00072102-0.00041527i,-0.00081567-0.00041797i,-0.00088917-0.00081025i,-0.00023965-0.00014652i,3.8831e-05+0.0009141i,-0.00046636+0.000175i,-0.00011958-0.00026618i,0.0007372+0.00069482i,0.00082735+0.00039135i,0.00073197-0.00027317i,0.00031839+1.3841e-05i,0.00036774+0.00010099i,0.00059193-0.0001625i,0.00090338+6.0117e-05i,0.00084945+4.5325e-05i,0.00076746-8.0673e-05i,-0.00021871+2.8952e-05i,-0.0008922+0.00014244i
0.00048813-0.00054265i,0.0010309-0.0015374i,0.0012662-0.0017566i,0.00049103-0.0017645i,-0.00046258-0.0012602i,-0.00095975-0.00048436i,-0.00046954-0.00014043i,0.00020349-0.00017255i,0.00048161+4.9433e-05i,0.00028094+0.00038105i,-0.00027098+0.00062113i,-0.00039536+0.00053993i,0.00038961+0.00021316i,0.0006891+0.00082149i,0.0005042+0.001127i,6.9224e-05+0.00045554i,-0.00030855+0.00011845i,-0.00024483+0.00028435i,-0.00050215+0.0006596i,-0.0015724-0.00025614i,-0.0011642-0.00070528i,-0.00080878-0.00029349i,-0.00088839+0.0002463i
0.00034029+0.0011997i,-0.00017644+0.0011146i,-0.00089896+0.00099747i,-0.0010927+0.0001576i,-0.0014208+0.00032034i,-0.0010393+0.00067046i,-0.00083916+0.0001775i,-0.00087244-0.00044166i,-0.0007427-0.00020368i,-0.00049645+0.0007637i,-0.00040021+0.0010567i,-5.7782e-05+0.00068575i,-0.00016418-0.00017707i,-0.00069154-0.00064535i,-0.00072054-0.00052805i,-0.00044351-0.00060124i,-0.00041635-0.00033263i,-0.00042609-2.2976e-05i,-0.00053167-0.00016673i,-0.00027748+6.3564e-05i,-8.501e-05+8.6649e-05i,-0.00011224-0.00020334i,0.00020724-0.00037715i
-7.7112e-05+0.0018897i,-0.00020295+0.0025571i,-0.0012372+0.0028852i,-0.0015824+0.0022506i,-0.00055635+0.001181i,9.4666e-05+0.00039272i,4.363e-05-0.00032355i,-4.9903e-05-0.00011509i,-0.00032665+0.0013952i,1.9566e-05+0.0014559i,0.0010394+0.00037501i,0.00093764-4.5046e-05i,-0.00024408+0.00011576i,-0.00067409+0.00057645i,-0.00027949+0.0010871i,-0.00076787+0.0011486i,-0.00083491+0.00030025i,0.00058806-0.00022158i,0.00084551+0.00057235i,7.2876e-06+0.00084153i,-7.1551e-05+0.00064035i,-0.00012532+0.00033017i,-0.00023233-0.00086114i
-0.0004088-0.0004364i,-0.0007137-0.0010722i,-0.00012901-0.0009411i,-0.00036432-0.00045994i,-0.00023977-0.00060653i,-0.00027744-0.0007838i,-0.00039716+0.00017411i,0.00045513+7.4191e-05i,0.0011707-0.00062641i,0.001077-0.00036123i,0.00067096+0.00035269i,0.00016557+0.0010624i,0.0010432+0.00099051i,0.0013831+0.00025129i,0.00060416-0.0003888i,0.00046375-0.0009507i,0.00040248-0.00080152i,0.00024121-0.00025359i,4.5049e-05-0.00033812i,0.00029357-0.00020682i,0.00020906+0.00031823i,9.187e-05+3.374e-05i,0.00027626-0.00027665i
-0.00095513+0.0017924i,0.00052307+0.00089771i,0.0012467+4.4824e-05i,0.0010945-0.00041643i,0.00014485-0.0004263i,-0.00067897-0.00025297i,-0.00053279-0.00055001i,-0.0003072-0.00098797i,-0.0001667-0.00046061i,0.00019862-0.00064341i,2.1568e-05-1.4217e-05i,-0.00070318+0.0010622i,-0.00046924+0.0004876i,-9.3121e-05+0.00012499i,0.00029863+0.00019826i,0.00094561-0.00014328i,0.00064449-0.00019822i,-0.00021497+1.333e-05i,-0.00040338-0.00051568i,0.00043054-0.00087674i,0.00056209+0.00010404i,0.00021702+0.00078279i,0.00057575+0.00012188i
-0.0013542+0.00092356i,-0.00044025+0.00028287i,-2.3755e-05-0.00010665i,0.00018494-0.00078546i,0.00015139-0.001458i,0.00035896-0.0012954i,0.00048837+2.773e-05i,0.00023432+0.00020445i,-0.00054417+0.00030411i,-0.00075867+0.00072352i,0.00014476+0.00036499i,0.00029862+0.00036525i,0.00035249-0.00014827i,0.00067468-0.00059132i,0.00030024-0.00071414i,0.00043417-0.0004369i,0.00042562+0.00043356i,-0.00065632+0.0012223i,-0.0012776+0.00058642i,-0.0010666-0.00040082i,-0.000285-0.00023723i,0.00041616-0.00010721i,0.0008906-0.00039122i
-0.0013566+0.0001008i,-0.0010143+0.00017997i,-0.00069497+0.00042312i,-0.00071761+0.0011226i,-0.00010563+0.0012815i,0.0007046+0.00022926i,-0.00015367-0.00061407i,-0.0013543-0.00050666i,-0.00082231+0.00021614i,-0.00015768+0.0011163i,2.4121e-05+0.00090943i,0.00032367+0.00062537i,0.00082726+0.0011029i,0.0002785+0.00073359i,2.1314e-05-0.00051881i,0.0006805-0.00057162i,0.00050412+0.00084981i,0.00024097+0.001163i,0.00043739+0.00037086i,-5.3734e-06-7.8688e-06i,-0.00042208-0.00023731i,-0.00079704-0.00030011i,-0.00042089-0.00036315i
0.00053574-0.00089807i,0.0002428-0.00053429i,0.00089184-0.001996i,-0.00014125-0.0029255i,-0.0014699-0.0016625i,-0.0020574-0.00034076i,-0.0016958-0.00010639i,2.0642e-05-0.00016692i,0.00078227+0.00011622i,0.00071069+2.3749e-05i,0.00081345-9.1478e-05i,0.0011594+0.00059369i,0.0014051+0.00080892i,0.00080093+0.00049043i,0.00012972+0.00033755i,-0.00068053-0.0005629i,-0.00035813-0.00084807i,-0.00024455+0.00016999i,0.00030168+0.00012288i,0.00054276-0.00016526i,-0.00068723-0.00026506i,-0.00060703+8.8451e-05i,0.00015078+0.00055852i
-0.00058155+0.0014654i,-0.00015514+0.0020696i,2.6105e-05+0.0027838i,0.00049352+0.0021262i,0.0009493+0.0016518i,0.00099725+0.0010002i,-0.00037799-0.00041314i,-0.00072467-0.00063232i,0.00080448-9.8807e-05i,0.0011352+0.00060375i,0.00043003+0.00059555i,-0.00019965-0.00042257i,-0.00046757-0.00072999i,-0.00027269-0.00043707i,-0.00020959-0.00061517i,-7.198e-05-0.00069577i,5.4378e-05-0.00042994i,9.294e-05-0.00015493i,7.8385e-05-5.9067e-06i,-0.00010476-0.00031026i,6.5036e-06-0.00098969i,-0.00032769-0.00091944i,-0.00051895+0.00024378i
0.00040222-0.00071882i,-0.00017918-0.00090511i,-0.00019575-0.00072906i,-0.00039164-0.00019724i,-0.00060027-0.00038043i,-0.00032728-0.00048593i,8.0022e-05-0.00011648i,6.6252e-05-9.8623e-05i,0.00017674+0.00024189i,0.00021606+0.0004088i,6.1611e-05+0.00096383i,0.00022421+0.0013808i,-4.1705e-05+0.00047276i,0.00010448+0.00020447i,0.00091137+0.00072956i,0.0008765+0.00020001i,0.00026334-0.00094459i,0.00018217-0.00059825i,-0.00016472+0.0001978i,-0.00052154+0.00022533i,-0.00083964-0.00063089i,-0.00058495-0.001272i,-0.00065732-0.00096824i
-0.001488-0.00034425i,-0.0014453-0.00023571i,-0.00067883+0.0010535i,0.00036969+0.0019059i,0.00024528+0.00091814i,-7.5055e-05+1.4793e-05i,0.00036341-0.00096699i,-0.00035071-0.00098469i,-0.00060554-0.00054759i,0.00021905+0.00031385i,0.0011132+0.00069744i,0.001039+7.3332e-05i,0.0011589-0.00041253i,0.00056723-0.00058844i,-0.00089648-0.00063483i,-0.001298-0.00073429i,-0.00076222-0.00076078i,0.00025749-0.0006138i,0.00037359-0.00095024i,0.00053193-0.0011803i,0.0007182-0.00017851i,0.00058156+0.00034803i,-2.6434e-05-0.00024662i
-0.00027579-0.0014544i,-0.00058916-0.00033897i,-0.0018773-0.00049018i,-0.00186-0.00086537i,-0.00092172+0.00040698i,3.1172e-05+0.0013893i,0.00078531+0.00068677i,-0.00036721-0.00012629i,-0.0014435-8.9312e-05i,-0.0011609+0.00015057i,-0.00095206+0.00012309i,-0.00075358-8.1079e-05i,0.00020599-0.00026002i,0.00095895-0.00071008i,0.0010582-0.00079218i,0.0008491-0.00010777i,0.00074044+0.00016406i,0.00051433-6.2389e-05i,9.8345e-05-0.00046263i,-0.00030295-0.00050665i,-0.00027586-0.00047049i,6.407e-05-7.6613e-05i,0.00014537+0.00028721i
-0.0016791+0.0010595i,-0.00098969+0.0010087i,0.00042027+0.0016835i,0.0015434+0.0016503i,0.0016455+0.000489i,0.0012824-0.00046516i,0.00051297-0.0010679i,-0.00054882-0.00048169i,-0.00075778+0.00076084i,-0.0004362+0.00067782i,0.00042097+0.00059508i,0.00076935+0.0003712i,0.00087918+0.00019753i,0.00045355+0.00014505i,-2.5709e-05+0.00031648i,-0.00023465+0.00019769i,-0.00043261+3.7766e-05i,-0.00035651-0.000229i,-0.00065461-0.00015748i,-0.00026375+0.00027649i,-5.9818e-05+0.00047959i,-0.00011772+0.00056061i,0.00034837+0.00016598i
-0.00035234+0.00056889i,0.0005452+0.00047359i,0.00041163+0.00040739i,8.7161e-05+0.00060723i,0.00042422+0.00044217i,-0.00019705+0.00031138i,-0.00083944+0.00014274i,-0.00050331+2.8593e-05i,-0.00035073+0.00056758i,0.00022309+0.00075294i,0.00013761+0.0006661i,-0.00026349+0.00033178i,-0.00056339-0.00012771i,-0.00024617-0.0003996i,0.00017942-0.00048389i,0.00024557-0.0005974i,-1.3004e-05-0.0002848i,-8.9101e-05-0.00048114i,0.00038667-0.0003939i,-4.9244e-05-0.00034091i,-0.00035294+0.00036469i,-0.00039163+0.0011823i,-0.00065018+0.00061514i
-0.00043803+0.0013251i,7.4599e-06+0.0019046i,0.0011956+0.0027514i,0.0024119+0.0011906i,0.002055+0.00013902i,0.00064843-8.4879e-05i,-3.7782e-05+4.7853e-05i,4.6506e-05+0.00012332i,0.00028509+0.00052622i,9.3141e-05+0.00055174i,0.00060771-0.00031376i,0.0013315-0.00068855i,0.0006955-0.00049959i,-0.00052472-5.7866e-05i,-0.0011518+0.00065254i,-0.00081422+0.0011222i,-0.00034119+0.00061747i,-6.6266e-05-0.00049497i,-0.00013686-0.0010245i,-0.0003633-0.00014543i,-0.0005047+0.0010422i,-0.00041622+0.00097193i,1.7726e-05+0.00017161i
0.00094496+0.00021662i,0.00069244+0.000359i,0.001317-0.00033989i,0.0012801-0.0020217i,0.00029382-0.0023216i,-0.00025669-0.0016503i,0.0002125-0.00088507i,-0.00010625-0.00020891i,2.0124e-05+0.00053111i,0.0006661+0.0011153i,0.00042761+0.00038539i,7.0419e-05-0.00010294i,-0.00033193+0.00010284i,-0.00043715+0.00014218i,0.00037155-1.2246e-05i,0.00094239+0.00032236i,0.0011859+0.0009072i,0.00077267+0.001097i,-0.00014657+0.00017717i,-0.0005652+2.3678e-06i,-0.00068304+0.00029008i,-0.00050241+0.00011953i,-0.00041599-0.00027409i
0.00032796-0.00019156i,0.0005264-1.9646e-05i,0.00054053+0.00037559i,0.00070657-0.00064801i,0.00062865-0.0015539i,-0.00039633-0.0012307i,-0.0011628-0.0011268i,-0.0010898-0.00022471i,-0.00031667+0.00067666i,0.00022302+0.0010482i,-0.00026096+0.001003i,-0.00054667+0.00044834i,-0.00081127+0.00060175i,-0.00084536+0.00046327i,-0.00052791-0.00027648i,0.00037622-4.1837e-05i,0.001429+0.00033818i,0.0010523+0.00017446i,0.00033382+0.00041829i,0.00049522+0.00036694i,0.0010712+0.00023653i,0.001096+0.00014516i,0.00054276-0.00024652i
0.00031029-0.00042211i,0.0010512-0.0012423i,0.00098567-0.0012506i,-0.00027463-8.2371e-05i,-0.0004807+0.00026441i,0.00030662-0.00065625i,0.0011651-0.0012129i,0.0015359-0.00079829i,0.00025088-0.00031909i,-0.00041286+0.00039229i,5.2991e-05+0.00083253i,0.00050125+0.0008422i,0.00074876+8.3779e-05i,0.00058938-0.00053623i,0.00054452-0.00062625i,0.00035955-0.0010859i,0.00018626-0.00086859i,-0.00020089-0.0002006i,-0.00098739-8.2973e-06i,-0.00079185-0.00019787i,-0.00054038-7.4142e-05i,-0.00075213+0.00014513i,-0.00071337+1.3298e-05i
-0.00038258+0.00034202i,-0.00037639+0.0017915i,9.1831e-05+0.0029645i,1.7971e-05+0.0030755i,0.00011527+0.0024964i,0.0010762+0.00091174i,0.00054946-0.0010848i,-0.00059114-0.0010267i,-0.00098145+0.00039451i,-0.0001933+0.0017421i,0.00043674+0.0021308i,0.00041387+0.00073848i,4.8378e-05+0.00034261i,-3.0241e-05-0.00010191i,0.0005748-0.00076126i,0.00067289+0.00027379i,9.2216e-05+0.0010436i,0.00033051+0.0001538i,0.00045185-2.95e-05i,4.5835e-05+0.00023883i,-0.00036018+0.00034242i,-6.17e-06+0.00053449i,0.00059919+9.6599e-05i
-0.00026335+4.4524e-05i,-0.00041984-0.00045328i,-0.00038607-0.00060962i,0.00012653-0.00057424i,8.2767e-05-0.00025234i,-3.5512e-05+0.00049601i,-0.00023242+0.001094i,-0.00058189+0.0009883i,-0.00053903+0.00095146i,-0.00048536+0.001431i,0.00020975+0.0019594i,0.00015001+0.0014473i,-0.00078971+0.00073654i,-0.0011202+0.00017537i,-0.00090802+0.00051506i,-0.00033972+6.8362e-05i,0.000198-0.00053466i,-0.00017926-0.00029953i,-0.00038144-0.00014862i,-1.3445e-05+0.00011576i,-1.423e-05-0.00012871i,-0.00017419-0.00065581i,0.00030876-0.00020241i
0.0010203-0.0011063i,0.00033818-0.0016514i,-0.00038935-0.0023811i,-0.0011991-0.0017748i,-0.001147-0.00050857i,-0.00042168+0.00027483i,-0.0002138+0.00038353i,0.0001039+0.00023193i,0.00064381-0.00030651i,0.0011162-0.00064163i,0.00085188-0.00030167i,0.00058011+0.00083585i,0.00057895+0.00063805i,0.00063048+3.9172e-05i,0.000124+0.00033307i,-0.00025227+0.00043065i,0.00013399+0.00059309i,-0.00040196+0.00044249i,-0.00029263-0.00030434i,-4.9665e-05-0.0003588i,1.2236e-05+4.8289e-06i,-3.5609e-06-1.261e-05i,-0.00058192+1.8362e-05i
0.00080297-0.00027172i,0.0015547-0.00015734i,0.0020292+9.1562e-06i,0.0006903-0.00094138i,-0.00039883-0.0014745i,-0.00047081-0.0018894i,-0.00071156-0.0019713i,-0.0004684-0.00089469i,-0.00030941+0.0003002i,-4.2354e-05+0.00088762i,0.00085258+0.00043467i,0.0012095-0.00011334i,0.00055794-2.0977e-05i,0.001058+0.00047534i,0.0016197+0.00074667i,0.0004277+0.0003668i,-0.00075899-0.00031372i,-0.00073153-0.00038422i,-1.8557e-05+0.00046251i,0.00042096+0.00088259i,-0.00018964+0.00022821i,-0.00073685-0.00039717i,-0.00029203+2.3221e-05i
-0.00012575+0.00080369i,-0.00073715+0.00086592i,0.0002458+0.0006969i,0.00024813+0.00013505i,-0.00098553-0.00015817i,-0.0014862-0.00056044i,-0.0013988-0.0003029i,-0.0013641+0.00060445i,-0.00095413+0.00064632i,-1.2459e-05+0.00022124i,0.0005869-7.2627e-05i,0.00065555+0.00062517i,0.0006065+0.0012497i,0.00064174+0.00030052i,0.00091466-2.0886e-05i,0.001045+0.00020103i,0.00091599+0.00030972i,0.00016094+0.00045015i,-0.00014144+0.00033954i,0.0002139+0.00035965i,0.00033577-0.00020738i,0.00058137-0.0007663i,0.00071719-0.00056697i
-0.0023879-0.00021201i,-0.0017939+0.00010029i,-0.0012967+0.00035367i,-9.5747e-05+0.00050742i,0.00099776+0.00062362i,0.0013734+0.00035098i,0.0014209-0.00026854i,0.0010086-0.00077118i,0.00070511-3.3296e-05i,0.00074752+0.00058i,0.00064428+0.0010122i,-0.00022644+0.00073564i,-5.7503e-05-0.00019579i,-0.00028253-0.00056912i,-0.00071386-0.00053794i,-0.00031628+0.00023395i,-0.00030739+0.00074359i,0.00014723+0.00032676i,0.0001539+0.00037336i,-0.00033872+0.00048917i,-5.4776e-06+0.00034602i,0.00038487+0.0003951i,-0.00017871+0.00065634i
-0.00023013+0.000221i,3.4938e-05-0.00048493i,2.5376e-05-0.00035738i,4.9453e-06+0.00017851i,4.9971e-05+5.9143e-05i,0.00045498-0.00053039i,-3.8023e-05-0.00078386i,-0.00076217-0.00077386i,-0.00066257-7.1685e-05i,-0.00049031+0.00037231i,-0.0003888+0.00020733i,-0.00033692+7.0501e-06i,-0.00069686-0.00032404i,-0.00070261-0.00034138i,0.00017702-0.0002458i,0.00058374+1.4193e-05i,-7.0916e-05-2.5395e-06i,-8.5291e-05-0.00051186i,0.00024765-0.00076175i,0.00031388-0.0011239i,9.9449e-05-0.00079022i,-0.00037654-0.00050314i,-0.00080478-0.00068123i
-0.0007043+4.4642e-05i,-0.0011393-0.00057885i,-0.00075235-0.00074825i,0.00032419-0.00032075i,0.00023317+7.8842e-05i,-0.00064735-0.0002129i,-0.00067014-0.00052186i,-0.00037497-4.4445e-05i,2.5813e-05+6.8184e-05i,0.0001878+0.0003062i,6.1133e-05+0.00045886i,-0.00066595+0.00028747i,-0.0010698+0.00030228i,-0.00011494-0.00035045i,0.00055018-0.0010861i,-0.00010677-0.00081947i,-0.0011845-0.00028108i,-0.001849-0.00024994i,-0.0017848-0.00011033i,-0.00075884+0.00032904i,-2.794e-05+0.00035709i,-0.00039925+0.00045834i,-0.00048371+0.00027731i
-0.00043657+8.769e-05i,-0.00035051+0.00017813i,0.00072414+0.00035659i,0.00049701-0.00040689i,-0.00043945-0.0011924i,-0.00087197-0.0004134i,-0.00056083+0.00065936i,-0.00010982+0.00015089i,-0.00065445+0.00040535i,-0.00096412+0.00062179i,7.1418e-05+0.00013193i,0.00052135+0.00015671i,9.2153e-05+0.00050941i,0.00029055+0.00098908i,0.00010753+0.00074088i,-0.00041118-7.9751e-05i,-0.00038811-0.00037598i,-0.00028643-0.00062996i,-0.00032196-8.4999e-05i,-0.00082113+0.00041955i,-0.0012791+0.0001163i,-0.0008219+0.00021049i,-0.00030959-6.8466e-05i
