-0.0016433+0.00097756i,-0.0021012+0.00095086i,-0.0011478+0.0028755i,0.00034526+0.0019673i,0.00016849+0.00080193i,-0.00035822+0.00029813i,-0.00055127+0.00045342i,-0.00035218+0.0018003i,-2.2394e-05+0.0013611i,0.00022506+0.00093368i,0.00042461+0.00035068i,6.6528e-05-0.00024221i,-0.00037132+0.00014629i,-0.00077249-0.0003779i,-0.0011854-0.00049662i,-0.00092004-0.00040165i,-0.00093957+5.1793e-05i,-0.00075188-5.1807e-05i,-0.00026313-0.00027151i,4.2738e-05-0.00023181i,0.00028966-0.00012841i,0.00031494+0.00024124i,0.00049589+0.0001562i
-0.0012709+0.00056222i,-0.001332-7.8096e-05i,-6.5625e-05+0.00091488i,0.00053591+0.00088783i,0.00024476-0.001082i,-0.0006471-0.0019638i,-0.0013984-0.001059i,0.00011207-5.8862e-06i,0.00091343+0.00046851i,0.00037741+0.00020813i,0.00029884+0.00027608i,-0.00014454+0.00043952i,-0.00076173+0.00041878i,-0.0009081+0.00038139i,-0.00063944+0.00086153i,0.00012758+0.0014297i,0.00051417+0.0010572i,4.8302e-05+0.00068412i,0.00023286+0.00018242i,0.00054428-0.0001525i,0.00013396-0.00011383i,9.3663e-05+1.7157e-05i,6.8383e-05+0.0002844i
-0.00041816-0.00014209i,0.00098115+0.00030576i,0.0016396+0.00088162i,0.00037734+6.9538e-05i,-0.00027679-0.00027244i,7.1798e-05-0.00022543i,-8.9485e-05-0.00034985i,-0.00069148-7.0598e-05i,-0.00097515+0.00060087i,-0.00049183+0.00061082i,7.4266e-05-0.0001548i,0.00023849-1.2536e-05i,6.6184e-06-7.5141e-05i,-0.0002741-0.00051977i,-0.00040288-0.00013085i,-0.00029728-7.5528e-05i,-0.00053396-0.00049544i,-0.00089226-0.00029944i,-0.00050021+0.00040388i,-0.00069332+0.0006733i,-0.00066699+0.00031753i,0.00034697+7.681e-05i,0.00042456-0.00035667i
0.0010565-0.0011594i,0.00058513-0.0010209i,0.00049576-0.00080862i,0.00036841-0.00040951i,0.00044287-0.00041599i,0.00022123+3.7611e-05i,-0.0007382+0.00044484i,-0.00067282+0.0004503i,5.1623e-05+0.00039788i,0.00043978+0.00041078i,0.00010534+0.00041156i,8.1468e-05-0.00012003i,0.0001402+0.00016573i,0.0001265+0.00080187i,2.658e-05+0.00063211i,8.9306e-05+0.00019385i,0.00060675-1.4812e-05i,0.00082233+6.2246e-05i,0.00073081+0.0001816i,-1.727e-05+0.00050029i,-0.00029444+0.00083548i,0.00012377+0.00037751i,0.0006791+0.00049755i
0.00064293-0.001479i,-0.00038757-0.00057328i,-0.0015889-0.00049579i,-0.0018457-0.00049976i,-0.0015767+0.00035404i,-0.0002363+0.0008165i,0.00099276+0.00058282i,0.00065424+0.00013029i,-0.00025092-0.00027794i,-0.00089192-0.00041368i,-0.00068288-0.00019445i,-0.00082361+0.00014494i,-0.00054159-1.6679e-05i,0.00028784-0.00013818i,-0.00040313+0.00026034i,-0.00060756-0.00030776i,-0.00053061-0.0011291i,-0.00087768-0.00080923i,-0.00081984-0.00072835i,-0.00019934-0.00048605i,0.00053011+0.00046133i,0.00087443+0.00074274i,0.000657-0.00021189i
-0.00079606-0.0002718i,-0.0011812-0.00015249i,-0.0018558-0.00025292i,-0.0021402+4.3731e-05i,-0.001609+0.00056565i,-0.00053455+0.00033227i,0.00041192+0.0002975i,0.00081955+0.0007089i,0.00060691+0.00053701i,-9.046e-05+0.00031951i,-0.00059949+0.0005994i,-0.0010329+0.00079723i,-0.0011339+0.00086737i,-0.00093683+0.00098683i,-0.00039025+0.00083567i,0.00042678+0.00031481i,0.00037987-0.00034255i,-0.00059928-0.00038898i,-0.0012728-0.00033722i,0.00017878-0.00044003i,0.00095129+9.4106e-05i,0.00075881+0.000173i,0.00025472-0.00034254i
-0.0013937+0.0011103i,-0.0007092+0.0017967i,-0.00022381+0.00078334i,0.00081233+0.00011119i,0.0012609-0.00023152i,0.00011058-0.00031385i,-0.00042711+0.0008107i,0.00010301+0.0014484i,0.00015225+0.001102i,-3.9951e-05+0.00088164i,6.1475e-05+8.0025e-05i,0.00015548-0.00031684i,-0.00025236+9.0899e-05i,-0.00025281+0.00025852i,9.1417e-05+0.0006587i,0.00024852+0.00081814i,-0.00035025+0.00070922i,-0.000657+0.00071601i,-0.00051591+0.00089048i,-0.00074602+0.0010364i,-0.00079127+0.00083458i,-0.00024191+1.6391e-05i,0.00037906-0.0010685i
8.0908e-05-1.9502e-05i,2.4552e-05+4.6049e-05i,-0.00057504+6.4206e-05i,-0.00094879-0.00085375i,-0.00067698-0.00076738i,-0.00071393-0.00020814i,-0.00066316+0.00014096i,-0.0011626-0.0004679i,-0.00058205-0.0012257i,0.00021565-0.0006416i,-0.00030768+0.00034415i,-0.00088781+0.0006501i,-0.00036853+0.00071194i,0.00041069+0.00098037i,0.00036828+0.00043366i,0.00015877-0.0001661i,0.00074449-0.00026069i,0.00031164-1.1789e-05i,-0.00047995+0.00023825i,-3.68e-05+0.00030536i,-0.00038008+0.00011987i,-0.00023305-0.00034651i,0.00032378+0.00011206i
-0.00041921-0.0011448i,-0.0013695-0.00066679i,-0.0007948+0.0016712i,-0.00022857+0.0019116i,0.00017563+0.0004486i,0.00010015-0.00014633i,-0.00013626-0.00038643i,0.00046909-0.00021364i,0.0011828+0.00042812i,0.00029675+0.00015725i,2.5466e-05-0.00013605i,0.00053468-0.00012321i,0.00047354-0.00020152i,-0.00020468+0.00052991i,-0.00048469+0.00010802i,-0.00042262-0.0010093i,-0.00042513-0.0012666i,-0.00060015-0.00063431i,-0.00082419+7.2534e-05i,-0.00052668+0.00038881i,-9.2748e-07+0.00079673i,-4.6964e-05+0.00089692i,-0.0001408+0.00020572i
-0.00024883+0.0015866i,-0.00072736+0.0016498i,0.00032389-0.00042051i,0.001008-0.0013253i,-6.4173e-05-0.00090827i,-0.00027672-0.0013351i,0.00055734-0.0012268i,0.00010345-0.0003631i,-0.00075239+0.00035413i,-0.00087376+0.00058702i,-0.0008754+7.763e-05i,-0.0011192+0.00015241i,-0.0014358+0.00027821i,-0.00098633+0.00024918i,-0.00052061+0.00050834i,-0.00018669-6.6851e-05i,0.00026056-0.00054368i,-0.00012038-0.00014441i,-0.00030321+0.0007217i,0.00024325+0.00070231i,-0.00034876+0.00079143i,-0.00074533+0.00077475i,-0.00063497+0.00029184i
-0.00011222+0.0012338i,0.00057123-6.3802e-05i,0.00036457+0.00079358i,0.00033003+0.0016455i,0.00097183+0.00027843i,-0.00010619-0.0011472i,-0.0012472-0.00014318i,-0.0010871+0.00084069i,0.00026804+0.00042902i,0.00088174+0.00012014i,0.0010465-0.00048923i,0.0002808-0.00065511i,-0.0012551-0.0006442i,-0.0004105-0.00061499i,0.0010448+0.00030147i,0.0014886+0.00043628i,0.001086-0.00028132i,0.00061016-0.00048736i,0.00054256-0.0003128i,0.00072981-0.00088368i,0.00092909-0.0014534i,0.0013288-0.00094725i,0.00095736-0.00061905i
