-0.0011693-0.00047738i,-0.0014123-0.0004916i,-0.0019354-1.734e-05i,-0.0020633-0.00010262i,-0.0012455-0.00016267i,-0.00034185+0.0011189i,0.00036585+0.0018158i,0.0017516+0.0016163i,0.0021385+0.00027301i,0.0013857-0.00037329i,-0.00033335-0.00040883i,-0.0012652-0.00056719i,-0.0002333-0.00018688i,0.0004959+0.00093287i,-0.00053942+0.00031625i,-0.00025663-0.00082528i,0.00048389-0.00040927i,0.00083037+0.0001042i,0.00073819+0.00045413i,0.0001791+0.001251i,-0.00018065+0.00094993i,9.7683e-05-0.00025774i,0.00051032-0.00083376i
0.0014253+0.0024438i,0.0015915+0.0022818i,0.0026873+0.001372i,0.0034149+0.00034337i,0.0022128-0.00018756i,0.00010319-0.0009773i,-0.00035163-0.00042948i,-0.000197+4.2836e-05i,5.6685e-05-0.00015965i,0.00088459-0.00062137i,0.00089683-0.0011304i,-0.00027277-0.000894i,-0.00060812-0.0002792i,0.00017582-5.1001e-05i,-0.00050777-0.00091083i,-0.00060806-0.00097569i,1.8617e-05+0.00017793i,-0.00027149+0.00051139i,-0.00019341-0.00044002i,0.00032172-0.00068097i,0.00018073+5.2522e-07i,0.00029965+0.00034186i,0.001051-0.00020709i
0.0015142+0.0013809i,0.0018243+0.0015173i,0.0012596+0.00053258i,0.00097384-0.00060851i,0.00079596-4.0012e-05i,0.00058941+0.00040261i,0.0008761+0.00033743i,0.00063532-0.00011996i,-0.00010982-0.00082492i,6.3457e-05-0.0013057i,-0.00024914-0.00074477i,-0.001146-0.00024056i,-0.0012103-0.00018822i,-0.00085665-0.00019091i,-0.00033992-0.00075154i,-0.00010647-0.00016091i,-2.1424e-05+0.00072555i,-0.00046898+0.0010931i,-0.0011264+0.00062958i,-0.00035625-0.00012175i,0.00072002-0.00055206i,0.0007985+0.00012064i,0.00033101+0.00054022i
-0.00076306-0.0013762i,-0.0028133+2.4171e-05i,-0.0018981+0.0010984i,-0.00098806+0.00082127i,-0.00090442+0.00046102i,-0.000209+0.00013527i,1.8538e-05+0.00017067i,-0.000389-0.00013041i,-0.00066796-0.00019415i,-0.00045917+0.00033458i,0.00013441-0.00016834i,0.00024965-0.00021327i,0.00017524-0.00020696i,0.00082031+0.00037611i,0.0010234+0.00097986i,0.00082984+0.00025825i,0.00031764+0.00057768i,0.00024725+0.00097266i,-7.3715e-05+0.00052099i,-0.00090796-0.00049713i,-0.00062023-0.00066242i,-6.1128e-06+0.00026215i,0.00027346+0.00074317i
0.00053488+0.0016369i,0.00023312+0.00079283i,0.0010392-0.0007973i,0.0012843-0.0016197i,0.00057236-0.0018382i,0.00031249-0.0017045i,0.0010993-0.0012591i,0.0012432-0.00025836i,0.00049558+0.00013812i,0.00057814+4.4729e-05i,0.00034454-0.00045463i,-0.00040916-0.00098244i,-0.00023207-0.00024169i,-2.061e-05+0.00032532i,-0.00078654-0.00011843i,-0.0011439-0.00072503i,-0.00064429-0.0004397i,-0.00048509-0.0003764i,-0.00024443-0.00062841i,-0.00057697-0.00025595i,-0.00086665-0.00021733i,0.00014125-0.00021623i,0.00045741-2.4844e-05i
-0.0014164+0.00043337i,0.00073467+0.00075659i,0.0011685+0.00061601i,-1.3883e-05+0.00031423i,-0.00020315+0.0008839i,-0.00021707+0.00060478i,-0.00012094+0.00088638i,-0.00022071+0.001143i,-8.283e-05+0.00022325i,0.00015595-0.00027396i,0.00011902-0.00040542i,0.00012846-0.0002455i,0.000165-0.00075579i,-0.00037693-0.0015042i,-0.0012445-0.00107i,-0.0012271-0.00027379i,-0.00043923-0.00031795i,0.0002346-0.00023485i,-0.00037441-0.00024924i,-0.000533-0.00065965i,4.1772e-05-0.00018042i,0.00017705+0.00073008i,-0.0001047+0.00067311i
0.00026135+0.00065922i,0.00043624+0.00064854i,0.00033096+0.0015306i,0.00097371+0.0014279i,0.0013385+0.00098019i,0.0010018+0.0013927i,0.0013838+0.0014371i,0.0012791+0.00040472i,0.00065335-0.00025981i,0.00025245+0.00021844i,-0.0006835+0.0008277i,-0.00093111+0.00072474i,-0.00025659+0.00069151i,0.00011251+0.00058213i,0.00022277+3.9029e-05i,-4.1381e-05+0.00040194i,-5.5659e-05+0.00045111i,0.0002023+0.00022311i,-0.00015935+0.00046095i,-0.00030675+0.00041426i,-0.00069952+0.00035056i,1.589e-05+0.00025724i,0.00084268+0.0001815i
0.0020796+0.0001056i,0.0025632-0.00033141i,0.0021378-0.00089626i,0.00058996-0.00093116i,0.0002712-0.00041187i,0.00015709-5.9821e-05i,0.00012148+0.00028154i,0.00027818+0.00029887i,0.00024483-0.00030849i,0.00039889-0.0006532i,0.00038557-0.00096477i,-0.0002753-0.0010214i,-0.001125+0.00069614i,-0.002099+0.0016568i,-0.002144+0.0010786i,-0.0009946+0.00016142i,-9.1756e-05+1.1039e-05i,0.00024408+0.00069287i,0.00047127+0.00063453i,0.00092984-0.00025927i,0.0010735-0.00075439i,0.00050237-0.00065015i,0.00026879-0.00041228i
0.00031352+0.0026402i,0.0016872+0.0012328i,0.0024342-0.00016395i,0.0016455-0.001185i,0.00016694-0.0016551i,-0.0014697-0.0008403i,-0.000653+0.00029539i,0.00064437+0.0010369i,-0.00015734+0.0010054i,-0.00028762-0.00023806i,-0.00039121-0.00097659i,-0.00064959-0.0007589i,-0.0007608-0.0001156i,-0.0012698+6.7202e-05i,-0.0019553+7.28e-05i,-0.0018015+0.00028183i,-0.0010578-7.0086e-05i,-0.00055947-0.00016545i,-0.00017884+0.00033751i,-4.23e-05+0.00013305i,0.00017528-0.00028017i,0.0001164-0.00017327i,-0.0009262+0.00026849i
0.0008082-0.0014405i,-0.00058965-0.00069402i,-0.0012026-0.00060176i,-0.00099568-0.00037694i,-0.0014801-0.0005706i,-0.0014092-0.00024706i,-0.00021634+0.00043638i,0.00043319+0.0012261i,-0.0001282+0.00091418i,-0.0012812+4.3902e-05i,-0.0015059-0.00017001i,-0.00035556-0.00011583i,0.00057948+0.00041787i,0.00063199+0.00088072i,0.00032189+0.0010229i,-1.649e-05+0.0003412i,-0.00034955-0.00089018i,-0.0004285-0.001057i,-0.00050649-0.00084084i,-0.00063142-0.00023i,-0.00014905+0.0003978i,0.000554+8.4524e-05i,0.00085158-0.00011088i
0.0016755-0.0021853i,0.001106-0.0036592i,0.00041355-0.0036745i,-0.00038617-0.0019576i,-0.00078242-0.00014423i,-0.00039218+0.00040397i,0.00031642+0.00050484i,0.00088578+3.1364e-05i,0.00015724-0.00010819i,-0.00087132+0.00050626i,-0.0010083+0.00024751i,-0.0014015-0.00045355i,-0.0012108-0.00033903i,-0.00038144+0.00021768i,1.8804e-05+0.00010308i,-0.00038321-0.00013744i,-0.0011697-0.00064002i,-0.00067544-0.0011061i,0.00078661-4.8631e-05i,0.0008432+0.0010775i,0.00029263+0.00032617i,0.00019874-0.00072904i,4.1971e-05-0.00050659i
