-0.00087211+0.00060633i,-0.0011246-0.00034264i,-0.0015711-0.0012092i,-0.0011533-0.0010179i,-0.00094835+0.00073338i,-0.00086786+0.0019359i,-0.00013005+0.0018111i,0.00045189+0.00062278i,0.00092986-0.00032821i,0.0011838-0.00020911i,0.0004436-1.2101e-05i,-0.00014979-0.00043569i,-0.00076313-0.00033465i,-0.0008455+0.00055351i,-0.00064212+0.00048997i,-0.00087505-4.3948e-05i,-0.00064687-0.00012695i,-0.0002193-0.00053123i,0.00015111-0.00087601i,-1.5718e-05-0.00053469i,-8.7257e-05+0.00032298i,8.4731e-05+0.00045962i,-3.5105e-05+0.00041557i
0.00070692+0.00011581i,0.00021471-0.00091494i,-1.5135e-05-0.00075492i,-0.00030486+0.00042422i,0.00015407+0.00022297i,0.0011967+0.00033358i,0.0010558+0.00087919i,0.00041002-0.00023416i,0.00089092-0.0012367i,0.00082354-0.0010043i,4.7572e-05-0.00056834i,-9.8121e-06-1.754e-05i,0.00066052+0.00049724i,0.00077781+0.00068324i,0.00042572+0.00011302i,0.0001923-0.00035671i,-0.00049423+0.0001795i,-0.00097304+0.00040231i,-0.00099519+0.00021257i,-0.0014371+0.00085788i,-0.0011644+0.00058311i,-0.00068597+3.5665e-05i,2.9539e-05+7.2745e-05i
0.0006078+0.0017173i,0.0011098+0.0017902i,0.0011034+0.0018607i,0.0011528+0.0013338i,0.00124+0.00077143i,0.00083424+0.00019227i,0.00101-0.00063159i,0.00084077-0.001337i,-1.2149e-05-0.0012345i,-0.00052862-0.00015317i,0.00020256-0.00016491i,0.00078122-0.00078924i,0.00045153-0.0011565i,-0.00021683-0.00091074i,-0.00027786-0.00047202i,-0.00030311-0.00034985i,-0.00032372-0.0003209i,0.0004651-0.00041165i,0.0004867-0.00047674i,-5.2131e-05-0.00029588i,0.00045236+0.00032088i,0.00033408+0.00091078i,4.3579e-05+0.00070966i
-0.0013776-0.00074999i,-0.0012218-8.5206e-06i,-0.0012077+0.00046604i,-0.0017531+0.0010461i,-0.00087624+0.0019349i,0.0011167+0.0021625i,0.0013906+0.00099368i,0.001096+0.00024838i,0.00073134+0.00065614i,-8.632e-05+0.00076513i,-0.00042587+0.00037446i,1.1339e-05+0.00017412i,0.00041016+0.00025778i,0.00033195+0.00025699i,0.00035143+0.00016194i,-9.8825e-05+0.00044945i,-0.0010843+0.00015767i,-0.001161-0.0005105i,-0.00033802-0.00023846i,-0.00044344+0.0009438i,-0.00030126+0.00096178i,0.00074662+0.0006328i,0.00094016+0.00035787i
-0.0024523-0.00059474i,-0.0022959-0.00022389i,-0.001525-0.0010603i,-0.00057929-0.00093234i,-0.00093112-0.00012804i,-0.00041878+0.0002608i,0.00072721+9.2517e-05i,0.00069357+5.5804e-05i,0.00034142-0.00040855i,0.00029003-0.00079282i,0.00068237-0.00046682i,-4.6824e-05+0.00019278i,-0.0002167+0.00064261i,0.00059036+0.0001271i,0.00065552-0.00011686i,0.00020584+0.00026362i,-0.00013761-0.00036195i,0.00014424-0.00073585i,0.00062355-0.00064363i,0.00070042-0.00045385i,0.00038501-0.00049673i,-0.00027832-0.00030977i,-0.00041779+1.3237e-05i
-0.0010735-0.0020178i,-0.0013222-0.0020984i,-0.00040945-0.0019189i,-0.00026622-0.00044596i,-0.00024016+0.00087627i,-0.00022406+0.00085113i,-0.00036478+0.00014232i,-9.3594e-05-0.00010826i,4.5825e-06-0.0004487i,5.6454e-05-0.00046098i,0.00033152+0.00030434i,0.00060289+0.00090167i,0.00015318+0.00038262i,3.5653e-05+5.5092e-06i,0.00018055+0.00032633i,-0.00032562-0.00010685i,-0.0012123-0.00084957i,-0.0019162-0.00069217i,-0.0010648-0.000515i,-0.0001736-1.3226e-05i,-0.0004302+0.00090987i,3.6145e-05+0.00060161i,9.7076e-05+0.00016233i
0.0022727+0.0010483i,0.0014993-0.00038699i,0.0018225-0.001101i,0.0019256-0.0010674i,0.0016538-0.0011372i,0.00094761-0.0007949i,0.00060828-0.00062195i,0.00078374-0.00055808i,0.0012386-1.4893e-05i,0.0010538+0.00029829i,0.00018087-0.00030807i,-0.00038892-0.00014673i,-0.0010534+0.00054609i,-0.001499+0.00044165i,-0.0010964+0.00054025i,-0.00082278+0.00062935i,-0.00064235+0.00041086i,-0.00041123-0.00017466i,-0.00052124-0.00079734i,-0.00025192-0.00079799i,-0.00019961-0.00011407i,-0.00033155+0.00078148i,-0.00025461+0.00062409i
0.00041566+0.0018256i,0.0007463+0.0016423i,0.00080588+0.001117i,0.00023899+0.00071734i,6.1592e-05+0.0010129i,-0.00018081+0.0010042i,-6.6655e-05+0.00035342i,-0.00014145-0.00068757i,7.5512e-06-0.0010575i,0.00076432-0.0006384i,8.9257e-05-0.00067887i,-0.00093942-0.0003296i,-0.00068401+3.5016e-06i,-0.00030033-7.4638e-05i,-0.00042529-0.0001377i,-0.00056792+0.0010094i,-0.00025005+0.00086315i,-0.00030189-6.9795e-05i,-0.00052985-0.00037719i,-0.00063803-0.00040752i,-0.00050813-7.3335e-05i,-0.00038679+0.00020321i,-0.00016629-7.1967e-05i
-0.001851+0.00066201i,-0.0013785+0.00064929i,-0.00071+0.0010021i,6.3524e-05+0.00081334i,0.00036112+0.00031096i,0.0013233+0.00028346i,0.002096-0.00019506i,0.0014142-0.00036148i,0.00069041+0.00034117i,0.00019226+0.00096075i,-0.00038136+0.0011313i,0.00024776+0.00086965i,0.00076134+0.00057201i,0.00047116+0.00015387i,0.00068339+1.1078e-05i,0.0012093+0.00038966i,0.00039956+0.0005829i,-0.00074421+0.00058724i,-0.00043563+0.00080025i,9.6263e-05+0.00029563i,-0.00015797+0.00024628i,-0.00024549+0.0006454i,-0.00014169+0.00026659i
-5.5681e-05+0.00067232i,0.0010276+2.8861e-05i,0.0013233-0.00058616i,0.00096513-2.9358e-05i,0.00027613+0.00086152i,0.00031697+0.00073079i,0.00040172-0.00023229i,-4.6184e-05-0.00022716i,-0.00070634-0.00046584i,-0.0011846-0.00018535i,-0.00060306+0.00043219i,0.00019256+0.00029325i,-0.00017087-0.00019402i,-0.00075053-0.00085423i,-0.00042745-0.0014963i,-0.000494-0.0011273i,-0.00066932-0.00065211i,-0.00079268-0.0005724i,-0.00080199+0.00036313i,-0.00077885+0.00094533i,-0.00075197+0.00018592i,-0.00071289+0.00010483i,-0.0010697+0.00059235i
-0.00046031+0.0012282i,-0.00024357+0.00057704i,0.00045677+0.00062711i,0.0001054+0.0021221i,-0.00085992+0.0023079i,-0.00051843+0.0007835i,0.00061002-0.00057822i,0.0010457-0.0013582i,0.00073981-0.0017091i,-0.00021494-0.0010511i,-0.00066523-0.00024948i,-0.0008863+0.00014527i,-0.0008698-4.6994e-05i,-0.00010259-0.00046848i,-5.0139e-05-4.0133e-05i,-0.00042525+8.4352e-05i,-0.00027632-4.6611e-05i,-0.00036519+0.0003566i,-0.00050673+0.00058552i,-7.5213e-05+0.0001881i,0.00071151-0.00035564i,0.0008013+4.265e-05i,0.00044084+0.0007363i
0.0016558-0.00031302i,0.0014066-0.00019965i,0.00054456-0.00086693i,-0.00091652-0.0015651i,-0.000896-0.00093897i,0.00029818-0.00090284i,0.0011183-0.001217i,0.0010615-0.00045362i,0.00022018-0.00047751i,-0.00052704-0.0010357i,-0.00047454-0.0012231i,0.00017848-0.00054654i,0.00042899-5.7214e-05i,8.7538e-05+0.00034744i,-9.8305e-05+0.00057638i,-0.0001732+0.00014661i,-0.00017582-0.00032288i,-5.857e-05-6.4925e-05i,0.00054899+0.00066735i,0.0012008+0.00027725i,0.00059622-0.00036841i,-0.0001078-0.0010157i,-0.00019389-0.001121i
0.0017096+0.0016084i,0.0014623+0.00059707i,0.0010777+0.00012955i,0.00069204+0.00010827i,0.00061331-0.00024456i,0.0005197-0.00025915i,0.00058466-0.00039292i,0.00071426-0.0010169i,0.00039251-0.0010131i,-1.9971e-05-0.00033088i,-6.4361e-05-0.00021161i,0.00011678-0.00040983i,0.00019815-0.00026286i,-0.00032992+1.6178e-05i,-0.00056292+0.00025728i,-0.0001791-4.5831e-05i,-8.9216e-05-0.00068651i,-0.00048558-0.00057183i,-0.00062659-0.00035691i,-0.00045812+3.5255e-05i,0.00020564+0.00044195i,0.00072513+0.00029573i,0.0002765+7.2995e-05i
-0.0020764+0.0011761i,-0.0017252+0.00095805i,-0.0020824+0.0014485i,-0.0013913+0.0017986i,0.00029103+0.0012006i,0.0013142+0.00048751i,0.00073528-0.00070781i,-0.00024-0.0014898i,-0.00010044-0.00085666i,0.00026676+2.5998e-05i,-0.00026193+0.00056514i,-0.00051975+0.00066684i,0.00040794+0.00018494i,0.001109+0.00019457i,0.00054191-3.7762e-05i,4.8766e-05-0.0004749i,-0.00041955-0.00058819i,-0.0010827-0.0003688i,-0.001336+0.00011332i,-0.00045853+0.00076628i,0.0006687+0.00095228i,0.00082854+0.00075168i,0.00080056+0.00033796i
8.4504e-06-0.0022715i,-0.00047109-0.0015026i,-0.0011998-0.0012806i,-0.0013647-0.00028436i,-0.00079997+0.0010869i,-0.00081686+0.00074645i,-0.00054107-0.00069802i,0.00012779-0.0011467i,0.00038098-0.00094573i,5.1949e-05-0.00038287i,-0.00037922+0.00012763i,8.0469e-05+0.0003503i,0.00048896-8.9135e-05i,0.00016504-0.00051445i,-0.00049848-0.00059622i,-0.00056129-0.00046905i,-0.00015145-0.00045444i,0.00017958-0.00065592i,-0.00013361-0.00043263i,3.3215e-05-0.00052635i,0.00098589+0.00027555i,0.00063328+0.00077943i,-0.00016166+0.00015423i
-0.00078088-0.00075617i,-0.0010593-0.0012594i,-0.00045278-0.001556i,-0.00048781-0.0007383i,-0.00052505-0.00033411i,0.00054082-0.00020342i,0.001279-3.4887e-05i,0.001695-0.00084223i,0.0017453-0.00096736i,0.0011251-0.00082917i,0.00051675-0.00075997i,0.00010335-0.00043988i,-0.00050561-0.00015773i,-0.00011483+0.00046093i,0.00019798+0.0010126i,-0.00072309+0.00069821i,-0.00094219-6.8818e-07i,-0.00066793-0.00023416i,-0.00010259+0.00034556i,0.00073231+0.00046546i,0.00054734-0.00014922i,0.00013011-0.0002162i,-5.5147e-05+0.00014848i
0.0018385+0.00018622i,0.0015091-0.00029975i,1.8016e-05-0.0001889i,-0.0007885+0.00024195i,-0.00041128+0.0002679i,3.8884e-05+0.00053185i,0.00032976+0.00022691i,0.0004839-0.0003861i,0.00035426-0.00073923i,-0.00017677-0.00060126i,-0.00021915-0.00079277i,-0.00014069-0.00015905i,-0.00048873+0.00063826i,-7.3481e-05+0.0004455i,0.00089351+0.00061409i,0.0003521+0.00071568i,-0.00027389+0.00039369i,-0.00029996+0.00039538i,4.0531e-05+0.0010847i,0.00088644+0.00090982i,0.00099974-0.00020664i,0.00074459-0.00028316i,0.00013886+0.00048537i
0.00058844-0.00084627i,-0.00028169-0.0014488i,-0.0016461-0.0021757i,-0.0012817-0.002255i,-0.00074003-0.0013395i,-9.6695e-06+1.7508e-05i,0.00080867-0.00024855i,0.00062771-0.0015194i,0.0001342-0.0010837i,0.00016137-0.00048203i,7.9662e-05-0.00011707i,-0.00032957+4.6972e-06i,-0.00037493-0.00042642i,-0.00055323+0.00020271i,-0.001057+0.00094833i,-0.0002359+0.00046355i,-1.2353e-05-2.2341e-06i,-0.00071346-0.00059045i,-0.0002036-0.00078863i,0.00052465-0.00034747i,0.00072409-0.00031526i,0.00048234-0.00039881i,8.6435e-05-0.00034549i
