-0.00020833+0.00041403i,0.00034017-0.0010238i,-0.001166-0.00086402i,-0.0028607-0.00025042i,-0.0026025-0.00053057i,-0.0015124-0.00024005i,-0.0011147+0.00061073i,-0.0001699+0.00051207i,0.00060522+0.00013515i,0.00034184-0.0005426i,9.4067e-05-0.0014924i,-7.7564e-05-0.0018733i,-0.00060487-0.0015002i,-0.0012047-0.0009572i,-0.00078024-0.00077219i,-0.00082082-0.00063985i,-0.0010093-0.00080609i,-0.00059446-0.00065756i,8.3481e-05+7.4266e-05i,0.0002434+0.00023304i,0.00025128+2.9759e-05i,-9.8796e-06-0.00048304i,-0.00038555-0.0010504i
0.0035906-0.001149i,0.0037782-0.0017319i,0.0022993-0.002766i,1.4385e-05-0.0025795i,-0.002052-0.0024687i,-0.0022265-0.0019236i,-0.00028783-0.0003225i,0.00030521-0.00041465i,9.9578e-05-0.00065095i,6.7315e-06-0.00062982i,0.00031282-0.0005545i,0.00046467-3.4278e-05i,-0.00034257-0.00044105i,-0.00083307-0.00029909i,-0.00064365+0.00010877i,-0.00029339-0.00046587i,-0.00040419-0.00081625i,-0.00064454-0.0002355i,-0.00022603+0.0004313i,0.00050193+0.00050426i,0.00038886+0.00038101i,0.00022833+0.00017081i,0.00062147-9.0718e-05i
0.0018552-0.0017368i,0.0016845-0.0010412i,0.00052388-0.00088083i,-0.001388-0.00071738i,-0.0017658-0.00032346i,-0.00075722+0.00010588i,-0.00027167+0.00012945i,-0.00041555-0.00076789i,-0.00056796-0.0011294i,-0.00030033-0.00024242i,-0.00034803+0.00054164i,-0.00050568+0.00031076i,0.00017173-0.00021236i,0.00011573-5.518e-05i,-0.00073879-4.76e-05i,-0.001161-5.3258e-05i,-0.00074542-0.00035056i,-0.00019467-0.00049371i,2.6604e-05-0.00041369i,0.00010833-0.00051603i,-2.0626e-05+0.00013778i,0.00024024+0.00037773i,0.00063915-4.6238e-06i
0.0016946-0.00048109i,0.0021458-0.00099531i,0.0011244-0.0014668i,-0.00033625-0.00099961i,-0.0010868-0.00089956i,-0.0013912-0.00063569i,-0.00015192-0.00097142i,0.00050685-0.0013734i,-0.00033015-0.0015565i,-0.00060106-0.0011825i,6.5739e-05-0.00028869i,0.00088234+0.00036748i,0.0010065+0.00067948i,0.00018473+0.00046702i,-0.00026727+0.00013566i,0.00016298-0.0003256i,0.00016616-0.00011069i,0.00055553+0.0010525i,0.00047045+0.0016468i,-0.00044268+0.001001i,-0.00043175+0.00014813i,-8.7907e-05+3.5316e-05i,0.00053282+0.00034113i
0.0024024-0.0016945i,0.001393-0.001669i,3.1782e-05-0.0010764i,-0.00054917-0.00086134i,-0.00011226-0.00076004i,-2.6069e-06-0.00044665i,-9.0327e-05-0.00066131i,-2.0253e-05-0.0012052i,0.00017905-0.0010313i,0.00016413-0.0010406i,-0.00016266-0.00067171i,-0.00011302-3.8785e-05i,0.00020665-0.00022398i,0.0002265-0.00016189i,0.00011306+0.00049489i,0.00029289+0.00072126i,0.00061023+0.00013384i,0.00057168+0.00039979i,0.0002113+0.00048343i,-0.00011818-1.0391e-06i,1.8528e-05+0.00010643i,-0.00032854+0.00028387i,-0.00050021+0.00083531i
0.0011725-0.00097281i,0.0011459-0.0010896i,0.0015264-0.00014932i,0.00036656+0.00014188i,-0.00093484-0.00033484i,-0.0010317-0.00032434i,-0.00046357-0.00079i,-0.00085403-0.0010246i,-0.00031012-0.0009332i,0.00024623-0.00065664i,-0.00077667-0.00036494i,-0.0011012+0.00028959i,-0.00064715+0.00038582i,-0.00046889+0.00019151i,-0.00029576+0.00034614i,0.0002591+0.00044321i,0.0003972+0.00070588i,-0.00039227+0.00025476i,-0.00074399+0.00012983i,-0.00031725+0.0010524i,0.00039867+0.0012706i,0.00064829+0.00013536i,0.0011359-0.00056969i
0.0031721-0.00032055i,0.0032168-0.0009586i,0.0017179-0.0013891i,-0.00025135-0.0016275i,-0.0011459-0.0021286i,-0.001257-0.0017758i,-0.00027548-0.00086138i,0.00010962-0.00084802i,-0.00084476-0.00063715i,-0.00090637-7.6278e-06i,-0.00024351+0.00014539i,0.00014381-0.00062045i,-5.4832e-06-0.0014732i,4.2679e-05-0.0011914i,0.00021638-0.00010589i,-0.00068982-6.2789e-06i,-0.00064246-9.4671e-05i,8.5621e-05+0.00012299i,-9.4665e-05+0.00067267i,-0.00011522+0.00043905i,0.00050331+0.00022389i,0.0010567+0.0006605i,0.001242+0.00018251i
0.0033628+0.0011836i,0.0030988+0.0011107i,0.0012068+0.00034536i,-0.00039088-0.00069824i,-0.00085689-0.00068876i,-0.00065435-0.00059475i,-0.00072181-0.0010279i,-0.00033974-0.0013092i,0.00076482-0.00086688i,0.00058275-0.00021096i,6.2429e-06-0.00018134i,-0.00024144-0.00017449i,-0.00037614+0.00049636i,-0.0007459+0.00052744i,-0.00037173-0.0004442i,0.00012718-0.00054681i,0.00064285+0.00029461i,0.0011066+0.00039764i,0.00080335-0.00021814i,0.00039827-0.00054817i,0.00037681+8.9753e-05i,-0.00043144-3.1741e-05i,-0.00057592-0.00025418i
0.0019404+0.00082404i,0.0014515+0.0012375i,0.00044855+0.0014351i,-0.00037912+0.00090213i,-0.00035505+0.00037758i,1.5733e-05+0.00054472i,0.00014399-0.00020645i,0.00030019-0.0011257i,0.00054265-0.0013233i,0.00095609-0.00082989i,0.000474+0.00012536i,-0.00053953+0.00058258i,-0.00084089-2.4009e-05i,-0.00079602-0.00032088i,-0.00058555-0.00056862i,-0.00081425-0.00053074i,-0.00097333-7.3942e-06i,-0.00060442+0.00063165i,-0.00039685+0.00093952i,-0.00051171+0.00096415i,-0.00092391-0.00016546i,-0.00066876-0.00085033i,-0.00061951-0.00050537i
0.0012648-0.00044542i,0.00054498-0.00052488i,-0.00099165-0.0014252i,-0.0018367-0.0012886i,-0.0017026-0.00061122i,-0.0014124-0.0012739i,-0.0011527-0.0011477i,-0.00081941-0.00051559i,-0.00053296-0.00071349i,-0.0002245-0.00036166i,8.0748e-05+0.00065658i,0.00073766+0.00080922i,0.00035856+0.00039452i,-0.00015177+0.00042984i,-0.00030084+0.00014243i,-0.00030069-0.00044065i,-0.00043148-0.0008436i,-0.00089769-0.0012112i,-0.00085241-0.00093166i,-0.00063042-4.305e-05i,-0.00014285+0.00057912i,-0.00024805+0.00065235i,-0.00019755+0.00037654i
0.0013199-0.0012035i,0.0022692-0.000974i,0.0016569-0.00047877i,0.00058032-0.00056203i,0.00048767-0.00026336i,0.00079569-0.00033639i,0.00099374-0.00094343i,0.00058732-0.0013288i,0.0002374-0.0011755i,0.00044247-0.00047481i,0.00065013+2.8328e-05i,0.00043502+6.8835e-05i,0.00051717+6.3489e-05i,0.00024005+9.6905e-05i,0.00020499+4.674e-05i,0.00026311-0.00012429i,-0.00028574-0.00067894i,-0.00022776-0.00047395i,-3.1452e-05-0.0004073i,-0.00028675-0.00021629i,-0.001132-0.00011218i,-0.00092948+0.00027859i,-0.00018593+0.00029017i
