-0.0011893+0.0014734i,-0.00039054+0.00031505i,-0.0013378-0.00051103i,-0.0024851+0.00038786i,-0.0019882+0.0013144i,-0.0005238-9.4583e-05i,0.00030623-0.00073544i,0.00054067+6.3853e-05i,0.0004278+0.00089542i,0.00057541+0.00081533i,0.0006286-0.00012259i,0.00073287-0.0007702i,0.00076786-0.00054768i,0.0011126-0.0001303i,0.0013755-0.00017639i,0.00072661-0.00028423i,-0.00020348-0.00035758i,-0.00056222-0.00020745i,-0.00082352-0.00051046i,-0.00022333-0.00097977i,0.00034394-0.00034779i,0.00013675-4.2525e-05i,-0.00026607-0.00030782i
-0.00033019-0.0029348i,0.00019263-0.0028007i,-0.00089575-0.0024674i,-0.0017517-0.0018458i,-0.00049637-0.0012739i,0.0013571-0.00065541i,0.0027956+6.8031e-05i,0.00248+3.9793e-05i,0.0004453-0.00010928i,-0.00079711+0.00058939i,-0.00046791+0.0010663i,-0.0001427+0.00077674i,0.00015662+0.0010019i,0.0002077+0.0011843i,-0.00036288+0.00061493i,-0.00013025+9.3851e-05i,0.00044029-4.5034e-05i,0.00019182+0.00015152i,5.4318e-05+6.7408e-05i,-0.00015016-0.00065104i,-0.00016772-0.0010938i,0.00040306-0.0001597i,0.00077722+0.00021421i
0.00019368+0.001546i,0.00014634+0.00076075i,0.00050642-0.00031959i,0.00041611-0.0010471i,0.00019743-0.0017279i,0.00018437-0.0010972i,0.00097219-0.00025892i,0.00056336+0.00053845i,-6.7486e-05+0.00056553i,0.00052215-0.0003621i,0.0007742-0.00043686i,8.5459e-05-7.6177e-05i,-0.00048477+0.00011755i,-0.00037232+0.00030703i,-0.00070341+1.7205e-05i,-0.00070243-0.00037631i,-0.00031305-0.00020902i,-6.7098e-05+3.1031e-05i,-0.00030938+0.00011101i,-0.00037096+0.00010865i,4.3056e-05+0.0001692i,-0.00014474-0.00012691i,-0.00019577-0.00071151i
0.00011364+0.00016471i,-4.2255e-05-0.00075908i,-1.8073e-05-0.00085244i,-0.0010469-0.00063074i,-0.00070455-0.00052546i,-0.00028675-0.00084058i,0.00011927-0.0015936i,0.00012091-0.0010469i,-5.8048e-05-0.00023244i,-3.1825e-05+0.00044522i,-0.00038392+0.00068017i,-0.00082131+0.00020252i,-0.00099713+0.0001761i,-0.00071933+0.00058037i,-0.00060977+0.000741i,-0.00070926+8.5132e-05i,-0.00076448-0.00052674i,-0.00053626-0.00041574i,1.6432e-05-0.00067642i,0.00028118-0.00070322i,0.00033058-0.0010011i,0.00040672-0.00059146i,6.6789e-05+0.00056946i
0.0010349-0.0001725i,-0.00025551-0.0021541i,-0.00036051-0.0023572i,0.00043463-0.0006471i,0.00055352+0.00010491i,-0.00058987-8.6137e-05i,-0.00056225+0.0004098i,-0.00020381+0.0013033i,-0.0009906+0.0010238i,-0.0010051+0.00016703i,-0.00036152+0.00044178i,-0.00049858+0.00055303i,-0.00058696-0.00029583i,-0.00035131-0.00042516i,-0.00041024-9.9318e-05i,-0.00020483+0.00050595i,0.00029826+0.00057161i,0.00019071-0.00010924i,-0.00024888-0.00040149i,-0.00022433+0.00049926i,-0.00031156+0.00095181i,-0.00016723+0.00018807i,0.00027552-0.00026849i
0.0014812-0.00034478i,0.0016256-0.00050921i,0.00055967-0.0017604i,-0.0004577-0.0017795i,-0.00027764-0.0011183i,0.00068238-0.00063446i,0.001332-0.00023312i,0.0012489-0.00019439i,0.00073884-0.00021319i,0.0002376-0.00013025i,-0.00015693-6.7784e-05i,-0.00020941+0.00012751i,-0.0004961-0.00055002i,-0.00045694-0.00060838i,4.732e-05+0.00014873i,-9.9467e-05+9.3449e-05i,-0.00030997-0.00040307i,-0.00064617-0.00044372i,-0.0009232-0.00032252i,-0.00075975+8.3801e-05i,-1.2995e-05+0.00031855i,0.00053091-0.00014317i,0.00010166+9.6015e-05i
0.00017914+0.00088885i,-0.0012857+0.0003597i,-0.0021196-0.00017169i,-0.00090992+0.00031874i,0.00010385+0.0011241i,0.0005919+0.00040268i,0.00048317-0.00067667i,0.00014866-0.0011109i,0.00036117-0.0012809i,0.00015751-0.00034967i,0.00021072+0.000319i,0.00046123+0.00020634i,8.9961e-05-0.00011099i,-0.00025388-0.00049509i,-0.00026516-0.00050762i,-0.00012567-0.00045947i,-0.00012685+0.00021009i,-0.00077484+0.0013221i,-0.0010278+0.0013327i,-0.0008191+0.0006855i,-0.00092737+0.00030924i,-0.00095776+0.00022124i,-0.00047804+0.00017913i
-0.0015014+0.0011719i,-0.00063783+0.0011818i,0.00068487+0.00092579i,0.0013339+0.0015866i,0.0012128+0.0014551i,0.00041841+0.00031082i,-0.00021044+8.7316e-05i,-8.183e-05+0.00026921i,-0.00054826+0.00031217i,-0.00044733+0.00069491i,0.00023867+0.00063842i,-9.8907e-05+0.00049943i,-0.0002074+0.00090975i,0.00014463-4.2744e-05i,0.00056898-0.00082635i,0.00042133-0.0004152i,0.00059737-0.00058494i,0.00097539-0.00089862i,0.0012413-0.00050497i,0.00076788-0.0002127i,3.788e-05-0.00039664i,-2.3918e-05-0.00065707i,-0.00021299-0.00064334i
-0.00011124-0.00025308i,-0.0015177-0.00099144i,-0.0021723-0.0015983i,-0.0014444-0.0014199i,-0.00069341-0.00072616i,-0.0007128-0.00017538i,-0.00075376-7.7526e-05i,-0.00043243+0.00016446i,0.00014399+0.00040779i,0.00025335+0.00063477i,6.6539e-05+0.00080765i,-0.00057683+0.0012501i,-0.00083945+0.0012113i,-0.00010537+0.00048145i,0.00011131-0.00051638i,-0.00014326-0.00077236i,-0.00068386-0.00042749i,-0.0007679-0.00073245i,-2.8878e-06-0.00083681i,0.00061175-1.0145e-05i,0.00072577+0.00072566i,0.00033351+0.00077727i,0.00026883+0.00018654i
-0.00049634-0.0012918i,0.00020468-0.0017847i,0.0012805-0.0020489i,0.0014821-0.0005207i,0.0010497+0.0010277i,0.00064497+0.00063258i,0.00078435-0.00048942i,0.00083571-0.00082217i,0.00047134-0.00044668i,0.00012888-0.00039458i,-0.00012766-0.00062225i,-0.0003689+0.00040607i,7.3462e-05+0.00076551i,0.00014863+0.00013278i,-0.00023362+0.00016541i,-0.00033899+0.00042584i,0.00038129+0.00094403i,0.0010187+0.00078835i,0.00054124-0.00024757i,0.00028705-0.00069725i,0.00098807-0.00099662i,0.00073449-0.00055901i,0.00037807-0.00017009i
0.00035876-0.000515i,-0.00033862-0.0010292i,-0.00017195-0.00057741i,-7.8693e-05-0.00087087i,0.00029944-0.0015669i,0.00058752-0.0018438i,9.3231e-05-0.00099i,-0.0008433-0.00020101i,-0.0010659-0.00025038i,-0.00086104-0.0002234i,-0.00078249-0.00021168i,-0.00028158-0.00037909i,0.00055932-0.0005181i,0.00052889-0.00099753i,-0.00013943-0.00027635i,-0.00026406+0.00069173i,0.0006066+0.0001361i,0.00055914-0.00049969i,-0.00027144-0.0003267i,-0.00029703-0.00091172i,3.2015e-05-0.00093676i,-0.00012856-0.00054562i,-3.6315e-05-0.00015246i
