-0.0058058-0.00011051i,-0.0048197+0.00057535i,-0.0050969+0.0020446i,-0.0036398+0.0028497i,-0.00088141+0.0025355i,-0.0003534+0.0016737i,-0.00052393+0.00038314i,-7.1739e-05+0.0001463i,-0.00065822+0.00045492i,-0.00051152+0.0013087i,-0.00043277+0.0016709i,0.00034736+0.00093632i,0.00067901-9.7591e-05i,-0.00054211-0.0013546i,-0.00118-0.0018367i,-0.00078051-0.0014888i,-0.0012651-0.00035935i,-0.0015965+4.2472e-05i,-0.00078549-0.00062998i,8.8534e-05-0.00096159i,0.00052989-0.00068764i,0.00025906-0.00060539i,-0.00063983-0.00012659i
-0.0013391+0.00095167i,-0.00041696+0.0013906i,-0.00044583+0.0014289i,-0.00045095+0.0016486i,-0.00041656+0.0017821i,-0.00012073+0.00081776i,8.5978e-06+0.00010695i,-0.00094206-0.00069492i,-0.0010837+2.2661e-05i,0.00016701+0.001413i,0.00043926+0.00089083i,0.00016968+0.00021061i,-0.00027458+5.1479e-05i,-0.00085125-0.00011443i,-0.00087231-0.00023815i,-0.00088034-0.00021895i,-0.00037102+0.00036488i,0.00045173+0.00055477i,1.8274e-05+0.00037424i,-0.00098313-0.00030685i,-0.00058071-0.00050869i,-1.8235e-05-0.00098406i,0.00013198-0.0012563i
-0.00033021+0.00020381i,0.0002862-0.00022168i,-0.00014312+0.00017663i,-0.00061054+0.00072155i,-0.00035395+8.4815e-05i,0.00072981-0.0013297i,0.00059023-0.0015565i,0.00014253-0.00049393i,-0.00030714+0.00018469i,-0.00058997+0.00051637i,-0.00086514+0.0010585i,-0.00094062+0.00088521i,-0.00041464+0.00035883i,7.7499e-05+9.605e-05i,5.1533e-05-0.00018139i,-0.00015693-0.00025412i,0.00023693-0.00038423i,0.00049539-0.00035618i,-0.0005075-0.00069602i,-0.00059737-0.0006814i,0.00015872-0.00046332i,2.0856e-05-0.00027872i,0.00023424-0.00069689i
0.00095062-0.0001818i,0.00011016-0.00043574i,0.00034031-0.0011407i,0.00036352-0.0012318i,-0.00051499-0.0010668i,-0.0012623-0.00034789i,-0.00058822+0.00011691i,0.00030858-0.00010502i,0.00029986+0.00032065i,-0.00038861+0.00075722i,-0.00093295+0.00046218i,-0.0011423+0.00017381i,-0.000746+0.00037021i,-0.0002375+0.00040242i,-9.1135e-05+7.6483e-05i,4.493e-05-0.00026749i,-0.00039213-0.00067175i,-0.00077023-0.00060845i,-0.00055527-0.00044904i,-0.00031376-0.00022985i,0.00024526+9.4972e-05i,0.00018979-0.0002908i,0.00045834-0.0006052i
-0.00075562+0.0015953i,-9.8382e-05+0.00069157i,0.00081466+0.00018036i,0.0011613+0.00039339i,1.9665e-05-0.00020725i,-0.00080841-0.0010184i,-0.00078869-0.00059242i,-0.00017171-0.0002524i,-0.00011558+0.00018445i,-0.00044458+0.00085495i,-0.00099823+0.00098721i,-0.0012332+0.00063557i,-0.00035435+0.00045535i,-0.00030074+0.00053381i,-0.00079015+0.00031134i,-0.00081982-0.00026064i,-0.00071562+0.00018688i,-0.00063207+0.00092951i,-0.00044582+0.00064276i,-0.00035976-0.00041404i,-0.00056571-0.00090788i,-0.00019698-0.0010682i,5.3591e-05-0.0009128i
-7.5789e-05-0.00033262i,9.848e-05-0.00019362i,-0.00074161-0.00016062i,-0.001111-0.00035813i,-0.0010052-0.00047689i,-0.00074967-9.5804e-05i,0.00034567+0.00065209i,0.0010681+0.0010831i,0.00017564+0.00036779i,-0.00062039-0.00068601i,-0.00032588-0.00014976i,0.00086402+0.00052783i,0.0014719+0.00033492i,0.00082432+5.5084e-05i,-3.3186e-05+8.4635e-05i,-0.00013057+0.00018781i,0.00022491-0.00013642i,0.00011476-0.00031883i,0.00034402-6.0773e-05i,0.00085182+0.00027583i,0.00046784+5.2621e-05i,-0.00016936+1.8806e-05i,-0.00074896+2.4329e-05i
0.00032779+0.0016491i,-0.00015074+0.00098441i,-0.00025091+7.1517e-05i,-0.00025045-0.00051111i,-0.00080218-0.00095218i,-0.0012442-0.00025018i,-0.00038165+0.00027982i,2.5568e-05+0.00010069i,0.0010201+0.00067887i,0.0014332+0.0014093i,0.00060821+0.0018386i,-0.00011254+0.0017173i,-0.00014024+0.0011212i,0.00028546+0.00030881i,0.00021123-0.00012095i,-0.00021933+0.0001602i,-2.2562e-05+0.00022009i,0.00068044+0.00040049i,0.00099708+0.00087174i,0.00069051+0.00032625i,0.0004503-0.00026962i,0.00023195-0.00012331i,0.00071852+8.048e-05i
-0.0013296-0.00066554i,-0.00063564-0.00030325i,-0.00077422+7.5888e-05i,1.4827e-05+0.00012055i,0.00097739+0.00034389i,0.00092095-0.00030976i,0.00059091-0.00070287i,0.00052407-0.00041363i,0.00051854+0.00067203i,-0.00022253+0.0011426i,-0.0006628+0.00097657i,0.00021745+0.00081054i,0.0010866-0.00031994i,0.00058598-0.0004117i,0.00048184-9.6767e-05i,0.00071535-0.00023482i,0.00021348+8.4188e-05i,-0.00048023+0.00046763i,-0.0011013-0.00016041i,-0.0010663-0.0009551i,0.00013315-0.0013419i,0.00035683-0.00072339i,0.00035863+7.4445e-05i
0.0012514-0.00055982i,0.00072931-0.00096007i,-0.00041976-0.0017229i,-0.0018804-0.0015146i,-0.002166-0.0011897i,-0.0019732-0.00014156i,-0.0012902+0.0014493i,-0.00046379+0.0017005i,-0.00020336+0.00076841i,-0.00014559+0.0003689i,-0.00010675+0.00078653i,-0.00023114+0.001297i,-0.00045515+0.00029783i,0.00048533-0.00070684i,0.00028284-0.00032705i,0.00013336-5.9563e-05i,0.0004446+0.00014755i,0.00018132+0.00025558i,0.00038406-0.00033695i,0.0007145-0.0005893i,0.00076637-0.00058754i,-3.0914e-05-0.00041671i,0.00012265-0.00048855i
0.00073552-0.0014155i,0.0013832-0.0017448i,9.2574e-05-0.0017723i,-0.0014079-0.0012984i,-0.00061254-0.0006108i,0.00070523-0.00024795i,0.00045733+0.00049619i,-7.6094e-05+0.00043344i,0.00017105-0.00012965i,-0.0001858+0.00030793i,-0.00016001+0.00022033i,0.00056352+0.0003486i,0.0010612+7.7407e-05i,0.0011755-0.00019328i,0.00066734+0.00011445i,0.00028113-6.5376e-05i,-0.00020998+9.1521e-05i,-0.00023459+0.00028112i,0.00048959-9.9361e-05i,0.00058243-0.00032943i,0.00031641-0.00037189i,-0.00017219-0.00016964i,-0.00031398-0.00043211i
0.00028872-0.00015779i,-0.0015221+0.0013139i,-0.0029747+0.0014341i,-0.0028689+0.00076866i,-0.0022165-0.00031986i,-0.001454+0.00049113i,-0.0011138+0.0013786i,-0.0008787+0.001096i,-0.00029205+0.0014204i,-0.00027601+0.0014753i,-0.00094704+0.0014056i,-0.00080036+0.001592i,-0.00020539+0.00053434i,0.00037957-0.00024964i,0.00096897-0.00032585i,0.00051688+0.00013123i,6.6437e-05+0.00080525i,-0.00025974+0.00094115i,-0.0011326+0.00041729i,-0.001282-0.00043267i,-0.00018569-0.0010453i,0.0013128-0.0007713i,0.0015873-0.00052333i
4.8066e-05-0.0016488i,3.3178e-05-0.0024253i,0.00052818-0.0031209i,-0.00010528-0.002491i,-0.00084369-0.0016675i,-0.00083186-0.00042814i,-0.00071988+0.0009526i,-0.00032904+0.0006942i,0.00051246-2.5875e-05i,0.00033964+0.00072855i,-0.0013385+0.0013821i,-0.0013261+0.00060489i,-0.00029762+0.00028568i,-0.00012429+0.00028314i,-0.00048977-0.00026727i,-0.0011534-0.00014864i,-0.0009584-0.00055052i,-8.3463e-06-0.00051579i,0.00024571+0.00021372i,-0.00027179-0.00016893i,-0.00038788-0.00046762i,0.00018683-0.00058582i,0.0004901-0.00047804i
-0.00038677+0.00019502i,5.1328e-05+0.00012395i,0.00022909-5.8214e-05i,0.00030274+0.00062983i,0.00030815+0.00041718i,-0.00021216-0.00024765i,0.00026205+0.00020067i,0.00072051+0.00077861i,0.00029522+0.00147i,-0.00012907+0.0012786i,0.00024737+0.0011124i,0.00035572+0.0010042i,-3.4483e-05+0.00051311i,0.00034132+0.00078546i,0.0013081+0.0003285i,0.0016541-7.5717e-05i,0.00016219+0.00026584i,-0.0010655+0.00039955i,-0.0004319+0.00090323i,0.00047561+0.00049339i,0.00080778-8.0896e-05i,0.00053744-0.00051706i,-0.00010188-0.00077513i
-0.00057634-0.00060964i,-0.00075308+0.00039183i,-0.00087276+0.00063365i,-0.00087464-0.00024358i,-0.00082571-0.0001852i,0.00020979+0.00080242i,0.0012062+0.00091937i,0.0011387+0.00044654i,0.00083621+0.00068939i,-0.00010921+0.00035873i,-0.00085185+0.00020063i,-7.1393e-06-0.00048426i,0.00077256-0.0012307i,0.0010877-3.2497e-05i,0.0013374+0.00044907i,0.0010511-7.3905e-08i,0.00034041-0.00057609i,-0.00024011-0.00063768i,-6.545e-05-0.00065715i,-1.5891e-05-0.00058615i,-6.5833e-05-7.6207e-05i,6.7472e-05-8.5587e-05i,-0.00096142+0.00036126i
-0.0024999+0.00025284i,-0.001806+0.00056372i,-0.0015854+0.001471i,-0.0012306+0.0018057i,-0.00029532+0.0015335i,0.00084611+0.00074318i,0.0011638+0.00031735i,0.00031128-0.0004028i,-0.00053368-0.0005375i,-0.00089027+0.0008108i,-0.00091989+0.0011079i,-0.00020543+0.00058204i,0.00041577+0.00015428i,-3.4811e-06-0.00079421i,-0.00062061-0.00076689i,-0.0010422-1.0715e-05i,-0.0010369-0.00026213i,-0.00015014-0.00083827i,0.00048668-0.0011428i,-1.0451e-05-0.0011423i,-0.00026073-0.0014971i,0.00020937-0.0012929i,-0.00030222-0.00048738i
0.00086062+0.00063126i,0.00092842+0.0012285i,0.00084504+0.001205i,0.00027064+0.00029819i,-0.00034045-0.00021787i,-0.00031282+0.00017973i,4.6693e-05+0.00020775i,-0.00029575+5.2184e-05i,-0.00048805+0.00030205i,-6.4001e-05+0.0010385i,-0.00047871+0.00080775i,-0.00075806-0.00014957i,-0.00044729-0.00038898i,-0.00017693-0.00017379i,-0.0003896-0.00077997i,-0.00097487-0.00059541i,-0.0002986+0.00042892i,0.00037494+0.00037921i,-0.00014584-0.0002343i,-0.000293-0.00052812i,6.7107e-05-0.00021359i,0.00074611+0.000525i,0.00075764+0.00012142i
-0.00078434-0.0015113i,-0.00034066-0.0019893i,0.0001385-0.0018994i,-0.00023202-0.0018426i,-0.00049946-0.0021846i,-0.00039247-0.0018224i,-0.00010879+0.00025816i,0.00025191+0.0010049i,0.00074873+0.00010573i,0.00072625+0.00033292i,0.00032139+0.0012989i,0.00042416+0.0013254i,4.3992e-05+0.00063538i,-0.00046801-0.0006094i,-0.00078767-0.00088761i,-0.00083596-0.0002665i,0.00039198+0.00028542i,0.0012372-8.6591e-05i,0.00057221-0.00063605i,-0.00063943-0.00074198i,-0.0007336-0.00081039i,-1.6618e-05-0.00042011i,0.000272-0.00016117i
2.1659e-05-8.1585e-06i,-2.714e-05-0.00067242i,-0.00017683-0.00037651i,-0.00016501-0.0003811i,-0.00076906-0.0010037i,-0.0015443-0.0012116i,-0.0011427-0.00038758i,-0.0003289+0.00045537i,-4.1803e-05+0.00065972i,0.0006822+0.00030018i,0.0010445+0.00044781i,3.8417e-05+0.00067668i,-0.00050626+0.00076867i,-0.00071832+0.00010697i,-0.00095337-0.00068952i,-0.00029087-0.0003559i,0.00011482+1.8288e-05i,-0.0001121-0.00024724i,9.2634e-05-0.00035209i,0.00052787+0.00030115i,0.00091435+0.00076764i,0.00089228-5.0854e-05i,0.00051971-0.00065996i
-0.001592-0.00022803i,-0.0012894-0.0013608i,-0.0010436-0.0010552i,-0.00035639-0.00045919i,0.0011975-0.00047493i,0.001557-0.0003467i,0.0010171+0.00016835i,0.00031378+0.00080723i,-0.00039342+0.001045i,-0.0006578+0.0011596i,-0.00025899+0.00099348i,0.00047799+0.00038821i,0.00058928+6.3543e-05i,0.00028932-0.00021638i,0.00073601-0.00021379i,0.00042913-0.00077735i,-0.00014006-0.00061548i,-0.00031157-8.0518e-05i,-0.00044265-9.1819e-05i,-0.00036178-0.00030879i,0.00018104-0.00058626i,0.0003964-0.00012396i,0.00051446+0.00050272i
0.00052327+0.00091431i,0.00035041-0.0004623i,0.00027136-8.8827e-05i,-0.00061437-0.00027007i,-0.00074254-0.001367i,-0.00030925-0.0013711i,-0.0003903-0.00079888i,-0.00016546-0.00040989i,0.00021047+0.00023349i,2.5255e-05+0.00061042i,-0.00026351+0.00015942i,0.00016237+0.00024254i,0.00094159+0.00023922i,0.00085565-8.6976e-06i,0.0010293-0.00022981i,0.00080735-1.1413e-05i,7.0827e-05-0.00061978i,-0.0004597-0.0010155i,-0.00086508-0.0008198i,-0.00069674-0.0010929i,-0.00053957-0.0013295i,-3.5878e-07-0.00061311i,3.8295e-05-9.9159e-05i
0.0004418-0.0017367i,-0.00049885-0.00036957i,-0.0021508-0.00024185i,-0.0016621-0.0016824i,-0.00061729-0.0030189i,0.0004723-0.0019361i,0.0014007-0.0004046i,0.0012667-0.00012058i,0.00056488-0.0003921i,-0.00034285+0.00012589i,-0.0012194+0.0012734i,-0.0012657+0.00084446i,-0.00052068-0.00012035i,0.00047881-8.4012e-05i,0.0011719+0.00031232i,0.00097009+0.00016018i,0.00032672+0.00042673i,0.00070864+0.00096685i,0.00090712+0.00062245i,0.00013355+0.0001246i,9.9967e-05-1.1407e-05i,0.00021981+5.1198e-06i,-0.00019731+0.00051244i
