-0.0010185+1.7023e-05i,-0.00076303+0.00014016i,-0.0026476+0.0004333i,-0.0022985+0.00020033i,-0.001795+0.0002333i,-0.0018206+0.0010855i,-0.0015653+0.0011496i,-0.00088186+0.00046004i,0.00040366+0.0003694i,0.0013361+0.00051109i,0.0016393+0.00062138i,0.0015833+0.00041009i,0.00094749+0.00041021i,0.00080935-0.00017852i,0.00067578-0.00012476i,-0.00049544+0.00051319i,-0.00088034+0.00054063i,-0.00022892+0.0003402i,1.4654e-05+0.00033467i,0.0001999-4.1103e-05i,0.0002261-0.00032391i,-0.00058041+0.00021108i,-0.00051525+0.0002743i
-0.00087784-0.0004558i,-0.0013832+0.0001018i,-0.0010464+0.00050811i,0.0001507+0.00018387i,0.0010293-0.0010148i,0.0016248-0.0016152i,0.0012965-0.0012888i,0.0012866-0.00048698i,0.0013591-0.00082564i,0.001372-0.00068448i,0.00099975+0.00036586i,0.00073328+0.00044151i,0.00032793+0.00011456i,-0.00047774-3.0497e-06i,-0.00081955-0.00026954i,-0.00095606-0.00046792i,-0.00093933-0.00056726i,-0.000862-0.00025745i,-0.00054602+0.00056767i,-0.00013558+0.00022907i,-0.00023979-0.00067679i,-0.0011653-0.00047839i,-0.00096459+0.00042308i
0.0007282-0.00024132i,0.00089222-0.00068773i,0.00094679+0.00029599i,0.00064981+0.00035009i,-0.00021362-0.0007958i,-0.0012491-0.0012889i,-0.0010128-0.0011213i,-8.4379e-05-0.0010247i,0.0001632-0.00079312i,-0.00041798-9.2766e-05i,-0.00033505+7.0865e-05i,0.00024678-0.00043493i,0.00041569-0.00074787i,-5.0993e-05-0.0002384i,-0.00046926+0.00022562i,0.00046006-6.8859e-05i,0.00050846-0.00056106i,-0.00019422-0.00062791i,-0.00018809-0.00098838i,-0.00024674-0.0012546i,-0.00065064-0.00020554i,-0.00050238+0.00081859i,-0.00038851+0.00095649i
0.0013544+0.00098828i,0.00054378-0.00010991i,0.001149-2.8857e-05i,0.0023379+0.00081498i,0.0018049+0.00016189i,0.0006942-0.0005321i,0.00051259-7.3284e-05i,-8.7814e-05-0.00020919i,-0.0010426-0.00040251i,-0.00048215-0.00043241i,-0.00020311-0.00057898i,-0.00071134-0.00031103i,-0.00081305-0.00031906i,-0.00068195+0.00011858i,-0.00042393+0.00014234i,-0.00072571-0.00030746i,-0.00076276+0.00049561i,-0.00091742+0.00073676i,-0.00065761+0.00011247i,-0.0001645+0.0002129i,8.913e-05-0.00020684i,-0.00049445-0.00036513i,-0.0003257-0.00030621i
0.0003879-0.00070239i,0.00090824-0.00025431i,-0.00071362-0.00022432i,-0.00167-0.0013645i,-0.00071478-0.0011637i,-0.00035013-2.4375e-05i,-0.00025495+0.00049686i,-0.00021273-0.00054997i,-0.00099686-0.001357i,-0.0017685-0.0006538i,-0.0011883+0.000416i,0.0004157+0.00058216i,0.00076361+0.00030107i,0.0006418+0.00011653i,0.001019+0.00024661i,0.00081748+0.00061752i,-0.00033233+0.0010733i,-0.00066102+0.001358i,-0.00062708+0.00063513i,-0.00079734-0.00036027i,-0.00022342-0.001034i,-9.35e-05-0.0010225i,-0.00052066-0.00066855i
-0.00046486+0.0011427i,0.00024454-0.00012502i,0.00077462-0.00065062i,0.00092832+0.00010292i,0.0011715+0.00027571i,0.00077932-0.00015825i,-0.00040286+9.0043e-06i,-1.2359e-06-0.00033436i,0.00028101-0.00079844i,8.9967e-05-0.00064933i,0.00064458-0.00016873i,0.00082888-0.00029883i,0.00062794-0.00012339i,0.00071234+0.00042595i,-3.0474e-05+0.00070767i,-0.00078285+0.00047804i,-0.00048414-7.3147e-05i,0.00065466-3.2498e-05i,0.00089427-0.00028527i,-3.3591e-05-0.0008916i,-0.0013794-0.00080659i,-0.00087961-3.6572e-05i,-0.00012291-0.000215i
-0.0024667-0.00030842i,-0.0025962+0.0013849i,-0.0023979+0.0014064i,-0.00095502+0.0003674i,-0.00036285-0.00021581i,0.00034456-0.00061157i,0.00053213-0.00099678i,0.00036848-0.0011633i,0.00041096-0.00062742i,0.00032705+6.5705e-05i,0.00080959+0.00044023i,0.0017257-0.00022835i,0.0014751-0.0010588i,0.00038588-0.0009448i,-0.00015043-0.00044371i,3.4208e-05-0.0004489i,8.3711e-05-0.00087116i,0.00042268-0.00075643i,0.0013702-0.00013766i,0.0011289+8.5876e-06i,0.00031877-0.00059081i,0.00015396-0.00042447i,0.00020095+7.7545e-06i
-0.00080017+0.00068861i,-0.00088688-0.00013051i,-0.0012078+0.0010948i,-4.3443e-06+0.00060437i,0.00082478-6.0789e-05i,0.00035189-0.0011288i,0.00060077-0.0011384i,0.0011984-0.00055483i,0.00074146-0.00048395i,0.00018695-0.00011112i,0.00017073+7.8396e-05i,0.0002343-0.00042596i,0.00050052-0.00094792i,5.6603e-05-0.0010544i,-0.00089191-0.00049522i,-0.00056391+0.00028964i,-0.00013135+0.00079864i,-0.00063047+0.0012246i,-0.00016079+0.00065186i,5.2959e-05+0.00033504i,-0.00011369+0.00024209i,4.2913e-05+8.7191e-06i,0.00059986+0.000404i
0.0018344-2.0951e-06i,0.001664+0.0012863i,0.0016353+0.00098012i,0.0022391-0.00044054i,0.0012615-0.0012784i,-0.0012319-0.0011386i,-0.0015506-0.00092031i,-0.00070239-0.0013406i,-0.00036352-0.0015788i,0.00046047-0.00059961i,8.5158e-05+0.00066193i,-0.0012523+0.00020497i,-0.0015916-0.00081008i,-0.00085741-0.0012078i,-0.00044777-0.00040486i,-0.00055398+0.00055593i,-2.9393e-05+0.00071806i,0.00024173+0.00078093i,-9.1599e-05+2.384e-05i,-0.00015116-0.00041081i,-0.00076392-6.8331e-05i,-0.0010671-3.4251e-05i,-0.00075028+3.2633e-05i
-0.0013379+0.0011377i,-0.0010283+0.0010355i,-0.0010377+0.00047343i,-0.00080734+0.0005471i,-0.00078678+0.00016813i,-0.00071625-0.0011123i,-0.00052186-0.0017181i,-0.00022429-0.0013213i,-7.3521e-05-0.00075429i,-0.00018406-0.0003185i,-0.00039577+8.3974e-05i,-0.00016943-0.00030283i,0.00049516-0.00050925i,-0.00026159-0.00080884i,-0.00065215-0.0010466i,1.9609e-05-0.00025848i,0.0002709+0.00068014i,0.00039694+0.00094257i,0.00012483+0.00078601i,-0.00043321+0.00080682i,-0.00018967+0.00073393i,4.044e-05+0.00038182i,-0.00017055+7.6351e-05i
-0.00044936+0.00039654i,-0.00047814+0.00045927i,0.00035152+0.0016081i,0.00072325+0.0015497i,0.0012614+0.0007869i,0.0017389-0.00044659i,0.0009101-0.00040261i,-0.00045058+0.00099454i,-0.00073954+0.0015969i,-0.00020279+0.0011116i,0.00025111+0.00069233i,-0.00055877+0.00021602i,-0.0010253+0.00046801i,-0.00041673+0.00025941i,-8.4639e-05-0.00011008i,0.00012839+0.00040158i,-7.2762e-05+6.0359e-05i,-0.0003648-6.9018e-05i,-0.00069903+0.00067678i,-0.00061211+0.0011141i,-0.0010605+0.00091016i,-0.001167+0.00051941i,-0.00084905+8.5365e-05i
