0.0002872+0.00099787i,0.00053174+0.0016065i,0.00042049-8.6418e-05i,-0.00061946-0.00067965i,-0.0014772+0.00039099i,-0.0016128+0.0010326i,-0.00035339+0.0015077i,0.00095312+0.0010828i,0.0010601+8.215e-05i,0.00097195-0.00019599i,0.00075711-0.00014759i,0.0001941-0.00030222i,-1.5159e-05-0.00047525i,0.00011428-0.00052502i,9.9757e-05-0.00036478i,2.3297e-05-0.00072202i,-0.0002162-0.0010166i,-0.00084754-0.00071717i,-0.000844-0.00024625i,-0.00024039+1.1303e-06i,-9.1859e-05+0.00043846i,-0.00068236+7.0875e-06i,-0.00048545-0.0004278i
0.00047004+0.0010973i,0.00037162+6.6009e-05i,0.00017088-3.1573e-05i,-0.00032093-0.00033966i,-0.00069548-0.00088174i,0.00025487-0.00020355i,0.00045544+0.00020911i,-0.00025324-0.00044531i,-0.00013411-0.00054342i,0.00057572+0.00018176i,0.00066391+0.00035806i,0.00043256+0.00028708i,0.00014238-0.00015558i,-0.00067955-0.00045372i,-0.0010333+0.00013552i,-0.00053831+0.00074991i,-0.00026902+0.00092561i,0.00035165+0.00066024i,0.0012619-5.7905e-05i,0.0010834-0.0005865i,1.9257e-05-0.00026442i,-0.00049743-0.00031162i,-0.0004888-0.00033045i
-0.00018187+0.0012486i,0.00045402+0.0015307i,0.0008354+0.0012595i,0.00065487+0.00030864i,0.00017638-0.00043842i,0.00036953-0.00047261i,0.00044137-0.00066959i,0.0001394-0.00096795i,0.0001803-0.00038384i,0.00012946+0.00012449i,-7.0777e-05+0.00044241i,-0.00023058+0.00093687i,-0.00016049+0.00062579i,0.00014534+0.00028502i,0.00041806-1.1413e-05i,0.00059188+7.2216e-05i,0.00041296+0.00053541i,-0.00017955+0.00032836i,0.00027275-0.00028493i,0.0002755-0.0010976i,0.00025327-0.00067329i,0.00025694-9.8404e-05i,-6.6549e-06-0.00021231i
-7.6662e-06+0.0011113i,-2.6032e-05+0.00036907i,-0.00010309+0.00011044i,-5.7953e-05+0.00063453i,0.00034787+0.00014476i,0.0003844-0.00020708i,0.00042121-0.0001903i,0.00059983-0.00012354i,0.00041267-0.00040944i,0.00047973-0.00065028i,0.00054446+0.00010719i,0.00035876+0.00072299i,0.0004571+8.3697e-06i,0.00043934-0.00089906i,-0.00019946-0.00082831i,-0.00084148-0.00032163i,-0.00094468+0.00019546i,-0.0006876+0.00050499i,-0.00035445+5.7333e-05i,0.00012904-1.0903e-05i,0.00027528+0.00062812i,2.7627e-05+0.00085938i,0.00010454+0.0010024i
0.0004614-0.00011782i,0.00021575+0.00068451i,0.00019284+0.00020924i,0.00063702-0.00072137i,-0.0001265-0.00064763i,-0.00064385+0.00038062i,-0.00063932+0.00088319i,-0.00014522-0.00010881i,-9.9599e-05-0.00053685i,-0.00016087-0.0003916i,-0.00010825+0.00031571i,7.8435e-05+0.0010404i,0.00025824+0.00077399i,-2.9673e-05+0.00027784i,-0.00049976-0.00047405i,-0.00048473-0.0006114i,0.0001266+3.7997e-05i,-0.00017293+0.00047945i,-0.00026772+0.0005271i,0.0003304+0.00037078i,-0.00025245+0.00072449i,-0.00096613+0.0010005i,-0.00088017+0.00070838i
0.002005-0.00064484i,0.00187-0.00094934i,0.0009783-0.00088398i,-0.00012873-0.00089155i,-0.00011722-0.0019375i,-0.00037357-0.00064116i,-0.0001689+0.0010649i,0.00025482+0.00079377i,2.3682e-05-4.6075e-05i,-7.9365e-05-0.00056739i,0.00026099-0.00018396i,0.0003536+0.00013372i,-0.00025451+0.00018186i,5.7686e-05-0.00017666i,9.4713e-05-0.00063178i,-0.00094049-0.0006491i,-0.00076106-0.00014241i,0.00058107+0.0012661i,0.00036908+0.001329i,-0.00015601+0.00025714i,2.913e-05+0.00016704i,-0.00010471+0.00040548i,-0.00010895+0.00040703i
-0.00062476+0.001391i,-0.0001546+0.0017533i,-0.00019213+0.001205i,0.00018382-0.00010427i,-0.00028959-2.6117e-05i,0.00017207+0.00043703i,0.00059123+0.00024544i,-2.3583e-05-0.00033056i,-0.00018881-0.0010636i,0.00032471-0.00089215i,0.00020411+0.00010235i,-9.404e-05+0.00031983i,-0.00013874-0.00063113i,0.00054305-0.00089658i,0.00073688-0.00056553i,-0.0005689+2.704e-05i,-0.00098171+8.2053e-06i,-0.00045107-0.00036491i,0.00010656-0.00021122i,0.00064064-3.6813e-05i,0.00050301+0.00047649i,-3.983e-06+0.00061183i,5.0715e-05-0.00017292i
-0.00069482+0.0012549i,-0.0010185+0.0016653i,0.00030305+0.00068345i,0.0011769-0.00032417i,0.0013923-0.00070696i,0.00028069-0.00081567i,-0.00098692-0.00042997i,-0.00093288-0.00020199i,-0.0003728+0.00017296i,-0.00044551+0.00068505i,-0.00029219+0.00044855i,0.00060533+0.0001137i,0.001073-0.00028196i,0.0004153-0.00071011i,-0.0004355-0.00066362i,-0.00019303-0.00035901i,0.0008356-6.111e-06i,0.0012106-0.0003177i,0.00044219-0.00031032i,-3.1196e-05-3.1024e-05i,-0.00015378-2.3685e-05i,-0.00023089+0.00065637i,0.00076028+0.00062873i
1.9195e-05+0.0015691i,0.00075073+0.0012029i,0.0024761+0.00052215i,0.0030584-0.00022675i,0.0020274-0.001076i,0.0006085-0.00099005i,0.00054539-0.00044204i,0.0011692-3.8368e-05i,0.00076598-0.00017709i,0.00065224-0.0005565i,7.6147e-05-0.00019011i,8.5418e-05-0.0001879i,8.6174e-05-0.00025984i,-0.00063065+2.1708e-05i,-0.0013601+4.5894e-05i,-0.0010571+0.0001985i,-0.00068986-0.0001431i,-0.0012531-8.4065e-05i,-0.0010807+6.9501e-05i,-0.00042646+0.00020154i,8.7821e-05+0.00081195i,0.00051437+0.00059778i,0.0003367+0.00010566i
7.4538e-05+0.0016049i,-0.00029795+0.00082536i,-0.00012938-0.00026982i,-0.00016553-0.00089454i,-0.0002138-0.00043404i,-0.00028624+0.00023414i,-0.00035782+0.00017771i,6.2791e-05-0.00033614i,0.00038486-0.00018737i,-6.2295e-05+0.0002237i,0.00027064+0.00021448i,0.00079713+0.00050929i,-0.00031073+0.00013269i,-0.0012564-0.00072026i,-0.00078954+0.00013691i,-0.00017198+0.00048639i,0.00040287+9.276e-05i,0.00018865-8.5542e-07i,0.00028517+0.00010107i,0.00087913+0.00029847i,0.00063256+0.00029684i,-0.0001267+6.938e-05i,5.5673e-05+0.00014706i
0.00057624+0.00044313i,3.9107e-06-0.00038927i,0.0007261+9.3687e-05i,0.001005+0.00057848i,0.00065376+0.00062546i,0.00032709+1.2409e-05i,-0.0003445-0.0010422i,-0.00064142-0.0011372i,-0.00090576-0.0008073i,-0.00046369-0.00057127i,0.00024698+0.00011311i,0.00041341+0.00059323i,-0.0002127+0.00037696i,-0.00055337-0.00026392i,-0.000674-0.00028453i,-0.00079138+0.00033552i,-0.00053405+0.0004561i,-0.00032016+0.00019458i,-0.00029736-0.00018373i,-0.00018407+0.00034228i,-0.00034701+0.00037203i,-0.00013826-0.00061201i,0.00010908-0.00083311i
