-0.00064857+0.0008573i,0.0005036+1.197e-05i,-0.0010483-5.0216e-05i,-0.0012025+0.00087593i,-0.00069578+0.0025057i,-0.00044298+0.0021713i,2.2723e-05+0.00075275i,0.00089304+0.00047889i,0.00163+0.00081988i,0.0013893+0.00042854i,0.001351+1.6263e-05i,0.0014188-0.00024306i,0.00037519-0.00063313i,-0.00030661-0.00037919i,-0.00054211+0.0001022i,-0.00044792+0.00097948i,0.00034599+0.0013319i,0.00040318+0.00052118i,0.00040927+0.00011985i,0.00033111+7.9652e-05i,2.9148e-05+0.00017579i,-4.7525e-05+8.7338e-05i,-0.00032705-0.00071277i
0.0009469-0.00021633i,0.0013763-8.4853e-06i,0.0017893-0.00060192i,0.00013332-0.00084255i,-0.0012176-0.00058688i,-0.00019446-0.00059792i,0.00019258+6.1917e-05i,0.0012142+0.0013618i,0.0020161+0.0029234i,0.00079312+0.0035093i,-0.00011172+0.0023338i,0.00045774+0.0015544i,0.00027153+0.0010662i,-0.00051919+0.00035904i,-0.000611+0.00027211i,-0.00031314+0.00044166i,-6.8296e-05+0.00023452i,-0.00029681+0.00032926i,-0.00088484-3.9966e-05i,-0.0010022-0.00051679i,-0.0013715-0.00033615i,-0.0016681-0.00020404i,-0.00069004-0.00037093i
0.0011877+0.0007292i,0.0024675+0.00044067i,0.0032689-0.00018735i,0.0026905-8.3262e-05i,0.0017276+0.00079674i,0.0014751+0.00059186i,0.0024035+0.00015209i,0.0036498-1.7989e-05i,0.0042575+0.00053925i,0.0032931+0.0015476i,0.0022884+0.0017081i,0.0014108+0.0010111i,0.00082819+0.00040775i,0.0010619+0.0011391i,0.00093624+0.0013177i,0.00059228+0.0010819i,0.000307+0.0004166i,0.00023604-0.00033437i,-0.00011047-0.00035681i,-0.00080135-0.00083743i,-0.00082374-0.00075705i,-0.00056554+0.000599i,-0.00019562+0.00090762i
0.0017123+0.0010319i,0.0017961+0.0007508i,0.0017331+0.00082415i,0.001014+0.00072175i,0.00061243+4.2289e-05i,0.00066518-0.00034616i,0.00062574-0.0013967i,0.00032342-0.0024779i,0.0011443-0.0025382i,0.0014651-0.0015196i,0.001215-0.0010102i,0.0011284-0.0011206i,0.00052867-0.0012012i,-0.00022527-0.00027165i,-0.0004797+0.00069433i,0.00011207+0.00054525i,0.00047115-0.00032685i,0.00014543-0.00078427i,-0.00030331-0.00016219i,0.00029079+0.00024361i,0.0012943-8.3854e-05i,0.0012041-0.00059664i,0.00027407-0.00049972i
0.0013992-0.00096444i,0.0016793-0.0012085i,0.0014946-0.0029301i,0.00032807-0.0026755i,-0.00023717-0.0017733i,-0.00014832-0.0009776i,-0.00013896-0.00016825i,-0.00113-0.0013761i,-0.0022809-0.0030528i,-0.0025915-0.0037543i,-0.0024094-0.0022189i,-0.0014991-0.00057822i,-0.00092395+0.00014408i,-0.00099997+0.00062127i,-0.00048886+0.00047577i,0.00044723+0.00015784i,0.0010815+1.0359e-05i,0.00099968+0.00015156i,8.8361e-05-0.00022584i,0.00022379+0.00014408i,0.00059842+0.00065888i,0.00025014-0.00037897i,-7.9585e-06-0.0010517i
0.00082799+0.0014911i,0.0022448+0.0025476i,0.0013125+0.0034404i,0.00087494+0.0024225i,0.0005396+0.0006636i,-0.00027412-0.00014351i,-0.00071853-0.00050521i,-0.0011911+0.00028941i,-0.0027676+0.0015541i,-0.0039725+0.0016141i,-0.0032025+0.0001114i,-0.0024102-0.00093159i,-0.0018941-0.0010109i,-0.0013192-0.0014517i,-0.00066669-0.0015686i,-0.00011011-0.00071463i,-0.00014253-0.00022152i,-0.00063909-0.00031182i,-0.0012066-0.00025903i,-0.00079414+0.00089108i,-0.00037709+0.00065396i,-0.00064393-0.00080396i,-0.00017195-0.001131i
-0.00014451-0.00032303i,-0.00082899-0.00050505i,-0.00014728-0.00051173i,-0.00015233+8.3897e-05i,0.00052685+0.00011273i,0.0021246-0.00066207i,0.0017763-0.00080442i,0.0010121+2.9629e-05i,0.00045054+0.0018171i,-0.00033205+0.0033975i,-0.00045126+0.0031229i,5.9003e-05+0.00129i,-2.1279e-05+0.00010889i,-0.0002012-0.000302i,9.6668e-05-0.00032588i,0.00010117+8.3544e-05i,0.00023017+0.00059579i,0.00059313+0.00093723i,0.00035072+0.00074103i,-0.00094505-0.00032422i,-0.0017578-0.00093942i,-0.00080289-0.00071397i,-0.00036063-0.00051057i
0.0007489-0.00058873i,0.0016831-0.0012725i,0.0028865-0.00048402i,0.003122+0.0013162i,0.0028059+0.0014148i,0.002892+0.0005733i,0.002616-8.5666e-05i,0.0019832+0.0003074i,0.0026835+0.0014667i,0.0035863+0.0019944i,0.0024734+0.0019947i,0.00097734+0.0018438i,0.0013276+0.00091724i,0.0012364+0.00059225i,0.00023625+0.00089979i,-0.00012657+0.00045242i,0.00016095-0.00019256i,0.00042924-0.00080961i,5.2428e-05+0.00028927i,-0.00062927+0.001436i,-0.00032173+0.0010054i,5.4947e-05+0.00099813i,-0.0005725+0.0010232i
-0.0014262+0.0004899i,-0.0015893+0.0012609i,-0.0025172+0.0019095i,-0.0019762+0.0026305i,-0.0004861+0.0027543i,0.00086734+0.0018869i,0.00074382-9.4158e-06i,0.00053204-0.0019335i,0.0011133-0.0027621i,0.0019347-0.0024619i,0.0024784-0.001892i,0.0022528-0.0016913i,0.0016161-0.0020342i,0.0010417-0.0021349i,0.00068237-0.0013695i,0.00032021-0.00026364i,0.00069604+0.00034435i,0.0011273+0.00050046i,0.00094334+0.00023817i,0.00047913+2.2483e-05i,0.00059678+0.00010854i,0.00054326+0.00032912i,0.0003193+0.00059251i
-0.0010781+0.00023211i,-5.6479e-06+0.00084015i,0.00064626+0.0018249i,0.00099776+0.0011173i,0.0010201+0.00054811i,0.0015547-0.0005263i,0.0010772-0.001297i,-0.0010183-0.0017612i,-0.0020937-0.0024878i,-0.0014808-0.0031994i,-0.0006977-0.0033955i,-0.000649-0.0025231i,-0.0010333-0.0021527i,-0.001113-0.0017508i,-0.0011813-0.0014317i,-0.0011612-0.00075434i,-0.00081107+6.4568e-05i,-0.00031611+0.00044141i,-0.00024365+0.00043168i,0.0001991-0.00028933i,0.0010135-0.00043261i,0.0013726+0.00033588i,0.00046203+0.001189i
0.0015319-0.00054708i,0.0021873-0.00014641i,0.0021085+0.00046018i,0.00098615+0.0011547i,-3.1485e-05+0.0017006i,0.00020034+0.0011257i,0.00012347+0.00096721i,-0.00048984+0.0015515i,-0.0018319+0.0019419i,-0.0036126+0.0012587i,-0.0044655-0.0002051i,-0.0035817-0.0005579i,-0.0023935+1.1805e-05i,-0.0021964-0.00037562i,-0.0016748-0.00064459i,-0.00047989+0.00059725i,0.00022849+0.001081i,0.00017355+0.00071434i,-0.00033252+0.00071643i,-0.0011849+0.00079202i,-0.0010892-0.00031365i,-0.00072341-0.0018347i,-0.00029926-0.0020172i
