-0.00064857+0.0008573i,0.0005036+1.197e-05i,-0.0010483-5.0216e-05i,-0.0012025+0.00087593i,-0.00069578+0.0025057i,-0.00044298+0.0021713i,2.2723e-05+0.00075275i,0.00089304+0.00047889i,0.00163+0.00081988i,0.0013893+0.00042854i,0.001351+1.6263e-05i,0.0014188-0.00024306i,0.00037519-0.00063313i,-0.00030661-0.00037919i,-0.00054211+0.0001022i,-0.00044792+0.00097948i,0.00034599+0.0013319i,0.00040318+0.00052118i,0.00040927+0.00011985i,0.00033111+7.9652e-05i,2.9148e-05+0.00017579i,-4.7525e-05+8.7338e-05i,-0.00032705-0.00071277i
0.001042-0.0013608i,0.0010148-0.0007936i,0.00017571+0.00022684i,-0.0001781-0.00024697i,-0.00059027-0.0014646i,-5.7832e-05-0.00062004i,0.00044148+0.0001467i,0.00029276+0.00070042i,-0.00026754+0.0014139i,-8.9411e-05+0.0013083i,0.0003048+0.00043119i,-0.00034938+0.00053094i,-0.00043288+0.00082014i,-0.00028778+0.00060416i,-0.00023775+8.0475e-05i,-1.0354e-05-0.00038188i,-0.00033416-0.00031565i,-0.00011261+0.00057722i,0.0012324+0.00022459i,0.0013576-0.00055314i,0.00082337-0.00051491i,0.00036977-0.00030569i,-8.2841e-05-0.00042115i
0.00092372+0.00011922i,0.0015562-0.00052133i,0.0013398-0.00092814i,0.00061217-0.00022501i,0.00047276-0.00071235i,0.00068292-0.0015113i,0.00029598-0.0014483i,-0.00015992-0.0013619i,-0.00010002+0.00038777i,0.00053441+0.0014383i,0.00046192+0.00097069i,1.497e-05+0.00064705i,0.00068462+0.00042923i,0.00022702+0.00029964i,-0.00037133+6.9907e-05i,-0.00033413+1.0432e-06i,-7.0918e-05-0.00016767i,0.00030132-8.5046e-07i,0.00022652+0.00091847i,2.3631e-05+0.00187i,9.4643e-06+0.0017856i,-0.00030559+0.00092871i,-0.00054677+0.00031031i
0.00097612-0.00032701i,0.00073489-0.00030965i,0.00027192-0.00037738i,5.7906e-05-0.00016959i,0.00087648-0.0004594i,0.0013681-0.00056835i,0.00046567-0.00016117i,3.4469e-05+0.00044406i,0.00019585+0.0010263i,0.0007146+0.0012832i,6.9551e-05+0.0010503i,-0.00020902+0.00071136i,0.00061609-0.00011001i,0.00098242+7.6686e-06i,-3.5382e-05+0.00027671i,-0.00088213-0.00028544i,-0.00030214-0.00013677i,0.00070339-0.00033113i,0.0010348-0.00025066i,0.00058445+0.00016465i,-0.00026604+0.00019271i,-0.00048114-0.0001387i,-0.00034324-0.0010509i
0.00089869+0.0012548i,0.0016917+0.00076183i,0.00094482-0.00052501i,0.0012018-0.0014363i,0.0022027-0.0013534i,0.001314-0.0011873i,7.5349e-05-0.0010037i,-0.0005182-0.00028721i,-0.00059184-0.00011188i,-0.0003366-0.00031558i,-4.3894e-05-0.00010846i,-0.00018112-0.00012345i,-0.00019074+0.00032405i,-0.00036172+0.00035305i,-0.00031436-0.00040886i,0.00051122-0.00054721i,0.00088326-0.00049777i,0.00040225+0.00029401i,0.00021849+0.00077751i,7.2663e-06+0.00040131i,-0.00040334+0.0010384i,0.00012893+0.00087416i,0.00039231+0.00021657i
3.4947e-05+0.00082761i,0.0010535+0.00093847i,0.0011733+0.0024089i,0.00065601+0.0022751i,0.00058464+0.0010069i,0.00068477+0.00026601i,0.00067476-0.00051916i,0.00052592-0.00057506i,0.00018122-0.00024643i,0.00024244+0.00011466i,1.0769e-05-8.2024e-05i,-0.00015612-0.00041718i,0.00049285+0.00018803i,-0.00018929+0.00051393i,-0.0011679+0.0005764i,-1.5719e-05+0.00034706i,0.00067953-0.00027513i,0.00028015-0.00062542i,0.00026388-0.00041929i,0.00067624+0.00019083i,0.00086916+0.00062115i,0.00062562+0.00070531i,0.00044966+0.00020468i
-0.00012384-0.00045659i,0.0004151-0.00061595i,0.00068554-4.9081e-05i,0.00078329-0.00021061i,0.00064033-0.0010841i,-0.00031923-0.0012747i,-0.0010484-0.0010567i,-0.00060375-0.00033283i,-0.00047785+0.00036445i,-0.00018657+0.0007066i,-0.00013872+0.00097399i,-0.00034835+0.00082603i,-8.393e-05+0.00029201i,0.00036058-0.00039103i,0.00039046-0.00053724i,0.00059812+0.00019048i,0.00031438+0.00052873i,-0.0001444+0.00045845i,0.00020293+0.00024816i,0.00025796-0.00012815i,-0.00033415-0.00058837i,-0.00055971-0.0004443i,-0.0012742+4.381e-06i
0.0012344+0.00017065i,0.0019447-0.00045212i,0.0016555-0.0010886i,0.0012619-0.0011405i,0.0010436-0.00092336i,0.00058702-0.00092157i,-5.1122e-05-0.0012653i,-0.00081904-0.00082352i,-0.0010152+0.00069762i,-0.00062805+0.00079853i,0.00025208+0.00016905i,0.00020307-0.00011426i,-0.00088319-0.00034301i,-0.00082046-0.0005014i,-0.00029605-0.00029768i,5.5373e-05+0.00019733i,-6.4493e-05+0.00016814i,-0.00048773+0.00012451i,-0.00050219+0.00041678i,-0.00021468+0.00034929i,4.1629e-05-0.00012174i,0.00055365+0.00011943i,0.00020684-0.00023383i
0.0009331+0.00051904i,0.0015715+0.00011635i,0.0016873-0.00064704i,0.0013064-0.00087523i,0.00086796-0.00032228i,0.00024065-0.00052348i,-0.00068729-0.00074146i,-0.00082606-0.00038584i,-0.00034914+0.00030195i,0.00054939+0.00055873i,0.00098669+0.00012871i,0.00057366+0.00075983i,-0.00018318+0.0011813i,-0.00041303+0.00033012i,2.7526e-05+0.00032683i,0.00024072+0.00035731i,-0.00025554-5.3751e-05i,-0.00033195+2.2915e-05i,-0.00026618+0.00061037i,4.652e-06+0.00069188i,-0.00022686-2.2662e-05i,-0.00048528+0.00010734i,-3.047e-05+0.00081167i
0.00021133+0.00065147i,0.00078487+0.00095004i,0.0021666+0.00043292i,0.0030596+0.00011838i,0.0025902-0.0004899i,0.0015632-0.0015135i,0.00076088-0.0012314i,-1.7256e-05+0.00027678i,-0.00029449+0.0010112i,3.5018e-05+0.00086635i,0.00027308+0.00027919i,0.00038783+3.9705e-05i,0.00020731+0.0001761i,-0.00034535-0.00039675i,-0.00012273-0.00067878i,-1.2965e-05-4.4686e-05i,-0.00058523+0.00019319i,-0.00018689+4.7883e-05i,-0.0001034+0.00034863i,-0.00030013+0.00031616i,-1.7611e-05+0.00044599i,0.00014395+7.0829e-05i,-0.00019894-5.9497e-05i
0.00013279-0.0015711i,7.2639e-05-0.0016335i,7.715e-06-0.00089085i,-2.462e-06-0.00020495i,0.00014885+0.00027323i,0.00071055-0.00014025i,0.00062799-0.0010407i,3.0186e-05-0.00040675i,-0.000591+0.00022041i,-0.00053287+0.00059852i,0.00062773+0.0011526i,0.00037547+0.001098i,-0.00056607+0.00047571i,-0.00061232-0.00031165i,-4.4624e-05-0.0001409i,0.00018316+0.00016555i,0.00022504-0.00032169i,-0.00015743-0.0002765i,-0.00073967+0.00050549i,-0.0007105+0.00083322i,0.00010958+0.00043522i,5.8008e-05-0.00013384i,5.7682e-05-0.00024343i
0.00072852+0.00016625i,0.0010673-0.00053913i,0.00062872-0.0015642i,0.00053522-0.00062735i,0.00067087+0.00069115i,0.00010192+0.00012975i,-0.00063379-0.00040551i,-0.00011084-0.00020308i,0.0011653-0.00049743i,0.0011662-0.00032444i,0.00077123-4.3856e-05i,0.00039927+0.00044837i,-7.3313e-05+0.00089068i,-5.3903e-05+0.00063653i,-0.00030259+0.00057342i,-0.00041208+0.00068537i,-0.00050727+0.00016537i,-0.00076407-0.00010395i,-0.00030333-0.00056694i,-3.2261e-05-0.00076381i,-0.00057537-0.00024661i,-0.00098138-0.00020194i,-0.00053389-0.00030126i
0.0015748-0.00051026i,0.0023022-2.9792e-05i,0.0020892-0.00016895i,0.0016964-0.00046518i,0.0008968-0.00071157i,0.00020392-0.001224i,-0.00015802-0.001302i,0.00026862-0.00028723i,0.00072348+0.00091007i,0.00094023+0.0010434i,0.0013749+0.00040336i,0.00079677-0.00051422i,-0.00030558-0.00060857i,0.00013953+0.00027296i,9.7638e-05+0.00060816i,-0.00035747+0.00047031i,0.00010934+0.00045295i,4.8279e-05+0.00020574i,-0.0005285+0.00094974i,-0.001185+0.0016608i,-0.0013902+0.0006911i,-0.00065293-0.0007554i,6.1273e-05-0.00092676i
0.00012444-0.00097259i,-0.00045559-0.0010441i,-0.00062764-0.00084209i,-0.0002735-0.00058582i,-0.0002374-0.00092699i,3.904e-07-0.00019503i,0.00047918-0.00015312i,0.00028474-0.0002975i,0.00046887+3.0262e-05i,7.703e-05+0.00039593i,-0.00065807+0.0011694i,-0.00066737+0.0015886i,-0.00073861+0.00014162i,-0.000291-0.0011035i,0.00021764-0.00071074i,9.4002e-05-0.00057709i,-0.0002903-0.0010922i,-0.00078319-0.00031532i,-0.0010077+0.00079496i,-0.0012105+0.00088449i,-0.0011183+0.00068055i,-0.00039848+0.00025863i,0.0003309-0.00014245i
-0.00063671-0.00091471i,-0.00016218-0.0010369i,5.4387e-05-0.00044041i,0.00041163+0.00013863i,0.00098222-0.00041606i,0.0004739-0.001174i,0.00063177-0.0011796i,0.0010117-0.00077029i,0.00061981-0.00085169i,1.8518e-05-0.00061004i,-0.00043413+0.0002163i,-0.000642+0.00064538i,-0.00028043+0.00021335i,0.00010578-2.8201e-06i,-0.00043078+0.00013465i,-0.00034497-0.0002874i,0.00027998-0.00051528i,0.00023461-0.00077998i,0.00034559-0.00069324i,0.00081018+6.8956e-05i,0.00060042+0.0002542i,-5.6762e-05-0.00010786i,-0.00026398-0.00076539i
0.00060133-0.00017644i,0.0012495+0.00038477i,0.0017593+0.0010965i,0.0024231+0.0009273i,0.0019149+0.0001746i,0.0010157-0.0008953i,0.00075351-0.0014039i,0.0004898+0.00023363i,-0.00033377+0.0019059i,8.2894e-05+0.00078516i,0.00057945-0.00062319i,-0.00011134-0.00016165i,-0.00071011+0.00053306i,-0.00035824+0.00010631i,-6.3941e-05-0.00039563i,-0.000166-0.00010889i,0.00034266+8.9053e-06i,1.1613e-05+0.00012069i,-0.00025629+0.00028425i,-1.7206e-05+0.00023332i,-0.00047232-0.00026094i,-0.00032054-0.0007241i,-0.00023053+5.6953e-05i
0.00098691+0.00098216i,0.0014443+0.00084929i,0.0014906-0.00010459i,0.00082668-0.0010307i,0.00044718-0.00055365i,0.00053534+0.00020686i,0.00079344+0.00027044i,0.00077097+0.00038143i,3.4442e-05+0.00048939i,-0.00026842-4.4851e-05i,-0.00036346+0.00027625i,-0.00105+0.00038433i,-0.00064262-0.000317i,0.00042909-0.000359i,0.00013136+0.00042808i,-1.1231e-05+0.00060801i,0.00016591+1.8743e-05i,4.5401e-05+5.948e-05i,-9.9905e-05-0.00017822i,-0.00041876-0.00030725i,-0.00046617-0.00039825i,-0.0001331-0.00029589i,0.00059773-0.00015119i
0.0013381+0.00035948i,0.0011471-0.0010543i,0.00069894-0.001769i,0.0007553-0.0017452i,0.0011774-0.0012593i,0.00036122-0.00072592i,-0.00030865-0.00070771i,-0.00021478-0.00048749i,0.00012337+0.00065304i,0.00050852+0.00083506i,6.7954e-05-0.00034999i,-0.00060688-0.00030534i,-0.00073745+0.00087364i,-0.00059654+0.0011587i,-0.0002451+0.00048558i,0.00011618-0.00052845i,0.00079232-0.00088208i,0.00095381-0.00025032i,2.897e-05-4.9897e-05i,-0.00041035-0.00025741i,-0.00029294+9.6213e-05i,0.00010062+0.00071555i,-0.00017781+6.8301e-05i
0.0020641+0.00052359i,0.0020329-2.1424e-05i,0.0029522-0.00069834i,0.0036453-0.00068915i,0.0027446-0.00066457i,0.0013604-0.0011085i,0.00014763-0.0013338i,-0.00050091-0.00053658i,-0.00050508+3.8593e-05i,-0.00034272+0.0001772i,0.00026292+0.0004214i,0.00063216-2.2796e-05i,0.0006817-0.00075541i,-0.00010581-0.00047763i,-0.00079346-0.00037092i,-0.00020589+0.00028927i,0.00028769+0.00013259i,-0.00035547+9.4445e-05i,-0.00077779+0.00064535i,-0.00030137-1.3893e-05i,-0.00015381-0.00059864i,-0.00068661-0.00049148i,-0.00035142-0.00027995i
0.0011474+0.00061479i,0.0019305+0.00045137i,0.0022039-0.0002063i,0.0017286-0.00065557i,0.0012641-0.00082129i,0.00046951-0.001256i,0.0001754-0.00086973i,-1.0919e-05-0.00048008i,0.00022398-0.00034356i,0.00064256+0.0002793i,0.00011458+0.00056057i,-0.00031285+0.0003432i,-0.0011232+0.00043079i,-0.0010924+0.00080579i,-0.0004949+0.00060634i,-0.00041516+0.00024269i,0.00014494+0.00062903i,0.00044075+0.00047786i,-0.00016879+0.00036222i,-0.00077843+0.00025918i,-0.00064966-0.00027434i,-0.00046543+5.8293e-05i,0.00019669+0.00037873i
-0.00054014+0.00013138i,-0.00041356-9.2695e-05i,0.0010328-0.00035959i,0.0029416+0.00058959i,0.0023945+0.00092337i,0.001063-8.9298e-05i,1.241e-05-0.0013624i,-0.00093841-0.0012658i,-0.00070745-0.0002844i,0.00024006+0.00018635i,0.00013277+5.8951e-05i,8.2901e-05-0.00046956i,-0.00035464-0.00025066i,-0.0010955-4.7707e-05i,-0.00039167-0.00026078i,0.00050632+0.00029039i,0.00035941+0.00057181i,-0.00031874+0.00010855i,-0.0011547+0.00089888i,-0.0010218+0.0010658i,-6.4429e-05-0.00010064i,0.00051362+0.0004899i,0.00012338+0.00082475i
0.00044922+0.0004005i,0.0012179+0.00035379i,0.00052045+0.00022624i,3.3334e-05+0.00016838i,0.00023013-0.00036672i,0.001155-0.00015722i,0.00086482+0.00045944i,-0.00040923+0.00057536i,-0.00055882+1.1305e-05i,0.00057642+0.00022752i,0.00081136+0.0013991i,9.4063e-05+0.0014062i,-0.00077301+0.00040461i,-0.00043564+0.00039164i,-0.00015428+0.00054459i,-0.00095699+0.00027908i,-0.00062261+0.00035064i,-7.4249e-06+0.00055802i,0.00027519+8.3329e-05i,0.0006009-0.00025961i,6.1961e-05+0.00033167i,-0.00050022-0.00018781i,-0.00044156-0.00081817i
0.0023357-0.00056403i,0.0028429-0.0009197i,0.0026662-0.0013571i,0.0022786-0.0012735i,0.0014028-0.00012442i,0.00059483+0.00024246i,0.00067589-0.00071397i,0.00027721-0.00054994i,-0.00019169+0.00011137i,-9.9345e-05-5.2622e-05i,-0.00038275-0.00020014i,-0.00074963-4.3691e-05i,-0.00059334+0.00027271i,-0.00087719+0.0012311i,-0.00090471+0.0013947i,-0.00014991+0.00031147i,-0.00014193-8.7779e-05i,-8.0357e-05+0.00037686i,9.27e-05+0.00048433i,-5.6634e-05-4.9131e-05i,0.00030181-0.00039879i,0.00035831-0.00054672i,-0.0003349-0.00084493i
-0.00051296+0.00046456i,0.0012276+0.00033436i,0.001581-0.00093896i,0.00078481-0.0012745i,-0.00021171+0.00015434i,-0.00023321+0.00032885i,-0.00044614-0.00071746i,-0.0010329-0.00073434i,-0.00067026+0.00025483i,-0.00028893+0.00086935i,-0.0003111+0.00092971i,-0.00023823+0.00070806i,-0.00050157+9.0128e-05i,-0.00065977-0.00081762i,-0.00043312-0.00036583i,-0.00051087-0.00024268i,-0.00041911-0.00060709i,-7.8824e-05-0.00052105i,-4.9658e-05+0.00011005i,9.267e-05+0.0002371i,0.0010354-0.0007105i,0.0005726-0.00040413i,7.5646e-05-0.00032895i
-0.00080481+0.00027565i,-0.0013576-0.0004283i,-0.0014716+0.00035855i,-9.1961e-05+0.00059283i,0.0014474+1.8286e-05i,0.0019556-0.00084221i,0.0015617-0.00056316i,0.0010127+2.2661e-05i,1.9624e-05+0.00014729i,-0.00023963+0.00070777i,0.00043278+0.00089208i,0.00068298+0.00066115i,2.3057e-05+7.255e-05i,-0.00081469-0.00012835i,-0.0010219+0.00056146i,-3.2599e-05+0.00060057i,0.00157-0.00012753i,0.0013514-0.00014475i,0.00023733+8.7354e-05i,0.00014007+0.0006188i,-0.00037115+0.00040916i,-0.00048423+0.00020901i,0.00010181+0.00041365i
0.00069977-0.00036261i,0.00083518-0.0010124i,0.0017946-0.00056229i,0.0029984+0.00036981i,0.0023086+0.000668i,0.00096537+0.00055955i,0.00076766+5.7885e-05i,0.00041804-0.00022496i,-0.00023169+0.00043609i,-0.00041397+0.00058456i,3.1615e-05-0.00021046i,0.00086551-0.00043296i,0.00078973-0.00026852i,0.0002996-0.00017205i,0.00058432+0.00017243i,0.0011385+0.00034043i,0.0011942-0.00013954i,-8.6088e-05-0.00060381i,-0.00047492-0.00041797i,0.00067326-0.0006565i,0.00086889-0.00036949i,0.00010264+0.00019457i,0.00016741-0.00016329i
0.00052128-0.00035654i,0.0011934-0.0011648i,0.0011676-0.0016519i,0.00082091-0.0019376i,0.0005512-0.0020032i,0.00011689-0.0011876i,-0.00037539-0.00067629i,-0.00025431-0.00015344i,3.7765e-05+0.00096501i,0.00010734+0.00094255i,0.00024979+0.0002719i,0.00018512+0.00027276i,-0.00018403+0.00011631i,-0.00021755+0.00015238i,-1.0166e-05+0.00050704i,0.00016645+0.00094221i,-0.00019202+0.0011668i,-0.00056451+0.00080262i,-0.00043138-0.0001003i,-0.0001208-0.0010364i,0.00044949-0.0010472i,0.001327-0.00064991i,0.0010427-0.00049077i
0.000128+0.0011784i,0.00094855+0.0010122i,-8.5236e-05+0.00049363i,-3.9654e-05+0.00035365i,0.0014446+0.00060307i,0.0015029+0.00085028i,0.0007754+0.0002383i,0.0010792-6.8374e-05i,0.00066334+0.00091837i,0.00071048+0.0018294i,0.00044193+0.0015101i,0.0001357+0.00055629i,-0.00015546-0.00010307i,-0.00033605-0.00029434i,-0.00011769-0.00032322i,-0.00049848-0.00014733i,-0.00066364-0.00031249i,-0.00013616-0.0011685i,0.00026965-0.00065937i,0.00086612+0.0005i,0.00036833+0.00062317i,-0.00069546-9.8502e-05i,-0.00019526-0.00063043i
0.00011806-0.00018018i,0.00010725-0.00016653i,0.00025159-7.1543e-07i,0.0011602+0.00065004i,0.0015021+3.4225e-05i,0.00085245-0.00089845i,-0.00063275-0.00086598i,-0.00068253-0.00025015i,0.000208-0.00024637i,-0.00042485-0.00018246i,-0.00040584+1.0445e-05i,3.4072e-05+1.4161e-05i,-0.00050793-0.00069063i,-0.00038455-0.0010716i,-0.00044259-0.00011754i,-0.00065139+0.0002435i,0.00027864+0.00017157i,0.00064758-0.00051462i,0.00054888-0.0012568i,0.000763-0.00099469i,0.00063319-0.00016633i,0.00014173-0.00020299i,2.5228e-05-0.00083648i
0.0024859-0.00050004i,0.0028315-0.00079639i,0.0027818-0.0012899i,0.002786-0.0014073i,0.0020935-0.001175i,0.00065926-0.00064561i,-0.00033608+0.00070587i,0.00024579+0.00065819i,0.00092316-0.0002957i,4.2185e-05-0.00019215i,-0.0010951-5.8449e-05i,-0.0010716-0.00019735i,-0.00073319+0.00046422i,-0.00080571-0.00017081i,-0.00046806-0.00083601i,-1.4434e-05-0.00031964i,-8.153e-05-0.00035484i,2.4812e-05-0.00010461i,0.00083781-5.1625e-05i,0.00093216+0.00011644i,-0.00044201+0.00065239i,-0.00061485+0.00049288i,0.00014939+0.00047145i
0.0022042-0.00030837i,0.0017365-0.00064776i,0.001715-0.0015389i,0.0013834-0.0029731i,0.0011152-0.0021826i,0.00023897-0.00071625i,-0.00081705-0.00077377i,-0.00032525-0.001138i,-0.00016143-0.0010013i,-0.00041897-0.00087584i,-0.00063624-0.0004405i,-0.001114+1.3621e-05i,-0.00053466-0.00043147i,5.8329e-06-0.00056854i,-0.00025062-0.00048005i,1.1615e-05-0.00060197i,0.00022358-0.00049707i,0.00028505-0.00048137i,5.6315e-05+0.00028004i,-0.00022301+0.0001096i,-0.00061202-0.00063419i,-0.00045007-0.00062831i,0.00018465-0.00046708i
-0.00030496-4.6367e-05i,0.00052228+0.00020307i,0.0005013+1.4237e-05i,0.00080439+0.00021329i,0.00059288+0.00096493i,0.0006023+0.00081488i,0.001072-7.2416e-05i,0.0006109-0.00010802i,0.00023311+0.00036677i,0.0003757+0.00032493i,-0.00020563-0.00032355i,-0.00040026-0.00028099i,-0.00052913-0.00049648i,-8.5098e-06-0.00043768i,0.00019134+0.00031604i,-0.00014901-0.00026397i,-0.00078912-0.00089675i,-0.0010435-3.9446e-05i,-0.00013125+0.0008483i,0.00057323+0.0011532i,2.3944e-05+0.00089561i,-0.00055106+3.4679e-05i,-0.00042774-0.00036685i
0.00065092+0.00070699i,0.0004321+0.00048111i,0.0013005+0.00073958i,0.0017969+0.00069501i,0.0012333+0.0001429i,0.00036353-0.00069286i,0.00025946-0.00099274i,0.00020805-0.0002656i,-0.00047008+0.00063912i,-6.135e-05+0.00049553i,0.00082934-0.00019324i,0.0010248-0.00028i,0.00025632+0.00028621i,-0.0011618+0.00023723i,-0.0013233-0.00042616i,-0.00036034-0.00072176i,-0.00011907-0.0002952i,-0.00050349+0.00015478i,-2.9927e-05+0.0005151i,0.00063188+0.00050094i,0.00098954-3.2249e-05i,0.00049465+0.00023902i,8.2831e-06+0.00020123i
0.0030948+0.00075376i,0.0038511-0.00098617i,0.0045053-0.0020944i,0.0041448-0.0020888i,0.0025236-0.0021722i,0.0006202-0.0021379i,-0.00031226-0.0010303i,-0.00061701-0.00022406i,0.00034749-0.00065159i,0.00085218-0.00026974i,0.00060975-0.00026658i,-0.00015169+0.00023508i,-0.00047617+0.00088552i,-0.00044468+0.0010343i,-0.00032842+0.0011058i,3.127e-05+0.00094727i,0.00022091+0.0011012i,3.9396e-05+0.000674i,-0.00046524+0.00017274i,-0.00069432-0.00013927i,-0.00053616-0.00056654i,1.094e-05-0.00042776i,0.00041883+0.00035971i
0.0015354+0.0010692i,0.0024276-0.00031497i,0.0028235-0.00035216i,0.002291-6.7789e-06i,0.0015906-0.00013159i,0.00064747-0.0005738i,-0.0001023-0.00089876i,-5.7855e-05-0.00067248i,0.00049617-0.00039083i,0.0008115-0.00043188i,0.00073697-0.00016781i,0.00010814-0.00012162i,-0.00066572-0.0004865i,-0.00072105-0.00061054i,-0.00070866-0.00049746i,-0.00087069-9.0504e-05i,-0.00029118+0.00036734i,0.0005634+0.00062711i,0.00048384-0.00010513i,0.00041395-0.0013411i,0.00027268-0.001317i,-0.00013199-0.0010337i,-0.0008473-0.0007455i
-0.00078392+3.6838e-05i,-4.4129e-05+0.0010636i,0.0014807+0.0020724i,0.0020338+0.0016722i,0.0012047+0.00089456i,0.00052276+0.00016369i,0.00076121-0.00060387i,0.00030648-0.00023196i,0.00030598-0.0004529i,0.00047602-0.00029642i,0.00017925+7.4139e-05i,0.0002658-0.00069317i,0.00043441-0.00072007i,0.00057736-0.00017254i,0.00067493+0.00028171i,0.0003305+0.00017294i,0.00053742+7.765e-05i,0.00038929+0.00020575i,-8.2113e-05+0.00084082i,0.00013952+0.00089769i,0.00072162+0.00065335i,0.00027621-3.0701e-05i,7.8663e-05-0.00043615i
0.00025658+0.00070712i,0.00019688-0.00047161i,0.0003976-0.00035698i,0.00062964-0.00043357i,0.00065743-0.00069028i,0.00027954-0.00066554i,-4.0313e-05-0.00049726i,7.6116e-05+4.0266e-05i,8.3016e-07+0.0012476i,0.00011984+0.0007339i,0.00059132-0.00041817i,0.00078852-5.5472e-05i,0.00039802-4.7269e-05i,-0.00011037-0.00027721i,5.6138e-05-4.3459e-05i,0.00026214+0.00036787i,0.00040463-9.9096e-05i,0.00034836-0.00044756i,0.00054794-0.00026314i,0.00081403-0.00013348i,0.0011311-0.00047587i,0.00088121-0.00035624i,0.000626-0.0001028i
0.0011451-0.00046642i,0.0018835+0.00033259i,0.0016054+0.00041723i,0.0017776+0.0003941i,0.0020692+0.00029302i,0.0017715-0.0010528i,0.00089535-0.0011082i,0.00062204+1.9382e-05i,0.00071645+0.00058981i,0.00062422+0.00034232i,8.5306e-05-0.00012052i,-0.0010826-0.00053702i,-0.0016428-0.0005994i,-0.00077514-0.00041687i,-0.0003025+1.0185e-05i,-0.00038055-6.7989e-05i,0.00068338+9.3837e-05i,0.0012815-7.2222e-05i,0.00092221-0.00025589i,0.00069517+0.00069972i,0.00010085+0.0009364i,6.7601e-05-5.0992e-05i,0.0001548-0.00044326i
0.00079513-2.4975e-05i,0.00094327+0.00092048i,0.00041103+0.00062908i,0.00049034-0.00012837i,0.00063716-0.000227i,0.00032276+3.5184e-05i,0.00022326-0.00011075i,-0.00021256-0.0001502i,-0.00020475+0.00033146i,0.00013213+0.0012585i,0.00072807+0.00083348i,0.00045337-0.00046117i,-6.247e-05-0.00077099i,-0.00035558-0.0004585i,-0.00063569-5.1143e-07i,-0.00026996+2.6724e-06i,-0.00017768+0.00012229i,-0.00074162+8.6325e-05i,-0.00016774-0.00057248i,-0.00014066-0.00025466i,-0.00043729-0.00025681i,-0.00031235-0.00091316i,-0.00077222-0.00055743i
-0.0010807+0.00042045i,-0.00084175+0.0010647i,-0.00052221+0.00026294i,-9.5545e-05+0.0004797i,-0.00042154+0.00018327i,0.0005536-0.0001921i,0.0013663-0.00016468i,0.00068477-0.00017699i,0.00011915+0.00018633i,3.8078e-06+0.00056254i,0.00046873+0.00077522i,0.0011702+0.00054049i,0.0010089-0.00022936i,0.00079131-0.00050109i,0.00011942-0.00041994i,-0.00071599-0.00047827i,-7.6506e-05-0.00044298i,0.00070718+4.2407e-05i,0.00044577+0.00039607i,0.00081943+0.0005912i,0.00071361+0.0012772i,-1.3642e-05+0.0015999i,-3.3138e-05+0.00089802i
0.00045113-0.00069254i,0.0010253-0.00087414i,0.00013132-0.00028248i,0.00010282-9.2263e-05i,0.00095668-0.00018781i,0.0010922-0.00067975i,0.0003529-0.0010452i,-0.00032785-0.00085861i,-0.00042862+0.00020235i,-0.00030166+0.0011043i,-0.00040503+0.00043706i,-0.00028632-0.00038761i,-3.9117e-06-0.00031221i,-0.00032119+0.00029795i,-0.00016849+0.00023913i,0.00018841+0.00017527i,-0.00022996+0.00068766i,-0.00011816+0.00063376i,0.00061002+0.00044327i,0.00029001+0.0010411i,-0.00057673+0.00098026i,-0.00054924+0.00074144i,-0.00040235+0.00062762i
0.0017621-0.00082588i,0.0021817-0.00057002i,0.0020069-0.0010562i,0.0015731-0.00078948i,0.00046738-0.00048471i,-0.00075208-0.00097447i,-0.00090666-0.00029442i,-0.00027812+0.0009205i,0.00059238+0.001055i,0.00079635+0.00036032i,0.0002797+7.9275e-05i,0.00057732+8.9224e-05i,0.00057706-1.363e-05i,0.00012493-7.5402e-05i,-0.00021082-0.00028554i,0.00017539-7.9908e-05i,0.00061357+0.00036935i,6.2772e-05+0.00052061i,-0.00026069+0.00054453i,-0.00035715+0.00069083i,-0.0004171+0.00096778i,-0.00085276+0.00067207i,-0.00019873-0.00017002i
0.00023978-0.00015816i,0.00066219-0.00058414i,0.0011326-0.00076511i,0.00072641-0.00047758i,3.5794e-05-0.00078301i,9.0571e-05-0.00086062i,0.00046149-0.00093238i,0.00025736-0.0011793i,-0.00024679-0.00081889i,-0.00032599-4.6614e-05i,0.00010476-0.00035567i,0.00028683-0.00093575i,-0.00010017-0.00017309i,3.7217e-06+0.00048665i,-0.00022508+0.00013795i,-0.00012387-0.0001163i,0.00068155+0.00013082i,0.00031825+0.00030641i,-0.00049135+0.00012916i,-0.00064997-0.0003344i,-0.00045382+4.7718e-05i,-0.00017251+0.00039121i,6.0268e-05-3.5976e-05i
-8.9378e-06-0.00073948i,-0.00029828-0.0017179i,-0.00031879-0.0024404i,-0.00015334-0.00084751i,0.00041298+0.00036553i,0.00036691+0.00032923i,0.00060978+0.00079286i,0.00059896+0.00022783i,-0.00011422-0.00059393i,-0.00021404+0.00017665i,-0.00012332+0.00022228i,-0.00037167-0.00097929i,-0.00040048-0.0011796i,-0.00019812-0.00075426i,-4.4797e-05-0.00026286i,0.00027764-9.5826e-05i,0.00023884-0.00058259i,5.3277e-05-0.00091161i,0.00017451-7.4397e-05i,7.9411e-05+0.00050498i,-2.0052e-05+0.00056915i,-0.00013637-0.00029061i,-0.00028713-0.00051985i
