-0.0017526-0.0007612i,-0.0015082-0.00077667i,-0.0014881-0.00029878i,-0.00068349-0.0014664i,-0.00041603-0.0014846i,-0.00054332+1.441e-06i,-0.00031079+0.0012062i,-0.00010808+0.0015696i,0.00020785+0.0013181i,0.00036302+0.0010311i,0.0002278+0.00084659i,3.4613e-05+0.00048688i,-7.4013e-05+3.4772e-05i,-0.00046899-0.00028316i,-0.00081682-0.00011166i,-0.00075023+0.00027837i,-0.00054122+0.00039489i,-9.4745e-05+0.000276i,0.0003323-8.4173e-06i,0.00077282+0.00012042i,0.00082276+0.00091268i,0.00068838+0.0012417i,0.00052231+0.00050188i
-0.0010166-0.00057148i,-0.0017143-0.00037006i,-0.0016523+5.7385e-05i,-0.0013268-0.00038668i,-0.0010225-0.00075239i,-0.00098726+0.00018845i,-0.00064566+0.00054818i,-0.00045047+0.00060889i,-0.00049038+0.00080944i,-0.00054374+0.00085221i,-0.0011911+0.0009587i,-0.0013303+8.3913e-05i,-0.0011025+8.3395e-05i,-0.00092565+0.00075345i,-0.00020624+0.0004588i,0.00033903-0.00050395i,0.00043073-0.00072603i,-0.00032802-0.00088359i,-0.00086508-0.001189i,-0.00096315-0.0015718i,-0.00094382-0.0010641i,-0.00071098+0.00049328i,-5.1072e-05+0.00094239i
-0.0016172-0.00082002i,-0.0013722-0.0017407i,-0.0015099-0.0024436i,-0.00040603-0.0012548i,0.00091523-0.00037142i,0.0013507-0.00089922i,-0.00010072-0.00053381i,-0.001395-0.00023825i,-0.001072-0.00019117i,-0.00031423-0.00011271i,-9.4839e-05+0.00012187i,-0.00012854+0.00029228i,0.00072519-9.5484e-05i,0.0013511-0.00067936i,0.0011609-0.0014103i,0.00054597-0.0013344i,-4.8155e-05-0.00052251i,-0.00041644-0.00063391i,-0.00048814-0.00065347i,1.8096e-05-0.0003548i,2.0186e-05-0.00023883i,0.00020325+0.0004184i,1.5683e-05+0.0010494i
0.00015913-0.00016199i,-0.0001485-0.0011718i,-0.00040812-0.0016512i,3.6236e-05-0.00094762i,-0.00034974-8.444e-05i,-0.00095503+0.00068021i,-0.0001573+0.0011675i,-0.00012756+0.00084604i,1.2307e-05+6.3704e-05i,-0.0001155-4.5059e-05i,-0.00067026-2.5457e-05i,-0.00078899+0.00030774i,6.739e-06+0.00035255i,0.0007929+8.2277e-05i,0.00042109+0.00022608i,-0.00088992-0.0006276i,-0.0011734-0.0014532i,-0.00048563-0.00075673i,-0.000373-0.00022095i,-0.00041432+0.00031714i,-0.00058649+0.00040997i,-0.00049756+0.00042136i,-0.000188+7.0082e-05i
-0.00073113-0.00042332i,-0.0008761-0.00024223i,-0.00027372+4.909e-05i,0.00059488+0.00020005i,0.00087307+0.00065299i,0.00022336+0.00019289i,-0.00077266-0.00043251i,-0.0011529-0.00023785i,-0.00048167+0.00077747i,0.00028689+0.0010312i,-9.3424e-05+0.0004059i,-1.7778e-05+0.00065984i,0.00023684+0.00048177i,-2.2109e-05-0.0002145i,-0.0001008-0.00069522i,-0.0005792-0.00066i,-0.00059286-0.00018573i,-0.00038148+2.3238e-05i,-0.00030302+0.00024625i,2.4146e-05+0.0006078i,-0.00031829+0.00022878i,-0.0003669-4.5116e-05i,0.00034797-4.9843e-05i
-9.4309e-06-0.00051455i,0.00016851-0.0001486i,-0.0004097+0.0002454i,-0.00067132-0.00025099i,-0.00025806-0.00048554i,-0.00029414-0.00010961i,-0.00066068-0.00020598i,-0.0009966-5.7642e-05i,-0.00070822+0.00070531i,-0.00028708+0.00030171i,5.3434e-05-0.0008458i,-0.00026572-0.0010584i,-0.0003606-0.00079789i,0.00042744+0.00018233i,0.00034308+0.00054865i,-0.00076349-0.00015935i,-0.00083095-0.00056252i,-0.00024064-0.00021465i,-0.00016613+0.00048708i,-0.00063244-2.5488e-05i,-0.0011166-0.0002836i,-0.00061017-0.00042535i,0.00010455-0.00059224i
-0.00062371-0.00022882i,-0.00024299-0.00036956i,0.00030667-0.00057863i,9.7767e-05-0.00075901i,-0.00082354-0.00031059i,-0.00091354+0.0003151i,-0.00014979-0.00049604i,-1.8684e-05-0.0010103i,-0.00036949-0.0008599i,4.6115e-05-0.00050415i,0.00012068+0.00015585i,-0.00010281+0.00013451i,0.00033343-0.00049211i,0.00068659-0.00076952i,8.0826e-05-0.00063461i,-0.00014196+0.00013832i,0.00029489+1.8654e-05i,0.00034112-0.00025065i,7.1475e-05-0.00018287i,-0.00035002-0.00033206i,-0.00080271-0.00049948i,-0.0003925-0.00065562i,-6.6349e-05-0.0004666i
-0.00060662+0.00081936i,3.2104e-05+0.0012162i,0.0007678+0.00060116i,0.00065844-0.00059233i,-0.00082961-0.0018365i,-0.00061538-0.001209i,0.00074269+0.00029506i,0.00050238+0.00048958i,0.00010504+0.00015946i,0.00030529-0.00027167i,0.00013552-0.00026592i,-0.00044757+0.00035345i,-0.00045785+0.00032273i,0.00014015-0.00024678i,0.00028106-0.000583i,0.00052795-0.00081986i,0.0012071-0.0006221i,0.0011446-0.00041115i,0.00043936-0.00012049i,6.649e-05+0.0004414i,-0.0005067+0.0003769i,-0.0012313+0.00018331i,-0.0010063+0.00048651i
-0.00047017+0.00066439i,-0.0018467+0.0018646i,-0.0015563+0.0018185i,-0.0010983+0.00038633i,-0.0011634-0.000692i,-0.0015799-0.00080425i,-0.0013367-0.00081833i,-0.00034323-0.00042101i,0.00042588-7.7126e-05i,0.0009101-0.0005965i,0.00028526-0.000393i,-0.00033226-6.0399e-05i,-0.00095377-6.2587e-06i,-0.0010028-7.1866e-05i,-0.00016908-0.0006575i,-0.00030165-0.00052149i,-0.0010337+4.9998e-05i,-0.00086281-0.00050483i,-0.00055446-0.00062558i,-0.00031422-9.7762e-05i,0.00047211+0.00015379i,0.00095869+0.00034328i,0.00081896+0.00073659i
-0.00076809-0.00096186i,-0.0014897-0.00014351i,-0.0010843-0.00086064i,-0.00061711-0.0012885i,-0.00029894-0.0014909i,0.00019916-0.001298i,6.4438e-05-0.00026142i,-0.00044393+7.5478e-05i,-0.0003919+0.00017999i,-0.0003736-1.0996e-05i,-6.1e-06-0.00046362i,0.00059831+0.00021446i,0.00053373+0.00080978i,8.9532e-05+0.00035446i,-8.1404e-05-0.00055947i,-0.00045733-0.00039232i,-0.00030988-0.00011855i,0.00087647+8.5199e-05i,0.00064553+0.00085917i,-0.00029149+0.00077953i,-0.00058249+0.00033754i,-0.00082964+0.00058862i,-0.00046958+0.00054231i
8.8261e-05-0.00030085i,-0.00085756-0.00071113i,-0.00066141-0.00083429i,-0.0004703-0.0011997i,0.00057154-0.0017546i,0.00075941-0.0011738i,0.00026664+0.00014306i,-0.00011749+0.00051809i,-0.00048244-0.00021636i,-0.00020763-0.000241i,7.6014e-05+0.00012013i,0.00049398+0.00025006i,0.00070916+0.0002095i,0.00029405-0.00051684i,0.00015714-0.00048462i,0.00014677+6.4803e-05i,-0.0001846+0.0004146i,-0.00064821+0.00041925i,-0.00069738+0.00011561i,-0.00046079+0.00030365i,-5.8359e-05+0.00011447i,0.0002216+8.7192e-06i,0.00022316+0.00029183i
