-0.0012317+0.0020751i,-0.00032044+0.0017222i,-0.0011332+0.00082264i,-0.00096915+0.00061071i,-0.0011767+0.0015206i,-0.0013465+0.001739i,-0.00093305+0.0019905i,0.00040465+0.0015282i,0.0013272+0.0010307i,0.00087816+0.00090033i,0.00021366+0.0006928i,0.0002158+0.00038527i,0.00043316-0.00018003i,0.00094758-0.00048336i,0.00085198-0.0005103i,0.00039101-0.00029491i,0.00015106+0.00038811i,0.00022429+0.00047557i,0.00060922+0.00041554i,0.00048972+0.0005707i,0.00050513+0.00032656i,3.3251e-07-0.00055498i,-0.00080161-0.00055327i
-0.0024385-5.9713e-05i,-0.0022229-0.00026016i,-0.0015113+0.00024949i,-0.0012382+0.00031571i,-0.0013919-0.00021281i,-0.00091586-0.00042201i,0.00032024-0.00014726i,0.00045922-0.00041142i,-9.7299e-05-0.00058657i,0.00013449-0.00035703i,0.00018106-0.00026148i,-7.8308e-05-0.00088159i,0.00022461-0.00044927i,0.00050093+0.00040339i,0.00038794+0.00010276i,0.00043873-0.00052976i,0.00037581-0.0006432i,-7.6275e-05-0.00055436i,3.9855e-05-0.00017347i,0.00031899+0.00018017i,0.00039692+0.00010865i,0.00036422-0.00027628i,0.00030332-0.0002223i
-0.0012254-0.00077425i,-0.0011249-0.0011374i,-0.001229-1.4641e-06i,-0.00030162+0.00064442i,0.0008382-1.1283e-05i,0.0006409-0.00098265i,-8.432e-05-0.00093773i,-0.0008911-0.00058056i,-0.0011601-0.00053361i,-0.00047354+4.9849e-05i,-0.00016873+0.00022653i,-0.00015154-0.00022489i,-0.00016005+0.00031576i,-0.00041557+0.00029754i,-0.00036724-3.3248e-05i,0.00054744+0.00031039i,0.0011269+9.6867e-05i,0.00055954+0.00036494i,-0.00014481+0.00045798i,-0.00069024+0.00013051i,-0.000545+0.00013019i,0.00011905+1.4686e-05i,0.00043319-0.00028697i
-0.00052145-0.0016186i,-0.00053175-0.0010184i,-0.00080966+0.00073936i,-0.00076544+0.0021527i,0.00021308+0.0013769i,0.00027555+0.00013582i,0.00010399+5.5146e-05i,0.00037414-1.1116e-05i,-0.00035402-0.00071675i,-0.00083993-0.00093245i,-0.00080233-0.00047449i,-0.00045428+0.00011639i,5.5643e-05-0.00022984i,3.7843e-05-0.00060717i,0.00018242+0.00036281i,0.00038672+0.0014471i,0.00030219+0.0013747i,2.116e-06+0.0011475i,-0.00016658+0.00037592i,0.00068699-0.00039242i,0.0013671+3.3866e-05i,0.00098608+0.00034144i,0.00027824+0.00067842i
0.00012868+5.2181e-05i,-0.0013184+0.00026466i,-0.0022997-2.7533e-05i,-0.0024657-0.00023976i,-0.0017189+9.5485e-05i,-0.00062697+0.00031011i,-0.00069376+0.00011769i,-0.00071005-0.00048569i,-0.00059045-0.00033123i,-0.00049117-9.9799e-05i,0.00021647-0.00052463i,0.00059696-0.00029561i,5.1341e-05+4.6767e-05i,0.00011361-0.00011411i,0.00060823+0.00044948i,-0.00011782+0.0006009i,-0.00041421+4.4389e-05i,-1.3574e-05-0.00072858i,-2.2504e-05-0.00060181i,-2.6025e-05+0.00013022i,6.3314e-05+0.00018411i,0.00030319-0.00017392i,0.00042675-0.00047124i
-0.00077452-0.00050308i,-0.0018799-0.00047306i,-0.0014918-0.0010047i,-0.0006093-0.00039903i,-0.00090116+0.0005768i,-0.0014682+0.00096211i,-0.0012037+0.0010109i,-0.00064478+0.00079252i,7.8723e-05+0.00058219i,-4.1895e-05+0.00034781i,1.56e-05+0.00011573i,0.00094926+0.0002934i,0.00081886+0.00038169i,0.00041506-3.6866e-05i,0.00074918-0.00028754i,0.00094329-0.00050771i,0.00082876-0.00050424i,0.00035995-0.00037815i,-0.00032397-5.7752e-05i,-0.00058373-0.00029776i,0.00019399-0.0003194i,-3.2376e-05-1.2012e-05i,-0.00080896-0.00026634i
0.0012991-0.00021761i,0.0013918+0.00023278i,0.0012546+4.2061e-05i,0.001758-4.6286e-05i,0.0012005+1.7251e-05i,-0.00023085+0.00044433i,-0.00016652+0.00063777i,1.683e-05+0.00059443i,0.00036936+0.00062785i,0.0010446+0.00067662i,0.00028325+0.00099434i,2.6894e-05+0.0013044i,0.00052854+0.00066748i,0.00056574+9.0113e-05i,0.00011581+0.0008933i,0.00043907+0.0005592i,0.001232-0.00085166i,0.00098227-0.0011681i,0.00056326-0.00041844i,5.2259e-05+0.00015814i,9.3334e-05-0.00026997i,-0.00014573-0.00080384i,-0.00037166+3.335e-05i
-0.00082631-0.00044382i,-0.0017517-0.0018827i,-0.0035404-0.001441i,-0.0033126-5.8632e-05i,-0.0013768+0.00016651i,-0.00043074-0.00037482i,-9.0753e-05-0.00081739i,-0.00077455-0.00016421i,-0.00080935+0.00086975i,-0.0003382+0.00055741i,0.00036293-6.1913e-05i,0.00035381-0.00025315i,-0.00025257-0.00039344i,0.00059575-6.674e-05i,0.00084599+0.00020833i,4.7458e-05-0.00063517i,0.00033304-0.00067939i,0.00089522-0.00010324i,0.00042305+0.00015937i,-2.0771e-05+9.2606e-05i,-0.0001121-0.00048909i,0.00033407-0.00025626i,7.8927e-05+0.0004418i
0.00010968-5.4088e-05i,8.2827e-05+0.00052863i,0.00059284+0.00046511i,0.0009018+9.931e-05i,0.00042442+5.2839e-05i,6.4303e-05+0.0001233i,-0.00057109+0.00051935i,-0.0011591+0.00073413i,-0.00037616+0.00022366i,0.00059438-0.00048124i,0.00064212-0.000604i,7.7735e-05-0.00039915i,-0.00012006+0.00050357i,0.00018731+0.0016177i,-1.0367e-05+0.0015409i,-0.00023018+0.00090674i,0.00024553+0.00051464i,0.00085393+0.00031446i,0.00069097+0.00046971i,3.427e-05+0.00062369i,-0.0004393+0.00020965i,-0.00070108+0.00027124i,-7.2295e-05+0.00058235i
-0.00078847-0.0014693i,-0.0024729-0.001409i,-0.0028302-0.0014634i,-0.001617-0.00053583i,-0.00090391+0.00033384i,-0.001208+0.0010473i,-0.0012752+0.00076469i,-0.00041238+0.0005883i,-0.00073294+0.00097329i,-0.00076909+0.00069398i,0.00052433+0.00062413i,0.00066247+0.0007392i,0.00037521+0.00072611i,0.00037428+0.00025267i,-0.00017822-0.00042572i,-0.00075431-0.00077377i,-0.00016003+1.9758e-05i,0.00015681+0.00054732i,-0.00037699-0.00031722i,-0.00041921-0.0011143i,6.7628e-05-0.00015803i,0.0002061+0.00043714i,-0.00031165+0.00028739i
0.00010645-0.00060028i,0.00031147+0.00025223i,-0.0012015+0.00061988i,-0.001697+0.00025086i,-0.00028023+0.00058141i,0.00061927+0.0010181i,5.3387e-05+0.00040116i,-0.00052417+0.00071341i,-0.00026991+0.00088598i,-0.00030474+0.00054262i,1.7548e-05+0.00063728i,0.00079607+0.00016174i,0.0006124-0.00019711i,0.00042151-0.0003352i,6.8216e-05-0.00085678i,0.00039784-0.00052037i,0.0010382+0.00017681i,0.00078049-0.00014456i,0.00060588-0.00025111i,0.00066287-0.00069145i,-4.8972e-05-0.0004156i,-0.00062007+0.00011723i,-0.000407-0.0001805i
2.5812e-05+0.00052038i,-0.00061606-3.8599e-05i,8.8626e-06-0.00065138i,0.00081624+0.00022502i,0.00098702+0.00086371i,0.00016069+1.2623e-05i,-0.00061488-0.0009681i,-0.00037815-0.00028421i,6.2992e-05+0.00062225i,0.00029568+0.00064835i,0.00062243+0.00064143i,0.00087505+0.00041771i,-1.257e-05+0.00010665i,-0.00069881-0.00041309i,-0.00063315-0.00030846i,0.00010662-4.2821e-05i,0.00054092-5.4735e-06i,-8.7094e-05-0.00018207i,-0.00055464-0.00041931i,-0.00012182+0.00031558i,-8.1842e-05+0.00069689i,-3.8879e-06-0.00020128i,0.00059607-0.00020902i
9.5224e-06+0.001352i,-0.00062696+0.00022519i,-0.0016187+0.0005297i,-0.0013848+0.0016414i,-0.00029856+0.0016577i,0.00011755+0.00098786i,7.1479e-05+0.00064093i,-0.00010864+0.00040071i,0.00011608+0.00011578i,0.00050242+0.00023415i,-9.7842e-05+0.00065096i,4.0222e-05+0.0015538i,0.00065341+0.00094998i,1.6907e-05-0.00033979i,-0.00065368-0.00057018i,-5.2415e-05+0.00016156i,-7.2197e-05+0.00032228i,-0.00055966-0.00042274i,-0.00055-0.0009612i,-0.00055319-0.00092395i,-0.00039195-0.00068751i,-8.6907e-05-0.00027684i,0.0007725-3.2763e-05i
-0.0016237+0.00040183i,-0.0010782+0.00015436i,-0.0013061+0.00055528i,-0.00072337+0.00038469i,-6.2115e-05-2.1196e-05i,-0.00058403-0.00076961i,-0.00047273-0.00098915i,-2.9685e-06-0.00039908i,0.00037106-0.00010243i,0.00069647-0.00053787i,0.0011847-0.00031152i,0.00072562+0.00043548i,-0.00091485+0.00057373i,-0.00062047+0.00050441i,0.0007491-5.7134e-05i,0.00089354-2.6141e-05i,0.00050474+0.00045529i,0.00016527+0.00084947i,0.00024372+0.00078491i,9.9318e-06-3.6266e-05i,-0.00019604-0.00016449i,0.00025981-0.00021153i,0.00029575-0.00049286i
