-0.00098959+0.00013789i,-0.0010465+3.1076e-05i,-0.0017747-0.000761i,-0.00095525-0.001323i,-0.00075886-0.00066522i,-0.0018694+0.00029908i,-0.0017515+0.00056928i,-0.0011116+0.00091771i,-0.00055337+0.0008227i,-2.9574e-05+0.00032366i,0.00020377+0.00020062i,0.00061509-3.0457e-06i,0.0002795-0.00023599i,-0.0006264-0.00031015i,-0.00060846-0.00082605i,0.00023401-0.00037867i,0.00062546+9.8276e-06i,0.00031272-0.00070708i,-9.275e-05-0.00052391i,-0.00042088-0.00052688i,3.9147e-05-0.0010895i,0.00014462-0.00086262i,-0.00044315-0.00044211i
0.00044155+0.00074963i,0.0011048+0.00054223i,0.0011613+0.0002411i,0.00047646-0.00054259i,-0.00067568-0.0012806i,-0.00066099-0.0015474i,0.0001974-0.0016255i,0.00054993-0.00086431i,0.0002432+8.8321e-05i,-0.00038061+0.00057353i,-0.00023883+0.00083196i,-0.00012022+0.00078505i,-0.0001757+0.00038444i,-0.00031466+7.2557e-05i,-0.00062512+5.777e-05i,-0.00058088-0.00012117i,-0.00046466-0.0004115i,-0.00047145-0.0003138i,-0.00065391-0.00068781i,-0.00079122-0.00039852i,-0.00075652+0.00035547i,-0.00055257+0.00020746i,-0.00027599-0.00071619i
0.001668+0.00028941i,0.0018407+0.00035681i,0.0021605-0.00015236i,0.0018923-0.00089062i,0.0019509-0.00088379i,0.0012217-0.0010741i,0.00036216-0.00097112i,8.0738e-06-0.00047658i,-0.00084651-0.00056852i,-0.0012226-0.00091574i,-0.00046874-0.00077795i,0.00045718-0.00072722i,0.0008966+3.2747e-05i,0.001211+0.00077072i,0.0012604+0.00043306i,0.00045405+0.00041874i,0.00010498+0.00043645i,-0.00018177+0.00068448i,-0.00038302+0.00096104i,0.00053708+0.00069698i,0.0013738+0.00056325i,0.00064418+0.00058751i,-0.00035124+0.00056454i
-0.0024138-0.00078494i,-0.0031093+0.00015776i,-0.0031471+0.00035134i,-0.0022576+0.00026331i,-0.00084044+0.00070083i,0.00044852+0.00024429i,0.0010174-0.0010771i,0.0012026-0.00095054i,0.00056766-0.00035939i,6.7263e-05+0.00037961i,-0.00020751+0.0010487i,-0.0002229+0.0011612i,-0.00010774+0.00050127i,0.00036465-0.00076967i,0.00029383-0.0014456i,-0.00015496-0.0012584i,-0.00021785-0.00045242i,-0.00053845-0.00032038i,-0.00036973+0.00013068i,2.0583e-05+0.00053033i,2.1528e-05+0.00016737i,-0.00011615+0.00028994i,-0.00025112-9.6329e-05i
-0.00011675-0.00035152i,0.00044555-0.0013576i,0.00083136-0.0012248i,0.0014135-0.00036823i,0.00097739-6.7013e-05i,0.00084382+1.9928e-05i,0.00078446+0.00015018i,3.309e-05-0.00012915i,-0.001109-0.00010363i,-0.0019146-0.00037355i,-0.0020817-0.00072845i,-0.0013583-0.00058865i,-0.00013988-9.2801e-05i,0.00020039+6.7639e-05i,-0.00029295-0.00040067i,-0.0010432-0.00059954i,-0.00099548-0.00012517i,-0.00064959+0.0004873i,-0.00073663+0.00033329i,-0.00038095+0.00010443i,0.00015036-0.00013278i,-3.0334e-05+2.6684e-05i,-0.00015242+0.00057689i
0.0010492-0.0013888i,0.00019372-0.0022044i,-0.00071713-0.0027919i,-0.0012709-0.0033574i,-0.0010101-0.0028232i,-0.00096848-0.0014067i,-0.0010108-0.0007723i,-0.00072155-0.00066214i,-0.00064-0.0006136i,-0.00067172-7.1371e-05i,-0.00060947-1.6381e-05i,-0.00041521-0.00011267i,-4.0914e-05+2.6101e-06i,0.00014619-0.00011936i,0.00012949-0.00055665i,-5.2578e-05-0.00079449i,2.4877e-05-0.00016855i,0.00050096+3.2418e-05i,0.00062048+0.00022663i,0.00035182-0.00031838i,0.00046965-0.00077613i,0.00066319+0.00018963i,0.00057098+0.00056994i
0.0013823+0.0016687i,0.0023697+0.0018694i,0.0018197+0.00041048i,0.0015855-0.0016409i,0.0015704-0.0022522i,0.00081161-0.0017533i,-5.5356e-06-0.00087134i,-0.00048981-0.00071797i,-0.00054132-0.00071789i,-0.0007223+0.00016473i,-0.00063163+0.0014732i,-0.0006045+0.0013897i,-0.00035693+0.00047224i,6.6669e-05-0.00040264i,0.00021748-0.00076506i,-0.00040386-0.00067175i,-0.00027762-4.0382e-05i,0.00067284+9.6358e-05i,0.00028336-0.00079035i,-0.00012567-0.0010359i,0.00029847-0.00037619i,0.00045356+1.8323e-06i,-0.00026929-0.00046794i
2.914e-05+0.00080703i,-9.5071e-05-0.00027073i,7.5839e-05-0.0025963i,0.0015456-0.003078i,0.0016351-0.003128i,0.00016467-0.002793i,-0.00015439-0.0016453i,3.3357e-05-0.00098843i,-0.00019728-1.7351e-05i,-0.0011637+0.00089044i,-0.00087011+0.00096397i,-0.00013637+0.00044341i,-0.00057102-6.1509e-05i,-0.0004353-0.00074222i,0.00045372-0.0010566i,7.2078e-05-0.00060245i,-0.0014512-0.0011871i,-0.0012678-0.0010849i,-0.00031202-0.00024635i,-0.0002287+3.8133e-05i,-0.00035736-0.00010878i,-0.00083995-0.00048995i,-0.00093368-0.0003217i
-0.00085052-0.00042398i,0.00056214+0.00024982i,0.0010564+9.4935e-05i,0.00038517-7.4119e-05i,0.00024144-0.0005528i,0.00078068-0.0016151i,0.00055444-0.0018134i,0.00074379-0.0010819i,0.00066418+0.00043407i,-0.00042276+0.00038256i,-0.00082136-0.00075168i,-0.0009672-0.00047145i,-0.00067271+0.00033866i,0.00024282+0.00042002i,4.1193e-05+0.00039289i,-0.00074075+0.00016013i,-0.00053829-0.00058573i,-0.00020314-0.00083003i,-0.00079067-0.00029512i,-7.8885e-05+0.00031051i,0.00012342+0.0010471i,-0.00079861+0.00080887i,-0.00064616-4.4877e-06i
0.00091563-0.00048072i,-0.00013259-0.00026783i,1.1746e-05+0.000166i,0.00040063-0.00049727i,0.00076305-0.00098912i,0.00095848-0.00091059i,0.00031267-0.00048916i,-0.00024087-4.9023e-05i,-0.00015389-7.086e-05i,4.6761e-05+0.00019775i,-0.00017514+0.00030876i,0.00010056+0.00024404i,9.9362e-05+0.00029025i,-0.00059765-3.303e-05i,-0.00070999-0.00047846i,-0.00092478-0.00035519i,-0.0010071-0.00057713i,-0.00038394-0.0013422i,-0.00037841-0.0014995i,-0.00061224-0.00088203i,5.5087e-05+0.0001955i,0.00049772+0.00043538i,0.00029081+0.00079142i
0.0010474+0.00048346i,0.0013309-0.00063086i,0.0010143-0.0013293i,0.00057838-0.00071411i,0.0012037-0.00034919i,0.0019244-0.00049446i,0.0018921-0.00012679i,0.0012786+4.1102e-05i,0.00029507-0.00014286i,9.3807e-05+0.00010212i,0.00076566+0.00042229i,0.0009562+0.00049105i,0.0012194+0.00034859i,0.00044305+0.00022663i,-0.00061548-0.0002694i,0.00015103-0.00049062i,0.00085618-0.00094919i,0.00049255-0.00087851i,-5.4803e-05-0.00034048i,-1.28e-05-3.2875e-05i,-6.9441e-05-0.00021801i,-7.9991e-05-0.00017008i,-4.8949e-05+0.00040435i
