-0.00044028+0.0006089i,-6.9932e-05+0.00048374i,-0.0012776+0.00090097i,-0.0016298+0.0010513i,-0.00076779+0.00039485i,-0.0010756+0.00021797i,-0.0010129+0.00074707i,0.00068992+0.0010082i,0.0016503+0.00011683i,0.0017694-0.00045996i,0.00145+7.787e-05i,0.00038799+0.00053692i,-0.0012124-4.682e-05i,-0.0013261-0.00066358i,-0.00079379-0.00080866i,-0.0010643-0.00050929i,-0.00079955-0.00037024i,-0.00096565-0.00069012i,-0.0006008-0.0004931i,-0.00036192-9.2284e-05i,-0.00057385+5.0903e-05i,-0.00079657+0.00031434i,-0.00089581+6.928e-05i
0.00089488+0.00026901i,-0.00032983-0.00038344i,-0.0013917-0.00047251i,-0.0012272-0.00048356i,-0.00084223-0.00039121i,-0.00075361-6.3008e-05i,-0.00052417+0.00011227i,-0.00064524+0.00043085i,-0.00065352+0.00012553i,-0.00098638-0.00072339i,-0.0011865-0.00079118i,-0.0011503-0.00023083i,-0.0011747+1.1327e-05i,-0.0013241+7.353e-05i,-0.0010594+5.0467e-05i,-0.00037433+0.00030177i,-0.0001163+0.00072454i,-0.00027789+0.00062679i,-0.00036807+0.00060391i,-0.00030349+0.00023769i,-0.00034157+0.00015305i,-0.00054652+0.00047647i,-0.00024617-0.00015865i
0.0016619+0.00031836i,0.0016611-0.00020398i,0.0016784-0.0011754i,0.00088947-0.0018899i,0.00024294-0.0022661i,0.00027342-0.0014491i,0.00037993-0.0012461i,-2.33e-05-0.001048i,-0.00041633-0.00034429i,-0.00014338-0.00023221i,0.00050903+0.00011579i,-0.00020183+0.00010645i,-0.0011474-0.00032194i,-0.00083513-6.8039e-05i,-0.00065214+0.00032987i,-0.00056439+0.00093407i,-0.0011357+0.0011102i,-0.0012537+0.00058657i,-0.00041016+0.00032571i,3.6434e-05+0.00021208i,0.0001285+0.00012481i,-0.00049175-0.00022042i,-0.001024-0.00057831i
-0.00011638-8.2026e-05i,0.00034866-0.00055446i,0.00067835-0.0016704i,0.00093634-0.00065714i,0.00070132+0.00025191i,-0.00014007-0.0010663i,-0.00063598-0.0014692i,-5.6291e-05-0.00064848i,9.0785e-05-0.00044265i,-0.00015158-0.0010203i,0.00013011-0.00049345i,0.00046642+0.00068011i,5.4599e-06+0.00031835i,-0.00079753+4.4496e-05i,-0.0007957+1.9069e-05i,-0.0004593-4.3994e-05i,-0.00018727+0.00047894i,0.00020323+0.00087231i,0.00042648+0.00075504i,0.00010665+3.6078e-05i,0.00051516-0.0010278i,0.00078138-0.00071568i,-8.2175e-05-0.00054103i
0.00015416-0.0013808i,0.00011194-0.0010314i,-0.0011183-0.00072574i,-0.001872-2.875e-06i,-0.00076152+0.00014265i,-0.00016285-0.00054198i,-0.00077887-0.00072074i,-0.00039992-0.00019061i,4.8811e-05-0.00040743i,-0.00064727-0.00082202i,-0.00043412-0.00083158i,0.0005355-0.00053077i,0.00027461+5.3422e-05i,2.1223e-05+0.00075158i,0.0004812+0.0010712i,0.00061862+0.00053218i,-8.6244e-05-0.00037771i,-0.00047286-0.000421i,-0.00072513+9.3443e-05i,-0.00079413+0.00047419i,-0.00040086+7.8292e-05i,-0.00014673-6.8235e-05i,0.00020509+0.00033125i
-0.0011152+0.00084466i,-0.00076506+0.0014899i,0.00043325+0.0023438i,0.0013629+0.0018726i,0.0020939+0.00015761i,0.0020862-0.001134i,0.00078468-0.0014068i,-0.00015211-0.0010344i,-0.00069196-0.00042322i,-0.0005763-0.00021904i,-5.8009e-05-0.0004894i,-0.00035629+0.00016881i,-0.00054108+0.00038373i,-0.00044875-0.00011828i,-0.0005362+0.0001657i,-0.0010589+0.00053138i,-0.001043+0.00068635i,-0.0011556+0.0012605i,-0.0012218+0.0015769i,-0.00062474+0.00070355i,-0.00070453-0.00026512i,-0.0010213-5.9701e-05i,-0.00056004+0.00022208i
0.00102-0.00031961i,0.0010232-0.00097483i,0.00038282-0.00068075i,0.00017344-0.00049069i,0.0001784-0.00054341i,0.00016168-0.00027568i,0.00031296-0.00026619i,8.4674e-05-0.00053364i,-0.00048201-0.00054969i,-0.00057174-0.00061397i,-0.00054899-0.00013001i,-0.00032116+0.00028006i,-0.00066155+0.00049716i,-0.00087172+0.00095766i,-0.00072009+0.0010874i,-0.00094011+0.00074101i,-0.0018696+0.00029582i,-0.0015796+7.1784e-05i,-0.00042197+0.0009362i,-5.3697e-05+0.0013214i,-0.00017355+0.00012768i,0.00017794-0.00013571i,6.5647e-05+0.00073775i
0.0034701-0.0022141i,0.0022183-0.0015688i,0.00027344-0.0024266i,-0.00035763-0.0032721i,-0.00042244-0.0021435i,-0.0008564-0.001145i,-0.00083895-0.00046051i,-0.00055073-0.00066613i,-4.8746e-05-0.0010778i,0.00020204-0.00098176i,-0.00056669-0.00026067i,-0.0010251+0.00090198i,-0.00083701+0.00033419i,-0.00062216-0.00049984i,-0.00094536-0.00045309i,-0.0011429-0.00037317i,-0.00075996-1.6829e-05i,-0.00032081+0.0006409i,-0.00039965+0.00097551i,1.9312e-05-0.00042334i,-0.00030863-0.00098444i,-0.00087631-0.00079462i,-4.5465e-05-0.00086018i
-0.00050181+7.1903e-05i,-9.6634e-05+0.00065915i,-0.00079618-9.58e-05i,-0.00057507-0.0010098i,0.00026815-0.00092058i,0.00063249+5.0328e-05i,0.00043758-0.00022148i,0.0001309-0.00098635i,1.4059e-05-0.00048762i,-0.00050581-0.00044023i,-0.0010699-0.0010394i,-0.0010536-0.00096266i,-0.00085788-0.00023634i,-0.00075674-4.3645e-05i,-0.00086267-0.00059821i,-0.001308-0.00056421i,-0.0014816+3.049e-06i,-0.0012117+0.00023677i,-0.00050987+0.00033205i,0.00038493-0.00016319i,0.00028259-9.8323e-05i,-0.00090098+0.00057438i,-0.00099839+0.0007698i
-0.0013951-0.0012151i,-0.001755-0.0012109i,-0.0023574+6.4703e-05i,-0.0012406+0.0018422i,-0.00020121+0.0011986i,-0.00012815-0.00036209i,-9.9829e-05-0.00096166i,-0.00017503-0.0012217i,7.8648e-05-0.00088743i,-0.00056149+0.00031713i,-0.00078959+0.00044948i,-4.3078e-05+0.00070486i,-4.9074e-05+0.00070538i,-0.00041645+2.085e-05i,-0.00099655+0.00019323i,-0.00052893+9.7178e-05i,0.00017835-0.00027537i,4.644e-05+0.00061228i,0.00028514+0.0016823i,0.00050492+0.0012548i,0.0003474-0.00015996i,0.00041991-7.9911e-05i,0.00025606+0.00038438i
-0.0025081+0.0011133i,-0.0014838+0.0007726i,-0.00048702+0.0017042i,0.00010681+0.0020491i,0.00062813+0.001166i,0.00090309+0.0002097i,0.00097836-0.00017959i,0.0010135-8.8956e-05i,0.00027102-9.8547e-05i,-0.00026834-0.00033695i,0.00061755-0.00026368i,0.0011583+2.5289e-05i,0.00078135-0.00045049i,-0.00029971-0.0011822i,-0.00081761-0.00072131i,-0.00073107-8.7952e-05i,-0.0011176+3.9793e-05i,-0.00090434+0.00028151i,-0.00053066+0.00063135i,-0.00014247+0.00064323i,0.00040287+0.00081376i,0.00085566+0.00050429i,0.00066656-0.00033076i
0.0016357+0.0024347i,0.0023193+0.0015998i,0.0038885+0.00036012i,0.0034773-0.00062898i,0.0018617-0.0017415i,0.00063792-0.0017717i,6.5698e-05-0.00052523i,-0.00047253+0.00023774i,-0.00031861+0.00025162i,0.00016658-9.7514e-05i,-0.00091945-0.0011484i,-0.0018527-0.0016585i,-0.0014688-0.001766i,-0.0018533-0.0010996i,-0.0017563-0.00021348i,-0.0010003+0.00036166i,-0.00032944+0.00094324i,0.000224+0.00028312i,0.00036262-0.00042317i,0.00071133+0.00037195i,0.00020828+0.00085033i,-0.0010211-2.7019e-05i,-0.0012051-0.00050475i
-0.00091349-0.0026273i,-0.0016466-0.0012266i,-0.001912-0.00066505i,-0.0013164-0.00046152i,-0.00032707-0.00028023i,5.9865e-05-0.00030181i,-0.00024874+0.00019417i,-0.00020672-0.00021338i,-0.00044249-0.00088608i,-0.001061-0.00040647i,-0.00048168-9.8265e-05i,0.00042274-0.00010814i,5.7386e-05-0.00056557i,-0.00086434-0.00094517i,-0.00046541-0.0004081i,-7.6029e-05+4.3213e-05i,-0.00014713-3.8418e-05i,-0.000338-3.1282e-05i,-0.00014131+0.00023995i,0.00028692+0.00015867i,0.00028749+0.00036139i,-0.00041691+0.00012823i,-0.0010215+0.00018057i
-0.0010593-0.0013588i,-0.0010863-0.0012621i,-0.0010288-0.0012934i,-0.0007703-0.00081971i,0.0006647-0.00030989i,0.0013358-0.00034044i,0.00063589-0.0001499i,-0.00033473+0.00022968i,-0.00093119+3.2141e-06i,-0.0010374-0.00051896i,-0.00079627-0.00034663i,1.4308e-05-0.00051025i,-3.5645e-05-0.0003082i,-8.0601e-05-0.00027355i,-6.3594e-05-0.00036425i,-0.0012538-2.0247e-05i,-0.0011855-0.00012973i,-0.00047921-1.3447e-05i,-0.00061725+0.00020217i,-0.0005628+0.00017134i,-0.00016544+0.00018148i,-1.8392e-05+6.8829e-05i,-0.0005188+0.0005463i
-0.00097654+0.0013926i,-0.00025637+0.0017561i,0.0012223+0.0023934i,0.0016037+0.0018145i,0.002429+0.00064134i,0.0013572-0.00044776i,-0.00040196-0.00074032i,-0.00044118-0.0006635i,-0.00044686-0.001046i,-0.00033857-0.0010809i,0.00040638-0.0006762i,0.00065646-0.0008645i,0.00019747-0.00077746i,-0.00033369-0.00034422i,-0.00046364-6.6823e-05i,-0.00057958+0.0006618i,-0.00083035+0.0010848i,-0.00082226+0.0013473i,-0.0010323+0.0012424i,-0.00064514-1.4948e-05i,-1.6868e-05-0.0011029i,0.00025635-0.00054095i,-8.3695e-05-0.00021375i
0.00082092+0.001039i,0.00037788+0.00030904i,0.00079548-0.00056779i,0.0013993-0.0006891i,0.001218-0.0010445i,0.00091961-0.0017077i,0.00026231-0.0018088i,-0.00080939-0.00098696i,-0.0012383+8.5013e-05i,-0.0009456-5.1949e-05i,-0.00011046-0.00010671i,-0.0004764+0.00019839i,-0.0013479-0.00022633i,-0.0011379-0.00054356i,-0.0007742-0.00031116i,-0.00027464+0.00033625i,-0.00034281+0.00082317i,-0.00056516+0.0002703i,5.4355e-06+0.00041445i,0.00056132+0.0012395i,0.0002709+0.00041752i,0.00041994-0.00027249i,0.00068224+9.9798e-05i
0.00088468-0.001343i,0.00048427-0.00096507i,-0.00046543-0.0013087i,-0.00042443-0.00048846i,-0.00042871+0.00065646i,-0.00053316+0.00097288i,-0.00026123+0.00046064i,-0.0007381-0.00057864i,-0.00040782-0.00019619i,0.00036909+0.00028273i,0.00030663+0.00037115i,0.00035139+0.00057842i,0.0001756+9.3844e-05i,0.0003396+0.00039314i,-0.00029873+0.00097033i,-0.00074642+0.0007286i,-0.00019503+0.00018312i,7.6832e-05+0.00055261i,-6.8648e-06+0.00064699i,9.7742e-05-0.00033292i,0.00032316-0.0011252i,0.00077226-0.0008203i,0.00070046+4.8864e-05i
0.00067639-0.0014267i,0.00056007-0.0020164i,0.00021861-0.0029849i,0.00072382-0.0025875i,0.0013725-0.0013172i,0.0008414-0.0002654i,0.0003181+0.00045504i,-4.8344e-05+0.00046149i,-7.7925e-05-0.00021188i,0.0006929-0.00091529i,0.0010292-0.00046412i,0.00058217-0.00022647i,0.00060317-0.00046677i,0.00091244-0.00035416i,0.00049006-0.00059567i,-0.00016588-0.00075151i,-0.00024409-3.6367e-05i,-0.000562+0.00053378i,-0.00039956+4.7008e-05i,2.337e-05+0.00011576i,-0.00041715+0.00082478i,0.00017273+0.00064481i,0.00091519+0.00051418i
