-0.0005322-0.00050621i,-0.0004167-0.0010116i,-0.0014835-0.0010857i,-0.0015501-0.00064749i,-0.00078505-1.2524e-05i,0.00015062+0.0012428i,0.00060562+0.0015481i,0.00083687+0.0015908i,0.00084315+0.00098385i,0.0003325-0.00030314i,0.00035452-0.0011332i,0.00054239-0.0011902i,0.00020038-0.00023068i,0.00056267+0.00022461i,0.00093162+3.0451e-05i,-0.00012008+0.00023933i,-0.00054175-0.00012797i,0.00017809-0.00050016i,0.00068706-0.00060423i,0.00088238-0.00098713i,0.0012302-0.0012704i,0.00077279-0.0017192i,6.9093e-05-0.001361i
-0.0018909-0.0013014i,-0.0013523-0.0017197i,-0.0018963-0.0015195i,-0.0014306+0.0013974i,-0.00031677+0.0025951i,0.00091863+0.0018616i,0.00089886+0.00076665i,0.00014662-0.00048593i,-0.001112-0.00037268i,-0.0016798+0.00069708i,-0.0006509+0.00093801i,0.00080731+0.00099837i,0.00064179+0.0010405i,-0.00046386+0.0010712i,-0.00048705+0.00039767i,0.00034661+0.00021006i,0.00033139+0.00063711i,-9.3979e-05+0.00029944i,0.00053371-0.0009356i,0.0007963-0.0010322i,0.00039793-0.00010926i,0.00014047+0.00021219i,-4.8551e-05+0.00060417i
-0.00015469+0.0014714i,0.00076967+0.0018708i,0.0011821+0.00090615i,0.00050642+0.00073229i,0.00020131+0.000787i,0.0014663+0.00072438i,0.0013704+0.0009126i,0.00045924+0.00030204i,-8.3585e-05-0.00019296i,-0.00034253-0.00042499i,0.00027534-0.00032857i,0.00058088+3.8152e-05i,0.00021918+5.5635e-05i,-3.507e-05-2.5509e-05i,-0.00064642-7.1769e-05i,-0.00067925-0.0002188i,0.00035677-0.00024156i,0.00063322-0.0005943i,0.00055528-0.0010433i,0.00044121-0.00029973i,-0.00014111-0.0002777i,-0.00016594-0.00073834i,0.00034565-0.00051756i
0.0003062-0.003165i,5.9586e-05-0.0028696i,0.00027381-0.0016478i,-2.2116e-05+0.00079281i,-0.00014035+0.0018437i,0.00049929+0.0017311i,0.001177+0.0010974i,0.00073966+0.00078872i,6.5539e-05+3.3227e-05i,-0.00047902-0.00042901i,-0.00079765+5.2652e-05i,-0.00089589+5.3286e-05i,-0.00089246-0.00069509i,-0.00053044-0.00049832i,0.00048867+0.0001332i,0.00099048+4.5269e-05i,-0.00015723-5.8655e-05i,-0.0011869+0.00041181i,-0.00095249+0.00077033i,-1.2759e-05+0.0001747i,4.7431e-05-4.2011e-05i,-0.00055195-0.00032406i,-0.00034221-0.00053624i
0.00011275+0.0017034i,-0.00037647+0.0022673i,-0.00097683+0.0022649i,-0.0001803+0.001465i,0.00038621+0.0012398i,0.00069238+0.00068149i,0.0010214+0.00040918i,0.00080629+0.00052252i,0.000116+0.00018833i,-0.00043264+0.00020018i,-1.9519e-05-2.7342e-05i,-3.5424e-05-9.0907e-05i,-0.0006351-9.6221e-06i,-0.00029858+0.00010928i,4.1087e-05+0.00032466i,-6.5735e-05-0.00025506i,0.00016412-0.00053882i,-5.6723e-05-0.000187i,-0.00042342+0.00054317i,-0.00079438+0.00052493i,-0.0003754-0.00024827i,0.00050537-0.00076371i,0.00056607-6.5616e-05i
-0.00061742-0.0013245i,-0.0013288-0.0021127i,-0.0010254-0.0015923i,-0.00021852+0.0001457i,3.0504e-05+0.00080928i,0.00025403+0.00043958i,0.00022303+0.00014942i,-0.00030063-0.00048945i,2.3027e-05+3.5476e-05i,-0.00062252+0.00098621i,-0.00053626+0.00078567i,0.00048384+0.00040579i,0.00027232-0.00022207i,7.2224e-05+8.0826e-05i,-0.00017453+0.00077768i,-0.00065324+0.001264i,-0.00087634+0.00060779i,-0.0010284-0.00065206i,-0.0014333-0.00090885i,-0.0006438-0.00036482i,0.00064231+0.0005595i,0.00029346+0.00084202i,0.00010048+0.00010477i
-0.0006547-0.0010437i,0.00041076+6.8793e-05i,0.00016159+0.0011675i,-0.00092708+0.00071531i,-0.00098865+9.1401e-05i,0.0010395+0.00048109i,0.0022696+0.00043971i,0.0017132+0.00014609i,0.0007367+0.00021617i,0.00034788+0.00082192i,-0.00049634+0.00084947i,-0.00044731+0.00024927i,-0.00032104+0.00043741i,-0.00037021+0.00067255i,7.4191e-05+0.00037994i,0.00027731+0.000191i,0.0002504-2.2604e-05i,0.0001116-4.2888e-05i,0.00019202+0.00038841i,0.00082327+0.00069339i,0.00094378+0.00048233i,-3.7971e-05+0.00039412i,-0.00038526+2.9427e-05i
0.0011883+0.0011526i,-0.0001124-0.00033771i,0.0002274-0.0016758i,0.00082424-0.0012179i,0.00027962-0.00084036i,-0.00057292-0.0013224i,-8.9385e-05-0.001153i,0.00042538-0.00028165i,-0.00095449+0.00043603i,-0.0018608+0.00026392i,-0.00083293+0.00016838i,-0.00048055-9.6132e-05i,-0.00063335+9.7886e-05i,-0.00030719+0.00012165i,0.00041229-0.00012761i,0.00091009-0.00029196i,0.00068329-0.0010831i,0.00042245-0.0013081i,0.00019668-0.00089469i,0.00054085-0.00023054i,0.00061878+0.00045115i,0.00014785+0.00039452i,-0.00015982+6.5634e-05i
-0.00068312-0.00053027i,-0.00024321+3.7056e-05i,-0.00024734+0.00026193i,-0.00064485+0.00045294i,-0.0007259+0.00065512i,1.056e-05+9.1511e-05i,0.00059133+0.00018675i,0.00034338+0.00029828i,-8.476e-05+0.00013424i,-3.9466e-05+0.00066018i,-0.00047384+0.00061958i,-0.00032909+0.00028488i,-0.00011218-0.00050979i,0.00043365-0.001408i,0.0005245-0.0013052i,0.00027166-7.7339e-05i,9.7766e-05+0.00035024i,-0.00029838-0.00015206i,-0.00040963-4.1836e-05i,-0.00059015-5.0088e-05i,-9.7094e-05+5.1005e-05i,-5.03e-05-7.3593e-05i,-0.00030189-0.00010049i
-0.0006228-0.0014734i,-0.00064256-0.00056323i,-0.0015653+0.00041225i,-0.00080488+0.00082719i,6.3121e-05+0.00093946i,0.00048897-0.00025611i,0.0012736-0.00030713i,0.0013555+7.3981e-05i,3.1743e-05-7.4787e-05i,-0.00043266+0.00087058i,-0.00014+0.00098702i,0.00022764+0.00029316i,0.00022977+0.00060081i,7.1116e-05+0.00091026i,0.00043185+0.00085798i,0.00040783+0.00020571i,0.00020612-0.00043873i,3.8671e-05-0.00043357i,6.2043e-05-0.00020626i,0.00043882+0.00031813i,0.00085478+0.00021719i,0.00072861+0.00018058i,9.5998e-05+0.00042881i
-0.00057929-0.00047075i,0.00031143-0.0005077i,0.00013476-0.00022233i,-5.7712e-05+0.00015958i,-2.2827e-05+0.0011525i,0.00040238+0.0017172i,0.00088089+0.0012785i,0.00075317+0.00068966i,5.7075e-05-0.00039041i,8.3683e-07-0.00019276i,0.00050934+0.0012544i,0.00044627+0.0016565i,0.0002541+0.0009652i,0.00039506+0.00018553i,0.0011228-3.0303e-06i,0.0010997+0.00026326i,0.00016131+0.00020504i,5.9115e-05+5.6299e-05i,-7.8198e-05+0.00016068i,6.1234e-05+2.1949e-05i,0.0009825+0.00027125i,0.0010488-0.00028211i,0.00045068-0.00071083i
0.00071259+6.8985e-05i,0.00085095+0.00061891i,-0.00038067+0.0010308i,-0.00018757+0.00096782i,0.00056694+0.0015502i,0.00079193+0.00095827i,0.00089863+0.00033496i,0.0010495+0.00043782i,0.00067951-7.0362e-05i,-0.00041495+0.00010481i,-0.00086116+0.0012135i,-0.00039239+0.001236i,-0.00015545+0.00053355i,9.4991e-05-2.2659e-05i,0.00060222-0.00062168i,0.00069657-0.0001406i,-3.4878e-05+0.0008266i,0.00018234+0.0010546i,0.00073663+0.00071091i,-0.0001721+0.00079391i,-0.00067854+0.00039354i,-0.00025751+1.976e-05i,-6.0087e-05-0.0001549i
0.00024712+0.0010828i,0.00020622+0.0002999i,-0.00025738-0.00020761i,-0.0006915-0.00073995i,-0.00068004-0.00060647i,-0.00042652-0.00099613i,0.00018319-0.00057226i,0.00050954+6.6093e-05i,1.2412e-05+4.1877e-06i,-0.00011059+0.00038457i,0.00032338-1.9428e-05i,-8.6862e-05-0.00044761i,-0.00017141-9.5733e-05i,8.5025e-05+0.00019072i,9.1204e-05+0.00086185i,-0.00054801+0.0007098i,-0.00085122-0.00015545i,-0.00027735+0.0006835i,0.00034671+0.0016221i,0.00041296+0.00098118i,-0.00024759+0.00058929i,-0.00010037+3.9e-05i,0.00018146-0.0004784i
-0.00094052-5.0412e-05i,-0.00042342-0.00043545i,0.00045365+1.5162e-05i,-3.0982e-05+0.0011616i,-0.0004269+0.0014458i,-4.7048e-06+0.00055447i,0.00051643+0.00018847i,0.00056836-9.8552e-05i,0.00039823-0.00052097i,0.00020255-0.00028712i,3.2694e-05-0.0001391i,0.0002267-0.0004015i,6.9757e-05+6.7048e-05i,-0.00081742+0.0006193i,-0.0006166+0.00051922i,-0.00014081-3.4741e-05i,-0.00011845-0.00039216i,0.00030957+0.0002265i,0.00027898+0.00057128i,-0.00063885+0.00059096i,-0.0011288+0.0009416i,-0.00097625+0.00046203i,-0.00045074-0.0004354i
-0.00079336-0.00095549i,-0.00091401-0.00011264i,-0.00095855-0.00014478i,-0.00084309+0.00071931i,-0.00039013+0.001284i,0.00016877+0.00051702i,0.00091956+0.00027184i,0.0012405+0.00030977i,0.00097354-0.00022393i,-0.00038697-0.00015102i,-0.0014258+0.00058574i,-0.0001736+0.00029664i,0.00061082+3.9065e-05i,-6.8353e-05-0.00043116i,-0.00032438-0.00081275i,-0.0001781+0.00041423i,-0.00048943+0.0009479i,-0.00063201+0.00069684i,-0.00055995+0.0008679i,-0.00033164+0.00024914i,0.00010706-0.0004288i,0.00013299-0.00036985i,0.00018745-0.00052457i
-0.001197-0.0018927i,-0.0010813-0.0003125i,-0.00123+0.00053619i,-0.0010657+0.00057735i,-0.0013407+0.00023997i,0.0002566-0.00023679i,0.002074-0.00046864i,0.0015595+0.0002309i,0.00047401+0.00034805i,-0.00044874+0.00010414i,-0.00035055+0.00027617i,0.00019724+0.0010769i,0.00010437+0.0011689i,8.6388e-05+0.00088869i,5.7275e-05+0.00052678i,0.00019081+0.00035255i,0.0006474+0.00015936i,0.00053841-0.00022498i,0.0003051-0.00069208i,-0.00011253-0.00055983i,-0.00056941-0.00012104i,-0.0006568+0.00022572i,-0.00012872-2.0728e-05i
1.0105e-05-8.1841e-05i,0.00018587+0.0003093i,0.00045748+0.00088592i,0.00014363+0.001384i,0.00024804+0.0012345i,0.00045788+0.00053794i,0.00061745-8.2661e-05i,0.00074487-7.3507e-05i,0.00040004-0.00022672i,0.000494-0.00056268i,0.00058193+0.00017417i,0.00035239+0.000417i,0.00038744+0.00044689i,0.00065853+0.00052447i,0.00074061+0.00061877i,-2.1291e-05-5.9897e-05i,-0.00010928-0.00019729i,-0.0003246+0.00060195i,-0.00088998+0.00032729i,-0.001435-0.00056512i,-0.0010788-0.00097554i,-0.0010857-0.00023745i,-0.0021456+0.00011233i
0.00019954-0.0013046i,-8.7888e-05-0.0018483i,-0.00019347-0.0019441i,-0.00011173-0.0013518i,-0.00057034-2.6194e-05i,-0.00028002+0.00066948i,0.0011626+0.000134i,0.0013541-0.00034744i,0.00034135+0.00021012i,0.00015861-7.7636e-05i,7.7875e-05-0.00014869i,-0.00059353+0.00051135i,-0.0010016+0.00070851i,-0.00116+0.00022305i,-0.0010914-5.7053e-05i,-0.00018102-0.00010936i,0.00039341-4.4071e-05i,0.00030533-3.1506e-05i,-0.00038643+4.2855e-06i,-0.0011006+0.00017013i,-0.00069902+0.00049995i,3.0687e-05+0.00072809i,0.000148+0.00059117i
0.00058769+0.0014061i,-0.00015859+0.0017125i,-0.00068775+0.0016102i,-0.00035742+0.00088445i,0.00067313-0.00019155i,0.0018087-0.00018525i,0.0021487+0.00093279i,0.0017377+0.0010843i,0.0013502+0.00059584i,0.0010074+0.0013106i,0.0012098+0.001884i,0.0012115+0.0015991i,0.00058181+0.0010419i,0.00023984+0.00047099i,-0.00020147-0.00033769i,-0.00026815-0.00037846i,-9.3593e-05-0.00014049i,-0.00011251+0.00033267i,-6.0784e-05+0.00046151i,0.00039901+0.00050285i,0.00059033+0.00022276i,0.00041063+0.00010138i,0.00044953+4.2587e-05i
0.0013062-0.001759i,0.0014209-0.0028272i,0.00036626-0.0025832i,-0.00067593-0.0017956i,-0.00035252-0.00093452i,-0.00011012+0.00028426i,0.00084592+0.00063105i,0.0011335+0.00028917i,-0.00047549+0.00029857i,-0.0010554+0.000588i,-0.00071965+0.00090458i,-0.00061318+0.0015785i,-0.00085737+0.0018717i,-0.00088261+0.00080812i,-0.00064919+0.00032664i,-0.00036468+0.00081791i,-7.4347e-05+0.00064606i,0.00024565+0.00048371i,0.0005251+0.00080043i,0.00035942+0.0009223i,-8.1749e-05+0.00091533i,-0.00043996+0.00049234i,-6.7218e-05-0.00014327i
0.00036992+0.00080523i,3.4272e-05+0.00051944i,6.409e-05+0.0010622i,0.0011924+0.0017978i,0.0019531+0.0013567i,0.0021359+0.0012285i,0.0013038+0.00089353i,0.00026644-0.00020003i,-0.00073119-0.00048694i,-0.00053884-0.00020372i,0.00034684-0.00015544i,0.00060572+0.00028832i,-0.00035967+0.00024423i,-0.0010875-0.00037161i,-0.00029998-0.00040726i,-0.00017738-0.00045265i,-0.0007005+0.00014615i,-0.00090818+0.0006764i,-0.00070898+0.00084388i,-0.00022753+0.00034679i,-0.00022143-0.00056969i,0.00022094-0.00032625i,-9.2613e-05-0.00018766i
0.0014441-8.0525e-05i,0.00089927-0.0010403i,0.00023039-0.0010255i,0.00018704-0.00086419i,-0.00016856-0.0011344i,0.00065286-0.0018003i,0.0012977-0.0013826i,0.00033975-0.00060945i,0.00014718+0.00025361i,0.00052198+0.0010379i,0.00062571+0.0012182i,0.0002984+0.00058822i,0.00043068+0.0001947i,0.00073737-0.00022354i,0.00057011-0.0010471i,7.9212e-05-0.00060634i,-0.00057531-0.00012139i,-0.0008295-5.2992e-05i,-0.00067+0.00010435i,0.00013675+0.00037769i,0.00079102+0.0007475i,-6.3645e-05+0.00065468i,-0.001091+0.000256i
0.00022409-0.00035951i,0.00043172+0.00014369i,0.00021104-9.6666e-05i,0.00034224-2.1898e-05i,0.0010112+0.00019141i,0.0015171+0.00048493i,0.0017194+0.00041887i,0.0011211+0.00022471i,0.00024537+0.00026596i,-0.00017816+7.3034e-05i,-0.00021013+0.00015666i,0.0004644+0.00050909i,0.00070689+0.00047473i,0.00015773+0.00021999i,0.00025793+0.00023377i,-0.00021774+0.00049413i,-0.00085084+0.00037894i,-0.00096366+0.00035563i,-0.00083568+0.00051496i,-0.00016975+0.0006063i,0.00022702+0.001069i,0.00037778+0.00092461i,-0.00024855-3.4659e-05i
0.00054784-0.00064098i,0.00044425-0.001127i,-6.7802e-05-0.00095154i,-0.0004434+0.00026697i,-0.00032817+0.00069202i,-0.00020719+5.794e-05i,0.00089114+1.8556e-05i,0.0011812-0.00032421i,0.00037391-0.00020317i,0.00026441+0.00024677i,0.00031368+0.0010075i,0.00059765+0.0012086i,0.00067603+0.00011988i,0.00015133-0.00017979i,-0.00079509+0.0010649i,-0.00058433+0.0011655i,0.00049596+0.00072016i,0.00085413-5.781e-05i,0.00011219-0.00042216i,-0.00043642-7.2525e-05i,-0.00061084-0.00031738i,-0.0003847-0.00038989i,-0.00032406+0.00026979i
0.0015413-0.0015576i,0.0011032-0.001173i,0.0016052-0.00069164i,0.00080555-0.00087824i,-0.00025679-0.0010967i,0.00020595-0.00035437i,0.00047646+0.00028891i,0.00011647+0.00053887i,-0.00047866+0.00057472i,-0.00055584-0.00043082i,-0.00071139+0.00047525i,-0.0008392+0.0016226i,-0.00083127+0.00067681i,-0.001295+0.00056411i,-0.0011807+0.0013672i,-0.0009198+0.00055512i,-0.00080254-0.00018504i,-0.00077038-0.00040742i,-0.00054945-0.00033962i,-0.00041276-1.8341e-05i,-0.00077618-0.00036454i,-0.00084631-0.00024019i,-0.00082766+0.00070239i
-0.00092935+0.002008i,0.00027982+0.0010196i,0.00097036+0.00093665i,0.0013895+0.00055099i,0.0025792-0.00039161i,0.0026492-0.00065936i,0.0023378+0.00070571i,0.0017928+0.0017283i,0.00022022+0.0015396i,-0.00048848+0.0011129i,0.00017033+0.000621i,0.00011578+0.00017493i,-0.00030793-0.00039486i,-0.0002431-0.00049381i,0.00036173-0.00017852i,0.00025556+6.6307e-06i,0.00029502-0.00039046i,0.00061765-0.00023375i,0.00017373+0.00046425i,-0.00085062+0.00029096i,-0.0014692-0.00035512i,-0.0007063-0.00076595i,-0.00028173-0.0011063i
0.0007-0.00052225i,8.8956e-05-0.0011527i,-0.00017878-0.0009945i,0.0007303-0.00098161i,0.0011333-0.00046638i,0.0010897-0.00032215i,0.00091216-0.00050724i,-0.00019468-7.2256e-06i,-0.0005125+0.00018369i,-0.00030002+0.00051661i,-0.00020678+0.00054551i,0.00072237+0.00017641i,0.0006335+0.00014848i,-0.00027542+0.00018269i,7.9176e-05-8.1307e-05i,0.00013781+0.00017067i,-0.00046264+0.0001906i,-0.00029616+0.00055504i,0.00043852+0.00028742i,0.00083769-0.00063704i,0.00076033-0.00092168i,0.0008526-0.00061646i,0.00099201+2.9646e-05i
-0.00014513+0.0027799i,-0.00054659+0.0016072i,5.4121e-06+0.001824i,0.00064606+0.0023925i,7.7986e-05+0.001289i,0.0005086+4.698e-05i,0.00087097+0.00034538i,0.00094096+0.00015088i,0.00066112-5.5679e-05i,0.00055623+0.00011329i,0.00087638+0.0004033i,0.00039252+0.00030933i,-0.00018114+0.00055589i,9.49e-05+0.00066373i,0.0005304-0.00021565i,0.00092488-0.00025013i,0.001047+0.00065727i,0.00084691+0.00011588i,0.0005288-0.00084172i,4.6686e-05+0.0005521i,-0.00045315+0.0013502i,-5.4049e-05+8.2821e-05i,0.00028663-0.00015982i
0.0016467-0.003232i,0.00066914-0.0026693i,-0.00043961-0.0034758i,-0.00084737-0.0027112i,-0.00104-0.00082846i,-0.00016918+0.00011615i,0.00061476+0.0002718i,0.00069851-0.00031525i,0.00046853-0.00019833i,-0.00048134-0.00029794i,-0.00094682-0.00022087i,-0.0011401+0.0010903i,-0.0014344+0.0012384i,-0.00066423+0.0008849i,-0.00061996+0.0010458i,-0.0010695+0.00096675i,-0.0002569+0.00092676i,-8.5767e-06+0.00091715i,-0.00047329+0.0010604i,-0.00074867+0.0010838i,-0.00065077+0.00020967i,0.00070639-0.00092494i,0.00083948-0.00023579i
0.00010693-0.00019219i,0.00046879+0.00095285i,0.00028271+0.00092212i,0.0011604+3.5316e-05i,0.0018957-0.00017397i,0.0016458+0.00041247i,0.001662+0.00079121i,0.0015411+0.00013366i,0.00093192-0.00011205i,-6.4019e-05+0.001184i,-0.00058696+0.0012864i,-0.00029419+0.00028726i,0.00016554+0.00047954i,0.00027451+0.00074734i,6.2129e-05+0.00016378i,0.00021189-0.00045457i,-4.0909e-05-0.00026541i,-3.9852e-05+1.5755e-05i,-3.1326e-05-0.00010842i,-0.00034531-0.00033317i,-0.00013235-0.00049023i,0.00043745-0.00059911i,0.0013496-0.00041279i
0.00010851-0.0014592i,-0.00019005-0.00091704i,-0.0012567-0.0010137i,-0.0024076-0.00040996i,-0.0019265+0.0010542i,-0.00036726+0.0014332i,0.0010031+0.00017454i,0.0010458-0.00013353i,6.7228e-05+0.00053047i,-0.00027137+0.0012267i,-0.001004+0.0016361i,-0.0015586+0.00067604i,-0.0010299+0.00015535i,-0.00021469+0.00022493i,-0.00014743+0.00082751i,-0.00035111+0.00067023i,9.8825e-05+9.711e-05i,0.00020313-5.8316e-05i,-0.00019337-0.00010919i,-0.00056213-8.2965e-05i,-0.00020969-0.00034394i,-0.00023555+0.00031232i,-0.00083753+0.00069575i
0.00062536+0.0014954i,0.0004587+0.0013259i,-0.00029044+0.00064499i,-0.00083617+0.0010143i,0.00044189+0.0012183i,0.0016962+0.00086045i,0.0014777+5.6507e-06i,0.00093254-0.00082929i,0.0006326-0.0013838i,0.00035647-0.00091322i,-0.00011012+0.00024022i,2.164e-05+0.00059783i,0.00034327-0.00012762i,0.00011496-0.00054063i,-0.00013769+3.2566e-05i,-0.00091442+0.0003272i,-0.0010673+0.00034785i,0.00015761+0.00096116i,0.00070979+0.00066224i,0.00023076+0.00033149i,-0.0001862-8.4251e-06i,0.00011412-0.00062285i,-0.00033962-3.9477e-05i
0.00022769-0.00028826i,0.0006564-0.0010333i,0.00010557-0.0014485i,-0.00025932-0.0013338i,0.00024962-0.000996i,0.0002264-0.0001552i,0.00033933+0.00064206i,0.00037634+0.00074872i,-0.00042377+0.00036927i,-0.0011335+7.4e-05i,-0.00071915-1.5524e-06i,-0.00017381+0.00046008i,-0.00039237+0.00059177i,-0.00081644+0.00045277i,-0.00096571+0.00031276i,-0.0001413+6.4135e-05i,0.0015683-0.00011395i,0.0018036-0.00066059i,0.00032244-0.00024553i,-0.00083107+0.00027144i,-0.00033014+0.00052094i,0.00061655+0.00041745i,0.00036158+4.9542e-05i
-0.0016152-0.0021698i,-0.00039349-0.0019026i,0.00046702-0.0008396i,0.0012175+0.00029314i,0.00081456+0.0013273i,0.00044901+0.0010926i,0.00072111+0.00053809i,0.00074304+0.00036885i,0.00030361+0.00046873i,-0.00013669+0.00040474i,-0.00025864+0.0003119i,-0.00020823+0.00077392i,-0.00023584+0.00068164i,-6.7665e-05+0.00039298i,0.0010022+0.0007532i,0.000312+0.00053301i,-0.0011677+0.00025i,-0.00094449-3.1538e-05i,-0.00041427-0.00014489i,0.00018888-0.00036357i,0.0003361-0.00051414i,3.5263e-05-0.00044387i,0.00061043-0.00040518i
0.00058895+0.00031909i,-0.00053197+0.0007986i,-0.0018215+0.0013109i,-0.0018914+0.001538i,-0.00086064+0.0015243i,-0.00020984+0.00033108i,0.00032167+0.00043887i,0.00077706+0.00095639i,0.0012326+9.0218e-05i,0.00090943+2.6687e-05i,0.00020808+0.00087875i,0.00012676+0.00074209i,-0.00043768+3.8575e-05i,-0.00032302+0.00024791i,0.00056382+0.00029384i,0.00018065+0.00026927i,-0.00049384+0.00074913i,-0.00077094+0.00079908i,-0.00073264+0.00024645i,0.0003207+0.0003041i,0.00034601+0.00029852i,5.6161e-05+0.00018916i,0.00050327+0.00021409i
0.0016553-0.00028365i,0.002296-0.00047195i,0.0023461-0.001599i,0.00093434-0.0017041i,-0.00020702-0.00048656i,-0.00033657+3.5829e-05i,-0.00012559-0.00029294i,0.00019887-0.00077388i,0.00049245-0.00096194i,-0.00027808-0.00087311i,-0.00016364-0.00060169i,0.00036029+0.00019265i,-0.00016696+0.0010136i,-0.0011826+0.0015469i,-0.0014862+0.001408i,-0.00051187+0.00093208i,0.00043561+6.593e-05i,0.00077711-0.00045301i,0.00052601-1.1294e-07i,8.6432e-05+1.1921e-05i,-0.00060845+0.00031527i,-0.00024412+0.00063809i,0.00029107-0.0002549i
0.00042302+0.0016427i,0.00067667+0.00088595i,-0.00029356+0.00092897i,3.0391e-05+0.0014147i,0.0013705+0.00091532i,0.0015954+0.00025115i,0.0013814+0.00025273i,0.0011834-0.00017478i,0.0008008+9.2719e-05i,0.00064746+0.0012996i,0.00088914+0.0010654i,0.00059911+0.0004659i,5.9308e-05+5.897e-05i,-0.00010156-0.00015387i,-6.6932e-05+0.00028196i,-0.00042781-0.00012018i,-0.00039479-0.0010334i,5.9627e-06-0.0011544i,-1.4397e-05-0.0010336i,-5.4826e-05-0.00044049i,-0.0002521-0.00021173i,-0.00054512-0.00019572i,-0.00077326-1.544e-05i
0.0001684+0.00063934i,0.00016235+0.00021681i,0.00015787-0.00018848i,-0.0001037-0.00068534i,-0.0005756-9.1787e-05i,6.448e-05+0.00085078i,0.0010787+0.0004711i,0.00081317-0.00012988i,0.00028351+0.00013281i,0.00040922+1.4396e-05i,0.00037597+0.00027038i,-0.00061662+0.00095872i,-0.00058143+0.00073484i,0.00023251-3.0005e-05i,0.0004902-0.00061819i,0.00051944-0.00060453i,0.001185-5.9516e-05i,0.0015663+0.00068706i,0.00094486+0.00083282i,0.00034725-0.00028353i,0.00024236-0.0010932i,-0.00016086-0.00044027i,-0.00097973+0.00035054i
-0.00088565+0.00029738i,0.00020526+0.00038759i,0.0013481+0.00022391i,0.00077765+0.0001028i,-0.00013504+0.00017627i,0.00027888+0.0006165i,0.0010734+0.000939i,0.0012995+0.00092637i,0.00043136+0.00094881i,-0.0002915+0.00066776i,1.3537e-05+0.00043468i,0.00056413+0.00049911i,0.00035534+0.00058197i,0.00064688+0.00019764i,0.00092485+0.00030773i,0.00055411+0.00075134i,-0.00015271+0.00081545i,-0.00046301+0.0008074i,-0.00014153+0.00091322i,0.00015213+0.00067401i,0.00081782+6.3004e-05i,0.001227+4.1181e-05i,0.00024643+0.00083343i
-0.00032961-0.001188i,-0.00056608-0.0014245i,-0.00034089-0.0005838i,-6.4901e-05+0.00039178i,0.00083249+0.00042265i,0.0012048+0.0005831i,0.00097884+0.00082311i,0.00084934+0.00060697i,0.00014712+5.8762e-05i,-0.00089799-0.00023987i,-0.000544-0.00011606i,0.0004725+0.00048316i,0.0010486+0.00023487i,0.0016224-0.00011028i,0.0015101+1.3708e-05i,3.3311e-05-0.00032327i,-0.0004552-0.00020641i,0.00018805+0.00017075i,0.00024231+0.00049712i,-9.5507e-05+0.00051454i,0.00046969+8.0041e-05i,0.0012633+0.0002458i,0.0010636+0.00060173i
-0.00068557-0.0005596i,-0.00019482-0.00048383i,-0.00012034+0.00026775i,-0.00029014+0.0014271i,0.00045154+0.0011714i,0.00059929+0.00034006i,0.00075634+0.00049351i,0.0010555+0.00085987i,-0.00018384+0.00075401i,-0.0010834+0.0014099i,-0.00080816+0.0013747i,3.3465e-05+0.00032268i,0.00088931+0.00016071i,0.00083976+0.00036331i,4.4705e-05+0.00053544i,-0.00044867-9.7256e-05i,-0.00013742-0.00030233i,-0.0001663+0.00052282i,-0.00027248+0.00086228i,0.00034755+0.00063009i,0.00069923+0.00023906i,0.00044592+9.8013e-05i,0.00035826+0.00026743i
-0.0016576-0.0023314i,-0.0025275-0.001974i,-0.00257-0.00079246i,-0.0013701+0.00096422i,-0.00058172+0.001476i,0.00042062+0.0013302i,0.0011989+0.0010759i,0.0010799+0.00055723i,0.00030161+0.00028626i,5.6222e-05+0.00028319i,0.0002128+0.00058533i,-8.7765e-05+0.00067152i,2.3993e-05+0.0006933i,0.0006112+0.00067106i,0.00074466+0.00063021i,0.00073134+0.00029416i,0.00061851-7.1767e-05i,0.00032437-0.00053131i,0.00013211-0.00045509i,0.00030596-0.00040772i,0.0005045-0.00045026i,0.00067854-0.0005781i,0.00049413-0.00068542i
0.0018338-0.0026588i,0.0012133-0.0022249i,0.00069158-0.0012547i,-0.0001577-0.00054072i,-0.00054489+0.0005806i,-8.2361e-05+0.00045029i,0.00042974+8.2408e-05i,0.0011074+8.5304e-05i,0.0005769+0.000338i,-0.00010928+0.00084429i,7.692e-05+0.0013436i,-0.00028331+0.0010159i,-0.00046582+0.0004764i,-0.00013188+0.00050006i,0.00032369+0.00027833i,0.00092957-0.00018567i,0.00073384-0.00020312i,-0.00070248+0.00011097i,-0.00090311+0.00058426i,9.245e-07-7.5584e-05i,7.0432e-05-0.00053212i,9.6269e-05+0.00054627i,8.5791e-07+0.00090405i
0.00024297+0.0025404i,-8.961e-05+0.0017255i,0.00058759+0.00089812i,0.00057163+0.00086501i,0.00044874+0.00030954i,0.00077669-0.00024844i,0.0012832-0.00040693i,0.00099125-6.2464e-06i,0.00049744+0.00095434i,0.00046956+0.0011006i,0.00035678+0.00014418i,-7.7889e-05-0.00036951i,0.00055232-0.00068619i,0.0011497+4.5452e-05i,7.8326e-05+0.00080345i,-0.00011577+0.00082035i,0.0006215+0.00066668i,0.00062748+0.00052049i,0.00022723+4.4951e-05i,-0.00067664+2.1907e-06i,-0.00079181+0.00043468i,0.00012812+0.00041465i,0.00099728+0.00041044i
