-0.0005322-0.00050621i,-0.0004167-0.0010116i,-0.0014835-0.0010857i,-0.0015501-0.00064749i,-0.00078505-1.2524e-05i,0.00015062+0.0012428i,0.00060562+0.0015481i,0.00083687+0.0015908i,0.00084315+0.00098385i,0.0003325-0.00030314i,0.00035452-0.0011332i,0.00054239-0.0011902i,0.00020038-0.00023068i,0.00056267+0.00022461i,0.00093162+3.0451e-05i,-0.00012008+0.00023933i,-0.00054175-0.00012797i,0.00017809-0.00050016i,0.00068706-0.00060423i,0.00088238-0.00098713i,0.0012302-0.0012704i,0.00077279-0.0017192i,6.9093e-05-0.001361i
0.0023627-0.0028424i,0.0012429-0.0023263i,0.00047381-0.0021905i,-0.00063009-0.0012742i,-0.0014519-0.0004941i,-0.00090332-0.0012776i,-0.00015201-0.0012476i,0.00055347-0.00028392i,0.00033481-0.00015282i,-0.000305+0.00040152i,-0.000182+0.00081751i,-0.00028479+0.00066898i,-0.0010173+0.00045512i,-0.0013803-0.00030217i,-0.0011914-0.00021452i,-0.00075756+0.00025202i,-0.00027972-2.2278e-06i,0.00023288+7.8945e-05i,0.00036488+0.00059353i,-0.0005068+0.00032573i,-0.0009118+0.00018749i,-0.00050561+0.00048963i,-0.00016768-3.9802e-05i
0.00054028-0.00067972i,0.00077878+0.00057784i,-0.00018942+0.0017702i,-3.9684e-05+0.0016386i,0.000545+0.001129i,0.00053636+0.00081205i,0.0015294+0.00011633i,0.0023161+0.00021226i,0.0014956+0.00032503i,9.3866e-05+0.00041875i,-0.00051555+0.00077655i,0.00019116+0.00050644i,0.00045285+0.00012922i,0.0004276+9.2028e-05i,0.00052228+0.00024796i,6.8005e-05+0.0005764i,4.9274e-05+0.00022604i,-0.00013486+0.0004339i,-0.00027593+0.0010084i,0.00048175+0.00089363i,0.00072839+0.00046909i,6.9243e-05+0.00037751i,-0.00039985+0.00019825i
0.001503-0.0024274i,0.00076262-0.0025278i,-0.00075041-0.0022562i,-0.0013784-0.0013502i,-0.0011833+0.00025142i,-0.00017385+0.00048855i,0.00072815-0.00087048i,8.7956e-05-0.0015521i,-0.00059318-0.00098291i,-0.00077268+0.00064115i,-0.00079929+0.0016827i,-0.00017874+0.0013151i,0.00018175+0.001185i,0.00043729+0.0015278i,0.00078563+0.0010269i,0.00061247+0.00019925i,0.00051577-6.996e-06i,0.00024387+0.00025211i,-0.00041102+0.00021615i,-0.00030817+0.00013816i,-0.00018443+0.00046432i,-0.00026845+0.00044082i,0.00054626+0.00094794i
-0.00083079-0.0015267i,-0.0023197-0.0015619i,-0.0025728-0.00054986i,-0.00046884+0.0010039i,0.0019944+0.0014374i,0.0013893+0.00096344i,0.00070189+0.00052832i,0.00060871+0.0005235i,0.00020301+0.0015024i,-0.00052276+0.0021545i,-0.001007+0.0015781i,-0.0007967+0.00090089i,-0.00022409+0.00069212i,-6.5545e-05+0.0008247i,-0.00015256+0.00077335i,-6.7211e-05+0.0003806i,0.00050231+0.00030365i,0.00022838+0.00023601i,-0.00054497-0.00054267i,-0.00032677-0.0012626i,0.0003982-0.00068051i,0.00012118-0.00048676i,-0.00035707-0.00044574i
0.0009928-0.0016019i,-0.00060316-0.0016553i,-0.0015164-0.0013288i,-0.0016778-0.00023822i,-0.00024886+0.00073664i,0.0016527+0.00081292i,0.0024707+0.00041814i,0.002025+0.00027112i,0.00060845+0.00031883i,-0.0005212+0.00090619i,-0.00067361+0.0011626i,9.5697e-05+0.0010991i,0.00097964+0.0015407i,0.0007089+0.0012382i,-0.00045485+0.00054023i,-0.00079028+0.00012791i,6.3213e-07+0.00064261i,-0.00018626+0.0012392i,-0.00031369+0.00049761i,-0.00018586+4.0835e-05i,0.00024143+8.1998e-05i,0.0010676-0.00034633i,0.00066273-0.0008637i
-4.8334e-05+8.4978e-05i,0.00045288-0.00053063i,0.001249-0.00049855i,0.0017001-0.00045822i,0.0015177-0.0006864i,0.00081259-0.00076249i,0.00041216-0.001148i,0.0005611-0.001242i,0.0002074-0.0005076i,-0.00051868+0.00071803i,0.00033734+0.00083896i,0.0015925+0.00050872i,0.001563+1.292e-05i,0.00086641+0.00027679i,0.0011217+0.00067527i,0.0013121+0.00087799i,0.0013056+0.00087558i,0.0013151-0.00021991i,0.00074878-0.00015517i,0.00060016+0.00075033i,0.00032557+0.00047953i,0.00014422+0.00045264i,0.00060041+0.00073406i
0.00086534-0.0010843i,-0.00018181-0.0010407i,-0.0013961-0.00028445i,-0.0010622+0.0007173i,0.00044993+0.0015323i,0.0015873+0.001478i,0.0013623+0.0008444i,0.00094897+0.00044933i,0.0011914+0.00040045i,0.00050455+0.00087704i,-0.0008571+0.0010479i,-0.00059656+0.00136i,0.00069287+0.00086521i,0.00049875+0.00012225i,0.00030394+0.00052543i,0.00035013+0.0010193i,0.00027457+0.00031383i,-0.00059229-0.00065741i,-0.0018075-0.00085883i,-0.00099606-0.00093503i,0.0001191-0.00017386i,6.307e-05+0.00028024i,0.00014579-7.1474e-05i
0.0015102-0.0005695i,0.0016649-0.0010652i,0.00085098-0.001234i,0.00027664-0.00089726i,-0.00020874-2.6949e-06i,-0.00015154-0.00028258i,0.00075261-0.00084313i,0.00088236-0.00078075i,0.0003504-0.00036306i,-0.00014912-0.00013859i,-0.00095966+0.00026376i,-0.00084489+0.00095325i,-7.2952e-05+0.001158i,-0.00038083+0.00061483i,-5.7494e-05+0.0005105i,0.00018873+0.00034491i,0.00013728+0.00014833i,0.00012039+0.00074824i,-0.00024311+0.00079575i,0.00014836+0.00017923i,1.9232e-05-0.00014616i,-0.0006799-0.00053527i,-0.00014083-0.00071592i
-0.00089616-0.0028162i,-0.0013581-0.0013701i,-0.0027887-0.00030654i,-0.00259+0.00036709i,-0.00087325+0.0012475i,0.00057544+0.00090904i,0.00086863-0.00014261i,0.0008294-0.00044129i,0.00052421-0.00026835i,-0.00031548+0.00032087i,-9.6971e-05+0.00044468i,0.0011641+0.00066698i,0.0011979+0.00069076i,0.00092441+0.00076696i,0.00064448+0.0011906i,0.00024639+0.0010292i,0.00065181+0.00083338i,0.00082634+0.00025804i,0.00070873+9.2263e-05i,-0.0003111+0.00056269i,-0.0009302+0.00060072i,-0.00084515+0.0002763i,-0.00018598-0.00020076i
0.0014984+0.0010969i,0.000798+0.00034921i,0.00097575-0.00064491i,0.00086505-0.0013743i,0.00036998-0.0018279i,0.00050575-0.0011609i,0.0014643-0.00044931i,0.0013088-0.00041063i,0.00079549-0.0002977i,0.00085882+0.00012648i,0.00049742+0.00051058i,0.0005509+0.00061614i,0.00058142+0.00034201i,-3.3032e-05+0.0001992i,-0.0002754+0.00022789i,2.578e-05+0.00016132i,0.00036054+1.4103e-06i,0.00035809+0.00015319i,0.00016961+0.00040478i,0.00016837+0.00034308i,0.00094544+9.956e-05i,0.00080923-0.00028598i,8.8676e-05-6.8e-05i
-0.0011793-0.00082311i,-0.00098173-1.4954e-05i,-0.00046195+0.0011937i,-0.00053934+0.0016374i,-0.00029588+0.0010331i,0.00037367+4.5651e-05i,0.001805+0.00037209i,0.0018147+0.00027447i,0.00088266-6.2116e-05i,0.0012602-0.00011927i,0.001514+5.1353e-05i,0.00097517+0.00077976i,0.00078947+0.0015421i,0.0004605+0.0011949i,0.00025218+0.00052923i,0.00013217+0.00092023i,0.00036975+0.000422i,0.00059859-1.236e-05i,0.00079945-1.9525e-05i,0.0010585+0.00026864i,0.00093064+0.00021784i,0.00060579-0.00026707i,2.952e-05-0.00060875i
-0.0029872-0.0011506i,-0.0025285-0.0015592i,-0.0016236-0.00041624i,-0.0012822+0.00031191i,-3.4326e-05-0.00031764i,0.0010338-0.00091634i,0.0009855-0.0012746i,0.00097755-0.0006611i,0.0011686-6.2516e-05i,0.00063048+0.00013048i,0.00033546+0.00032025i,0.00024475+0.0002406i,-0.000179-0.00033671i,-0.00019518-0.0011029i,-0.00037563-0.00088567i,-0.00044165-0.00018518i,-0.00027971+0.00012119i,9.8403e-05-0.000176i,7.021e-05-0.0006183i,-0.00048184-0.00029369i,-0.0010738+4.9543e-05i,-0.00081924+9.4413e-05i,0.00013698+0.00036196i
0.0010852+0.00030927i,0.0012916-0.00025924i,0.0015388+1.4847e-05i,0.001746+0.00034571i,0.0010881-0.00044067i,0.00095787-0.00050974i,0.0010839-0.00046121i,0.0014234-0.00063346i,0.00090515+0.00013813i,-0.00021605+0.00076164i,-0.0002739+0.00051873i,0.00010258+0.00020596i,0.00042961+0.00018889i,0.00058922+0.0003055i,0.00058444+5.8003e-05i,0.00030428+0.00018701i,1.8117e-05+3.3591e-05i,-4.8066e-05+7.5726e-05i,-9.8825e-05+0.00016169i,-0.00097433+0.00012466i,-0.00082672+2.2261e-05i,-0.00036681-0.00032525i,-0.00033431-0.00034008i
