-0.001184-2.4415e-05i,0.0013287+0.0012838i,0.0019747+0.0020505i,0.0019556+0.0017238i,0.0015098+0.0018926i,0.0014602+0.0021842i,0.0018356+0.00096988i,0.0018605-0.0004501i,0.0014568-0.0012889i,0.0010767-0.0015164i,0.0017555-0.00079967i,0.0015604-0.0010334i,0.00053087-0.0012358i,0.00026462-0.00044131i,0.00010454-0.00010864i,-0.00037637-8.9266e-05i,-0.00050168+0.00018994i,-0.00033439+0.00025241i,-3.2366e-05-0.00011454i,4.8522e-05-0.0001136i,0.00046679-0.00025568i,-1.4507e-05-0.00042634i,-0.00057638-0.00043715i
0.0021877-0.0014827i,0.0014903-0.00024051i,0.00076591-5.8912e-05i,-0.00010426-0.00029882i,-0.00054365-0.00024567i,-8.65e-05-4.9896e-05i,0.00033304-0.00072767i,0.00016156-0.0013991i,0.00010457-0.0014641i,0.00012802-0.00096006i,6.1792e-05-0.00071358i,0.0010344+0.00011332i,0.0017745+0.00049363i,0.00095352-2.2664e-05i,-1.2154e-05-3.9092e-05i,-0.00075418-0.0001154i,4.8266e-05-0.00054568i,0.00045202-0.00032843i,1.2352e-05-8.2023e-05i,0.00045765-0.00046363i,0.00068998-0.00070364i,-0.00010099-9.8822e-05i,-0.0001357+0.00059925i
-0.00019788+0.00084986i,0.0010934+0.0015879i,0.0022156+0.0018737i,0.00044315+0.0014352i,-0.00021955+0.00067844i,-0.00027444+0.00063462i,-0.0017699+0.00060367i,-0.0033778-0.00095943i,-0.0031369-0.0016971i,-0.0017011-0.00076306i,-0.00057214+0.0006038i,-1.088e-05+0.00086674i,-5.8185e-06-0.00012026i,0.00019215+0.0002521i,-0.00015885+0.00042433i,-0.00035643-0.00040952i,0.0003346-0.00064131i,0.00016512-0.00079343i,-0.000357-0.00088055i,-7.6619e-05-0.00065518i,-0.00041577-0.00019578i,-0.00026858+0.00020006i,7.6395e-05+0.00026259i
0.0005249-1.7428e-05i,-0.0002052+0.0015075i,-0.0010134+0.0026771i,-0.00026154+0.0014108i,0.00014895+0.0015195i,-0.00020199+0.0020828i,-0.00014211+0.0012383i,-0.00055919+0.00037059i,-0.0014886-0.00048473i,-0.0015499-0.00027211i,-0.00084911+0.00091746i,-0.00019608+0.0014419i,-0.00038852+0.00062158i,-0.00093671+0.00029441i,-0.00067183+0.00079082i,-0.00053279+0.00061536i,0.00067887-4.4423e-05i,0.0021789+0.00030606i,0.0014219+0.00068394i,0.0003393+0.00049424i,-7.9176e-06+0.00042978i,-0.00018702+0.00018406i,-0.00039554-2.4243e-05i
0.00077344-0.00014133i,0.0018099-0.00010004i,0.0019146-0.00017041i,0.0010915+0.00027936i,0.00040342+0.0018211i,0.0015599+0.0024159i,0.0022025+0.0013215i,0.0010972+4.4438e-06i,-5.8235e-05-0.00072334i,-6.5131e-06-0.00029168i,0.00017367+0.00065659i,1.9536e-05+0.0012389i,0.00027326+0.00056331i,0.00077065-0.00027948i,0.00061889+1.7245e-05i,-7.2217e-05+0.00064514i,-0.00040541+0.00090008i,-1.8163e-05+6.4166e-05i,0.000248-0.00023447i,-3.3966e-05-0.00019901i,-7.634e-05-0.00051963i,-0.00041661-6.5817e-05i,-0.0010871+0.00011978i
0.0010838-0.00090871i,-0.00028888+0.00089442i,-0.0002836+0.0013792i,0.001122+0.0013805i,0.0012345+0.0013684i,0.00179+0.0013471i,0.002989+0.001028i,0.0025522-0.00013727i,0.0011956-0.00081205i,-0.00047041-0.00031956i,-0.00055302-0.00016867i,0.00085345-0.00054285i,0.0010237+4.4573e-05i,-1.2176e-05-1.7144e-05i,-0.00016727-0.0009243i,6.0565e-06-0.0006829i,-0.00011767-0.00012105i,-0.00024768-8.3137e-05i,-9.716e-05-0.00021676i,2.6508e-05+8.4355e-05i,-0.00027916+0.00042584i,0.00011418+0.00011177i,0.00063173-0.00045787i
0.0028379+0.0013193i,0.0041189+0.0024852i,0.0042753+0.0021352i,0.0024785+0.00065242i,0.0013122+0.0006969i,0.0016696+0.00036568i,0.0019014-0.00061906i,4.4298e-05-0.00187i,-0.0014679-0.0022385i,-0.00063044-0.0016836i,0.00078735-0.0012442i,0.0019163-0.0008518i,0.0016024-0.00069002i,0.00061357-0.00065606i,-3.0581e-05-0.00068073i,0.00038554-0.00012276i,0.00038579+1.6998e-05i,-0.00047758-0.00068421i,-0.00069847-0.0013233i,-9.1005e-05-0.00091154i,0.00035971-0.00014274i,0.00038001+4.0237e-05i,-0.00012763+0.00063688i
0.00052047+2.3662e-05i,0.00060006-0.00052714i,0.00068546-0.00014036i,0.00064143+0.00040111i,-6.1977e-05-0.00038361i,-0.00038596-0.000605i,-0.00058186-0.00013752i,-0.0012558-0.00085041i,-0.0016306-0.0020522i,-0.0019118-0.0014305i,-0.0017154-0.00063833i,-0.00076554-0.00086316i,0.00060364-0.00065943i,0.0008416-0.00058907i,0.00016321-0.00039022i,0.00032598+0.00032339i,0.00036919+0.00032538i,-0.00019827-0.00040249i,-0.00017979-0.000574i,-0.00067685+0.00011906i,-0.0016769-0.00045981i,-0.0010708-0.00065556i,8.6786e-05+0.00041055i
0.00040199+0.0031956i,0.00085627+0.0038206i,0.0024952+0.0025219i,0.0018816+0.0014305i,-0.00029708+0.001135i,-0.000576+0.00048985i,-0.00040441-7.0048e-05i,-0.0016067-0.00029844i,-0.0019733+4.934e-05i,-0.0013936+0.00081001i,-0.0010934+0.0014036i,-0.00050277+0.0011444i,-0.00019302+0.00013915i,-0.00047238-0.00040959i,0.00042978+3.3597e-05i,0.00034262+0.0001978i,-0.00012235-0.0003393i,0.00089336-0.00023382i,0.00093584+0.00051386i,-2.2524e-06+0.0011791i,-0.00043461+0.00091249i,0.00012419-6.1114e-05i,0.00041613-0.00070146i
0.00070443+0.0015203i,0.0017808+0.0019536i,0.0028662+0.002409i,0.0028277+0.0023515i,0.002216+0.0029544i,0.0016556+0.002544i,0.000638+0.0011977i,-3.934e-05+0.00025564i,-0.00050026+0.00038644i,-0.00058054+0.0008023i,0.00013766+0.00030445i,0.00082737-0.00030065i,0.00067003+9.927e-06i,0.00048476+3.5132e-05i,-3.4067e-05-0.00042918i,8.6278e-05-0.00067811i,0.0010832-7.8707e-05i,0.0011377+0.00039621i,0.00048775+0.00033807i,0.00015659+0.00081037i,0.00063758+0.0009632i,0.00051378+0.00035209i,-0.00088681+0.00024693i
-8.3518e-05+0.0014669i,0.0013+0.0015097i,0.0024099+0.0027915i,0.0026324+0.0037542i,0.0024414+0.0029394i,0.0021131+0.0016148i,0.0018585+0.00045215i,0.0017041-0.0013328i,0.0012872-0.0019595i,0.00066796-0.0015241i,0.0005037-0.0013041i,0.00072003-0.00082773i,0.00052118-0.00043592i,-0.00026331+0.00022052i,-0.00073656+0.0011579i,0.00013321+0.0014261i,0.0011323+0.00099715i,0.0015142+0.00036303i,0.0013865+0.00028901i,0.00079705-0.00032247i,0.00089141-0.00056836i,0.00035395+0.00024522i,-0.00084193+0.00026832i
