-0.0042225-8.0237e-05i,-0.0023852+0.00043451i,-0.0011405+0.0023453i,-0.00037799+0.0029515i,0.00013205+0.0027681i,-2.9683e-05+0.002554i,-0.00068371+0.0022361i,-0.00037698+0.0023018i,0.00048199+0.0027503i,0.00070062+0.0022834i,0.00078684+0.0011621i,0.00071012-4.811e-05i,6.7296e-05-0.0011666i,-0.0007446-0.00082521i,-0.00045671-0.00058518i,-0.00029524-0.00095315i,-0.00029918-0.00089203i,-0.00021497-0.00069918i,0.00040625-0.00032741i,0.00064548-0.00011759i,-0.00034209-1.7366e-05i,-0.00091683+3.7605e-05i,-0.00071709+0.00040362i
-0.0010117-0.00027082i,-0.0016418-0.00064665i,-0.0021289-0.00091344i,-0.00040886+1.4825e-05i,0.00099733+0.00062476i,0.00068576-0.00033581i,0.00010064-0.00060666i,-0.00044125+0.0004974i,4.4452e-05+0.0010792i,-0.00019639+0.00062972i,-0.00052556-0.00016116i,-4.353e-06-0.0001027i,0.00015494+0.00039239i,6.7276e-05+0.00018487i,0.00026728-0.00042702i,0.00047488-0.00050084i,0.00053528-0.00047169i,-0.00010775-0.00041526i,-0.00056089-0.00041466i,-0.00032562+0.00023414i,-0.00013293+0.00072744i,0.00018601+0.00082816i,0.00014887+0.00049956i
0.00012652+0.0020553i,0.00048628+0.0022011i,0.001674+0.00051505i,0.0022485-0.00076499i,0.0017918-0.00071056i,0.0014261-0.00058442i,0.0011733-0.00025468i,0.00056219+0.0010742i,-0.00026679+0.0020041i,-0.00063202+0.0011162i,-0.00055437+0.00015343i,-0.00055544+0.00029376i,-0.0010758+0.0002974i,-0.00099996+0.0001447i,-0.001077+0.00020384i,-0.0007659-5.5871e-05i,-9.563e-05-0.00028563i,-0.00017424-0.00018623i,5.6412e-05-0.00075699i,-0.00080695-0.00094293i,-0.0014569-0.00078263i,-0.00049957-0.00063832i,-0.00012908-0.00032117i
-7.8876e-06+0.0010148i,-0.00020069+0.0012893i,0.00031641+0.0017122i,0.00049644+0.0010153i,0.00025615-0.0002592i,0.00032317-0.00089554i,0.00031301-0.0016058i,0.00050798-0.0010384i,0.00065022+0.00049342i,0.00042687+0.0011041i,0.00019929+0.0012832i,0.00028284+0.00082071i,0.00053381+0.00036177i,0.00015223+0.00077507i,-3.8318e-05+0.00058306i,0.00021105-0.00057348i,0.00036104-0.00055949i,9.9162e-05-0.00041676i,9.5596e-05-0.00094288i,-0.00015396-0.0007744i,-0.00018489-0.00082341i,0.00054323-0.00081349i,0.00082677-0.00044436i
0.00015756+0.00086392i,0.0011827+0.00048988i,0.0021781-0.00021065i,0.0028555-0.00053781i,0.0021916-3.58e-05i,0.0010865+0.00041475i,0.00013241+0.0005021i,-0.00022396+0.0009347i,0.00050577+0.0015003i,0.0011631+0.0013751i,0.0010754+0.0014304i,0.00027633+0.0015725i,0.00038219+0.0009602i,0.0013175+0.00053106i,0.00099014+0.00047267i,9.7343e-05+0.00059487i,-0.00015517+5.1081e-07i,-0.0001503-0.00037104i,-0.00036562-0.00020792i,-0.00097933-0.00035774i,-0.00088082-7.1108e-05i,-0.00027234-0.00023506i,-0.00010846-0.0005151i
-3.6526e-05-0.00087814i,-0.00035597-0.0012289i,0.0003363-0.0015471i,0.00087936-0.00055096i,0.00054472+0.0003076i,-0.0003394+0.00057203i,-0.0014443+0.00051785i,-0.00083584+0.00080592i,0.00043136+0.0015769i,0.00029309+0.0012982i,0.00031554+0.00056735i,0.00043812+0.00027052i,3.8167e-05+0.00047386i,-0.0001174+0.0010934i,-0.00056692+0.00033214i,-0.001119-0.00035199i,-0.0013885-0.00047567i,-0.0009112-0.00018681i,-0.00078867-0.00025108i,-0.0010224-0.00069317i,-0.00075321-0.00059229i,4.5531e-05+3.7199e-05i,0.00013541+0.00029943i
-0.0019919-0.00055903i,-0.0018485-0.00033371i,-0.00079291+0.00068448i,0.00023644+0.0015216i,0.0010328+0.0023425i,0.0011824+0.0012385i,0.00053181-0.00027428i,0.00021225-0.0002936i,0.00015399+0.00091978i,2.3811e-06+0.0015855i,0.00040178+0.0013051i,0.00062295+0.0013064i,0.00048979+0.0011243i,0.00011061+0.00051295i,-0.00054601+0.0007811i,-0.0004729+0.00099245i,-0.00014408+0.00065288i,-0.00056332+0.00046463i,-0.0018222+0.00011734i,-0.0018944-0.00055237i,-0.001361-0.00093273i,-0.00094773-0.00039397i,-0.00066008-0.00012376i
0.002208-0.0001382i,0.0027057+0.00048289i,0.0022679+0.00035363i,0.0015688+0.00029046i,0.0020493+7.0114e-05i,0.0016278-2.9124e-05i,0.00053945+0.00010268i,0.0001448+4.5991e-05i,0.00022608+0.00038218i,0.00023163+0.00066462i,-0.00028986+0.00036566i,-0.00021482+0.00072322i,0.00029649+0.0010977i,0.00078507+0.00052091i,4.8364e-05+0.00017677i,-0.00050736+0.00015276i,-0.00034582+0.00038682i,-0.00022728-9.5746e-05i,-0.0001814-0.0003631i,-0.0010092+2.476e-05i,-0.00077689+8.0603e-05i,5.9845e-05+0.00050323i,0.00024316+0.0005601i
-0.0017095-0.00035028i,-0.0024004-0.00026344i,-0.0017985+0.00079673i,-0.00061825+0.00051097i,0.00066648-0.00045318i,0.0016828-0.00058194i,0.00048824-2.7162e-05i,-0.0011674+0.00087308i,-0.00059641+0.0011195i,0.00039716+0.0013672i,0.0006835+0.0010916i,0.00062156-0.00024325i,-3.5556e-05-0.00069395i,-0.00017827-0.0009244i,0.00032492-0.00078549i,5.2868e-05-0.0003715i,-0.00047106-0.00020676i,0.0003976+2.1552e-05i,0.0009486-0.00028152i,6.4283e-05-0.00011783i,-0.00075562+0.00073039i,-0.00095539+0.0007769i,-0.00035266+0.00022785i
-0.00086205-0.0019598i,-0.0016865-0.0021491i,-0.0018143-0.0017258i,-0.0012913+0.00041539i,0.00030028+0.0022289i,0.0015039+0.0019832i,0.0012822+0.0016686i,0.00042027+0.0012665i,-0.00023723+0.00021987i,8.6899e-05+0.0003166i,0.00016306+0.0013889i,-3.1219e-05+0.001177i,0.00068359-0.00019961i,0.0015187-0.00070266i,0.001587+0.00034314i,0.0012475+0.00028558i,0.0010623-0.00063706i,0.00086836-0.00051376i,0.00086651+0.00012384i,0.00060776+0.00035483i,-0.00033423+0.00058214i,-0.00055365+0.00023052i,6.8195e-05-3.4469e-05i
0.0014441+0.0017503i,0.0017453+0.0017357i,0.0019893+0.0018429i,0.0013736+0.0014924i,0.00028182+0.00093137i,-9.01e-05+0.00096611i,-0.00040207+0.00071284i,-0.00022402+0.00090644i,0.00056821+0.001048i,0.001158+0.00088647i,0.0013148+0.00039743i,0.00022502+0.00030176i,-0.00074215+0.00024707i,-0.00093252+0.00093281i,-0.0010836+0.0012753i,-0.00094214+0.00044711i,-0.00052969+4.6883e-05i,-0.00061809+0.0002431i,-0.0012198-0.00047495i,-0.0014903-0.00083719i,-0.0012827-0.00024677i,-0.00094012+5.7123e-05i,-0.00057791-0.00033184i
0.0018948+0.00054805i,0.0023637-1.816e-05i,0.0029186+5.083e-05i,0.0025399-0.00069267i,0.001451-0.001047i,-0.00019227-0.00049059i,-0.00072088+0.000118i,-0.00069156+0.00076119i,-5.2994e-06+0.0015103i,0.00040869+0.00099541i,-0.00041326+0.00033951i,-0.0003817+0.0001154i,9.256e-06-0.00026772i,0.00015433-0.00025051i,0.00047824-0.00033945i,0.0011492-0.00063667i,0.00057235-0.00019662i,-1.8747e-05-0.00027307i,-0.00026354-0.00057575i,-0.00075959+5.3229e-05i,-0.0010117+0.00060128i,-0.00071981+0.00099567i,-0.00033791+0.0012681i
0.0011292+0.00039793i,0.00017757+0.0010082i,-0.00028618+0.0011523i,0.00036189+0.0010899i,0.00025807+0.0010128i,-5.0459e-05+0.0010037i,-0.00034096+0.00076007i,-0.00071071+0.00063153i,3.6395e-05+0.0013991i,0.0004957+0.0017565i,0.00037747+0.0013676i,0.0001844+0.00077235i,-7.872e-05+8.7929e-05i,0.00014191-8.3606e-05i,0.00028213-0.00033382i,0.00011838-0.00089889i,-3.0924e-05-0.00051633i,-0.00030208-0.0005588i,-0.00084292-0.0015251i,-0.00042571-0.0012327i,0.0003011-0.0001651i,0.00039836-6.3741e-05i,-0.00026103+0.0004066i
