-0.00157-0.00065033i,-0.00028614-0.00022783i,0.00020006+0.0010778i,0.0010962+0.001854i,0.0016382+0.0017552i,0.00092843+0.0016744i,0.00043355+0.0015051i,0.0002714+0.001053i,0.00045896+0.0011059i,-5.517e-05+0.00099591i,-0.00023197-0.0001749i,-0.00046246-0.00084939i,-0.0011559-2.6648e-05i,-0.00096299+0.00023737i,-0.00042237-0.00023946i,0.00026824-5.5821e-07i,0.00049536+0.00021138i,-0.00013631+0.00019489i,-0.00047461+0.00027729i,-0.0001981+0.00070329i,-0.0005209+0.00055009i,-0.0004528-0.00025193i,-0.00020929-0.00054327i
0.0013326-0.00068583i,0.00065329+0.00021742i,0.00011716+0.00085194i,0.00082342+0.0014533i,0.0010039+0.0011274i,0.00021957+0.00096571i,0.0003068+0.00062979i,0.00054217-7.4874e-05i,0.00041058+2.8737e-05i,0.0015923+0.00014349i,0.0013992+0.00017462i,-0.0003988+0.00029987i,-0.00061315-4.1273e-05i,5.9313e-05-0.0001812i,-5.8094e-05+0.00016235i,-0.00022053+0.00048055i,-0.0002261+0.00058425i,-0.0010367+0.00047546i,-0.0010752+0.00017694i,0.00013547+0.0001023i,0.0011063+0.00068741i,0.0011047+0.00039226i,0.00026295+0.00019504i
-0.0032821+0.0018653i,-0.0018368+0.0028532i,-0.00060712+0.0028762i,-0.00012698+0.0028549i,0.0014114+0.0021289i,0.0021468+0.00090202i,0.0013495-0.00058108i,0.00038909-0.00096623i,0.00048872+7.2563e-05i,0.0010406+0.00046966i,0.00039436+0.00049724i,4.4748e-05+0.00081843i,9.1928e-05+0.00061696i,-0.00031963+1.6803e-05i,-0.00063119-0.00016104i,-0.00025068+0.00014111i,0.00068676+0.00081957i,0.0013073+0.0011548i,0.001205+0.00073413i,0.00031055+0.00063096i,-9.2498e-05+0.00095485i,0.00048455+0.00045607i,0.00052377-2.6841e-05i
-0.0016964+0.0024111i,-0.0021919+0.0016795i,-0.00094284+0.0013964i,0.00063492+0.0017539i,0.0018145+0.0019438i,0.0024707+0.0012725i,0.0014164+0.00010774i,0.00017671+0.000417i,-0.00033579+0.00089595i,-0.00033473+0.00017816i,4.04e-05+8.6103e-05i,-0.00018361+0.00010233i,-0.00046123+0.00010535i,-0.00015988+0.00043776i,-0.00072042+0.00038045i,-0.001557+0.00017833i,-0.00065606-0.00017232i,0.00091924-8.7593e-05i,0.0011413+0.00026246i,0.00079458+0.00011753i,0.00055092+5.9999e-06i,0.00066441+0.00047193i,0.00060346+0.001586i
0.00025565-0.0014166i,-0.00037361-0.00074578i,-0.00093556+0.00014396i,-0.00043011+0.00085098i,0.00049218+0.0017071i,0.00033239+0.0017195i,8.8619e-05+0.00045547i,-0.00037864-0.00048931i,-0.00038951-0.0010017i,1.0854e-05+5.6967e-05i,-0.00025855+0.0009259i,-0.00053085+0.00021919i,-0.00059816+0.00033234i,-0.00061648+0.00017559i,5.2292e-05-0.0004394i,0.00060336-7.2295e-05i,0.00047281+4.2145e-05i,9.7788e-05+0.00025373i,-0.00065001+0.0010192i,-0.0011567+0.00102i,-0.00086105+0.00051375i,-0.00027759+0.00047003i,7.2028e-05+0.00038348i
0.00034002-0.0017773i,-0.00013252-0.00011224i,-0.0009925+0.00060545i,0.0001382+0.00050556i,0.0011777+0.00064837i,0.0014024+0.0011994i,0.0011827+0.001144i,0.00057107+0.00024251i,0.00018314-0.00026095i,0.0008332-6.9614e-05i,0.0010033+0.0004482i,0.0004399+0.00055224i,0.0009145+0.00093271i,0.00067268+0.0011809i,0.0005182+0.00065638i,0.00058429+0.00073439i,-0.00032814+0.00020405i,-0.00047008-0.00040735i,-8.201e-05+3.4839e-05i,0.00017413+0.00099247i,5.8054e-05+0.00064431i,-0.00030841-0.00057217i,9.9365e-05-0.00070584i
0.0025788-0.0010401i,0.0021977-0.0006568i,0.0014888+0.00071293i,0.00045241+0.0011837i,0.00061492+0.0008352i,0.00069658+0.00045677i,0.00014284-8.8128e-05i,-2.5495e-05-0.00079198i,0.00030403-0.00043024i,0.00030717+0.00022308i,0.00029352+0.00072702i,0.00024208+0.0015105i,-0.00018447+0.00090015i,-0.00013503-0.00024973i,8.6099e-05-2.4335e-05i,-0.00049402+0.0006597i,-0.00084246+0.00069721i,-0.00012211+0.00038435i,0.00069226-2.7305e-05i,0.00066586-0.00023279i,0.00028249-0.00039075i,0.00022349+3.096e-05i,0.00051009-3.3288e-05i
0.0019367-0.00089332i,0.0012559-4.2427e-05i,0.0016117+0.0011654i,0.0031174+0.0012355i,0.0029683+0.00033976i,0.0014622-9.0135e-05i,0.00098022-0.00017633i,0.00082165-0.00013859i,0.00012629-0.00019895i,9.7724e-05-0.00020896i,0.00063408+0.00026881i,0.00040904+0.00026168i,-0.00025043-0.00028113i,-0.00049744-0.00055599i,-0.00027132-0.00025882i,-6.8119e-05+0.00047537i,0.00038483+0.00029457i,0.00039299-0.0001447i,4.621e-05-0.00040107i,-0.00062935-0.00092764i,-0.00089365-0.00099762i,-0.00050186-0.0011564i,0.00033306-0.0010449i
0.0024329+0.00011637i,0.002517-0.00054076i,0.0025172+0.000417i,0.0015164+0.0011312i,0.0006344-1.6287e-05i,0.00064587-0.00084787i,0.00082234-0.00035748i,0.00072341+0.00051275i,0.00054235+0.00044291i,0.00080397-7.5061e-06i,0.0012267-0.00031298i,0.00104-0.00057271i,0.00056141-0.00018985i,0.00092045+0.00014425i,0.00065241+8.8447e-05i,1.3353e-05+3.0989e-05i,-0.00081343+0.00045142i,-0.00074023+0.00073494i,-0.00046558+0.00060029i,0.00014507-2.9032e-05i,0.00057985+0.00033117i,-0.00032468+0.00086088i,-0.00023861-0.00014383i
-0.0019511+0.0006959i,-0.0021989+0.0028077i,-0.0017515+0.0034071i,2.4124e-05+0.0029388i,0.00083167+0.0023889i,0.0011222+0.0014462i,0.0016357+0.00050312i,0.00054988+0.00038195i,-0.00036503-2.2532e-06i,-0.00056698+0.00037112i,-0.00036912+0.00099998i,-1.2347e-05+0.00058005i,0.00057375-0.00040924i,0.00052082-0.00066708i,-0.00010347-0.00047412i,-0.00016398+3.5909e-05i,0.00021315-6.7584e-05i,0.00017292-0.00054619i,-0.00031416-0.00035874i,-0.00018761+0.00060947i,0.00022563+0.00091692i,0.000805+0.00012443i,0.00069434-6.3692e-05i
-0.002343-0.0017677i,-0.0019148-0.0013546i,-0.00099077+5.8547e-05i,0.00067134+0.0013048i,0.0019927+0.0017794i,0.0018866+0.0018184i,0.0018619+0.0013933i,0.0015202+0.000524i,0.00093788+0.00046068i,0.0004065+0.00093015i,0.0002993+0.00097044i,0.0011517+0.00055406i,0.001622+0.00030753i,0.00072182+7.8114e-06i,0.00067407-6.8153e-06i,0.00061438+0.00054721i,0.00038668+0.00092235i,0.00025531+0.00057307i,5.5508e-05+0.0006191i,0.0001485+0.00045637i,0.00012064-2.6602e-05i,0.00036957-0.00036026i,0.00064637-0.0008448i
