-0.00066193-0.00054885i,-9.822e-05-0.00069527i,-0.00099989-0.00090596i,-0.00065374-0.0010924i,-0.00022306-0.0012015i,-0.00013844-0.00083606i,0.00039076-0.00062867i,0.0009232-0.00052147i,0.0011559-0.00047814i,0.00071452-0.00061591i,0.0004833-0.00056575i,0.0008333-0.00019636i,0.000519-0.00013099i,-1.3321e-07+0.00014888i,-0.00035638+0.00044786i,-0.00038702+0.00061709i,-0.00027121+0.00019709i,-0.00022643-0.00041546i,0.00010403-0.00024691i,-0.00014268-0.00021548i,-0.00054156-0.00065196i,-0.00087091-0.00030087i,-0.00071008+0.00011408i
0.00018351+0.00057225i,-0.00053076+0.00063766i,-0.00029453+0.00028623i,0.0011127-2.8705e-05i,0.0022164+1.8981e-05i,0.00067585+0.00039295i,-0.00034931+0.00010598i,0.00026557-0.0011656i,0.00092456-0.0013596i,0.00045445-0.0008836i,0.00013413-0.00071186i,0.0005585+0.00041542i,0.00055358+0.00080341i,-8.2112e-05+0.00036428i,-0.00014811+0.001041i,0.00018333+0.001006i,0.00017583-0.00018309i,-0.00060634-0.00042904i,-0.00065733-0.00024541i,0.00057222-0.00014311i,0.00075911+0.00016325i,-8.6178e-05+0.00011849i,-0.00039809-7.4584e-05i
-0.00058316-0.0013922i,-0.00025727-0.0024286i,-0.0003405-0.0010184i,0.00023053+0.0003607i,0.0014215+0.00053499i,0.0020988+0.00022726i,0.0015999+8.0359e-05i,0.00080864+3.8921e-05i,6.1265e-07-0.00034674i,-0.00031106-0.0010979i,-2.2426e-05-0.0014413i,0.00078073-0.00067891i,0.00092764+0.00054081i,0.00030574+0.0016387i,-9.5555e-05+0.0016198i,-0.00017391+0.0013274i,6.1882e-05+0.00063795i,0.00016413-0.00030414i,0.00024976-0.00016712i,0.00085595+0.0004319i,0.00083644+3.9213e-06i,0.00017104-0.00010383i,-0.00012027+0.00010536i
0.0010382-0.00043844i,0.00017433-0.00023014i,-0.00023895-0.00086228i,0.00047117-0.001507i,0.0010114-0.0011075i,-0.00018859-0.0011274i,-0.00086473-0.0017249i,4.132e-05-0.0017156i,-0.00040731-0.0012369i,-0.00066441-0.00075788i,6.0486e-05-0.00055048i,-0.00015423+0.00015001i,-0.00010311+0.00081186i,-9.8969e-05+0.00017376i,0.00058324-0.00025101i,0.000813+0.00012548i,-0.00037851-4.3455e-05i,-0.001076-1.0485e-05i,-0.00023709+0.00036359i,0.00019624+0.00030658i,-0.00017934+0.00059589i,-5.7913e-05+0.00047083i,-0.00021859-0.00033179i
-0.0022588-0.00055128i,-0.0018018-0.0016966i,-0.00074929-0.000232i,3.0429e-05+0.00061411i,0.0013667+0.00012783i,0.0016058-0.00033971i,0.00075736-8.0175e-05i,-0.00028123+0.00010962i,-0.00080393+0.0003305i,0.00048106+0.00055181i,0.00059418+0.00015969i,0.00015768+2.9266e-05i,0.00015339+9.5073e-05i,-0.0002671+0.00033331i,0.00023393+0.00039617i,0.0011834+0.00064435i,0.00089943+0.00077173i,-0.0004082+0.00029678i,-0.00029578+0.0003245i,0.00040528+0.00062791i,0.00034723+0.00018386i,0.00017586-0.00014108i,-0.00029972-0.00017216i
0.00077834-0.002185i,0.00082996-0.0023908i,0.00068672-0.0015237i,-0.00036089-0.00064923i,-0.00083313-0.0010808i,-0.0004587-0.0014457i,0.00068209-0.001731i,0.0015148-0.0019368i,0.0010169-0.0014672i,-0.0002382-0.00053541i,-0.00037347-0.00020445i,3.723e-06+0.0001252i,-0.00057282+0.00097283i,-0.00085673+0.0011297i,-0.00075087+0.00044519i,-0.00021913-0.00017121i,0.00011519-0.00040828i,0.00016191-0.00047031i,0.00034379-0.00033864i,1.7085e-05-0.00042276i,-0.00033472-0.00050294i,-0.00010392-3.15e-05i,-0.00072893+0.00074108i
7.2562e-05+0.0001012i,0.00069094-0.00036017i,0.00081472-0.00058256i,0.0017423-0.000642i,0.0028811-0.00098559i,0.002112-0.0017368i,0.000795-0.0013129i,2.3848e-05-0.00084788i,-0.00077943-0.00017733i,-0.00058014-0.00042272i,8.8579e-05-0.00082923i,-0.00037912+0.00012757i,-0.0006196+0.00022999i,-0.00022912+0.00046997i,0.00013759+0.00073449i,0.00070316-8.8213e-05i,0.0012572-0.00057918i,0.0011012+1.4936e-05i,0.00096394+0.00083446i,0.00048173+0.00050393i,0.00028449-0.00032926i,0.00062052-0.00015363i,0.00060236+5.5204e-05i
0.0012648+0.00048591i,0.00024921-0.0010001i,0.00079316-0.0020901i,0.001866-0.0013869i,0.0015931-0.0011481i,0.00026521-0.0013816i,-7.9287e-05-0.00096631i,0.00010904-0.0012553i,-0.00022553-0.0013295i,-0.00045399-0.000383i,-0.00058892-0.00018715i,-0.00092831-8.4369e-05i,-0.00065273-0.00022924i,2.9043e-05-6.0798e-05i,8.9858e-05+0.00065718i,0.00018226+0.00045134i,-9.8449e-05+2.5262e-05i,-0.00034256+0.00018077i,-2.5101e-05+0.0004074i,6.2448e-05+0.00042067i,-0.00047975+0.00061555i,-0.00046392+0.00047249i,-0.00013052+0.00032703i
0.0010177-0.00048131i,0.00065115-0.00088107i,0.00013652-0.0014214i,-0.00014182-0.0011487i,-0.00029303-0.00087917i,-0.00024606-0.00060479i,-0.00039518+0.00048491i,-0.00092355+0.00057073i,-0.00098283-0.0007208i,-0.00013357-0.0012305i,0.00017169-0.00090578i,-1.7259e-05-0.0001881i,0.00021199+0.0004083i,0.00024965+0.0011678i,0.00024308+0.0014989i,0.00081416+0.00091012i,0.00099327+0.00057504i,0.00035362+0.00053101i,-0.00010625+0.00080116i,-0.00040272+0.00085793i,2.6827e-05+0.00094986i,0.0010453+0.00096489i,0.0016248+0.00065018i
0.0010402-0.0013634i,0.00080324-0.0013523i,-0.00032648-0.0016691i,-0.00030589-0.0011207i,1.9013e-05-0.0003062i,-5.8498e-05-0.00014428i,0.00066817-0.00033984i,0.0004617-0.0011267i,-0.0004683-0.0015469i,-0.0010176-0.0013644i,-0.0010621-0.00093493i,-0.00062646-0.00027633i,-0.00036957-8.5302e-05i,-0.00032631-0.00042288i,0.00049634-0.0010713i,0.00087653-0.0011863i,0.00044012-0.00020629i,-0.0001908+0.00073307i,-0.00022987+0.0010825i,-0.00020023+0.00065047i,-0.0009283-0.00015225i,-0.00057127-0.0013581i,0.00032632-0.00095962i
0.0019855-0.00097657i,0.0024894-0.0011925i,0.0013775-0.00091354i,1.0255e-06-0.0009377i,-0.00091442-0.00061545i,-0.00049507-0.0001639i,0.00063475+0.00032249i,0.00011643-0.00018391i,-9.45e-05-0.0013672i,0.00058569-0.0012023i,0.00044103-0.00053783i,0.00048296-0.0001797i,0.00031654-1.7004e-05i,0.00049109+0.0003267i,0.00047916+0.00083084i,0.00021257+0.00018596i,0.0001321-0.00029127i,0.00032112+9.8696e-05i,0.00065027+0.00051098i,0.00041824+0.00028008i,0.00030043-0.00032272i,-8.8323e-05+8.9143e-05i,-0.00065196+0.0005308i
-0.00075742-0.001998i,-0.00082174-0.0017454i,-0.0020264-0.00084588i,-0.001155+0.00023152i,-0.00021223+0.00050558i,-0.00048131+4.5899e-05i,-0.0006335-0.00027115i,-0.00054587-0.00048226i,-0.00082307-0.00094557i,-0.00029349-0.0010282i,-0.00025799-0.00018977i,-0.00049058+0.00086145i,-0.00098076+0.00098988i,-0.00084226+0.00063362i,-0.00011732+0.00079186i,-0.00020927+0.00097005i,-0.00061203+0.0012461i,-0.0010033+0.0014061i,-0.00057009+0.00076385i,0.00037526+0.00019177i,0.00087874+3.4111e-05i,0.0008835-0.00024296i,0.00056302-0.00021971i
0.0015034-0.0013307i,0.0014458-0.0019049i,0.00056392-0.0017878i,8.2914e-05-0.001459i,0.00059176-0.00091727i,0.00065968-0.00067005i,0.00057975-0.0015447i,0.00061722-0.002018i,0.00030558-0.0017762i,-3.1708e-05-0.0012844i,-0.00094797-0.00076955i,-0.0016691-0.00041357i,-0.0012465-0.0003612i,-0.0012218+4.1102e-05i,-0.00053738-4.7321e-05i,-0.0001059-5.2671e-05i,-0.00030022-0.00019587i,-5.4965e-05-0.00021316i,-6.359e-05+0.00066148i,3.3791e-05+0.0010835i,-0.00051143+0.00090513i,-0.00083674+0.00095646i,-0.00050184+0.0011023i
-4.5062e-07+0.0010868i,0.00065698+0.00069182i,0.0012624+0.00033202i,0.0020035-0.00024293i,0.0022441-0.00045335i,0.0021295-0.00079413i,0.00080032-0.0015366i,-0.0012424-0.0011517i,-0.0013771-0.00029779i,-0.0010521-0.00013723i,-0.00058149-0.00039857i,-6.0598e-05+0.00013148i,-0.00029611+0.00021824i,-0.00014472+0.00014562i,-0.00027005+0.00092887i,-0.00030377+0.00032886i,0.00021871+0.00041675i,0.00020185+0.00084848i,-0.00036348+0.00033666i,-8.1792e-05+0.00075389i,-0.00023019+0.00034699i,-0.0002879-0.00030505i,-3.6956e-05+1.9042e-05i
-0.00020306-0.00079775i,-0.00026918-0.0012511i,-0.0012095-0.0015105i,-0.0011428-0.00040896i,0.00022275-6.9785e-06i,0.0006692-0.00056726i,0.00089703-0.0014687i,0.00084814-0.0014655i,-5.5477e-05-0.0010282i,-0.00010496-1.9463e-05i,0.00025946+0.00041561i,0.00080663-0.00013741i,0.00081581-5.8986e-05i,-0.00018472+0.00064821i,-0.00059339+0.00035304i,0.00050747-2.078e-06i,9.5501e-05+0.00056836i,-0.00085339+0.00076507i,-0.00031377+0.00095962i,-0.00022644+0.0010857i,-0.00060398+0.00016565i,-0.00042322-0.00093201i,0.00013033-0.00082494i
-0.0014754-0.0010115i,-0.001443-0.0010907i,-0.00063239-0.00043454i,0.00043955+0.00016109i,0.00076453-0.0005527i,0.0014333-0.0013637i,0.0013049-0.001301i,0.00033751-0.0012954i,0.00032779-0.0014003i,0.00064779-0.00084943i,-0.00020828-0.00031648i,-0.00076929-0.00037112i,-0.00053696+9.9338e-05i,-0.00037746+0.00051603i,-0.00079768+0.00032565i,-0.00091523+0.00023697i,-4.0821e-05+0.0004663i,0.00039776+0.00010309i,0.00031811-0.00067158i,2.8427e-05-0.0010098i,0.00012309-0.00067554i,0.00037698-0.00019734i,0.00018013-0.00037821i
0.00081576-0.0021494i,0.001155-0.0013392i,-0.00045742-0.0010387i,-0.0013041+0.0004865i,0.00027447+0.00094044i,0.0017529-0.00028841i,0.0019733-0.0011287i,0.00089947-0.0011883i,0.00016476-0.00094316i,0.00038373-0.00059907i,0.00021249-0.00023218i,-0.0005312+0.00048938i,-0.0006716+0.001034i,-0.00058773+0.000777i,-0.00067166-0.00074612i,-0.00031859-0.0011817i,-0.0002421-0.00058776i,0.00050574+0.00026599i,0.00082036+0.00069659i,-0.00011361+5.6925e-05i,-0.00058663+5.803e-05i,-0.0003818-0.00015127i,-0.00028224-0.00023571i
0.0017434-0.0013398i,0.0028097-0.0012006i,0.0019509-0.0010339i,0.00029619-0.0002996i,-0.00031348-0.00033599i,0.00035935-0.0008105i,8.3819e-05-0.001181i,-0.00043961-0.00092548i,-0.00062949-0.00089021i,-0.00044748-0.00066671i,-2.4784e-05+0.00013184i,3.2637e-05+0.00066i,-0.00050264+0.00086136i,-0.00045706+0.00050034i,1.2517e-07+0.00062277i,0.00051981+0.00051934i,0.00068776-0.00017403i,4.4846e-06+0.00032103i,-0.00022607+0.00061274i,-0.00014726+0.00081739i,-0.00050168+0.0005929i,-0.00051191+0.00044741i,-0.000349+0.00043277i
-0.00048679-0.00048573i,-8.8888e-05-0.00028943i,0.00029334+0.00045223i,0.00074605+0.00052852i,0.00096101+0.00017335i,0.0011905-0.00023005i,0.0010614-0.00086469i,0.0006716-0.0011649i,0.00054162-0.0012139i,0.00036149-0.00062743i,-0.00025876+0.00021425i,-0.00077327+0.00014179i,-0.00061211-0.0007558i,-0.00048032-0.0010577i,-0.00033881-0.0007423i,-6.2345e-05-0.00064883i,0.00057396-0.00034009i,0.00031739+0.00025841i,-0.00030099+0.00092906i,-2.311e-05+0.0005715i,0.00038383+0.00030314i,0.00056946+0.00056619i,-0.00013436+0.00031301i
0.00071561+0.00053178i,0.00023516+8.6892e-05i,-4.0039e-05-0.00046567i,0.00043208-7.0362e-05i,0.00038472-0.00043476i,7.0774e-05-0.0013734i,-7.8068e-05-0.00099751i,-0.00090456-0.00077018i,-0.00088205-0.001348i,-0.00025936-0.00087069i,-0.00035759-0.00054733i,-0.00052178-0.00018392i,4.4544e-05+0.00019789i,0.00067687+0.0004875i,0.0013647+0.00014417i,0.0018422-0.0004828i,0.0012369-0.00054549i,0.00055605-0.000151i,2.4374e-05+0.00056455i,-0.00046742+0.00071219i,-0.00032413+0.00050392i,0.00022675+0.00080433i,0.00014692+0.0015479i
0.00082959+0.0014847i,0.00087098+0.00024972i,0.0019138-0.00013432i,0.001504-0.00081635i,0.00034182-0.0021524i,-0.00040741-0.0023503i,-0.00040615-0.0012891i,-0.00011332-8.8139e-05i,0.00014162+0.00080243i,-0.00016198+0.00070091i,-0.00066237+4.7813e-05i,-0.00039913+0.00046606i,-0.00047315+0.0011594i,-0.00070584+0.0012817i,-0.00050881+0.00087181i,0.00022139+0.0010973i,8.0077e-05+0.0011131i,-0.00090713+0.00085872i,-0.00061693+0.0014827i,0.00043988+0.0015471i,0.00069932+0.0010037i,-0.00016353+0.00043051i,-0.00017926+0.00030832i
-1.4909e-05+0.00085651i,-0.00029547+0.00026256i,9.6066e-05+0.00014453i,0.00030756+0.00059644i,0.00083747+0.00041539i,0.00063561-0.00049178i,0.00011762-0.0011806i,0.00045147-0.0012114i,0.00063339-0.0013516i,0.0004453-0.0010424i,-0.00079504-0.00089744i,-0.0010726-0.00060657i,-0.00038313+0.00052125i,-0.00046294+0.00042301i,9.3317e-05+0.00012629i,0.00064728+0.00028783i,0.00058495-7.2523e-05i,0.00049027+7.7521e-05i,0.00062738+0.00040204i,0.00034704+0.00065879i,0.00050814+0.001073i,0.00063079+0.00078584i,-9.0118e-06+0.000694i
0.000727+0.00016086i,-0.00029487-0.00023172i,-6.6514e-05-0.00030503i,0.00081317+0.00034144i,0.00050836+0.00085555i,0.00025804-0.00021869i,0.00039965-0.0010993i,0.0002237-0.00097091i,0.00026404-0.00086618i,-0.000112-0.00068095i,-0.00068981-0.00062512i,-0.00088182-0.0006367i,-0.00050647-0.00034827i,-0.00011244+0.00048797i,0.00029526+0.00052781i,0.00081114+0.00077142i,0.0009525+0.00072499i,0.00040354+4.3857e-05i,-0.00036099+0.00027828i,-0.00077216+0.00070547i,-0.00045636+0.00076723i,-0.00019235+0.00097969i,0.00024397+0.00036956i
0.0012083-0.0017127i,0.00078079-0.001659i,0.00018127-0.0018589i,0.00042798-0.0019884i,0.0012113-0.00174i,0.0011384-0.0012129i,0.00046785-0.0011142i,0.00060522-0.00084232i,0.00048427-0.0008384i,-0.00015695-0.00036792i,-0.00054012+0.00066913i,-0.00050808+0.00037894i,-0.00061875+0.00050758i,-0.00076621+0.0014722i,-0.00065995+0.00099994i,-0.00095517-0.00038234i,-0.00097686-0.00049934i,-0.00051228-0.00010026i,8.985e-05-0.00044056i,0.00082465+1.976e-05i,0.00053121+0.00093369i,-0.00032818+0.00036172i,-0.00043534-0.00051593i
0.00068169-0.00090907i,0.0019271-0.0011164i,0.0019066-0.00089882i,0.00091803+0.00053232i,4.712e-05+0.00022457i,0.00052961-0.0004593i,0.0011701-0.0011315i,-0.00019674-0.0018953i,-0.0013692-0.0011706i,-0.00082915-0.00044555i,-6.1315e-05-0.00038516i,-0.00018614-0.00024902i,-0.0006938-0.00065141i,-0.00055947-0.0012138i,-7.734e-05-0.0012187i,-0.00033945-0.0011839i,-0.0002963-0.0005604i,-0.00037026+0.00056107i,-0.0004403+0.00077316i,0.00017476+0.00047284i,0.00028701+0.00074507i,-0.00022911+0.00083583i,-0.00015155+0.00015235i
-0.00032556-0.00024498i,-0.0012669-0.00030159i,-0.002782-0.00035109i,-0.0018761+0.00047256i,8.4003e-05+0.0011802i,0.0013542+0.00080104i,0.00116-0.00080819i,0.00059265-0.0013385i,6.5226e-05-0.0013601i,-0.00010032-0.00090451i,0.00020655+0.00043225i,0.00059934+0.0010065i,0.00066582+0.00035891i,1.7966e-05-5.5202e-05i,3.2778e-05+0.00042857i,-0.00017598+0.00083563i,-0.00043626+0.0006503i,-0.00037744+6.2827e-05i,-0.0008585-0.00021131i,-0.00030924-4.6671e-05i,0.0003351-0.00021814i,0.00026169-0.00062538i,0.00029799-0.000452i
0.001387-0.00039386i,0.002043-0.0015143i,0.00083697-0.0018326i,0.0011169-0.0014639i,0.0013647-0.0010384i,0.0001547-0.0013052i,-0.00037506-0.0015582i,0.00021096-0.0011112i,3.1401e-05-0.0012148i,-0.00055417-0.00091703i,-0.00023183-0.00016769i,-1.8526e-05-0.0001487i,-0.00017545-0.000161i,0.00012396-0.00014093i,0.00045929-0.00068671i,0.00022988-0.00099652i,1.2955e-05-0.00027141i,-0.00051013-4.7946e-05i,-0.0010108+2.1064e-05i,4.85e-05+0.00017171i,0.0010061+0.00016138i,0.00089005+0.00055561i,0.00033991+0.00066354i
0.00083767+0.00021878i,0.00065489-0.00080612i,0.00046301-0.00085951i,0.00082084-0.00033424i,0.0015554+7.7476e-05i,0.0015829+0.00019171i,0.0009023-0.00055738i,0.00065985-0.0018594i,0.0006368-0.0021151i,0.0004362-0.00094064i,-5.1481e-05-2.3134e-05i,-0.00030588-0.00019419i,-0.00039576+2.1877e-05i,-0.00066225+0.00049465i,-0.00049479+0.0005452i,-4.5787e-05-0.00020228i,0.00027713-0.00039791i,0.00024371-0.00086697i,7.88e-06-0.0011643i,-0.00026369+0.00025628i,-6.8551e-05+0.00088664i,0.0002933+0.00019311i,-1.7117e-05-7.1494e-05i
0.0007469-0.0014117i,0.00081437-0.0013884i,-0.0004872-0.00090986i,-0.00060983-0.00044456i,1.4141e-05-0.00037416i,-1.0729e-05-0.00044562i,6.3684e-05-0.00085425i,9.1561e-05-0.0012775i,-0.0005054-0.0013825i,-0.00035344-0.00069208i,-2.7046e-05+4.6143e-05i,-0.00029058+0.00028161i,9.5336e-05+0.00057187i,9.6652e-05+0.00015622i,-0.00037397-0.00022992i,-0.00029403-0.0003146i,-0.00033064-0.00022948i,-0.00058095+0.00070982i,-0.00061441+0.0010088i,-0.00028801+0.00060955i,0.00018932+0.00032015i,0.00069204+9.0422e-06i,0.00051349-6.4467e-05i
-0.0017159-0.00066076i,-0.0010697-0.0014458i,0.0001044-0.00068612i,0.0013248+0.00019345i,0.0017542-0.00024153i,0.0014646-0.0014627i,0.0010744-0.0021257i,0.00092496-0.0018067i,0.00021669-0.0012356i,-0.00032881-0.00091489i,-0.00053824-0.00036333i,-0.00038432-1.3155e-05i,-9.9572e-05+2.6173e-05i,-0.00022611-0.00019268i,-0.00057072-0.00038644i,-0.00041476+0.00017353i,-0.00015337+0.00047932i,-0.0006063+0.00037767i,-0.00068253+5.8202e-05i,-8.174e-05-0.00021013i,-6.9143e-05-8.9919e-05i,0.00012045+9.8448e-05i,0.00075781+8.2529e-05i
0.0014743-0.0010778i,0.0012675-0.0010659i,0.00072205-0.00089954i,0.00098443-0.00092934i,0.0013838-0.00084841i,0.00099877-0.00050044i,0.00069266-0.0011544i,0.00035874-0.0012925i,-6.2326e-05-0.0012195i,-0.0003546-0.0012957i,-0.00024731-0.00074246i,0.00051021+3.8087e-05i,0.00043031+0.00064487i,-0.00022299+0.00031889i,7.7019e-05-0.00024244i,-0.00028717-0.00017941i,-0.00028083+0.00014752i,-0.00039442+0.00081561i,-0.0013169+0.0012548i,-0.00053903+0.0010957i,0.00016939+0.00066653i,-0.00013193+0.00076779i,0.00020898+0.00052984i
0.00076201-0.0015303i,0.00027127-0.0016882i,-4.033e-06-0.0017988i,-0.00078022-0.0023537i,-0.00053933-0.0024701i,-0.00014865-0.0020781i,0.00051427-0.0017816i,0.00088431-0.0014077i,0.00048801-0.0013077i,-0.00016274-0.0011653i,-0.00055054-0.00029456i,-0.00066448-0.00055503i,-0.00077097-0.00025521i,-0.00092526+0.0010562i,-0.0010835+0.0011275i,-0.00013756+0.00069066i,-2.7818e-05+0.0009232i,-0.00049529+0.00061446i,-0.00043416-0.0002181i,-0.00036623+0.00027503i,-0.00010783+0.0007595i,0.00013608+0.00076434i,0.00038752+0.00074441i
0.001124+0.00059758i,-5.4324e-05+0.00052362i,0.00052028+0.00060579i,0.0020658+0.00044768i,0.0022423-0.00040509i,0.001223-0.0011268i,0.00087048-0.0011211i,0.00091598-0.0011356i,0.0001164-0.00084837i,-0.00057007-0.0004823i,-0.00061363-0.00039078i,-0.00026279-0.00017903i,9.6136e-05+0.00020195i,0.00016391+0.0011149i,-0.00011024+0.00083084i,-0.00088218+0.00010519i,-0.00081882+6.3587e-05i,-0.00021631-1.0098e-05i,-0.00029937+0.00011743i,-0.00038696+0.00069385i,-0.00025401+0.0002934i,-0.00025358-1.022e-05i,-0.00015373+0.00024484i
-0.00030735-0.00057343i,-0.00010967-0.00067793i,-0.00024821-0.00063825i,0.00020167-0.00062777i,0.00097492-0.00063333i,0.0012988-0.001302i,0.0008127-0.0014112i,0.00075613-0.001155i,0.0006417-0.00090107i,2.1762e-05-0.0011449i,-7.7516e-05-0.0008962i,-5.5673e-05+0.00038693i,-0.00010514+0.00091215i,-0.00036536+0.00048399i,0.00034146+0.00048204i,0.00047975+2.7848e-05i,-0.00017311-0.00028288i,-0.00024816-5.8271e-05i,-0.00036042-0.00015379i,-0.00057289-0.00019071i,-0.00080225-7.8528e-05i,-0.00067665-5.2848e-06i,-0.00037947+0.00042785i
0.0024914-0.0025251i,0.0016334-0.0035576i,-0.00032626-0.0031475i,-0.0013753-0.0025378i,-0.0012467-0.0019851i,-0.0012305-0.0017933i,-0.00026494-0.0017317i,0.00025825-0.0015122i,-0.0010548-0.0011695i,-0.0015473-0.00059937i,-0.001299+0.00024688i,4.8839e-05+0.00088102i,0.00079968+0.0015849i,0.00012268+0.0018498i,-4.3918e-05+0.0010662i,0.00024247-0.00014009i,0.00032529-0.00017824i,0.00060967+0.0002263i,0.00092635-0.00016147i,0.00085617+7.3039e-07i,0.00072261-0.00036221i,0.00018358-0.00078256i,0.00043684+0.00011172i
0.0019282+0.00060366i,0.0020203+0.00037266i,0.0013672-5.9162e-06i,0.0017782+0.00043393i,0.0022072+0.00020167i,0.0017768-0.000125i,0.001103-0.00054996i,0.00068633-0.0011188i,-8.0397e-05-0.0017226i,-0.0002923-0.0015516i,0.00038839-0.00094184i,0.00046566-0.00039291i,-0.00050899+0.00055086i,-0.0011424+0.00082655i,-0.00045024+0.00045804i,0.00063524+0.00015041i,0.00071185+4.3758e-05i,-0.00021496-0.00023771i,-0.00048364+0.00022121i,-9.6968e-05+0.00020745i,0.00050897+7.367e-05i,0.0008246+0.00034871i,0.00058555+0.00026157i
0.0012901-0.00034437i,0.00056594-0.00046144i,-0.0010365-0.00073848i,-0.0014327-0.0010002i,-0.00057135-0.0010226i,2.2936e-05-0.00053843i,0.00041717-0.00012301i,0.00032751-0.00043785i,0.00025637-0.00082086i,0.00029729-0.00040504i,-0.00031452-8.7351e-05i,-0.00042975-0.00045245i,0.0004573-0.0010054i,0.00027895-0.0004325i,4.4798e-05+9.1396e-05i,0.00040746+0.00019864i,0.00021209+0.00040041i,-0.00031679+0.0001214i,-0.0010572+0.00031149i,-0.0015037+0.0003151i,-0.0012204-0.00037615i,-0.00087194-7.9666e-05i,-0.00095806-2.6035e-05i
0.0010262-0.0020366i,0.0010397-0.0021029i,0.00045338-0.001925i,-7.8525e-05-0.0015982i,0.00016874-0.00098672i,-0.00054703-0.0012761i,-0.001324-0.0011512i,-0.0007683-0.00076498i,2.9142e-07-0.0013288i,-0.00018847-0.0014163i,-0.00084868-0.0013799i,-0.00099985-0.00068521i,-0.0001169+0.00027594i,0.00080456+0.00010575i,0.0013849-0.00021304i,0.0006925+7.0239e-05i,-0.00032665+0.00039786i,-0.0006989+0.00058423i,-0.0004102+0.00075563i,-0.00043993+0.00058171i,-0.0005908-7.7509e-07i,0.00017065+0.00039084i,0.000604+0.0012096i
0.00066866-0.00057339i,0.0007508-0.00032066i,0.00085518-0.00023331i,0.001661-0.00081339i,0.002801-0.0014097i,0.0025514-0.0017497i,0.0010039-0.0014303i,-0.00011501-0.0012595i,-0.00067281-0.0015385i,-0.00033342-0.0015682i,2.4948e-06-0.00097146i,0.0001556-0.00034116i,-0.00016195+0.00035574i,-0.00075216+0.0015488i,-0.00083483+0.0016398i,-0.00010464+0.0008959i,0.00057865+0.00093088i,0.000354+0.0009865i,0.00026088+0.00032649i,0.00064051-0.00027506i,0.00048114+8.2903e-05i,-0.00036157+0.00032306i,-0.00098505+0.00020939i
0.0010838-0.0018458i,0.0012422-0.0013908i,-0.0012412-0.0015464i,-0.0024738-0.00081044i,-0.0020196+0.00010679i,-0.00069601+0.00076969i,0.00063469+0.00086788i,0.0011831-0.00017325i,0.00042287-0.0012252i,-0.00041921-0.00066383i,0.00011191+0.00020475i,0.00032057+0.00030523i,-0.00018218+0.0006403i,9.0965e-05+0.00047798i,-0.00020274+0.000251i,-0.0012889+0.00036924i,-0.00082151+0.00037221i,-0.00078342+0.00066135i,-0.0012141+0.00069254i,-0.00039436+0.00055197i,-1.8335e-05+0.00045276i,0.00029831-5.8487e-05i,0.00037793-0.00060525i
0.00088481-0.00065324i,0.00068193-0.00033446i,0.00063863-0.00082581i,0.00068331-0.0013465i,0.00097956-0.0010992i,0.0016369-0.00063101i,0.00069318-0.00014889i,9.9239e-05-0.00070718i,0.00063962-0.0022702i,-7.9294e-06-0.0019275i,-0.00062091-0.00093242i,-0.00064313-0.0010869i,-0.00040342-0.0014336i,0.00031257-0.00055537i,0.00020307+0.0005989i,-0.00026973+0.00034067i,-0.00061239-9.3478e-05i,-0.0011419-0.00011265i,-0.0007526+0.00039448i,-8.3876e-05+0.0004767i,0.00065576-0.00015064i,0.00062187-0.00015788i,-7.7047e-05-0.00019368i
-0.00032727-0.00098771i,0.0012305-0.0014046i,0.00091452-0.00060466i,0.00023457+0.00098217i,-0.00035395+0.00081072i,-0.00070878-0.00089353i,-0.00036718-0.001527i,-0.00036505-0.00086416i,-0.00027868-0.00044271i,-0.00059425-0.00081606i,-0.00079363-0.0011423i,-0.0010897-0.00090235i,-0.0012809-0.00044523i,-0.00081776+0.00010161i,-4.2385e-05+0.00011875i,-0.0001969-0.00033015i,-0.00024194+5.0671e-05i,0.00015351+0.00083489i,-4.8529e-05+0.00097126i,-0.00018767+0.00082072i,-0.00015791+0.00092673i,0.00014631+0.0017186i,-0.00022079+0.0015473i
0.00045172-0.0004293i,0.0012254-0.00091397i,0.00058178-0.00072786i,-4.5143e-05+0.00017657i,0.00044946+0.00023424i,0.00080557-0.00024263i,0.00069151-2.9512e-05i,-0.00024475+5.1168e-05i,-0.001219-0.00065412i,-0.0007767-0.001336i,-3.1081e-05-0.00070758i,0.00014999-8.7866e-05i,0.00038523-0.00086018i,0.00011696-0.0013322i,-0.0002623-0.00050989i,8.1165e-05-5.0095e-05i,0.00016141+4.0872e-05i,-0.00012097+4.6342e-05i,-0.00067105-2.1468e-05i,-0.00016862+3.8967e-05i,0.00055686+1.85e-05i,5.1931e-05+3.5222e-05i,-0.00047599+0.00022554i
