-0.001871+0.00049148i,-0.0011873+0.0002932i,0.00034654-0.00056569i,0.00077035-0.0008286i,0.00030079-0.0010597i,0.00025489-0.0016785i,5.4202e-05-0.0019417i,0.00019033-0.0016901i,0.00050494-0.0010026i,-0.00042637+3.2809e-05i,-0.00078725+0.00017589i,0.00011799+0.00023136i,0.00042265+0.00019687i,0.00029266-1.8664e-05i,0.00026747-0.00012684i,8.7354e-05+0.00040768i,-0.00031137+0.00070545i,-0.00024715+0.00018205i,0.00024321+0.00039338i,0.0008023+0.0004447i,0.00069681+0.00038223i,3.7986e-05-0.00052952i,-0.00022393-0.00075321i
0.00024092-0.0022547i,-0.00083822-0.00194i,-0.0013869-0.0015332i,-0.0010399-0.00091246i,-0.00047459-0.00039846i,-0.0006683-0.00044164i,0.00010825-0.00047486i,0.001409+2.8187e-05i,0.00074626+0.00051984i,-0.00091733+0.00068289i,-0.00072283+0.00034169i,6.8288e-05+0.00062989i,-0.00019523+0.001339i,-0.00017047+0.0011825i,-7.62e-05+0.00098851i,-0.00053443+0.0009657i,-0.00047424+4.6761e-05i,0.00051063-0.00094462i,0.00045799-0.00078842i,0.00055438-0.0004449i,0.00092233-0.00044361i,0.00080587-0.00050433i,0.00020474-0.00068118i
0.0025494-0.00033251i,0.0017231-0.0011772i,-6.1142e-05-0.0021084i,-0.0010862-0.0012177i,-0.0019133-0.00052158i,-0.0024561-0.00049704i,-0.0012255-0.00021984i,0.00067693+6.6932e-06i,0.0012998+7.8952e-05i,4.3428e-05+0.00073823i,-0.00084616+0.0017573i,-0.00043242+0.0016163i,-0.00043622+0.00089313i,-5.0589e-05+0.00075854i,-9.149e-05+0.00081994i,-0.00074216+0.00042948i,-0.00069026+0.00040375i,-4.4932e-05+0.00084536i,0.00044334+0.00088358i,0.00059343+0.00068681i,0.00050638+0.00024445i,-0.00021256-0.00054489i,-0.00034577-0.0010789i
-0.00048571+0.0016068i,-9.7067e-05+0.0010838i,0.0011023-0.0001538i,0.0022376-0.0017253i,0.0020975-0.0024742i,0.001143-0.0020333i,0.00026486-0.0015589i,0.00048088-0.0012383i,0.00074431+0.00026878i,0.0002712+0.00055637i,-0.00013639-0.00016794i,-0.00054542-0.00010462i,-0.00049029-3.5963e-05i,7.9553e-05-5.3897e-06i,-0.00030076+0.00076783i,-0.00089955+0.00080628i,-0.00018819+0.00021239i,0.00033317+0.00024497i,-5.819e-05+0.00016803i,-0.00062858+7.8944e-05i,-0.00036751+0.00029482i,-9.5307e-05-0.00038489i,0.00029861-0.00046532i
-0.0033964-0.003357i,-0.0023845-0.0012024i,-0.0020385+0.0010594i,-0.0016622+0.0014501i,-0.00061743+0.00036872i,-0.00061626-0.00074195i,-0.00080057-0.0015581i,-0.00026155-0.00087897i,-0.00035627+0.00016828i,1.9405e-05+0.00046295i,1.403e-05+0.00072846i,-0.00037285+0.0010878i,-0.00022854+0.00099717i,-0.00024011+0.00022571i,-0.00034261+0.00030389i,-0.00012425+0.00094398i,0.00020157+0.0014403i,0.00065991+0.00060629i,0.00071367-0.00051825i,-0.00017191-0.00042231i,-0.00094662+4.116e-05i,-0.0010694+0.00036661i,-0.00081773+0.00024599i
-0.0011548-0.0019502i,-0.00042726-0.00041783i,-0.0011139+0.00056195i,-0.001046+0.00077711i,-0.00014067+0.00030725i,-3.9878e-05-0.0001798i,-0.00033771-0.00052263i,-0.00010266-0.00057376i,0.00017933-0.00035226i,0.00019412-8.5615e-05i,5.4549e-05+0.00061879i,0.00077541+0.00066423i,0.00058802+0.00025577i,-0.00072987-3.439e-05i,-0.00087554-0.00050365i,0.00017491-0.0012245i,0.00098348-0.00066225i,0.00081356-5.5393e-05i,0.00043168-0.00057853i,0.00057687-0.0010666i,0.00025675-0.00079627i,-0.00025001-3.4195e-05i,0.0006234-8.097e-06i
-0.00081127+0.00094953i,-0.00022892+0.00035908i,-0.00021632+0.00053541i,0.00026013+1.0691e-05i,0.00049417-0.00078435i,0.0007577-0.00096936i,0.00059742-0.00085976i,-0.00028051-0.00078747i,-0.00047475-0.00030102i,-0.00082638+0.00077706i,-0.0006926+0.00072764i,-0.00021366-0.00014683i,1.0272e-05-0.00016107i,0.00013293+0.00032211i,0.00039068+0.00055745i,0.00024107+2.6799e-05i,-0.0001955-0.00024891i,0.00025314+0.00042841i,-0.00029677+2.746e-05i,-0.0007595-0.00058253i,-0.00022682-0.00081827i,-0.00010598-0.00060993i,-0.00027443+0.00016995i
-0.0022728+0.0024699i,-0.0024007+0.0025738i,-0.0013063+0.0018839i,-0.00098416+0.0014323i,-0.00070026-5.2402e-05i,0.00025192-0.0014445i,0.00021176-0.0012826i,0.00070656-0.00069457i,0.0013641-0.00011567i,0.0006221+0.00020545i,-0.00016584+0.00073573i,-0.00030549+0.0013268i,8.2799e-05+0.00089701i,0.00033359+0.00029813i,0.00024483+0.00047613i,0.00022712+0.00051549i,0.00032752+0.00029916i,-0.00010853-0.00029665i,-0.00048503-0.00059009i,-3.6823e-05-0.00053556i,-0.00045871-0.00069522i,-0.00078973-0.0010955i,0.00012387-0.0005644i
-0.00064433-0.0026599i,-0.00078426-0.0017488i,-0.00062936-0.00073344i,-0.00096018-0.0003593i,-0.00083013-0.00070515i,-0.00093054-0.0013038i,-0.00075781-0.0012307i,-0.0010174-0.00069372i,-0.00090164-0.00078663i,-0.0010266-0.00072027i,-0.00096207+4.6316e-05i,-0.00055185+0.00020965i,0.0001267-0.00020392i,0.00086332+8.7291e-05i,0.00055525+0.0005308i,-0.0004324+0.00052592i,-0.00039617+4.684e-05i,-0.00040307-0.00013214i,-0.00062512-0.00031449i,-9.8059e-05-0.00055081i,0.00069933-0.00025436i,0.0012229+0.00039742i,0.0005567+0.00062633i
-0.00011198-0.002376i,0.00014684-0.0016542i,-0.00027136-0.0011271i,0.00028313-0.00045275i,0.0010634-0.00031418i,0.00048935-0.00084204i,0.00047167-0.00076274i,0.00015661-0.00010326i,-0.00025779+0.00031655i,-0.00021955+0.0011129i,0.00031048+0.001132i,0.00081067+0.00062754i,0.00039499-0.0001598i,3.8036e-05-0.00099617i,0.0003283-0.00060886i,0.00062699+0.0003951i,0.00081208+0.00045585i,0.00062901+0.00042229i,0.00033104-0.00016923i,0.00010743-0.00021675i,-0.00056287+0.00014779i,-0.00050189+8.8025e-05i,0.0003392-4.0929e-05i
