-0.00030659+0.00019225i,-0.00012585-0.00034367i,-0.0016427+3.3927e-05i,-0.00227-0.000472i,-0.0025838-0.00043146i,-0.0022294+0.0014406i,-0.00097939+0.0029662i,0.00046302+0.0029142i,0.001853+0.0025001i,0.0026452+0.0014914i,0.0015331+4.9918e-05i,0.00053195-0.00034063i,0.00090376-0.00044408i,0.00047323-0.0004382i,7.0941e-05-0.00023204i,0.00076826-0.00024489i,0.00083573-0.000385i,0.00048155-3.3882e-05i,0.00017898+0.00015027i,0.00059704-0.00014271i,0.0013114+9.7457e-05i,0.00064318+0.0008815i,0.00010905+0.00077972i
0.00017801-0.0011216i,0.00078678-0.0018523i,0.00062443-0.0015313i,0.00030676-0.0015375i,0.00035774-0.00096175i,-0.0001083-0.00025289i,-0.00030277+0.00021114i,0.000345+0.00094577i,0.00057998+0.0010474i,-0.00073049+0.00070616i,-0.0011266+0.00045773i,-0.00020267+0.00037735i,-0.00033213+0.0004658i,-0.0002229+0.0005266i,0.00044586+7.8515e-05i,0.00032831-0.00056776i,0.00025913-0.00099036i,0.00055131-0.00023348i,0.00088165+0.00094845i,0.00071838+0.0007138i,0.00033402-2.7097e-05i,-0.00020115-0.00029519i,-0.00012212+4.4253e-05i
-0.00063937-0.0012328i,0.00050966-0.00034489i,0.00057999+0.0012612i,-0.00085395+0.0014201i,-0.00094607+0.00096068i,4.8133e-06+0.00068355i,-0.00043208+0.0011928i,-0.00059389+0.0013513i,-0.00023403+0.0016203i,3.3723e-05+0.0016253i,0.0001581+0.00069425i,-0.00022998-0.00017212i,-0.00034185-0.00027799i,0.00034802-0.00044182i,0.0004005-0.0006564i,0.00017724-0.00053455i,0.0003269-0.00026371i,0.00078329-9.8386e-05i,0.00068389+7.8389e-05i,0.00066717-3.9124e-05i,0.00089294+0.00012799i,0.0010435-0.00012101i,0.00074114-0.00019867i
-0.0022349+0.0016887i,-0.0023341+0.0020214i,-0.0019728+0.0025406i,-0.0014473+0.0019532i,-0.0015603+0.0006352i,-0.00051593-5.6001e-05i,-0.00025543+7.8763e-05i,-0.0009617+0.0003301i,-0.00082465+0.00076157i,-0.00010325+0.0013193i,0.00076463+0.0011556i,0.00061679+0.00063497i,0.0006916+0.00016211i,0.0012986-0.00011096i,0.0012645-0.00031164i,0.00058305-0.00077423i,-5.4406e-05-0.00021621i,-6.106e-05+0.00054157i,9.8142e-05+0.00053664i,0.0002844+0.00020351i,0.00012327-0.00050996i,-0.00029718-0.00028728i,-0.00034888+0.00042621i
-0.0013027+0.0001065i,-0.0022632+0.0002338i,-0.0035089-0.00036418i,-0.0028509-0.00074748i,-0.0015666+4.9009e-05i,-0.00058854+3.3539e-05i,0.00050243+0.00011504i,0.00054497+0.00092182i,0.00038354+0.00077971i,0.00041664+0.00036658i,4.8867e-05-0.00016498i,0.00012122+0.00029323i,0.00052745+0.00052855i,0.00072425+6.3664e-05i,0.00034936-0.00053444i,0.00018869-0.00091951i,0.00068281-0.00041663i,0.000783-0.00055002i,0.00036191-0.00077141i,0.00042327-0.00059784i,0.000387-0.00063598i,0.00035109-0.0010412i,0.00059036-0.00045048i
0.0005168-0.0022122i,0.0010164-0.0034883i,0.00097049-0.0038253i,-0.00062398-0.0027723i,-0.00089176-0.00081995i,-0.000505+0.00070801i,-0.00053951+0.0007434i,-0.00045603+0.0011804i,-0.00020294+0.0014086i,-0.00010188+0.00035636i,-0.00029634-0.0003785i,-0.00049801-5.172e-05i,-0.00065405+8.1905e-06i,-0.00020355+5.2683e-06i,0.00039547-4.7599e-05i,-6.1112e-05-0.0002753i,-0.00024584-0.00061025i,0.00022961-0.0010684i,0.00084729-0.00039606i,0.00055947+0.00040602i,-0.00048421+0.00038677i,-0.00069406+1.3302e-05i,0.00014339-0.00066919i
0.00063516+0.00034294i,0.001163+0.00048864i,0.0017715+0.00085633i,0.0011272+0.00021759i,-0.00014611-0.00071573i,-0.00036147-0.0010003i,0.00053772-0.00017893i,0.00043086+0.00041095i,9.6151e-05+0.00091929i,0.00012275+0.00096757i,0.0006668+0.000169i,0.00073916-0.00030532i,0.00093978-9.7033e-05i,0.0011485-0.00048437i,0.00067404-0.0013551i,0.00045496-0.00081851i,0.00067223-0.00026387i,0.0010001+4.0742e-05i,0.00031999+0.0001158i,-0.00044953+6.1788e-05i,0.00015211+0.0001452i,0.0010949+0.00029252i,0.0011509+0.00098655i
-0.0022452+0.0010381i,-0.0018396+0.0010654i,-0.0028843+0.0013889i,-0.0031194+0.0015046i,-0.0027935+0.0018733i,-0.0013354+0.0020458i,0.00030039+0.001921i,7.4018e-06+0.00094205i,-0.0010903+0.0017159i,-0.0011728+0.0019659i,-0.00065897+0.00072597i,0.00019287+0.00027134i,0.0012774-0.00024494i,0.0009689-0.00048143i,0.00011144-0.00059121i,0.00061447-0.0012001i,0.00084253-0.00073696i,0.00048116+0.00028564i,0.00090589+0.00054941i,0.00040904+0.00021352i,-3.8482e-05-0.00026218i,-0.00037389-0.00091812i,4.6466e-05-0.00070082i
0.00019478-0.0009026i,-0.00026993-0.001145i,-0.00092276-0.0029245i,-0.0013508-0.0024248i,-0.0012336-0.0004113i,0.00023994+0.0011875i,0.00017637+0.0009756i,-0.00051509+0.00037361i,0.00011217+0.00091048i,0.00018596+0.001119i,0.00044221-4.4948e-05i,0.00097811-0.00049357i,0.00080687-0.00034086i,0.00023869-0.00055876i,-0.00036667-0.0010041i,-0.00062316-0.0010581i,-0.00065677-0.00064332i,-0.00054178-0.00033843i,-0.00015489-0.00029128i,0.00023079-7.4595e-05i,7.5921e-05+4.106e-05i,-0.00056868+0.00026956i,-0.00086654+0.00015973i
-4.2513e-05-0.0010067i,0.00073627-0.0001766i,-0.00044677-0.0014739i,-0.001448-0.0019277i,-0.00087853-0.0012811i,-0.00019368-0.00061129i,-0.00014525+0.00029022i,0.00031107-8.1214e-05i,-1.932e-05-3.0439e-05i,-0.0011553+0.00037035i,-0.0012316+1.6055e-05i,-0.00021202+0.00035978i,0.00044576+0.00014517i,0.00040965-0.00070684i,7.1863e-05-0.00054367i,0.00046364-0.00031735i,0.00071941-0.0006086i,9.2821e-05-0.0007937i,-0.00023327-0.00029175i,-0.00018317-2.5482e-05i,-0.00033764-0.0006305i,-0.00023408-0.00090523i,-1.7628e-05-0.00056229i
-0.0017047-0.0002706i,-0.0014172+0.00021237i,-0.0014679-0.00034837i,-0.0012112-0.0010862i,-0.00080885-0.00027604i,0.0003518+0.0002526i,0.0007155+0.00012195i,0.00052411+0.001039i,0.00034656+0.0015483i,0.00045915+0.00117i,0.00025942+0.00097387i,-0.0001365+0.00033258i,-0.00013504-0.00063065i,0.00036475-0.00024745i,0.00044527+0.00024232i,0.00026912-0.00015047i,0.00042356-0.00080785i,0.00038447-0.0014094i,0.00062764-0.0010598i,0.00094701-0.00054033i,0.00047796+0.00051224i,-0.0002699+0.0010564i,-0.00065296+0.00028896i
-3.4781e-05-8.5182e-05i,-0.00046907-0.0013296i,-0.0015213-0.0023321i,-0.0019859-0.0012574i,-0.001067+0.00074885i,-0.00070895+0.002014i,-0.00067575+0.0019551i,-4.574e-05+0.0013679i,0.00027983+0.001132i,-0.00019426+0.001075i,-0.0003092+0.0011719i,-0.00060641+0.0015109i,-0.00024252+0.001132i,0.00052607+0.00018556i,0.00049538-7.4412e-05i,0.00051378+0.00031953i,0.00056159+2.6628e-05i,0.00069063+0.00016718i,0.00065996+0.00031393i,2.5164e-06-0.00012708i,-5.2544e-05-0.00037038i,-0.00023354-0.00054392i,-0.00032128-0.00017458i
0.00089683-0.0025792i,0.00098618-0.0030314i,0.00034183-0.0039325i,-0.0015412-0.003376i,-0.0025784-0.0013841i,-0.0012056+0.00021806i,-0.00024147+0.0014035i,-0.00052401+0.0014693i,-0.00070658+0.00084721i,-0.00092006+0.0003987i,-0.00056369+0.00019063i,-0.00013435+0.00073642i,-0.00058407+0.00048586i,-0.00042491+0.00072093i,0.00036629+0.0015594i,0.00048761+0.00033593i,3.8178e-05-0.0005939i,2.4711e-05-0.00080973i,0.0010176-0.0013762i,0.0012083-0.0014923i,0.00043054-0.0010939i,8.0666e-05-0.00089965i,0.0004232-0.00039902i
-0.0017741-0.00038169i,-0.0015189-0.00074207i,-0.0011781-0.0014087i,-0.001306-0.00094673i,-0.0011901-0.00051836i,-0.00048209+0.00021853i,0.00015937+0.00092318i,-0.0003134+0.0013133i,-0.00047265+0.00082803i,0.000252+0.00020055i,0.00048483-0.00011605i,0.00026403-0.0002867i,-5.8527e-05-0.00012104i,3.61e-05+0.00029573i,7.1572e-05+0.00027869i,2.4633e-05-0.00019636i,0.00026512+2.6092e-05i,0.0001572+0.00072047i,-5.7208e-05+0.00026412i,5.4782e-05-0.0006291i,0.00012206-0.00080153i,0.00015888-0.00061919i,0.00022022-0.00016486i
0.00072148+0.00082734i,-0.00044532+0.00049105i,0.00041779-0.00053541i,0.00023792-0.0016139i,-0.00051165-0.0021182i,-0.00055051-0.00056586i,-0.00034241+0.0010306i,4.2718e-05+0.0013589i,-0.000205+0.001417i,-0.00063125+0.00036758i,-0.00016922+0.00011194i,-0.0001826+0.00062893i,-0.00028003-5.7819e-05i,-5.2165e-05-0.00063621i,0.00024949-0.00081749i,0.00039183-0.00055543i,1.6202e-05+0.00011057i,-0.00015068+8.105e-05i,7.2932e-05-0.00055951i,0.00058575-0.00046998i,0.00050528+0.00010103i,-6.8265e-05+0.00022377i,-0.0001896+0.00022223i
0.00095543-0.0017012i,0.0013308-0.0025911i,0.00047924-0.0033907i,-0.00082829-0.0022736i,-0.0021348-0.00057233i,-0.0017583+0.0004026i,0.00024151+0.0007394i,-2.6582e-05+0.0012728i,-0.0015736+0.0016051i,-0.0018687+0.0011905i,-0.0013858+0.0011775i,-0.00081363+0.001093i,-0.00010261+0.00052569i,0.00029992-0.00038857i,0.00039504-8.0699e-05i,0.00011048+0.00021185i,-0.00019249-0.00023935i,-0.00046967-0.00035972i,-7.4914e-05+0.00012282i,0.00054871-3.0509e-05i,0.00054374-0.00043718i,-0.00032564-0.00010402i,-0.00081125+0.0003351i
0.0015571+0.0016355i,0.0023873+0.0011103i,0.0026617+0.00089728i,0.00099128+0.00043663i,-0.00048527-0.00059735i,-0.00065865-0.00076992i,-0.00012787+0.0006488i,-0.00014871+0.0014963i,-0.00057458+0.0015016i,-0.00050441+0.00097126i,0.00021+5.3003e-05i,0.000379-0.00055768i,-0.00048676-0.00065816i,-0.00029102-0.00012495i,5.2796e-05+0.00020114i,0.0001236+0.00014405i,0.00041099-0.00018959i,0.0005491-0.0006948i,0.00054932-0.00065797i,0.00046006-0.00061838i,0.00044064-0.00068386i,1.3097e-05-0.00042176i,-0.00068128-0.00055124i
0.0015875-0.00062311i,0.0018607-0.0008559i,0.00066849-0.002361i,-0.0014627-0.003509i,-0.0018818-0.0026815i,-0.00069286-0.0012921i,-0.00067413-8.2373e-05i,-0.0002353+0.0010928i,0.00025205+0.0015021i,-5.5097e-05+0.00085252i,-8.5628e-05+0.00051919i,-0.00036873+0.000634i,-0.00029763+0.0010901i,0.00035075+0.00059511i,0.00059439+8.7973e-05i,-0.00012477+0.00054176i,-0.00040274-7.9132e-05i,0.0005725-0.00063668i,0.00095259+0.00030388i,0.00031253-5.3802e-05i,-2.0899e-05-0.0010373i,7.24e-05-0.00068676i,9.9195e-06-7.2739e-05i
0.0015566-0.0016001i,0.0018301-0.0018796i,0.00098629-0.0029711i,0.00036898-0.0036208i,-3.1565e-05-0.0033559i,-0.00038129-0.0017722i,-0.00071886-0.0002176i,-0.00083437+0.00049753i,-0.0003362+0.00014124i,-4.8802e-05-0.00066386i,-0.00071185-0.00020028i,-0.0014472+0.00055828i,-0.0011489+0.00042216i,-0.00035701+0.00032495i,0.00010413+0.00020959i,0.00022491+0.00041942i,-2.655e-05+0.0009071i,0.00034515+0.00048803i,0.00082543+0.00018853i,0.00077088+0.00031008i,0.00054668-0.00014449i,-9.0906e-05-2.3058e-05i,-0.00057425+0.00050743i
0.00051385+0.00095997i,0.0012469-0.00057803i,0.0021474-0.0019705i,0.0012242-0.0020437i,0.00042147-0.001116i,0.00057478-0.00026049i,-2.7391e-06+0.00019904i,-0.00026294+0.00070811i,-0.00021566+0.00074101i,-0.00035941-0.00018919i,-0.00041809-0.00083588i,-0.00034402-0.00091755i,0.00066953-0.00037216i,0.00098591+8.3117e-05i,0.00053518+3.3718e-05i,-1.5295e-05-0.00056709i,-0.00010322-0.00080055i,0.00041782-0.00026088i,0.00019421-0.00052811i,0.00015832-0.00059393i,0.00044848-4.9581e-05i,0.00046932-0.00036758i,0.00058022-0.00025555i
