-8.8235e-05+0.00028942i,0.0014776-0.0010209i,0.0024779-0.0013615i,0.001495-0.00039406i,0.00030128-0.00011706i,-0.00052202-0.00054281i,-0.00061554-0.00062944i,-0.00028369-0.00038816i,2.2942e-05-0.00020675i,-4.4037e-05+8.8064e-05i,-0.00014572+0.00034467i,-0.00052205-0.0002482i,-0.00047836-0.00040249i,-0.00034526+5.8098e-05i,-0.00021667+9.5262e-05i,-0.00015159+0.00051264i,-0.00066972+0.00045999i,-0.00061969-1.6496e-05i,0.0003789-3.5559e-05i,0.00032872-0.00056966i,-0.00030086-0.00085123i,-0.00025661-0.00078222i,-0.00012418-0.00023872i
9.8227e-05+2.4919e-05i,-0.0011611+0.0011039i,-0.0019966+0.00047665i,-0.00057011-0.00057971i,0.00010104+1.6229e-05i,-0.00029485+0.00049904i,-0.00090505+0.00066106i,-0.0011574+0.00078067i,-0.00060257+0.00094925i,-9.2179e-05+0.0010271i,-0.00062161+0.00024717i,-0.00052637-3.7312e-05i,0.00046016+0.00018727i,0.0008487+0.0002484i,7.5849e-05+0.00046794i,-0.00055183+0.00045994i,-0.0006028+0.00030405i,-0.00034899+0.00011242i,-0.00023208-0.00034136i,0.00029622-0.00031638i,0.00048706-0.0002948i,-9.7658e-05-0.00051533i,-0.0002744-0.00057346i
-0.00030591-0.0025187i,0.00012846-0.0028804i,-0.00017626-0.0022127i,-0.00062289-0.00071521i,-0.00044127+0.00027906i,0.00011835-3.2535e-05i,7.1909e-05+1.2278e-06i,-0.0001326+2.2335e-05i,-0.00029603-0.00038386i,-0.0004971-0.00037327i,0.0002948-0.00086335i,0.0012814-0.0010588i,0.0012742-0.0006165i,0.0012398-0.00059881i,0.00052012-0.00023409i,0.00026419+0.00046569i,0.0009295+0.00030083i,0.0011187-0.0001042i,0.00063462-0.00043193i,0.00022644-0.00049427i,-0.00032761-0.00016297i,-0.00055897-0.00041477i,-9.6283e-05-0.00046456i
0.00079044+8.6908e-05i,0.0017612+0.00043497i,0.0011879+0.00094372i,0.00048543+0.00050283i,-0.00011971+0.00013491i,-0.00073992+2.2202e-05i,0.00023356-0.00015052i,0.00091847+0.00050111i,-0.00040757+0.0010061i,-0.00094732+0.00084558i,-0.00016229+0.00037118i,-3.9159e-05-8.5593e-05i,-0.0001279+8.7798e-05i,0.00040464+0.00042475i,0.00082048+0.00041868i,-6.9807e-05+2.6133e-05i,-0.0005739-0.00011458i,0.00048151-6.2618e-05i,0.00094227-0.00048465i,6.3452e-05-0.00071166i,-0.00057348+0.00020091i,-0.00044239+0.00058922i,-0.00040689+5.3455e-05i
0.00079174-0.00047839i,-0.00067983-0.001782i,-0.001316-0.0022982i,-0.0012253-0.0020318i,-0.0012908-0.0016491i,-0.0019035-0.001441i,-0.0016303-0.000788i,-0.00062226+0.00020137i,-0.00053808+0.00020877i,-0.00057388+0.00085347i,8.5713e-05+0.0016561i,0.00059291+0.00058463i,0.00039024-8.1567e-05i,-8.571e-06+0.00057945i,-0.00024547+0.00064129i,-0.00029515-0.00014682i,-0.00026622-0.00016823i,-0.00020998-7.5793e-05i,-0.00015724-0.00074116i,-0.00047068-0.00039278i,-0.00025774+0.00021639i,-0.00019383+0.00021012i,-0.00091007+0.0004827i
0.00097713+0.00087175i,0.00063551+0.00078056i,-7.3613e-06+0.00061066i,0.00021023+0.00037675i,0.00030861+0.00027274i,2.222e-05+0.00067758i,-0.00016077+0.0004259i,0.00014169-2.199e-05i,0.0001153-0.00033098i,-0.00030007-0.00098603i,-0.00014737-0.00086212i,-0.00029802-0.00026034i,-0.00074659-0.00063503i,-0.00067892-0.00050041i,-0.00079472+6.8242e-05i,-0.00047051-6.1396e-05i,0.00046562-0.00057782i,0.00042118-0.00078781i,0.00032034-0.00022131i,6.0836e-05-0.00020918i,-0.00035853-0.00068388i,-0.00036741-0.0010364i,-0.00020819-0.0010184i
-0.0011083+0.00071857i,-0.00065956+0.00071543i,-0.00055886-0.00077557i,-0.00051077-0.0015936i,-0.00017995-0.0018223i,-1.0624e-05-0.0018752i,-1.0785e-05-0.0018113i,3.4046e-05-0.0016305i,2.5732e-05-0.00080961i,0.00057426-0.00024662i,0.001165-4.1583e-05i,0.0010656-0.00047494i,0.00016199-0.00055785i,-0.00063796-3.4598e-05i,-0.00029182-3.3848e-05i,-7.025e-05-3.0958e-05i,-0.0003236+0.00048615i,-0.00036841+0.00074845i,-0.00021943+0.00023134i,-0.00031615+0.00034553i,-0.00069364+0.00064842i,-0.0008102+0.00011894i,-0.00023269-0.00023627i
0.0019458-0.00066379i,0.0013403-0.00078025i,-0.00048488-5.7408e-05i,-0.00096667+7.4368e-05i,-0.00090405-0.00042231i,-0.0012174-1.7084e-05i,-0.0012917+0.0006505i,-0.00083402+0.00022098i,-0.00016901-0.00036674i,-0.00027476-0.00069022i,2.7975e-05+0.00029597i,0.00017219+0.0012198i,0.00019597+0.00058088i,0.00018467+0.00024171i,0.00010837-6.1128e-05i,0.00027033-0.00074149i,-0.00014812-0.00053884i,-0.00066422+0.00033392i,-7.1194e-05+0.00039263i,0.00051673-0.00016872i,0.00022454-0.00098215i,-0.00063486-0.0011596i,-0.00061159-0.001186i
0.0009223-0.00085869i,0.0022806-0.0011887i,0.00281-0.0015316i,0.0012969-0.0016346i,0.0001622-0.00099179i,0.00011502+0.00018116i,-6.119e-05+0.00054768i,-0.00054461+0.0005283i,-0.00038408+0.00066491i,9.4902e-05+0.00011038i,0.00077043-0.00050507i,0.00072526-0.00020282i,0.00015017+0.00060987i,-0.00037203+0.00028537i,-0.00015022-0.00020928i,0.00012553-9.0876e-05i,-0.00022009-0.00027988i,2.5793e-05-0.00023891i,-0.00074676+0.00014334i,-0.00021743+0.0005786i,0.00085324+0.00035623i,0.00049267-0.00024452i,-0.00014179-7.5272e-05i
0.0022897+0.0020772i,0.0029267+0.0022811i,0.0018229+0.0024819i,0.00088418+0.0023559i,0.00064846+0.0013775i,0.00034023-0.00019609i,0.00030706-0.00050766i,0.00030356-7.302e-05i,-0.00019501+0.00040896i,-0.00084381-4.224e-05i,-0.00054496+2.1057e-05i,-0.0002645+0.00041112i,-0.0003955-0.0003873i,0.00013795-0.00085977i,0.00055361-0.00059881i,-0.00023516-0.00013201i,-0.00083521-0.00028668i,-0.00066743-0.00080829i,-0.00046548-0.00011687i,0.00016348+0.00027602i,0.00077092-0.00014814i,0.00062158-0.00029778i,-0.00024337-0.00063435i
-0.0022269-8.8211e-06i,-0.0021899+0.00014995i,-0.0013585+0.0012971i,-0.00090088+0.0011607i,0.00014547+0.00029623i,0.00044741-0.0003855i,-0.00049861-0.0013195i,-0.0010991-0.0017815i,-0.00013265-0.0015652i,0.00085778-0.00062788i,0.00041225+0.00067477i,-0.00015749+0.00085543i,8.5349e-05+9.4793e-05i,0.0002759-0.00019654i,0.0011359-0.00037764i,0.001654-0.00041754i,0.0010269+6.9588e-05i,-0.00013708-0.00029769i,-0.00063094-0.00032443i,0.00031907+0.00086614i,0.00048904+0.00099818i,-8.5534e-05+1.6242e-05i,-0.00016867-0.00052449i
0.0012086+0.0013476i,0.002227+0.0019072i,0.0014276+0.0012406i,0.0003609+0.0005646i,0.00037365-0.00046751i,-0.00034545-0.0019835i,-0.00055694-0.0020886i,0.00018451-0.00094665i,-7.8894e-05+4.8819e-05i,-0.00028821-0.00042359i,-0.00020926-0.00089923i,0.00024988-0.00073106i,0.00070346-0.00071774i,-0.00063909-0.00010416i,-0.0010516+0.00036554i,-0.00017841+0.00018339i,-0.0002137-0.00092499i,-0.00040152-0.00089085i,6.4497e-05+0.00035588i,-0.00022892+0.00041016i,-0.00082381-0.00090795i,-0.00093834-0.0011637i,-0.0012682-0.00060647i
0.00099877+0.00050407i,0.0012905-3.7493e-05i,0.0017899+0.00015912i,0.0016292-0.00037074i,0.0012686-0.0004716i,0.00079364-0.00026994i,0.00016152-0.00062162i,-0.0001106-0.00014634i,-0.00049976+0.00064377i,-0.00010467+0.00066232i,0.00030516+0.00052874i,3.3854e-05+0.00064648i,0.00022246+0.00028683i,0.00012877-0.00016542i,-0.00045529+0.00051219i,-0.0003679+0.00096373i,-0.0003438+0.00014739i,0.0005951-0.00054104i,0.0011483+9.5442e-05i,0.00062081+0.00051364i,-0.00017202+0.00022002i,-0.00020205+0.00010338i,-4.9809e-05+0.00011209i
-0.00054046-0.00034362i,2.8021e-05-0.00044317i,8.2867e-05-0.00040923i,-0.00053302-7.7852e-05i,-0.001349-0.00068602i,-0.0011423-0.0015661i,-0.00060684-0.0013925i,-0.00084621-0.00029997i,-0.000822+0.00095607i,-0.0010217+0.0012103i,-0.00062802+0.00062706i,0.00013204+1.9293e-05i,-0.00011557-2.5445e-05i,-0.00024326+0.00036914i,0.00031485+0.00032377i,0.00053592-0.00023642i,1.9274e-05+0.00012609i,-0.00011461+0.00054615i,6.3346e-05+0.00038494i,1.466e-05-0.00017993i,-0.00056383-1.9734e-05i,-0.00014731+0.00023544i,0.00090983+0.00021149i
-0.00050816+0.00032641i,0.00018663+0.0012174i,0.00079403+0.0010896i,0.0011857+0.00024558i,0.0011269+0.00039009i,8.9758e-05+0.00032692i,-0.00022437-0.00035258i,-0.0004924-1.6905e-05i,-0.00082646+0.00015605i,-0.00095929+0.00015916i,-0.00076353+0.00048198i,0.00016124+0.00081425i,0.00065887+0.00047192i,9.8359e-05-1.2845e-05i,-5.3363e-05-2.7974e-05i,0.0003179-0.00026614i,0.00033868-0.00063417i,0.00022211-0.00055227i,-9.7294e-06-7.7329e-05i,-0.00026555-0.00053556i,-0.0004854-0.00082432i,-0.00011589-6.0631e-06i,0.00044916+0.00015622i
0.0015816+0.0014678i,0.0013295+0.00082205i,0.00025552-0.00010418i,-0.00092347-0.00051254i,-0.001399-0.0013625i,-0.0011501-0.00084155i,-0.0013703-0.00025268i,-0.0010328-0.00056457i,0.00022258+4.0127e-05i,0.00032568+0.0006678i,0.00018363+9.3464e-05i,-0.00017878-0.00035145i,-0.00089534-0.00035278i,-0.00104-0.00035174i,-0.0013863-0.00099236i,-0.00053768-0.001415i,1.9424e-05-0.00074101i,-0.00018578-1.0893e-05i,-0.00044222+0.00086773i,-8.326e-05+0.0012316i,0.00044137+0.00064472i,7.462e-06-0.00038608i,-0.00011551-0.00088205i
