-0.0013102+0.000607i,-0.0015078+0.00074542i,-0.0039218-0.00064524i,-0.0060382-0.0028359i,-0.0054251-0.002156i,-0.0023887+0.00077731i,8.9689e-05+0.001968i,0.0010067+0.0015862i,0.0013531+0.00091071i,0.0012225+7.4385e-07i,8.8641e-05-0.00036061i,-0.00045932-0.00055727i,0.00024095-0.00061669i,0.00029502-0.00051341i,-0.00052389-0.00060269i,-0.00087074-5.533e-05i,-0.00049006-0.00027728i,-0.00029838-0.00062145i,0.00029625-0.0009613i,0.00072464-0.0011115i,-0.00041842-0.00034185i,-0.00058042-0.00027042i,0.0002582-0.00023627i
0.0002961-0.00026506i,-0.00054542-0.00080942i,-0.0025932-0.00026997i,-0.0042077-0.00049761i,-0.0036573+4.7306e-05i,-0.0026878+0.00073418i,-0.002191+0.00052572i,-0.00081299+0.00041003i,-0.00011589+0.00054781i,-0.00030184+8.2555e-05i,-0.00044823-4.6992e-05i,-0.00041504+6.996e-05i,-0.00012101-0.00013807i,0.00023908-0.0002581i,9.8024e-05+3.3703e-05i,0.00022893-3.7064e-05i,0.00044679+0.00029067i,-0.00014658-7.1753e-05i,-0.00069141-0.00043814i,-0.00069362+0.00018004i,-0.00041917+0.00042217i,-0.00040374+0.0002528i,-0.00031262-0.00024909i
0.0015918-0.0023309i,0.0019024-0.0041489i,0.0012188-0.0047169i,0.00069347-0.0031832i,-0.0003058-0.00023871i,-0.0011913+0.00085142i,-0.0015362+0.0005895i,-0.0013199+0.00020931i,-0.00053281+0.00011005i,-1.7102e-05+0.0003519i,-0.00016922+0.00024105i,0.0004432+0.00034289i,0.00054505+3.7356e-05i,9.1208e-05-0.00052087i,3.4217e-05-0.00023161i,8.621e-05+0.00068233i,0.00013951+0.00097969i,-0.00020339-0.00040674i,-0.00029075-0.0010964i,-0.00033959+0.00018837i,-9.47e-05+0.00057211i,0.00014952-8.0904e-05i,-6.1814e-06+0.00025533i
0.0012248+0.0010429i,7.9374e-05-0.0012565i,-0.00072667-0.0044792i,-0.0012688-0.0051326i,-0.0016037-0.0039324i,-0.0013698-0.0023829i,-0.00080614-0.00093391i,1.0521e-05-0.00049485i,0.00034663-0.00065564i,9.7875e-05-0.00043591i,-0.00041629-6.0267e-05i,-0.00010336+0.00012557i,0.0002867+0.0003754i,-0.00022809-0.00016943i,0.00013853-0.00054343i,0.0005298-0.00099051i,0.00021944-0.00095122i,-0.00061559-0.00040758i,-0.0012483-0.00077179i,-0.00098856-0.00027979i,-0.00037499+0.00011269i,-0.00020341+3.8552e-05i,-0.0007216-5.0098e-05i
-0.00036406-0.0030027i,-0.0011624-0.0023459i,-0.003602-0.00096642i,-0.0064966-0.000579i,-0.005928-0.00056472i,-0.0038182+1.8946e-06i,-0.0021987+0.00031143i,-0.00038876-8.771e-05i,0.00038077-0.00010806i,9.866e-05+4.4265e-05i,0.00018159+2.0527e-05i,0.00021376+0.00012151i,-0.00054363+0.00031825i,-0.00033609-0.00014769i,0.000625+0.00010753i,0.00076712+0.0010814i,6.7418e-05+0.00069423i,-0.00024464+0.00039357i,0.00020164+0.00068527i,0.00012382+0.00040376i,-0.00039367+9.7661e-05i,-0.00060538-4.1861e-05i,-0.00062464-0.00040457i
-0.00019695-0.0021872i,0.00063119-0.0017659i,0.001147-0.0014891i,0.0005503-0.00027046i,-3.8449e-05+0.0011705i,-0.00076106+0.0013994i,-0.00072892+0.00086039i,-0.00068227+1.0516e-05i,-0.00028983-0.00026013i,0.00053727-0.00085665i,0.00054849-0.00091568i,-0.00039773+0.00028832i,-0.00030705+0.00043267i,0.00043251+0.00029614i,0.00018419+0.00035029i,9.722e-05+0.00045606i,0.00097683+0.00083556i,0.00076776+0.00081012i,1.2062e-05-0.00020639i,-0.00079008-0.00019849i,-0.0014159+0.00013983i,-0.0011252-0.0001827i,-0.00052461-0.0011324i
0.0010864+0.00038727i,0.0015044-0.0026572i,0.0013989-0.0048534i,0.00079791-0.0051366i,0.00073402-0.0029792i,0.00062702-0.0013097i,0.00059398-0.0011411i,2.7491e-05-0.00054443i,-0.00053817-0.00011984i,-0.00070782+0.00039641i,-0.00036155+0.00067198i,-3.0196e-05+6.9198e-05i,-9.1525e-05-8.0984e-05i,-0.00025887+0.00041803i,-0.00010495+0.0008286i,0.00026436+5.6583e-05i,0.0006479-0.0011808i,0.00052598-0.0013434i,0.00010989-0.00095177i,4.9177e-05-0.00062897i,0.00012112-0.00036832i,0.00037112+0.00031333i,0.00025302-0.00022094i
-0.0011096-0.00080989i,-0.0038119+0.0003096i,-0.0064124+0.00038796i,-0.0070449-0.00097859i,-0.0054699-0.0012906i,-0.0025853-0.0013851i,-0.00068393-0.0011173i,-0.00054811-0.00046857i,-0.00031274+5.3151e-05i,0.00035299+0.00048681i,0.00026116-3.8236e-06i,8.1865e-07-0.00057299i,0.00035438-0.00079347i,0.00049511-0.0010263i,0.00017488-0.00049537i,0.00015208+0.00053277i,-0.00010248+0.00031062i,-0.00016632-0.000144i,0.00069443-0.00033215i,0.00018431-0.00020532i,-0.00092888+0.00013893i,-0.00075034+0.00017296i,-0.00070779+0.00010329i
0.0040643-0.00038879i,0.0048059-0.00072491i,0.0042774-0.00054164i,0.0017102+0.00087654i,-0.00070557+0.0019812i,-0.00097077+0.0016838i,-0.00054755+0.00041439i,-8.9991e-05-0.00057155i,3.4012e-05-0.00094254i,-0.00036074-0.00081773i,-0.00033191+0.00013094i,-0.0005514+0.0009023i,-0.0002808+0.00042356i,0.00019519+7.419e-05i,-0.0001825-0.00025128i,0.00027096-0.00023373i,0.0005801-0.00034091i,0.00066863-0.00062733i,-6.5062e-05-6.2306e-05i,-0.00010895+0.00039244i,0.00042162+0.00038224i,-0.00010184+0.00047988i,-0.0007681+0.0012449i
-0.00025782+0.00053066i,-0.00047224-0.002326i,0.00062528-0.0046067i,0.00057828-0.0056521i,-0.00028951-0.0043572i,-0.00061008-0.0022322i,-0.00096227-0.001935i,-0.00028828-0.00059785i,-0.00023978+0.00046809i,-0.00052028-2.7762e-05i,-0.00021529-0.00012933i,4.6842e-05-0.00063034i,7.9379e-05-0.00087822i,-0.00019404-0.00012512i,-6.9037e-06+0.0002226i,0.00053611-7.6143e-05i,0.00020846+7.5618e-06i,-0.00026213+0.00050241i,-0.00013757+0.00032402i,0.0003729-0.00011818i,0.00033862-6.8268e-05i,5.032e-05-0.00028264i,6.3291e-05+5.3705e-05i
0.0015909+0.0012396i,7.4923e-05+0.00091562i,-0.0032216-0.0006574i,-0.0055343-0.0025398i,-0.005176-0.0027355i,-0.0018257-0.0013072i,0.00039388-0.00091087i,0.00068969-0.00072771i,0.00040829-0.00035687i,0.00044734-0.00031823i,0.00056321-0.00051039i,0.00021744+0.00029701i,6.2174e-05+0.0012339i,-4.4881e-05+0.0011486i,-3.6911e-05+0.00038257i,0.00061571+0.00040439i,0.0010367+0.00078396i,0.00074775+0.00060941i,0.00022601+0.00086013i,-0.000237+0.00078514i,-0.00046931+0.00039449i,-0.00053147+0.00034601i,-0.00026344+0.00067077i
