-0.0054491+0.00038318i,-0.0046932+0.0036773i,-0.0036071+0.0056988i,-0.0010823+0.0059584i,0.00077807+0.0049823i,0.001122+0.0037727i,0.00045012+0.0031376i,5.2072e-05+0.0030457i,-7.1805e-05+0.002694i,0.00010458+0.0013463i,0.0010277-1.7287e-05i,0.0020107-0.00037922i,0.00086526-0.00042916i,-0.00015309-0.00040269i,-0.00052784+0.00032068i,-0.00086263+0.00035911i,-0.00067084+0.00014336i,-0.00029952-4.8641e-05i,0.00024292-0.00064583i,0.00055946-0.000331i,3.9093e-06-0.00020076i,-0.00068363-0.0003906i,-0.00045699-0.0011207i
-0.00052918+0.00048353i,0.00026982-0.0004429i,0.00072813-0.00061424i,0.00057849-0.00048966i,0.00052047-0.00027332i,0.00082365+7.8339e-05i,0.00095242-0.00030936i,-7.7692e-05-0.00037894i,-0.0010176+0.00028032i,-0.00071915+0.00044837i,-0.00019345+0.00072573i,-6.2311e-05+0.00079205i,0.00030745+0.00112i,0.00047736+0.0016217i,0.00024676+0.00064184i,4.2582e-08-0.00072932i,0.00012044-0.00093928i,0.00019195-0.00043486i,0.0003316-0.00013961i,0.0002994-3.7952e-05i,-0.00013104-0.00046194i,7.6066e-05-0.0010772i,-0.00027746-0.0007182i
0.00056329+0.00018231i,-6.3016e-05-0.00093776i,-0.00069427-0.0010998i,-0.0014364-0.00048012i,-0.0011158-0.00029636i,0.00019269-0.00045433i,0.00055709-0.00075445i,-0.00015095-0.0016929i,-0.0007264-0.0019002i,-0.0014559-0.0008849i,-0.0011876+0.00033217i,-0.0003811+0.0010373i,-0.0005978+0.00087442i,-0.00054512+0.00052978i,0.0001143+0.00039772i,0.00033008+0.00011156i,-8.5504e-05+0.00015116i,-0.00059291+0.00023649i,-0.00049821+8.2153e-05i,0.00011674-0.00016289i,0.00018761+0.00023889i,-0.00029206+0.00068586i,-0.00022521+0.00061781i
-0.0007047-5.5671e-05i,-0.00094245-0.00063774i,-0.0014468-8.3619e-05i,-0.0012879+0.001381i,-0.0014135+0.0024518i,-0.0010914+0.0019036i,0.00014824+3.0022e-05i,0.00062104-0.00076609i,0.00022824-0.00010193i,-0.00052661+0.00027834i,-0.00069649+0.00046362i,-0.00063354+0.00036824i,-0.00036224+8.2689e-05i,1.5413e-05+0.00066922i,0.00086686+0.00079489i,0.0015271+0.00046917i,0.0015751+0.00043104i,0.0011002+0.00025709i,0.00056651+3.6403e-05i,0.00048428-3.7513e-05i,0.00031923+0.000201i,0.00044498+3.5748e-05i,0.00059818-0.00052951i
0.00024808+0.00085495i,0.00070653+0.00087321i,0.0016862+0.001597i,0.0018014+0.001567i,0.0015787+0.00025046i,0.00062249-0.00089915i,-4.9282e-05-0.00088494i,-0.00019924+0.00014902i,-0.00025898+0.00079924i,0.00046634+0.00039562i,0.00014307+6.4436e-05i,-8.3489e-05+0.00031656i,0.00027365+0.00062205i,-8.941e-05+0.00076724i,-0.00013796+0.00071165i,-0.00014571+0.0003832i,-0.00053284+0.00012928i,-0.00023958+3.5845e-05i,0.00027187+0.00027401i,0.00055635+0.00018752i,0.00068947-7.5282e-05i,0.00093997+0.00010037i,0.00032859-0.00033247i
-0.0018234-0.001634i,-0.001539-0.0012367i,-0.001798-0.00047744i,-0.0018937+0.00065608i,-0.00083694+0.001864i,0.00022231+0.0014857i,-1.2118e-05+0.00056326i,-6.3158e-05-3.1566e-05i,-3.9185e-05-0.00038868i,-0.00095661-0.00011016i,-0.0010064+1.9621e-05i,-0.00012862+0.00071985i,-6.509e-05+0.00069005i,-0.00076529-0.00011155i,-0.00077318-0.00010189i,0.00014933-0.00013483i,0.00015982+0.00028027i,-0.00049562+0.00090911i,-0.00033055+0.00050345i,0.00062483+0.0002872i,0.00046185+0.00050593i,0.0001287+3.3777e-05i,0.00017128-0.00012025i
7.49e-05-4.7124e-05i,0.00030192+6.4995e-05i,0.0010605+0.00070992i,0.00059929+0.00069902i,0.00012325+0.00054206i,0.00019284+0.001355i,-2.0787e-05+0.0014514i,-0.00013599+0.0012643i,-0.00024091+0.001276i,-0.00036594+0.000645i,8.8734e-06+0.00029516i,0.00027524-6.3123e-05i,-4.3983e-05-0.00089176i,-0.00033427-0.00047151i,-9.4468e-05+0.00055098i,1.8048e-05+0.0011372i,-6.4866e-05+0.00053928i,0.00053087-0.00047445i,0.0007251-0.0005696i,0.00025605-4.5377e-05i,0.00013744+0.00048787i,0.0007528+0.0010402i,0.00065895+0.0010122i
-0.00049018+0.00054573i,-0.0010261-0.00045224i,-0.00093277-7.3481e-05i,-2.4756e-05+2.6992e-05i,3.8345e-05-0.00020699i,-5.9001e-06-0.0001321i,0.00039441+0.00014188i,0.00038598-0.00035297i,0.00055002-0.00029657i,-0.00042763+0.00083492i,-0.00087875+0.0013499i,0.00024647+0.00091689i,0.0011696+0.00094463i,0.00045697+0.0008638i,0.00023259+0.00037122i,0.00023008-3.6324e-07i,-0.00026278-0.00024718i,9.2416e-05-0.00062979i,0.00048584-0.00096138i,-0.00016549-0.00016379i,-0.00077601+0.00023448i,-0.00048808+0.00019771i,-0.00040688-7.4323e-05i
4.7934e-05+0.0002558i,0.00093407+0.00065753i,0.00070865+0.0013735i,0.00037729+0.001123i,0.0003746+0.00092122i,-0.0005115-0.0002835i,-0.00026742-0.0012473i,0.0004922-0.0010977i,0.00067915-0.00057599i,0.00027779+0.00059324i,-0.00014937+0.00070565i,-0.00031267+0.00047595i,0.00026802+0.0010401i,0.00092463+0.00080166i,0.001302+0.00026165i,0.0012519-5.2124e-05i,0.0005722-0.00062533i,0.00027137-0.0004909i,-0.00023184+9.8048e-05i,-0.00076408+2.857e-05i,-0.00077166+0.00033728i,-0.00045345+0.00051559i,-0.00021117+0.00044493i
-0.0015113-0.0022688i,-0.0019167-0.0020713i,-0.0024155-0.00053602i,-0.0025064+0.00089734i,-0.00099994+0.0011169i,0.0002+0.0011692i,0.00029429+0.00031272i,0.00039367-0.00052947i,-0.00014592-0.00041083i,-0.00063283-0.00045923i,6.5024e-05-0.00015791i,0.0012127+0.0004193i,0.001287+0.00065202i,0.00046166+0.00062337i,-5.2297e-06+0.00033228i,-0.0001195+0.0001511i,0.00031387+0.00031665i,0.00047864+0.00014866i,3.6646e-05-0.00024082i,2.7482e-06-0.00043522i,0.00043989-0.00037179i,0.00046261-0.00012615i,2.5126e-05+0.0003108i
-0.00015978+0.00047484i,0.00026734+0.00078414i,4.277e-05+0.00075093i,-0.00035945+0.0010608i,-0.00024921+0.0011915i,0.00038857+0.00098835i,0.00078877+0.00060391i,0.00095533-0.00021476i,2.7372e-05-0.00038022i,-0.00067853+0.00062798i,5.7219e-05+0.00076329i,0.00023431+0.00023931i,-4.6189e-05-0.00028594i,0.00039355-0.00073152i,0.00065787+3.3155e-05i,0.00096861+0.0009144i,0.0012817+0.00073277i,0.00049054+0.00030924i,-0.00033882+0.00014896i,9.6089e-05+0.00049659i,0.00068246+0.00054711i,-0.00030618-9.1611e-05i,-0.001227-0.0004i
