-0.0041316+0.0014795i,-0.0032761+0.0017657i,-0.0020639+0.0020382i,-0.00093698+0.0016343i,-0.00059437+0.0021858i,-0.00085873+0.0015926i,-0.0011596+0.0012699i,-0.00086682+0.0014214i,-6.5808e-05+0.00070132i,-0.00014566+0.00033548i,-9.4957e-05-0.00015453i,8.2457e-05-0.00099378i,0.00017107-0.0013165i,-0.00039223-0.0014443i,-0.00084951-0.00076128i,-0.00063495+0.00030508i,-0.00067019+0.0012073i,-0.00048537+0.0010769i,-0.0001009+0.0001168i,0.00027653-0.00013372i,0.00051727-4.1355e-05i,0.00024499-7.6952e-05i,0.00018077-0.00027159i
0.0028254+0.00050011i,0.0033023-0.00045844i,0.0034821-0.0018773i,0.0025491-0.0019113i,0.00090081-0.00082471i,-7.5743e-06+0.00046343i,-0.00011905+0.0010585i,0.00025985+0.0010592i,0.00055195+7.4491e-05i,0.00023296-0.00088441i,3.1055e-05-0.00065606i,0.00029591-0.0002574i,-7.0804e-05+0.0003623i,-0.00080364+0.001019i,-0.0005722+0.00069348i,-0.00032343+0.00037863i,-0.00023144+0.00054197i,-0.00019428+0.0005284i,7.8664e-05+0.00018121i,0.00019517+0.00010852i,-0.00018891-9.308e-05i,0.00021841-0.00021955i,7.2979e-05-2.3893e-05i
0.0010864-0.0019188i,-6.1925e-05-0.0025168i,-0.0025917-0.0022196i,-0.0025035-0.0013659i,-0.0023785-0.00099723i,-0.0027089-0.00059428i,-0.0013878-0.00054568i,2.6122e-06-0.00034678i,0.00040022-0.00056204i,-4.662e-05-0.0007645i,0.00026708-0.0004844i,0.0011302-0.00038021i,0.00099841+0.00032381i,0.00052037+8.8808e-05i,0.00072088-0.00061648i,0.00027163-0.00071867i,-0.0007109-0.000339i,-0.0012405+0.00044996i,-0.00094731+0.00043198i,-0.00033241+0.00058581i,-0.00043176+0.00088507i,-0.00032236+0.00046521i,-1.0444e-05-8.4739e-05i
0.00079895+0.0020573i,0.00096902+0.0017675i,0.0019642+7.6258e-05i,0.0017465-0.00065337i,0.0011441-0.00020467i,0.00033475-0.00029739i,-0.00069241+4.905e-05i,-0.00078643+0.00044373i,-0.00056372+0.00038815i,-3.4941e-05-0.00031711i,-0.00017757-0.00075808i,-7.5516e-05-0.00036545i,7.8791e-05-0.00017447i,0.0002253-0.00025564i,0.00068175-0.00020548i,0.00031346+0.00027248i,-0.00054062+0.00030117i,-0.0008585+0.00045506i,-0.00089936+4.4019e-05i,-0.00030614-0.00097236i,0.00020266-0.00075481i,0.00052832+3.4932e-05i,0.00097513+0.00038502i
-0.00020536+0.00012772i,-0.00072678-0.00099566i,-0.00048228-0.0016222i,-0.00085917-0.001282i,-0.001502-0.0011001i,-0.001684-0.00057881i,-0.0011698+0.00073943i,-0.0001731+0.00085158i,-0.00047372+0.00017762i,-0.00058324+9.1839e-05i,-0.00034483-4.9754e-05i,-0.0011471-0.00059763i,-0.0016389-0.00079101i,-0.0011783-0.00028402i,-0.00033878+0.00028432i,-0.00018035+0.00065153i,-3.4283e-05+0.00098166i,0.00062854+0.00087337i,0.001095+0.00050182i,0.00062314-0.00039025i,-0.00024809-0.00087949i,-0.00044455-0.00014698i,-0.0011611+9.8115e-05i
0.0020419+0.0010122i,0.0024362+6.9714e-05i,0.0022087-0.00033303i,0.0013854-0.00086671i,-8.357e-05-0.0015478i,-0.00086327-0.00095352i,-0.00082266-0.00033468i,-0.00020573+9.7569e-05i,0.0012487+0.00040025i,0.0015581-0.00041018i,0.00013329-0.0013437i,-0.000431-0.0012013i,-0.0007186-0.00042122i,-0.00077175+0.00054683i,2.6207e-05+0.0009388i,0.00034968+0.00048953i,5.7638e-05+0.00061417i,-1.2222e-05+0.0010282i,0.00051451+0.00083098i,0.00035612+0.00056638i,-2.3704e-05+0.00050888i,-1.2182e-05+0.00064862i,-0.00026971+0.00020867i
-0.0015873+0.0015909i,-0.0019978+0.0016087i,-0.0012846+0.00093393i,0.00046725+0.00018437i,0.001655-0.00082611i,0.0009854-0.0017715i,0.00035874-0.0013203i,3.3739e-05-0.00029606i,-0.00032809+0.00036096i,-0.0006726+0.00027936i,-0.00023286-8.1608e-05i,0.00033894+0.00023471i,0.00064687+0.00045817i,0.00096321+0.00044748i,0.00066348+0.0004159i,0.00015806+0.00015734i,6.3189e-05-0.00075426i,0.00016506-0.0011232i,8.7691e-05-0.00038302i,0.00028199+9.3242e-05i,0.00036126-0.00042845i,0.00025824-0.00053706i,-0.00040126-0.00061776i
-0.00096491+0.0020962i,0.0011182+0.0030314i,0.0014849+0.0034265i,0.00058217+0.0022782i,0.00097735+0.0011837i,0.00069919+0.00023669i,-0.00047018-4.1903e-05i,-0.0004641+0.00011543i,0.00018995+5.477e-05i,1.2521e-05+0.00039658i,0.00058494+0.00057845i,0.00078152-4.5688e-05i,0.00051256-0.00072591i,0.00047457-0.00087676i,0.00018903-0.00065969i,0.00049571+9.0388e-06i,0.00077326+0.00052672i,0.00018451+0.00042313i,-0.00010872+7.6035e-06i,0.00041598+0.00026169i,0.00068464+0.00031039i,0.00012515+0.00024491i,-0.00027196+0.00042435i
-0.0018513-0.00097202i,-0.0010266-0.00023715i,-0.00022535+0.00093719i,0.0010573+0.0015201i,0.0010028+0.0016434i,0.00081008+0.00068773i,0.00045966+8.0981e-05i,0.00045669+0.00030164i,0.00023314+0.00064951i,0.00021868+0.00042084i,0.00043662+0.00013116i,-1.0313e-06-0.00076344i,-9.0236e-05-0.0012522i,0.00041606-0.0003991i,0.00057854+0.0003412i,0.00054403+0.00050219i,0.00029687+0.00024575i,-5.5778e-05-0.00034163i,0.00011637-0.00048232i,0.00019035-0.00019277i,5.4707e-05+0.00030202i,-0.0001797+0.00060675i,-0.00013167+8.3455e-06i
-0.0018357+0.0022736i,0.00038742+0.0022944i,0.00093728+0.0020271i,0.00090155+0.0015045i,0.0013633+0.001414i,0.0010451+0.00021435i,0.00064817-0.00063762i,0.00047812-0.0007786i,7.2656e-05-0.00050444i,8.319e-06-0.00031453i,0.00041297-0.00014205i,0.0005215+1.3911e-05i,0.00073039-0.00055056i,0.00030438-0.00033254i,-0.00018229-0.00016344i,-0.00043096+0.00022405i,-0.0010138+0.00023707i,-0.00052602-8.3894e-05i,-0.0005179+0.00074182i,-0.00094021+0.00043062i,-0.00032823-0.00054897i,0.00020028+4.6088e-06i,-0.00013065+0.00026945i
-0.0010814-0.0023596i,-0.00011028-0.0019255i,-0.001179-0.00060663i,-0.0018177+0.001519i,-0.0016917+0.0024178i,-0.0010649+0.0021172i,-0.00013191+0.00083745i,0.00030928-0.00049i,0.00075975-0.00038824i,-2.5314e-06+0.00014194i,-0.00049843+0.00016223i,0.00046008+0.00031292i,0.0012655+0.00029814i,0.0010289+0.00058678i,0.00047781+0.00055424i,0.00027192-0.00011955i,0.00063468-0.0005477i,0.0011825-0.00021151i,0.0012367-2.9713e-05i,0.0007723+0.00017545i,-0.00030404+0.00036804i,-0.00033706+0.0004438i,0.00058696+0.00023091i
4.2047e-05-0.00051478i,-0.00083515+0.00090823i,-0.00084832+0.0014837i,-0.00023554+0.00064665i,-0.00040361-0.0002123i,-0.00021361+0.00040831i,0.00049497+0.00017326i,0.00075768+0.00043041i,0.00019635+0.00059324i,0.00050658-0.00018711i,0.00074418-0.00013418i,0.00030743+0.00035956i,0.00014264+0.00067187i,-2.8501e-05+0.000426i,-2.2876e-05+0.00030128i,0.00010723+8.7894e-05i,0.00075438-0.00042746i,0.0015493-0.00033168i,0.0014627+0.00018257i,0.00093621+0.00031105i,0.00056315+0.00010624i,-0.0002354-0.00027108i,-0.00064392-0.0009153i
0.00084288-0.00074213i,0.0010002-0.0013936i,0.00096754-0.0014032i,0.00091309-0.0013344i,0.0010325-0.0010219i,-8.6027e-05-0.00092613i,-0.00095081-0.00045294i,-0.00015072-0.00042142i,0.00049347-0.00064351i,0.00052118-0.00019898i,0.00020625+0.00014533i,0.000232-0.00052101i,0.00016498-0.0010241i,-0.00058185-0.0011418i,-0.00044332-0.00078686i,-0.00033936-0.00038675i,-0.00048877-0.00028244i,5.0468e-05-0.00052472i,-0.00024559-0.0007744i,-0.00042273-0.00042444i,-0.00063715+2.8669e-05i,-0.00059096-0.00032584i,0.00010949-0.00022302i
-0.0022311+0.0011442i,-0.0033319+0.001532i,-0.002338+0.0020659i,-0.000259+0.0025969i,4.1426e-05+0.0018008i,-0.00029727+0.00068317i,-0.00079144-8.9252e-05i,-0.0011822-0.00028107i,-0.0010207-0.00024662i,-0.00020062+0.00034698i,-3.6949e-05-2.8487e-05i,6.9698e-05-6.3027e-06i,0.00060139+0.00021149i,0.00067993-0.00067503i,0.00037503-0.00090425i,0.0002605-0.00097502i,0.00081666-0.00066237i,0.0006279+6.839e-05i,0.00011379+0.00081987i,5.7727e-05+0.0011017i,-0.00028938+0.00058003i,-0.00053188+0.00012654i,0.00034984+0.00080532i
