0.001665+0.00073357i,0.0020799+0.00012705i,0.0010581-0.00079585i,-6.5368e-05-0.00086965i,-0.00038328+0.00010791i,-0.00082328+0.0023314i,-0.00092595+0.0028246i,0.00041973+0.0020401i,0.0019249+0.0015266i,0.0019288+0.00071968i,0.00057728-0.00033254i,-0.00068121-0.0010037i,-0.00079786-0.00066312i,-0.00068007-0.00053308i,-0.00062257-0.00076677i,-0.00048988-0.0004992i,-0.00035233+0.00010605i,-0.00047784+0.00024551i,-0.00013477+0.00078666i,7.9279e-05+0.00086364i,0.00011244+9.7005e-05i,9.2204e-05-0.00048424i,0.00017053-0.00068899i
0.00057988+0.001188i,0.0014567+0.00048587i,0.0017513+0.00045524i,0.00070687+0.0007139i,0.00048416+0.001108i,0.00075206+0.00068139i,0.0005937+0.00057829i,0.00042234+0.00036462i,0.00015092-0.00018365i,5.8615e-05-0.00036047i,-0.00056982-7.6452e-05i,-0.0010608+7.5715e-05i,-0.00077512+0.00042815i,-0.00070822+0.00094575i,-0.00092703+0.00065711i,-0.0010885+4.6475e-05i,-0.00048284-0.00027209i,-5.0074e-05+7.633e-05i,-5.2763e-06+0.00011192i,-0.00041019+0.00030796i,-0.00055212+0.00052329i,-0.00067051-0.00066403i,-0.00024325-0.0014298i
0.0015228+0.0011813i,0.0011606+0.0010328i,-0.00011315+0.00029975i,-0.00065864+0.0004327i,-0.00024798+0.0013738i,-0.00030693+0.0007054i,-0.00057666+0.00021788i,-0.00052012+0.00096532i,8.4365e-05-5.7048e-05i,0.00071553-0.0012559i,0.00096306-0.00073578i,0.00056201-0.00027933i,-0.00043202+0.00025945i,-0.00034393+0.00059428i,0.00080213+6.7383e-05i,0.00098721-0.00043992i,0.00074663-0.00019121i,0.00079343+0.00033388i,0.00060965+0.00047771i,0.00063082-8.8859e-05i,0.00083033-0.00042864i,0.00028301+0.00021643i,-0.00034606+0.00040273i
0.0022875+0.00054319i,0.0024512-0.00026637i,0.0022059-0.00073441i,0.0019117-0.00028948i,0.0015165+8.2257e-05i,0.00044994+0.00026267i,-0.00050286+0.00038191i,-0.00095038+0.00057215i,-0.00099821+0.00035167i,-0.00051457+0.00037227i,0.00010781+0.00031555i,0.00056936-0.00044345i,0.00063238-0.00056114i,0.00046269-0.00016819i,0.00046266+1.3558e-05i,0.00052932-4.552e-05i,0.00023612-0.00021737i,-4.7516e-05-0.00036266i,-0.00022675-0.00046742i,-4.6337e-05-4.0614e-06i,-0.00065673+0.00042029i,-0.0009001-0.00072965i,-0.00061081-0.0014378i
0.0013404+0.0014612i,0.0018986+0.0017115i,0.00048654+0.00053186i,-0.00061829-6.567e-05i,-0.00081125+0.00043022i,-0.00066146+0.00070046i,-0.00043334+0.0011769i,-0.00013512+0.00075433i,0.00023752+5.4162e-05i,0.0002848-0.00033212i,0.00079816-0.00076628i,0.0007578-0.00076032i,-0.00017124-0.00049243i,-0.00014237-0.00027169i,0.00046308-0.00037079i,0.00066521-0.00052137i,0.00079287+0.00017778i,0.00066596+0.0004815i,-3.7971e-05-2.4273e-05i,-7.02e-05-0.00033165i,0.00011173-2.9266e-05i,-0.00015764+0.00056298i,-1.4197e-06+0.0005809i
0.00063903+4.2484e-05i,0.0011256-7.1088e-05i,-0.00037567-0.00024812i,-0.00092208+0.00065795i,-0.0011239+0.0017651i,-0.00022641+0.0026559i,0.0010337+0.0020149i,0.00076192+0.00049839i,0.00053472-0.00028121i,0.0010877-0.00099517i,0.00078068-0.0015695i,0.00075357-0.00076269i,0.00080435-5.4087e-05i,0.0003647-1.9507e-05i,3.982e-05-0.00033083i,-0.00032141-0.0006352i,0.00024844-0.0002554i,0.00098242-0.00021293i,0.00046817-0.00047092i,-0.00022408-0.0001122i,-0.00022351-0.00024901i,4.0813e-05-0.00067879i,-0.00015588-0.00010392i
0.00026102+0.0003741i,0.00057861+0.00095678i,8.9103e-05+0.001254i,-0.00026048+0.00085106i,-0.00088384+0.00081988i,-0.0013611+0.0010767i,-0.00062445+0.00062406i,-0.00018469+0.00057808i,-3.1311e-05+0.0007789i,-7.8568e-05+0.00069067i,-0.0004986+0.00070444i,2.174e-06+0.0003039i,0.00016413+9.4304e-06i,-0.00022783+0.00019622i,-0.00043502+0.00012438i,-0.00076342-6.8628e-05i,-0.00082765-0.00053883i,-0.00025633-0.00041389i,0.00027751+0.00025009i,0.00072043+0.00054386i,0.00080697+0.00096991i,-0.00024865+0.0008408i,-0.00088415+0.00012001i
0.0021606+0.00098514i,0.0019176+0.00088234i,0.000624+0.00041895i,-0.00066632+0.00083941i,-0.00062786+0.0007778i,-0.00010956+0.00098603i,0.00029672+0.0013257i,0.00080247+0.00048016i,0.00031758+0.0002216i,0.00012804+0.00020241i,0.00021255+0.00019185i,0.00010181+0.00041832i,8.1502e-05+1.3875e-05i,-0.00034014+0.00012853i,-0.00046196+0.00025709i,-0.00033217-5.1378e-05i,-9.5534e-05-6.6696e-05i,-1.0321e-05+6.591e-05i,-2.0004e-05+0.00050201i,-0.00047903+0.001044i,-0.00060523+0.00071517i,-0.00076516+0.00016565i,-0.00071311-6.4555e-06i
0.00194+0.00019577i,0.0033153+0.00048668i,0.0020613+4.0501e-05i,0.00030363-0.00025766i,0.00022281+0.00042653i,0.00034502+0.00068079i,0.0002323+0.0007438i,0.0010171+0.00068987i,0.0017392-2.9455e-05i,0.00097535-0.00048617i,0.0004468-0.00073339i,0.00036969-0.00025593i,8.422e-06-0.00027327i,-0.00044083-0.00065916i,-0.00029058-0.00030561i,-0.00027243-0.00058649i,0.00026877-0.00047035i,0.00074108-0.00018725i,0.00022441-0.00053845i,0.00045258-0.00034489i,0.00059979-5.704e-05i,-5.4972e-05+0.00045012i,-0.00019351+0.0012137i
0.00040755+0.00087283i,0.00042227+0.00094031i,-8.5201e-05+0.0015921i,-0.00025598+0.002018i,0.00030682+0.0022844i,0.00081463+0.0021513i,1.1993e-05+0.0014018i,-0.00044029+0.00072652i,8.3118e-05+0.00059749i,0.00014699+9.9423e-05i,0.00050563-5.843e-05i,0.00049177+6.8894e-05i,0.00067015-6.65e-05i,0.00043107-8.9732e-05i,-0.00018525-0.00034001i,1.3664e-05-0.00047513i,-5.5448e-05+0.00014941i,8.261e-05+0.00067865i,0.00011815+0.00041537i,0.00040334+0.00027337i,0.0012252+0.00095813i,0.0012083+0.00058925i,0.00065374-0.0003108i
0.0019763-0.00030684i,0.0020429-0.00019325i,0.0017935+0.0004428i,0.00044935+0.00045288i,-0.00063067-5.8501e-05i,-7.9167e-05+0.00033607i,0.00064305+0.0007748i,0.00099322+0.00033099i,0.0010446-0.00084747i,0.00066486-0.00066606i,0.00058108+0.00032802i,0.00039007-1.6045e-05i,0.00042805-0.00036635i,0.00040431-0.00042873i,7.326e-06-0.00078433i,0.00021901-0.00053679i,0.00096574-0.00045622i,0.00093224-0.00045289i,6.588e-05+0.00045632i,-0.00088998+0.00058619i,-0.0012981+0.00077113i,-0.0009337+0.00046194i,-0.00014324-0.00014285i
