-0.00058894+0.00064711i,-0.00093717-0.00063822i,-0.003421-0.0019525i,-0.0033214-0.0015318i,-0.0014097+0.00042008i,-0.0010009+0.00066699i,-0.0012232+0.00067369i,-0.00054793+0.00082231i,0.00094593+0.00055364i,0.0019477+9.6367e-05i,0.0015369-0.0004627i,0.00079903-0.00040802i,0.00043862-0.00032677i,0.00029486-0.00010914i,0.00024865-0.00011315i,0.00016263-0.00027494i,9.6964e-05-0.00020248i,0.00024159-0.00012868i,0.0004054-0.00078451i,0.00043425-0.0012412i,0.00034266+6.6168e-05i,0.00036398+0.00088085i,-1.2433e-05+0.00027897i
-0.00021648-0.00074547i,-0.00037138+0.00026327i,-0.00055522+0.00067471i,-0.0010151+0.0005468i,-0.00050386+0.00075924i,0.00041034+0.0014977i,0.00062455+0.00093859i,0.00012555+0.0002618i,-0.00048865-8.9754e-05i,-0.00052251+0.00013254i,-0.00037424+0.00065787i,-0.00081324+0.0013984i,-0.00078648+0.0017786i,-0.00088227+0.0010279i,-0.00066733+3.9053e-05i,0.00028913+3.2413e-05i,0.00038898+0.00036159i,0.00024484+0.00043413i,0.00036938+3.3326e-05i,0.0003164-0.00042153i,0.00044061-0.00021879i,0.00037983+2.7384e-05i,-0.00066603-0.00025252i
-0.00067932+0.00099217i,-0.0008946+0.0009657i,-1.5871e-05+0.0014815i,0.0005284+0.00093421i,0.00021538-8.3098e-05i,0.0007015-0.00077551i,0.00087779-0.00086685i,0.00052732+0.00043202i,-0.00012783+0.0013502i,-0.00052074+0.0012882i,-3.5865e-05+0.00081052i,0.00020232+0.00040506i,-0.0005632+0.00028229i,-0.00044214+0.00029756i,0.00040049-7.8541e-06i,0.00048213-0.00020053i,0.00035677-0.00055665i,0.00052334-0.0010256i,0.0011019-0.00020337i,0.001171+0.00038161i,0.00066314+0.00038772i,0.00065102+0.00054912i,0.00037953+0.00048993i
-0.00019093-0.0005326i,-0.00042555-0.00072626i,-0.0011867+0.00030634i,-0.0011595+0.00016689i,-0.001109-0.00017694i,-0.00049129-0.00020586i,0.00028497-0.00062735i,0.00056025-0.00045744i,0.00073409+0.00069528i,0.00041206+0.00097632i,0.0003671+9.5444e-05i,-0.00034514+0.00017675i,-0.00058602+0.00082282i,-0.00022408+0.0005358i,0.00020774-0.0002515i,0.000231-0.00055955i,0.00028087+7.9405e-05i,0.00015257+0.00030637i,-0.00028947-0.00066455i,-0.00056892-0.00053964i,-0.00017588+7.3046e-05i,5.138e-05-7.1656e-05i,-0.00035528-0.00068505i
-0.00013259-0.00040207i,0.00020067-0.00026255i,0.00097072-0.00082924i,0.00022737-0.00031739i,-0.00064684-9.9456e-05i,-0.00023215-0.00074526i,7.296e-06-0.00083683i,-0.00011696-0.00081944i,-0.00069146-0.0011169i,-0.00072933-0.00030299i,-0.00036285+6.974e-05i,-3.1237e-05-0.00015457i,0.00025559+0.00014762i,0.0002386-0.0001177i,0.00042345-0.00024833i,0.00041358-0.00066384i,-6.2591e-05-0.00094192i,-0.00039776-0.0014977i,5.8284e-05-0.00089389i,0.00048399+8.3997e-06i,0.00064431-0.00031494i,0.00037227-5.5176e-05i,-0.00065036+0.00056594i
-0.00023508-0.00050592i,-0.0019998+0.00015046i,-0.0030093-0.0013466i,-0.0023511-0.0015475i,-0.001251-0.00017468i,-0.00027546+0.00029662i,0.00039096-0.00014261i,0.0004405-0.00013397i,0.00011463-5.1523e-05i,5.1157e-05-0.00033912i,-0.00060321-0.00014509i,-0.00089741+0.0006117i,-0.00017526+0.0011991i,0.00036787+0.00073541i,9.2071e-05+0.00063385i,-0.00019357+0.0010463i,-0.00030863+0.00075421i,8.0692e-06+0.00026708i,4.5878e-05-0.00042842i,-4.3776e-05-0.000253i,0.00075673-0.00021261i,0.00089214-0.0011596i,0.00049532-0.00068775i
0.00042913-0.00047368i,0.00037448-0.0010305i,0.00077818-0.00042912i,0.00092026+0.00049681i,0.00075922+0.00062039i,0.0008482+0.00045476i,0.0010084-0.00030951i,0.00039447-0.00091912i,-0.00060488-0.00091176i,-0.00041054-0.00040556i,-0.00047613+0.00016178i,-0.00074389+0.00081063i,-0.00058602+0.00081033i,-0.00043445+0.0005858i,-0.00013965+0.00057958i,0.00050979+0.00034723i,0.0011014+0.0002674i,0.00054604+6.8749e-05i,-0.00050917-0.00032628i,-0.00029536-0.00020875i,0.00028595-0.00010898i,-0.00025506-0.0010325i,-0.00084547-0.0011621i
-0.00012797+0.00094454i,-0.00028721-0.00035512i,-0.00079918-0.00093239i,-0.00080215-0.00043327i,-0.00033648-0.00034174i,-0.0005209-0.00033169i,-4.4674e-05+0.00010321i,-0.00046726+7.3255e-05i,-0.00068446-0.0004493i,-0.00054553-0.00034615i,-0.00050593-0.00013198i,-0.00042231-4.6205e-05i,-0.00040855+0.00023791i,-0.00035277-1.5518e-05i,-0.00045025+3.242e-05i,-0.00025214+0.00023553i,0.00011851+9.101e-06i,0.00055974-8.7898e-05i,0.00043078-0.00016604i,0.00035711+0.00019465i,0.00035168+0.00016339i,0.00015675-4.6861e-05i,-0.00032725+0.00043854i
0.00055048-0.00063778i,0.0014759-0.00066536i,0.001331-0.0001383i,-0.00023024+0.00031792i,-0.00091707-0.00012636i,0.00033711-0.00010107i,0.0013496-1.5647e-06i,0.00080999-0.00033498i,3.0035e-05-5.4076e-05i,9.8207e-05-0.00018292i,-0.00015262-0.00021045i,-0.00061662+0.00012084i,-0.00081667+0.00072603i,0.00011915+0.0010052i,0.0010121+0.0010157i,0.00060796+0.0010001i,0.00037165+0.00018249i,0.00025344-1.1367e-05i,-9.6306e-05+0.00064873i,-0.00017795-4.4178e-05i,0.00027268-0.00099474i,0.00049457-0.00090079i,-9.7811e-05-0.00057255i
-0.00069444-0.00017099i,-0.00085446-0.0010291i,-0.0012378-0.0019693i,-0.0012636-0.0012916i,-0.00024153-0.0002754i,0.00094391-0.00027526i,0.00076376-8.7575e-05i,0.00034342+0.00077877i,0.00047602+0.00072124i,-0.00014034+0.00029808i,-0.0003135+0.00049457i,-0.00032841+0.0005762i,-0.00039062+0.00016501i,-4.743e-05+0.00028645i,0.00042993+0.00039135i,0.00042443-0.0002009i,0.00061827-0.0005454i,0.00073182-0.00047792i,-1.2759e-05-0.0001717i,-0.00042596+0.00045995i,-0.00039664+0.00012816i,-0.00091689-0.00094074i,-0.0012076-0.00039526i
0.0013514+0.00037668i,0.00076218+0.0013192i,0.00096967+0.002313i,0.0011398+0.0016499i,0.00029529+0.00057264i,-0.00023307+7.6911e-05i,0.00032536-0.00057516i,0.00093552-0.00046207i,0.00068079+0.00018756i,0.00010652+0.00029029i,-4.7692e-05-7.0156e-05i,-0.00033182+0.00061179i,-0.00066709+0.00084173i,-0.00057423+0.00074856i,-0.00030896+0.00062494i,3.7322e-05-1.4538e-05i,0.00026747-0.00020613i,0.00023268+0.00023089i,0.00016598+0.0002493i,-0.00035391-0.00011088i,2.2659e-05-0.00063053i,0.00056348-0.00063773i,0.00026265+2.8418e-05i
