-8.3335e-05-0.00013441i,0.00067904-0.00052256i,-0.00026439-0.0001759i,-0.00056529-0.0010033i,-0.0010557-0.0014196i,-0.0018665-0.00024725i,-0.0016229+0.001466i,-8.4572e-05+0.0019664i,0.0010508+0.0011413i,0.0012066+0.0006748i,0.00077123+0.00049486i,-0.0002185+2.359e-05i,-1.5412e-05-4.509e-05i,0.00046032-0.00026065i,0.00018167-0.00084649i,-0.00021709-0.00086283i,-0.00068865-0.00020253i,-0.00066228+0.0007467i,-0.00044113+0.0012561i,9.2285e-05+0.00026467i,0.00010262-0.0009863i,-8.9039e-05-0.0004619i,-0.00019701-0.00034084i
-0.00069591-0.002133i,-0.00067761-0.002517i,-0.00078468-0.0031977i,-0.001295-0.0020268i,-0.0019055-0.00086724i,-0.001562-0.00029732i,-0.00036434+0.00010838i,0.00046438+5.8924e-05i,0.00018397-0.00048731i,-0.00042296-0.00039468i,-0.00029329+0.00042099i,0.00013449+0.00093979i,0.00084841+0.00098698i,0.0010061+0.00079909i,0.00042008+0.0001454i,0.00034384-0.00065687i,-0.00019198-0.00068253i,-0.00094653-0.00049009i,-0.00038751+9.6596e-06i,0.00022474+0.0004039i,-0.000454-0.00067784i,-0.0011998-0.00133i,-0.0011538-0.00046446i
0.0017332+0.00043483i,0.001526+0.00043034i,0.0018113-0.00030065i,0.001278-0.00084232i,0.00085778-0.0008974i,0.00081185-0.00064973i,3.8818e-06+0.0002349i,-0.00068878+0.00058986i,-0.00036005+0.00034449i,0.00054397-0.00052408i,0.00074778-0.00077316i,0.00031827+0.00041647i,0.00019589+0.0010176i,0.0003993+0.00078247i,0.00029472+0.0010425i,-0.00038394+0.0010824i,-0.0002428+0.00037584i,0.00021759-2.6401e-05i,0.00011906+0.00012583i,0.00031308+0.00017357i,0.00044269-4.5647e-07i,0.00024873-1.4836e-05i,-0.0001734-0.0002736i
0.00061713+0.0018781i,0.0014558+0.0008241i,0.0025739+0.00095055i,0.0011808+0.00075844i,-0.00023955-0.00059714i,-0.00071141-0.00077613i,-0.0010911-0.0007197i,-5.0093e-05-0.0010255i,0.0009566-0.00011273i,0.00067333-4.3155e-05i,0.00066067-0.00085953i,0.00053919-0.00086226i,-8.3243e-05-0.00089702i,-0.00046449-0.0015012i,-0.00025946-0.0019069i,0.00024845-0.0016618i,0.00040065-0.0013067i,0.00011924-0.001046i,-0.00010701-0.00072904i,0.00036831-0.00043349i,0.00093428-0.00073603i,0.00059566-0.00052458i,3.2267e-05-0.00020713i
0.00025567-0.0027333i,-0.00023276-0.0017808i,-0.0013447-0.00056116i,-0.0019814+0.00020007i,-0.00082291+0.00081332i,0.00074366+0.0011022i,0.0012619+0.00011915i,0.00052185-0.0010627i,7.8776e-05-0.00068227i,0.00033106-0.0001039i,0.00018094+0.00026598i,-4.5346e-05+0.00036761i,0.00045478+0.00029083i,0.0011672-9.1917e-05i,0.0010836-0.00076088i,0.00026251-0.00083688i,-0.00018981-0.00095601i,-0.00021801-0.00019629i,7.4538e-05+0.00056811i,-1.6868e-05+0.00031956i,-0.00064365+0.00027122i,-0.00076187-0.00023086i,-8.8413e-05-0.00039561i
-0.0003353-0.00097704i,-0.00041325-0.00076339i,-9.715e-05-0.00094067i,0.00080416-0.00060417i,0.00044573-0.00046666i,-7.176e-05-0.0010928i,0.00018105-0.00055353i,-7.1172e-05-0.00017759i,0.00077522-0.00053117i,0.0012313-0.00070056i,0.00041237-0.001097i,0.00039043-0.00054373i,0.0007389-0.00043002i,0.0011892-0.00075852i,0.00097857-0.00072617i,0.00015712-0.00026344i,-0.00041196+0.00017508i,0.00011875-4.0804e-05i,0.00085927-9.3997e-06i,8.9171e-05+4.4712e-05i,-0.00058847-0.00025874i,-0.00054049-0.00043712i,-0.00015513-0.00050074i
0.0014654+0.00099579i,0.0021328+0.00088721i,0.0023687+0.001012i,0.0013791+0.00041088i,0.00068786-0.0012347i,0.0002633-0.0019422i,-0.00022067-0.0014197i,1.8886e-05-0.00065205i,0.00077493-0.00063212i,0.0017469-0.0012276i,0.0012934-0.0012383i,4.2738e-05-0.00099232i,-0.00066206-0.0010868i,-0.0008585-0.00045492i,-0.00038186-0.00014513i,-0.00015407-0.00045654i,-0.00089588+9.8321e-06i,-0.0010474+0.00028459i,-0.00047892+9.4675e-05i,-7.9241e-05+2.9037e-05i,0.0002734-0.00052982i,0.0010373-0.0013467i,0.0012066-0.0015014i
-0.0013153+0.0021321i,0.00023125+0.0018848i,0.0011151+0.0024872i,0.0017829+0.001819i,0.0013524+0.00030324i,8.4486e-05-0.00048076i,-0.00026782-0.00045917i,-5.6626e-05-4.8925e-05i,-0.00021349+0.00060521i,-0.00013218+0.00040164i,0.00017785-3.8921e-05i,0.00027162-0.0012012i,0.00061073-0.0019247i,0.00022171-0.0010075i,0.00026849-0.00060147i,0.00015416-0.00081491i,-0.00023639-0.0011959i,-0.00042464-0.00062029i,-0.0007392+0.00058149i,-4.3269e-05+0.00028081i,3.7258e-05-0.00036294i,-0.00044499-0.00021505i,-0.00064406-0.00025065i
0.00039592-0.00042464i,0.00074707-0.00054381i,0.00011353-0.00045945i,-7.9771e-06-0.00042164i,-0.00055184-0.0011685i,-0.0014645-0.0014204i,-0.0010832-0.0013667i,0.00011522-0.0013284i,0.00058063-0.00060122i,6.2448e-05+7.734e-05i,-0.00012171+0.00011858i,0.00036658+0.00031213i,-2.7887e-05+0.00088592i,-0.00036538+0.00046043i,-0.00025128+0.00017809i,-0.00079314-9.385e-05i,-0.0010566-0.00032104i,-0.00087955+0.0002943i,-0.0013731+0.00043499i,-0.0011023-0.00033559i,-0.00024945-0.00065961i,0.0001142-0.00061058i,-0.00010796-0.00043708i
0.00055868+0.0010737i,-0.00042972+0.0005785i,0.00024245+0.00072537i,0.00049743+0.0012819i,0.00010431+0.0013972i,-5.4506e-05-4.5631e-06i,0.00030892-0.0013517i,0.0011853-0.0011514i,0.0010348-0.00016663i,0.00070341+8.6822e-06i,0.00097541-0.00022754i,0.00089738-0.00016807i,0.0012711+0.00014613i,0.00034329+0.00028133i,-0.00032416-0.00010561i,0.00056719+8.2488e-05i,0.00063702+9.4759e-06i,0.00057467+0.00017731i,-0.0001194+0.00036084i,-0.0010333+1.9133e-06i,-0.00075718+8.6056e-05i,-0.00064387+0.00054274i,-0.0005674-7.4474e-05i
-0.00068848-0.0016487i,-0.0008835-0.0023164i,-0.0022007-0.0022873i,-0.0021902-0.00076588i,-0.0011732+0.00087289i,-0.00087073+0.00081352i,-0.00053325+0.00069841i,-0.00028649+0.00022782i,0.00073869-0.00053088i,0.0014164+6.3707e-05i,0.00070481+0.0003276i,0.00039586-0.0003292i,0.00068606-0.00098262i,0.00018409-0.00092374i,-0.00043879-0.0016458i,2.0947e-05-0.0019245i,0.00017637-0.00070329i,-0.00067397+1.3915e-05i,-0.0010274+0.00045202i,-0.0006223+0.00042552i,-0.00018343+0.00039036i,-0.00019432+0.00049504i,-7.8607e-05-6.6003e-05i
-0.00062792-0.000563i,-0.0011264-5.7374e-05i,-0.00090887+0.00042498i,-0.00061237+0.00017942i,-0.00041182-0.0008023i,0.00097238-0.001168i,0.00083813-0.00031727i,0.00023658+0.00022612i,0.0005806-6.0414e-05i,0.00090753-0.00010726i,0.00089889+4.902e-05i,0.00067897+0.00063924i,0.00092153+0.0011015i,0.00048583-0.00013828i,-0.00095272-0.0011758i,-0.0010829-0.00085547i,-0.00044194-0.00045873i,-0.00062214+0.00018797i,-0.00058917+0.00035345i,-0.00053576+0.000124i,-0.00021474-0.00017357i,0.0003524-0.0001514i,-0.00024452-0.00023311i
-0.0010737-0.0010501i,-0.0011697-0.00072594i,-0.0012313-0.00022532i,-0.0010038-0.00016373i,-0.00059024+7.8233e-05i,-0.0013593+3.8733e-05i,-0.0011376-0.0006597i,-4.014e-05-0.00010419i,9.2136e-05+0.00074333i,0.00088317+2.7566e-05i,0.00066373-0.00027483i,0.00032117-0.00044356i,0.0011257-0.00013516i,0.0011657+0.00037435i,0.00060074+0.00045386i,0.00037982+6.4013e-05i,-0.00017915-0.00045217i,-0.0005006-0.00014932i,-0.00062039-0.0001622i,-0.00092423+8.5575e-05i,-0.00049844+0.0002277i,0.00028481-0.00052964i,0.00052235-0.00042324i
-0.00060476-7.0435e-05i,-0.00024056-6.5421e-05i,0.00016844+8.6001e-05i,-0.001154-0.00011852i,-0.0012577-0.00062157i,0.00022272-0.00080153i,0.00039892-0.00096432i,-9.0374e-06-0.00078527i,-0.00024863-0.00019415i,0.0003306-0.00010188i,0.00072963-0.00050819i,0.0011094-0.00052322i,0.0014825-0.0004397i,0.0011725-0.00027428i,0.00038212-0.0004337i,-1.0072e-05-0.00089044i,-0.00037607-0.00081752i,-0.00065248+5.5594e-05i,-0.00038286+0.00071585i,0.00015663+0.00047441i,6.9498e-05+5.7773e-05i,-0.0003078+5.3171e-06i,-0.00021001-4.3409e-05i
-0.00056152-0.0012432i,-0.00055733-0.00044924i,-0.001243+0.00030786i,-0.0012832-0.00044541i,-0.00043029-0.0013424i,0.0005165-0.00064564i,0.0005155+0.00019354i,0.00067957+6.607e-05i,0.0014556-0.00028389i,0.0014359-0.00014925i,0.0011508-0.00018473i,0.0011099+0.00015597i,0.0010089+0.00085334i,0.00037333+0.00068627i,-0.00017338-0.00029177i,-0.00038298-0.00081081i,-0.00066388-0.00073003i,-0.00053466-0.00068293i,-0.00092246+0.00034965i,-0.00038403+0.00085292i,0.00067605+0.00059258i,0.00024518+0.00064271i,-0.00040005-3.5586e-06i
-0.0021779+0.0017015i,-0.0022236+0.0014708i,-0.0018489+0.0014623i,-0.00025323+0.0024766i,0.0010837+0.0019903i,0.0011451+0.00028465i,0.00054962-0.0003664i,-0.0002179-0.00087192i,-7.3974e-05-0.00095182i,0.0011176-9.8952e-05i,0.001197-0.00035775i,0.00081179-0.00068021i,0.0004385-0.00016573i,0.00032689-0.00050056i,0.0004204-0.0014467i,-0.00023987-0.0020615i,-0.00083536-0.0018792i,-0.0012403-0.0012495i,-0.0014227-0.00053615i,-0.0014991+0.00020816i,-0.00097351-9.3073e-05i,7.2318e-05-0.00043639i,0.00011773-0.0001514i
-0.0016401+0.0018197i,-4.1001e-05+0.001335i,0.00052369+0.0021685i,0.00068375+0.0023417i,0.00061128+0.00094641i,0.0010331-0.00021125i,0.00089743-0.00082655i,-0.00017096-0.00072345i,0.00026311+0.00080921i,0.0011804+0.0014879i,0.0011431+0.00084221i,0.00076864-1.731e-05i,0.00069109-0.00078797i,0.0011089-0.0010231i,0.00099192-0.0011817i,2.9076e-05-0.0013154i,-0.00096187-0.00090505i,-0.0015496-0.00022214i,-0.0013996-0.00023292i,-0.0011142-0.00057883i,-0.00015073-5.509e-05i,0.00053732-0.00014516i,0.00031453-0.00012602i
-0.00073521-0.0010687i,-0.0013663-0.00038152i,-0.00056091-3.6592e-05i,0.00029301-0.00010688i,0.00032728+0.00011956i,0.000441-0.00020716i,0.00024799+7.6719e-05i,4.896e-06+0.00066066i,0.00085584+0.00052986i,0.0016976+0.00034945i,0.00098992-2.6011e-06i,0.00010624-0.00015138i,0.00031379-0.00055912i,0.00081385-0.00080256i,0.00033746-0.00029041i,-0.00073868+0.00034778i,-0.0009784+0.00020115i,-0.00025138-0.00016781i,-0.00018756-0.00031317i,-0.00031093-0.00029438i,0.00046004+0.00019897i,0.00044929+0.00022336i,-0.00015062-0.00054419i
0.0012356+0.00062818i,0.0013099+0.00019207i,0.0028842-0.00043206i,0.0030714-0.00071593i,0.0015852-0.00075503i,0.00016905-0.0010218i,-0.00060352-0.00043778i,-9.0654e-05-2.6837e-05i,0.00038705+2.2485e-05i,0.0005346-0.00045863i,0.00028405-0.0013006i,0.00023533-0.0011976i,0.00060529-0.00049223i,0.00038701-0.0007957i,0.00020349-0.0011114i,0.0011756-0.00095727i,0.00064894-0.00024997i,-0.00065539-4.8277e-06i,-0.001365+7.4232e-05i,-0.00095786+0.00039148i,-0.00021517+3.3367e-05i,-0.00012327+9.4486e-05i,0.00039071+0.00025246i
-0.001138+0.0015739i,-0.00074464+0.001129i,0.00056271+0.0026233i,0.0012778+0.0020528i,0.0012311-2.348e-05i,0.00029876-0.00033574i,-0.00033715-0.00052057i,0.00031231-6.1062e-05i,0.00088708+0.00071118i,0.0011249+0.00040162i,0.0012762-0.00018784i,0.001018-0.00023231i,0.0007631+0.00016045i,0.00062986+8.9335e-05i,0.00025271-0.00058267i,-5.2337e-05-0.00046539i,0.00029283-0.0001776i,0.00040511-0.00010709i,-0.00014913-0.0004365i,-0.00035109-0.00098868i,-0.00045961-0.00068724i,-0.00072784-0.00042893i,-0.00094126-0.0003916i
0.0013153-0.00014997i,0.00040459+0.00041888i,0.00048643-0.000107i,7.576e-05+0.00012916i,-0.00030875+0.00052009i,-0.00059792-0.00017262i,-0.00085046-0.0001732i,-0.00078758+0.00063052i,0.00017928+0.00093424i,0.0015515+0.00061759i,0.00081318+0.00035988i,-0.00068379+0.00042443i,-0.00050454+0.0004287i,7.0268e-05-0.00021293i,4.2532e-05-0.00091551i,-5.7524e-05-0.00048724i,-0.00052639+0.00024212i,-0.00044469+0.00043319i,-0.00036698+0.00023407i,-0.00058516-0.000315i,3.2874e-05-0.00042325i,0.0009872-0.00064128i,0.00054784-0.00020264i
-0.001661+0.0021826i,-0.00091791+0.0010312i,0.00041144+0.00096057i,0.0013313+0.0010507i,0.001189+0.0010625i,0.0004693+0.00038998i,0.00033606+4.2159e-05i,0.0007699+0.00041291i,0.001354+0.0008053i,0.001049+0.00073259i,0.00066423+0.00023199i,0.0011153-0.00033733i,0.001519-0.00045168i,0.00082833-0.00058992i,9.9848e-05-0.00085478i,-7.7866e-06-0.0011698i,-0.00015573-0.0017181i,-0.0003873-0.0010449i,-0.0006204-0.000626i,-0.00011496-0.0010443i,0.00077042-0.00046936i,0.00026558-4.4881e-06i,0.00018873-0.0002964i
0.0014064-0.0024075i,0.00115-0.0024088i,0.00041922-0.0020353i,-0.00030675-0.0014269i,-0.0011505-0.0011059i,-0.00044445-0.00059146i,0.00069015-0.00012659i,0.00055242-0.00022908i,-0.00029666-0.00033465i,-0.00076738+0.00018667i,-0.00068457+0.00088861i,-0.00014475+0.00084562i,0.00085858+0.00024331i,0.0015475+0.00025395i,0.0012922+0.00010651i,0.00041759-0.00059828i,-0.00011469-0.00019526i,-0.00039273+0.00094299i,-0.00026405+0.00089345i,0.0004705+0.0004768i,0.00023533+0.00073694i,-3.0088e-06+0.00048043i,-0.00062818+0.00038808i
0.00038654+0.0011431i,-0.00027684+0.00091988i,-0.0012264+0.00052995i,-0.0011624+0.00070953i,-0.00098222+0.001065i,-0.0008504+0.00028512i,-0.00085395-0.0003435i,-0.00071516-0.00035118i,-0.00017954-0.00064796i,0.0006142-0.00052097i,0.0013414-0.0002838i,0.0013382+0.00029642i,0.00064078+0.00031192i,0.00090244-0.0001242i,0.00069642-0.0002263i,3.8642e-05-0.00026906i,-0.00042401-0.00028308i,-0.00096035-0.0002421i,-0.0015773+7.7822e-05i,-0.0013498-0.00032136i,-0.00078298-0.00035537i,-0.00092735-0.00010905i,-0.00072055-4.2193e-05i
-0.00061125+0.00087042i,-0.0015518+0.0012903i,-0.002024+0.00093868i,-0.0011754+0.0018409i,-0.00022091+0.0013072i,-0.00031624-0.00055904i,-0.00064285-0.0010307i,-0.00034527-0.0001433i,-0.0001027+0.00092677i,0.00022152+0.0010656i,0.00056566+0.00022027i,0.00050687-3.9706e-05i,0.0003144-0.00012269i,0.00085788-0.00053421i,0.0021803-0.0010661i,0.0019365-0.0010748i,0.00035381-0.00034738i,8.5e-05+0.00028001i,0.00030647+0.00032858i,0.00072239+7.9684e-05i,0.00082253+0.00012546i,0.00078174+0.0003838i,0.00027631+0.00042859i
-0.00056894+0.0019299i,0.00061941+0.0016083i,0.0017458+0.0021863i,0.0014216+0.0012511i,0.00064402-0.00049233i,0.00016849-0.0010522i,-0.00020762-0.00075116i,-0.00043903-0.00031567i,1.9519e-05-0.00017143i,0.0011042-6.2516e-06i,0.0017547+0.00015161i,0.0014449-0.00032491i,0.0011707-0.00052323i,0.0011044-0.00043543i,0.0005329-0.00097467i,-0.00050079-0.0012977i,-0.00062289-0.0014728i,0.00030327-0.0012862i,0.00045023+0.0003931i,0.00018404+0.00086859i,0.00029856+0.00022271i,4.9178e-05-0.00017233i,-0.00017707-0.00013927i
-0.00095492+0.0015054i,-0.0010502+0.0014546i,-0.00095194+0.0016007i,0.00023629+0.0010351i,0.00032255-0.00017512i,-0.00027577+0.00013255i,-0.00020126+0.0013371i,-1.7795e-05+0.0016692i,0.00070037+0.00096827i,0.0013869+0.00059654i,0.00075561+0.00068451i,-3.5358e-05-0.00025279i,0.00015035-0.0013009i,0.00084448-0.00099222i,0.00072773-0.00066377i,4.2291e-05-7.1775e-05i,-0.00010392-0.00024501i,0.0002065-0.00094239i,0.00043473-0.00053204i,4.2304e-05-0.00039136i,-0.00039933-0.00065291i,-0.00020576-0.00060097i,0.00022366-5.1034e-05i
-0.001017+0.003392i,-0.00071516+0.0030524i,0.00065679+0.003608i,0.0022269+0.0026677i,0.0024378+0.00024746i,0.0012978-0.000492i,0.00043465-0.00032583i,0.00034346-9.9296e-05i,3.7428e-05+7.856e-05i,0.00062798-0.00082163i,0.0015324-0.0014074i,0.0011509-0.0007503i,0.00069861-0.00017176i,0.00063693-7.0313e-05i,0.00045042-0.00012857i,-0.00033897-0.00071995i,-0.00097544-0.0010451i,-0.00089005-0.00067931i,-0.00046628-0.00048669i,0.00011165-0.0007928i,-0.00040499-0.00070079i,-0.001004-0.00028637i,-0.00050572-0.00023248i
-0.0012052+0.00012188i,-0.0013602+4.6479e-05i,-0.00027638+0.00036129i,-0.00012458-7.7176e-05i,-0.00022838-0.0014625i,-0.00064848-0.0017787i,-0.00089529+1.721e-05i,-0.00013976+0.0010029i,0.00087834+0.00051326i,0.0012777+8.7591e-05i,0.00047109-0.00056074i,0.00022469-0.00063084i,0.00068077-0.00048822i,0.00093197-0.00082909i,0.00065584-0.00072401i,0.00045531-0.00010494i,-6.2198e-05+0.00064768i,-0.00043986+0.0001808i,-9.6837e-05-0.00091204i,-0.00014581-0.00059694i,-0.00038689+0.00015463i,-0.00019565+0.00016728i,-0.00023848+0.0001315i
-0.00031042-0.00095378i,-3.1053e-05-0.00056677i,-0.0001725-0.0011084i,-0.00016055-0.0010342i,-0.0005719-0.00028681i,-0.00059724+0.00016491i,-0.00042954-0.00079125i,-0.00032488-0.001415i,0.00035909-0.00046579i,0.00079365+0.00039318i,2.8829e-05+0.00054534i,-0.00026418+0.00054957i,0.00018894-3.3502e-05i,-2.6152e-05-0.00017517i,-0.00047405-0.00020282i,-0.0002506-0.0012425i,0.00034674-0.0016008i,1.8858e-05-0.0013217i,-0.00036981-0.00039931i,0.00015094+0.0005671i,0.00022523+0.00055908i,3.7045e-05+0.0010904i,0.00012382+0.0014942i
0.00071056+0.0014233i,0.0011293+0.0017795i,0.00082884+0.00079327i,0.00088279+0.00032026i,0.0005437+0.00014068i,0.00071684+0.00028086i,0.00055681+0.00017639i,-0.00031002-0.0003233i,0.00015248-9.0826e-05i,0.0010415+0.0004358i,0.00069489-6.0606e-05i,0.00052287-9.9621e-05i,0.00095474+0.00059474i,0.00063965+5.6122e-05i,-4.8538e-05-0.00056044i,-0.00056588-0.00031842i,-0.00083762-0.00034023i,-0.00076164-0.00021386i,-0.0011515-1.6464e-05i,-0.0015778-4.0866e-05i,-0.001028-0.00029096i,-0.00040451-0.00092879i,-0.00021388-0.0011213i
0.0013025-0.00018985i,0.00067422-0.00031735i,0.00069309-0.00011352i,0.0008527+0.000272i,-0.00040755+0.00037289i,-0.0010577-0.00027709i,-0.00060256-0.0004733i,-0.00049768+0.00023205i,0.00010609+0.00089673i,0.00035545+0.00093487i,0.00047658+0.00046018i,0.00094939+0.00053484i,0.0015746+0.00090459i,0.0016594+0.0010246i,0.0010207+0.00034093i,0.0011937-0.00041573i,0.000673-0.00034426i,-0.00049981+0.0001859i,-0.00044286-0.00019699i,-0.00026643-0.00032163i,-0.00017664+9.4405e-05i,0.00013914-0.0002841i,0.00010298-0.00064972i
0.00099241-8.4438e-05i,-0.00013427-0.0010379i,-0.00027016-0.0016425i,0.00020688-0.0013236i,-0.00025764-0.0012226i,-0.0010778-0.0010093i,-0.00085452-0.00076307i,0.00029543-0.0007525i,0.00050637-0.00035302i,-0.00016448+0.00019311i,-0.00066159-0.00015915i,-0.00049138+2.2371e-05i,0.0010089-0.00020415i,0.0015066-0.00091135i,0.00062308-0.000806i,3.4461e-05-0.00075402i,0.0011369-0.0010819i,0.0017255-0.00070343i,0.0004886+0.00039089i,-3.8873e-05+0.00040843i,0.00049338+8.3599e-05i,0.0012698-0.00020622i,0.00059264-3.3489e-05i
