-8.3335e-05-0.00013441i,0.00067904-0.00052256i,-0.00026439-0.0001759i,-0.00056529-0.0010033i,-0.0010557-0.0014196i,-0.0018665-0.00024725i,-0.0016229+0.001466i,-8.4572e-05+0.0019664i,0.0010508+0.0011413i,0.0012066+0.0006748i,0.00077123+0.00049486i,-0.0002185+2.359e-05i,-1.5412e-05-4.509e-05i,0.00046032-0.00026065i,0.00018167-0.00084649i,-0.00021709-0.00086283i,-0.00068865-0.00020253i,-0.00066228+0.0007467i,-0.00044113+0.0012561i,9.2285e-05+0.00026467i,0.00010262-0.0009863i,-8.9039e-05-0.0004619i,-0.00019701-0.00034084i
-0.00036472+0.0013979i,-0.0009395+0.0010091i,-0.00047863+0.0013288i,0.0010138+0.00014024i,0.00072808-0.00075265i,-0.00092161-0.0003377i,-0.0014072+0.00044848i,-0.0011108+6.1627e-05i,-0.00097932+0.00027884i,0.00076619+0.00051707i,0.001337-0.00031159i,0.0006624-0.00064423i,0.00039948-0.00026134i,-4.0805e-05+7.8181e-06i,0.00017788-0.00020884i,0.00029366-0.00077739i,0.00036028-0.0010213i,0.0001656-0.00020885i,-0.00014318+0.00016909i,-0.00011293-0.00043712i,0.00040543-0.0011263i,0.0010069-0.00094265i,0.00051877-0.00022278i
0.0011015-0.0016799i,0.0021666-0.0019201i,0.0015125-0.0025895i,0.00077476-0.0030592i,6.7712e-05-0.0018522i,-0.00052859-0.00045143i,-0.0001972-0.00012098i,-0.00011607-0.00014426i,-0.00010183-0.00036698i,0.00044528-0.00061714i,0.00049723-0.00045769i,0.00021992+3.1149e-06i,0.00084709-0.00021375i,0.00055039-0.00039611i,-0.00030139-0.00052807i,-0.0005078-0.00099751i,-0.00072872-0.00072024i,-0.00097345-0.00014003i,-0.0016287-0.00022693i,-0.00075258-0.00063554i,0.00040024-0.00028135i,0.0002568-0.00011718i,-0.0002604+2.3553e-05i
0.0012072-0.0029233i,0.00040195-0.0022488i,-1.5703e-05-0.0020175i,-0.00042282-0.0019474i,-0.0009412-0.00047117i,-0.0013181+0.00097466i,-0.0011881+0.0010511i,-0.00067278+0.00069411i,0.00054919+0.0004515i,0.00075725+0.00053935i,0.00013886+0.00054079i,-7.7402e-05+0.00059719i,0.0004223+0.0010184i,0.00077911+0.00082024i,0.00041956-2.0779e-05i,-2.4462e-05-0.0008453i,-0.00011975-0.00089008i,-0.00064116-0.00075071i,-0.0010905-0.00026922i,-0.000815+0.00022946i,-0.0002347-0.00047854i,0.00052113-0.00067131i,0.00057572+0.00010652i
0.00021481-0.00018151i,0.00012661-3.6035e-05i,0.00053926-0.00011162i,0.00045744-0.00034873i,8.7067e-05-0.00078193i,-7.3056e-06-0.0012624i,0.00053807-0.00028892i,0.00082736+0.00038875i,0.00069468+0.00077764i,0.00016427+0.00081109i,0.00023811+0.00038422i,0.00051841+0.00045242i,0.0007928+0.00014285i,0.0012491-8.8788e-05i,0.001013+0.00036085i,4.6102e-05+0.00081041i,-0.00076729+0.00031368i,-0.00052708+6.8618e-05i,-4.8083e-06+0.00014226i,-0.00026486+2.0287e-05i,-0.00040918-7.1829e-06i,-0.00032838-8.0455e-05i,-0.00029229+0.00013151i
0.0027707-0.0015259i,0.0020026-0.0017035i,0.0013931-0.0026176i,-0.00044996-0.002556i,-0.0017931-0.0020837i,-0.0018348-0.00086347i,-0.0012433-0.00042121i,0.00031358-0.00076273i,0.0016892-0.00067942i,0.0015697-0.00022527i,0.00087542-6.1852e-05i,-6.5931e-06-0.00012758i,-0.00013453-0.00014823i,0.00037334+4.9668e-05i,0.00025598-0.00022093i,9.866e-05-0.00088155i,0.00015586-0.00062332i,-0.00063357+7.3522e-05i,-0.00098885+0.00034142i,-0.00048494+0.00126i,-0.00030684+0.0016452i,-0.00036337+0.00058075i,-0.00099776-0.00034663i
-0.00050577-0.0014767i,0.00080878-0.00072312i,0.00032932+0.00030921i,-0.000702+0.0001669i,-0.00044866-0.00023129i,-0.00020549-0.00045765i,-0.00056911+0.00016451i,-0.00077268+0.00064734i,-0.00022705+0.00038945i,0.00080773+0.00082071i,0.00082757+0.00185i,0.00091344+0.0020369i,0.00047917+0.0014866i,-0.00019039+0.00010119i,-0.00045987-0.00055415i,-0.00017878-0.00090362i,-5.6559e-05-0.00060456i,-0.00045841+3.4802e-06i,-0.00029085+0.00027446i,-4.033e-06+0.00042766i,2.9413e-05+0.00024869i,0.00039923-1.4854e-05i,0.00056731+0.0003513i
0.0014941+0.0023526i,0.0014752+0.0027834i,0.0017639+0.0016771i,0.00021889-0.00078138i,-6.2787e-05-0.001876i,-0.00013493-0.00088685i,-0.00046063+0.00010825i,0.00025983-2.352e-05i,0.0005733+0.00036124i,0.00082491+0.00012949i,0.00069197-0.00083633i,4.7129e-05-0.00078124i,0.00012545-0.0003695i,0.00050769-0.00014962i,-0.00036614+2.1981e-05i,-0.00081691-0.00029203i,-0.00068241-6.0076e-05i,-1.0028e-05+0.00029965i,0.00019764+0.00023935i,-0.00045461-0.00010557i,-0.00017557-0.00070811i,-0.00043199-0.001065i,-0.00096596-0.00077337i
-0.0023663+0.0014665i,-0.0019572+0.0015501i,-0.00032198+0.0024862i,0.00064397+0.0016663i,0.00085429+0.000898i,0.00082546+0.0002761i,0.00052871-0.00046731i,0.00056835-0.00025139i,0.0004781-0.00014711i,0.00047182+0.00016393i,0.0010324+0.00023007i,0.0012841-0.00016354i,0.00018738-0.00049786i,-0.00039362-0.0010909i,0.00036225-0.0015849i,0.00075509-0.0016512i,0.00047397-0.0012363i,-6.1439e-06-2.7854e-05i,-4.8258e-05+0.00078945i,-3.9884e-05+6.2963e-06i,-0.00019878-0.00075649i,-0.00093457-0.00070392i,-0.0010725-0.00058714i
6.6105e-05+0.00018829i,0.00087422-0.00042607i,0.0011924+0.00035154i,0.0017697-0.00020475i,0.0017455-0.0015i,0.00099146-0.0016382i,0.00086955-0.0008564i,0.00090563-0.00036714i,-7.8224e-05-0.0010254i,-0.00042881-0.0014451i,-0.00013063-0.0010934i,0.00037571-2.7488e-05i,0.00076716+0.00064467i,0.00041218+0.00023718i,0.00013801-0.0002637i,-0.00019025-0.0013871i,-0.00069702-0.0017253i,-0.00085204-0.00083247i,-0.00075467-9.2013e-05i,-0.00028678+0.0003811i,0.00047605+0.00080845i,0.00068465+0.00056885i,-0.00024143-0.0001697i
0.00081816+6.6181e-05i,0.00041891+0.00052262i,0.00053867+0.0011535i,0.00047598+0.00090834i,0.00068584+0.00039235i,0.00064718+7.2104e-05i,7.1255e-05-0.00053374i,8.7282e-05-0.0012197i,0.0010213-0.00045392i,0.00065656+2.7722e-05i,0.00025279-0.00035317i,0.00014322-1.5634e-05i,7.7762e-05+0.0003527i,0.00055334-0.00030905i,0.00033491-0.00033827i,2.8865e-06-4.8179e-05i,0.00022838-2.4869e-05i,0.00018258-0.00034156i,5.7423e-05-0.00024262i,-0.00016363-0.00022105i,-0.00034195-0.00057577i,0.00013171-0.00036391i,0.00056982-5.3284e-05i
