-0.00025386-0.00087067i,-0.00018512-0.0013675i,-0.0012762-0.0014834i,-0.002546-0.00029588i,-0.0027443+0.00089129i,-0.0023219+0.001657i,-0.00095006+0.0025103i,0.00065054+0.0021391i,0.00058475+0.00065237i,0.00027933-0.00012154i,0.00013098-0.00054765i,4.3974e-05-0.0014435i,7.7883e-05-0.0015876i,0.00048155-0.00073553i,0.00092537-4.652e-06i,0.00041997+0.00012271i,-0.00014682+0.00033129i,-7.2471e-05+0.00034684i,-5.0266e-06-0.00010166i,-0.00058937-0.00080846i,-0.00075495-0.00080593i,-4.9613e-05-0.00026121i,-0.0002881+0.00069511i
-0.00013633-0.002362i,-0.00036983-0.0019473i,-0.0015514-0.00099168i,-0.0025939-0.00034662i,-0.0026489+0.00055405i,-0.0019077+0.0017732i,-0.00088498+0.0017812i,-0.00027613+0.0013967i,0.00019049+0.00072131i,0.00017175-0.00015447i,-0.00043924-0.00041997i,-0.00032214-0.00056036i,-2.7104e-05+0.00014197i,0.0001783+0.00040496i,0.00024968-0.00015549i,0.00016892-0.0001371i,-0.00037577+9.9181e-05i,-0.0012297+0.0002348i,-0.00086613-0.00019856i,-0.00039014-0.00040996i,-0.00032949-1.6969e-05i,5.3024e-05-9.0505e-05i,0.00070337+0.00040958i
-0.0013432+0.00096953i,-0.0010308+0.0013371i,-0.00092191+0.0013456i,-0.00052445+0.00065451i,8.9569e-05+0.00080136i,0.00026788+0.0013333i,-0.0001888+0.00096914i,0.00013432+0.00055802i,0.00070439+0.00017532i,0.00073499+8.5061e-05i,0.00036888+0.00012527i,-0.00017973+0.00015613i,-0.00030856+0.00041669i,-0.00021154-0.00029071i,3.2833e-05-0.00074831i,0.00020222-0.00035622i,4.2547e-05-3.1074e-05i,-0.00035176-0.00016653i,-0.00034049-0.00024415i,0.00018123-0.00010124i,0.00026027-6.5444e-05i,3.1256e-05-0.00045569i,-0.00055605-0.00037147i
0.0020398-0.00065099i,0.0015895-0.0014768i,0.0014533-0.0028888i,-1.0516e-05-0.0026046i,-0.0014411-0.0012392i,-0.0020842+0.00063633i,-0.0018293+0.0013926i,-0.00029468+0.00080159i,0.0011113-0.00035411i,0.00086417-0.0011105i,-0.0001211-0.0012551i,-0.00063639-0.0010384i,-0.00099403-0.00046117i,-0.0008451+0.00027051i,-0.00087531+0.00046672i,-0.00055358+0.00026743i,0.00035177-0.00034322i,0.00021123-0.00073694i,-0.00010684-0.0006852i,-0.00012843-0.000456i,5.0076e-05-0.0002539i,-5.2781e-05-0.00054422i,0.00019666-0.0004311i
-0.0010877-0.0018273i,-0.0019476-0.00095735i,-0.0020708-0.00037271i,-0.001971-0.0005515i,-0.0013434+0.00013349i,-0.00094749+0.00070008i,-0.0010659+0.00065064i,-0.00070261+0.0005585i,-0.00039403+0.00028653i,8.2393e-05-0.00037141i,0.00079034-2.1494e-05i,0.00057421+0.00045612i,0.00085399+0.00016627i,0.00095225+0.0007275i,0.00057131+0.00076527i,0.00058467+0.00016318i,2.8609e-05+9.2569e-05i,0.00014667-7.0927e-06i,0.00063503-6.3499e-05i,0.00031281-0.00043629i,6.2681e-05-0.00050982i,-0.00022756+2.1317e-05i,-0.00087996+0.00056097i
0.0026473-1.2905e-05i,0.0025454-6.3069e-05i,0.001386-0.00011407i,0.00082604-0.0010541i,-0.00018428-0.00063921i,-0.0010949+0.00034522i,-0.00097947+0.0017087i,-0.00057819+0.00207i,-0.00011268+0.00095282i,1.7084e-05-8.4241e-05i,0.00017021-0.00029086i,0.00076241+4.2646e-05i,0.00074845+0.00035919i,-0.00022168+6.1479e-05i,-0.00085594-0.0001737i,-0.0011454-6.8543e-05i,-0.0013355-0.00038482i,-0.00097697-0.00056397i,-0.00012658-0.00021719i,-0.00024749-0.00048143i,-0.00045126-0.00079539i,-0.00013272-0.00018874i,-0.00035931+0.00020266i
0.00043906+0.00056184i,0.00073241+0.00063952i,0.00026125+0.00041017i,-0.0006387+0.00031613i,-0.0011314+0.00049189i,-0.00089945+0.00037521i,-0.00080007+0.0011596i,-0.00017632+0.001381i,0.00084546+0.0011695i,0.0014673+0.0013712i,0.0014218+0.00039406i,0.00070985-0.00087933i,-0.00042162-0.00080501i,-0.00077234-1.8017e-05i,4.3483e-05+0.0011842i,0.00038434+0.00075979i,0.00081014+2.8032e-05i,0.00045835+0.00044169i,-0.00017325+0.00041722i,-0.00047505+0.0002311i,-0.00030297+0.00038572i,1.1465e-05+0.00023448i,-5.9776e-05-0.00023029i
-0.00087698-0.0011232i,-0.0020065+0.00012614i,-0.0024423-0.00013262i,-0.0019527+0.00014999i,-0.0018773+0.00063699i,-0.0013758+0.00030012i,-0.00047545-2.6003e-05i,-0.00015734-0.00024938i,-0.00039658-0.0005397i,-0.00020195-0.00073901i,0.00029811-0.00046467i,0.00093167-7.8742e-05i,0.00025639+0.00012138i,-0.00057408+0.00096932i,-0.00035095+0.00027295i,-0.00019248-0.00051552i,0.00025162+0.0001712i,0.0007221-0.00012645i,0.00056774-0.00011312i,0.00018654+0.00020267i,0.00050766-0.00010587i,6.2607e-05-4.0904e-05i,-0.00036692+0.0004534i
-0.00048566+3.5332e-05i,-0.00017182+0.0001507i,0.0014606+0.00066118i,0.0016489+0.00070826i,0.00034545+0.00055008i,-0.0011146+0.00095192i,-0.0017915+0.0012922i,-0.00058602+3.2713e-05i,0.00037411-0.00054376i,-2.4976e-05-0.00029078i,-0.0001018-0.0002136i,-0.00025075+0.00013922i,-0.00032701-0.00020693i,9.6826e-05-0.0012014i,0.0006037-0.0011551i,-2.8402e-05-0.00050627i,-0.00088287-5.9119e-05i,-0.00068412+0.00096011i,-0.00050602+0.0013661i,-0.00044398+0.00084012i,2.1536e-05+0.00016772i,0.00073521-2.5515e-05i,0.0014189-6.9178e-05i
-0.00092645-0.00096675i,-0.0016969-0.00060054i,-0.0017328-0.00042911i,-0.0011195+0.00019772i,-0.0013096+0.00072881i,-0.0010412+0.00050169i,-0.00054638+0.00065195i,-0.00011347+0.0013012i,0.00025593+0.001167i,-0.00051785+0.00096589i,-0.0010275-0.00014515i,-0.00035605-0.00082341i,-0.00028885-0.00059143i,-0.00034557-0.0012572i,0.00040846-0.00080493i,-0.00021604-4.3941e-06i,-0.00047486-0.0005197i,-0.000232-0.0012508i,-0.000396-0.00062906i,0.0001804+0.00024692i,-0.00020979+0.00022083i,-7.1636e-05-0.00038124i,0.00015782-0.00050854i
-0.0012021-0.00079454i,-0.00072311+0.00059273i,-0.00037761+0.00097224i,-0.00047468+0.00018924i,-0.00092774-3.6699e-05i,-0.0016198+0.00087478i,-0.0018092+0.0018116i,-0.00070613+0.0013405i,0.00015293+8.4034e-05i,0.00028447-0.00052044i,0.00040798-0.00010131i,8.2924e-05-1.3368e-05i,-0.00029176+0.00030192i,-0.00026826+0.00055935i,0.00015046+0.00037043i,0.00011397+0.00067711i,-0.00016248+0.0004996i,0.00031203+1.9961e-05i,0.00026667-0.00065943i,-0.00017319-0.000857i,-0.00041668-0.00061722i,-3.066e-06-0.00058599i,-8.2204e-05-0.00025899i
