-0.0023738+0.0010363i,-0.0017312+0.0013989i,-0.0025903+0.0020639i,-0.0018417+0.0022221i,-0.0008161+0.0023444i,-0.00073051+0.0016255i,-0.00046686+0.00099177i,0.00055269+0.00039808i,0.000775-0.00097772i,0.00078928-0.0014503i,0.0013875-0.00059156i,0.0011489+0.00018091i,0.00031339+0.00029063i,0.00062786+0.00072739i,0.00092215+0.0011874i,0.00016869+0.00027327i,0.00013361-9.7456e-05i,-2.1063e-05-0.00014692i,-7.9518e-06+0.00011643i,0.00020402+0.00037i,0.00014119-4.2672e-05i,-5.8868e-05-0.00061974i,0.00014518-0.00051715i
0.00022724+4.1456e-05i,0.00038637+0.00047858i,0.0005015+0.00084298i,0.00011387+0.0012209i,-0.00010344+0.00066609i,0.0003535+0.00019828i,0.00021844+0.00046768i,-0.00029955-0.0002809i,-0.00062652-0.0010591i,-0.00072026-0.00091879i,-0.00054721-0.00079489i,-0.00053863-0.00062308i,-0.00027374-0.00037401i,-0.00026477-0.00043965i,-0.00012532-0.00058325i,-0.00038435-0.00040626i,-0.00084696-0.00046623i,-0.0011316-0.00049814i,-0.00070419-0.0010094i,-0.00038631-0.0014866i,-0.00040271-0.0013149i,-0.00019674-0.00094899i,-0.00047813-0.00054637i
0.00045352-0.0019652i,-0.00014355-0.00151i,-0.0012861-0.0011985i,-0.0014191-0.00063941i,-0.0015284-0.00033257i,-0.0011336+0.00013339i,-0.0013116+0.00058001i,-0.00107+0.00015176i,-0.00096624-0.00093322i,-0.0013538-0.00088764i,-0.00055832+0.00023001i,0.0002416+0.00017031i,0.00026875-0.00029396i,0.00012557-0.00041615i,-0.00013664-0.00060259i,-0.00058491-0.00067089i,-0.00021751-0.0002948i,0.0003972+0.00025033i,-9.6393e-05+0.00040569i,-0.00033772+0.00080029i,0.00030165+0.0010948i,7.5287e-05+0.00025995i,2.7203e-06-0.00048267i
-8.3902e-05+0.0023505i,-4.4386e-05+0.0021122i,0.0015323+0.0020332i,0.0022832+0.0012299i,0.0012324+6.1044e-05i,7.778e-05-0.00045482i,-0.00023402-0.0001935i,-0.0005318-0.00012816i,-0.00065067-0.00074114i,-0.00060894-0.0015191i,-0.00014783-0.0018233i,-0.00014843-0.0014259i,-0.00070429-0.00072658i,-0.00095603-0.0011634i,-0.00046814-0.0021155i,-7.5797e-05-0.0012454i,0.00011402-8.8829e-05i,0.00041477-5.1855e-05i,1.7909e-05-0.00014803i,-0.00041715+0.00011331i,-0.00038794-9.082e-05i,-0.00025483-0.00086872i,9.5823e-05-0.0011705i
-0.00075183+0.0013366i,-0.00054041+0.0018311i,-0.00048356+0.0027701i,4.1163e-05+0.0019412i,0.0011737+0.00072803i,0.0010342+0.00028503i,-8.9391e-05+0.00021059i,-0.0014439-0.00014413i,-0.0019122-0.00070938i,-0.0010958-0.00085407i,-0.00021245-0.0007025i,-0.00029603+3.9764e-06i,-0.00033709-6.2827e-05i,-0.00026457-0.00024835i,-0.00048001-0.00027104i,-0.00015852-0.00075264i,0.00044516-0.00036689i,0.00051144+0.00017444i,0.00050387-5.6215e-05i,-0.00014574-0.00025983i,-0.00031512-0.00040508i,0.00022556-0.00047472i,0.00088584-0.00049334i
0.0005726-0.0011774i,-0.00010063-0.002103i,-0.0010072-0.001654i,-0.0010846-0.00030187i,-0.0011347+0.00057685i,-0.0008081+0.00091042i,-5.7907e-05+0.00010623i,0.00047346-0.00063582i,-0.00018761-0.00093943i,-0.00078192-0.00050526i,-0.00054429+0.00022569i,-0.00024384+0.00056953i,0.00026754+0.00020254i,-7.927e-05+8.5639e-06i,-0.00069656+0.00011481i,-0.00030032-0.00018168i,0.0003578-0.00070855i,0.00034429-0.00047349i,-1.3256e-06+0.00012432i,-0.00021269+0.00052744i,-0.00030275+0.00063848i,-0.00018097+0.00032873i,-0.00029704+0.00023555i
5.9795e-05-0.00086469i,-0.00011026-0.0011684i,-0.00060171-0.00082817i,-0.00076234-0.0006864i,-0.0011264-0.0006492i,-0.00035615+0.00051729i,0.00032064+0.00062408i,6.6019e-05-0.00011001i,-0.0002539+0.00016594i,-2.2617e-05+0.00022581i,0.00030406-2.6485e-06i,0.00048283+0.0004924i,0.00061439+0.00077486i,-8.3795e-05-0.00032188i,-0.00018853-0.00065284i,0.00087034+9.7034e-05i,0.0012817+0.00017653i,0.00056435-0.0002596i,5.5683e-05-0.00052682i,0.00020331-0.00032181i,0.00058509+4.9874e-05i,0.00065112+0.00043347i,0.00054117+0.00023401i
-0.0015049+0.0004202i,-0.0015179+0.00072075i,-0.0017339+0.00081812i,-0.0012908+0.0010094i,-0.00056123+0.00070224i,-0.00030586+0.00047725i,-6.9571e-06+0.00061687i,-2.9835e-05+0.00019148i,-0.00098351-0.00079488i,-0.00094371-0.00059524i,0.00021222+1.7491e-05i,0.00062573-0.00033844i,0.0006398+0.00046022i,0.00011504+0.0010815i,-0.00055656+0.00025828i,-0.00053356-0.00063803i,-0.00042051-0.0001621i,-0.00026537+0.0005986i,-0.00075144+0.00043482i,-0.00098347-9.656e-05i,-0.00031343+1.5553e-05i,-0.00013582+0.00054444i,-0.00015256-7.1366e-05i
-0.00080569-0.0014398i,-0.00073003-0.0013789i,-0.00060361-0.0018614i,-0.0010722-0.0024068i,-0.00086697-0.0013115i,7.976e-05+0.00029022i,0.00061918+0.00043872i,0.00048585-0.00060635i,-0.00021615-0.0016772i,-0.00017431-0.0016117i,0.00022542-0.001017i,0.00018791+1.6485e-05i,-0.00010263+0.00093705i,-5.0171e-05+0.00058297i,-0.00028406-0.00032495i,8.1602e-05-0.00034585i,0.00059459+8.4353e-06i,0.00044338+7.4426e-05i,0.00090544+0.0003653i,0.00047264+0.00014235i,-0.00032795+3.7357e-05i,-0.00049493+0.000348i,-0.00025902+0.00010225i
-0.00080151+0.00064592i,7.5589e-06+0.0015924i,0.0001614+0.0019228i,0.00048638+0.00080649i,0.00041387+0.00011972i,-0.00053619-0.00052166i,-0.00054353-0.00088636i,-0.0005427-0.001339i,-0.00080656-0.0011913i,-0.00041428-0.00021734i,0.00021605-0.00018817i,0.00046058-0.00081265i,-8.1752e-05-0.0011573i,-0.00095644-0.0011348i,-0.00036915-0.00074104i,0.00071301-0.0002786i,0.00017046-0.00042732i,-0.00010832-0.00051064i,0.00067997-0.00066728i,0.00082885-0.00066591i,0.00031627-0.00018136i,-0.0001487-0.0002894i,-0.0002961-0.00062911i
5.3626e-05-0.00098574i,0.00027601-0.00080951i,-0.0003055-0.0001674i,-0.0004502+0.00058205i,-0.00017066+0.00072693i,0.00040756-0.00029444i,0.0011461-0.0010375i,0.00041363-0.0011757i,-0.00032216-0.0012103i,-1.8128e-05-0.00086586i,-2.0012e-06-0.00034762i,-0.0002662-0.00040621i,-0.0005329-0.0004708i,-0.00015326-0.00029254i,-1.3906e-06+3.2249e-05i,-0.00044689+0.00031835i,-0.00024453+0.0006547i,-0.00031611+0.0013168i,-0.00081471+0.0010279i,-0.00061432+0.00051963i,-0.00023988-0.00018117i,0.00030704-0.00074993i,0.00030458-0.00049639i
