0.0016295-0.00060595i,0.0013721-0.0023641i,-0.00039981-0.0021859i,-0.001773-0.0016935i,-0.0021808-7.6302e-05i,-0.00175+0.0015708i,-0.0011065+0.0017485i,-0.00016405+0.0013042i,0.0012961+0.00020332i,0.0013486-0.00041283i,0.00027526-0.00079446i,4.6408e-05-0.0010062i,-0.00010956-0.00050078i,-0.00015301+0.00027096i,-6.0371e-05+0.00059157i,-0.00039687+0.00033797i,0.00038793+0.00042182i,0.000818+0.00081257i,-8.5023e-05+0.00043725i,-0.00050293-4.347e-05i,-0.00053602-0.00016878i,-0.00049833-0.00011994i,-0.00051734+0.00034868i
0.0010355-0.0010303i,-0.0006763-0.0017963i,-0.0018271-0.0024143i,-0.0021233-0.0018002i,-0.0010378-0.00048568i,-3.6954e-05+0.00043543i,0.00012314+9.3982e-05i,0.00059662-0.00034606i,0.00074696+4.5984e-05i,-0.00030959+0.00031144i,-0.0010859+0.00056655i,-0.00093394+0.00052874i,-0.000261+0.00032955i,-9.4488e-05+0.00051689i,-0.00015648+0.00062152i,0.00043936+0.00083679i,0.00070231+0.0010138i,0.00036804+0.00067804i,0.00087612+0.00058943i,0.0011048+0.00059271i,0.00070229-0.00011339i,0.00051182-0.00050839i,7.4208e-05-0.00043958i
-0.00068284-0.00036056i,-0.00095429+0.00047394i,-0.00072194+0.001534i,-0.0013212+0.00091371i,-0.00093717-5.4304e-05i,-0.00024805-0.00056689i,-0.00053082-0.0015593i,0.00020975-0.00193i,0.00083484-0.00099843i,2.1565e-05-0.0001534i,-0.0004069+0.00033835i,0.00048667+0.00094805i,0.00082706+0.00065035i,0.0001146-0.00030205i,-0.00013538-0.00076035i,0.00019065-0.00092767i,0.0004405-0.00083041i,0.00039008-0.00042762i,-0.00021461-0.0005243i,-0.0009284+1.7982e-05i,-0.00094767+0.00056295i,-0.00062574+4.9318e-05i,-0.00037251-0.00045318i
7.6989e-05-3.2028e-05i,0.00056568+0.00022146i,0.00022162+0.00079355i,-0.001119+0.00056066i,-0.0016731-0.00060485i,-0.0018837-0.001301i,-0.0019721-0.0017604i,-0.0016418-0.001543i,-0.0010447-0.00086494i,-0.00040051-0.0004035i,-0.00028579-6.2226e-05i,-8.6208e-05-6.6122e-05i,0.00024031-0.00024068i,0.00016107-0.00021333i,0.00032158-0.00038562i,0.00030238+3.7388e-05i,0.0002602+0.00021358i,0.00048968-0.00022416i,7.7523e-05-0.00032232i,-0.00026498-0.00067521i,0.00011159-0.0002682i,0.00011276-6.5415e-05i,-0.00016386-0.00085798i
0.00050716+0.00013405i,-0.0013801-0.00086247i,-0.001196-0.0015477i,0.00017775-0.0019489i,0.00061642-0.0011127i,-0.00017235-0.0012849i,-0.0005477-0.0023255i,-0.00016741-0.0012642i,-0.00028885+9.4778e-05i,-0.00077573-0.00027009i,-0.001396-0.00051085i,-0.0012559-0.00066343i,-0.00037725-0.00097087i,-0.00017744-0.00043564i,-0.00041101+0.00010128i,-0.00019626+0.00019968i,0.00030168-5.6375e-05i,0.00031179-0.00034374i,0.00032283-0.00051083i,0.00021251-9.0258e-05i,1.1403e-06+0.00032705i,-0.00022261+0.00025188i,-0.00077652+0.00014806i
-0.0004261-0.000693i,-0.00064763+0.00014186i,-0.0010251+0.00026013i,-0.001573+0.0004921i,-0.0010348+0.00041333i,-0.00028952-0.00024899i,4.9834e-05-0.00031628i,-0.00012038+0.00037423i,-0.00033833+0.00064523i,-0.00025741-0.00040913i,-1.4822e-05-0.00015256i,-3.558e-05+0.0010665i,0.00061654+0.0011759i,0.0013283+0.00055237i,0.00098557+0.00075802i,0.00032913+0.0014004i,0.00072813+0.00072806i,0.00042835+2.9108e-05i,-0.00021275+0.00017963i,0.00030562+0.00050299i,0.00069213+1.1549e-05i,0.00023328-0.00065689i,-0.0002141-0.00061586i
-0.00017592-0.0024507i,-0.00091282-0.0026901i,-0.0028111-0.0017052i,-0.0032266+0.00028961i,-0.0020058+0.00089086i,4.6966e-05+0.00039422i,0.0009207-0.00096737i,0.00030265-0.0017199i,-0.00031699-0.00077683i,-0.0007911-6.6809e-06i,-0.00089304+8.8538e-05i,0.00042987+0.00077994i,0.0016056+0.00070096i,0.00079115-0.00049927i,-0.00010796-0.00031285i,-0.0001182+0.00060304i,-0.00053759+0.00073228i,-0.00012746+0.00058948i,0.00078848-1.6774e-06i,0.00079819-0.00027431i,0.00053201+6.9956e-05i,-2.3856e-05+0.0003529i,-0.00020236+0.00039598i
-0.002631-0.0019728i,-0.0018266-0.0018182i,-0.0015574-0.00028286i,-0.00090934+0.0013107i,-0.00029636+0.001682i,1.1834e-05+0.00088387i,7.4545e-05+0.00026776i,-0.0002135-0.00030755i,0.00045146+1.1643e-05i,0.00093748+0.0007013i,0.0010768+0.00078669i,0.0013254+0.001243i,0.0012762+0.0013445i,0.0011164+0.00073288i,0.00066329+0.00038674i,-0.00011563-0.00030851i,-0.00064913-0.00076658i,-0.00069342+2.4802e-05i,-0.00036652+0.00058142i,-9.5065e-06+8.8192e-05i,0.00010809-0.00029755i,0.00034355-0.00046476i,0.00083138-0.00022672i
0.001315-0.00055239i,0.00080386+0.00079282i,-0.00051703-1.0261e-05i,-0.0022314-0.0013036i,-0.0030204-0.0017312i,-0.0031363-0.0011758i,-0.0027807-0.0011292i,-0.001225-0.00043095i,-0.00024518+0.00039282i,-0.00028528-0.00010336i,-0.00096805-0.00062501i,-0.0011981-0.00049789i,-0.0002246-5.4615e-05i,-0.00023072-0.0008567i,-0.00015877-0.00096671i,0.00010883+7.0884e-05i,-0.00037475+0.00022928i,-0.0008157+0.00072163i,-2.5233e-05+0.0012825i,0.00088883+0.00084821i,0.00081792+0.00040719i,0.00041516-0.00019393i,-5.1246e-06-0.00058167i
-0.00096768-0.0043548i,-0.0017791-0.0018014i,-0.0032207-0.00046505i,-0.0028448-0.00035444i,-0.0010462+0.00057858i,0.00011254+0.00033367i,-1.8983e-05-0.0014814i,-0.00026673-0.0015178i,-0.00033379-0.00030509i,-0.00014822+0.00072832i,-0.00068288+0.0010204i,-0.0011494+0.0010845i,-8.0244e-05+0.0012449i,0.00031527+0.0012088i,0.00020853+0.00075905i,0.00078357+0.00075998i,0.00096076+0.00060806i,-0.00023005+0.00048609i,-0.0008671+0.00056552i,-0.0004245+0.00015272i,0.00021829-0.00024483i,0.00043157-0.00060654i,0.00062985-0.00031578i
0.0037588-0.0010012i,0.0045513-0.0018256i,0.0032282-0.0029616i,0.0014093-0.0029053i,0.00047492-0.0017919i,-0.0011877-0.00072226i,-0.0010637+0.00020624i,6.7374e-05+0.0005387i,0.00030684+0.00016481i,-0.00048967-0.0001548i,-0.00070158-0.0003394i,4.8531e-05-0.00045101i,7.4482e-05+8.7427e-05i,-0.00037219+0.00094129i,-0.00066931+0.0014511i,-0.0008302+0.0012797i,-0.00023396+0.00078421i,0.00045519+0.00018661i,0.00030065+0.0002191i,-0.00028946+0.00058239i,-0.00051228-0.00021131i,0.00048612-0.00097863i,0.00068642-0.00043166i
0.00069548+0.0010655i,0.00043488+0.0012766i,-0.00028019-0.00073609i,-0.0015196-0.0020086i,-0.0016655-0.0019527i,-0.00099593-0.0010909i,-0.00073383-0.00085958i,-0.00087103-0.0015333i,7.4862e-05-0.000987i,0.0013223-0.00018718i,0.0020469+0.00018329i,0.001929+0.00028355i,0.00059566-0.0001063i,-0.00031323-0.0005265i,-0.00049704-0.00040879i,2.9711e-05+0.00049371i,0.00055758+0.00072348i,0.00065608-5.9324e-05i,0.00028095-0.00029433i,-0.00026047+0.00015798i,-0.00027586+3.9295e-05i,0.00013252-0.00050727i,0.00049385+7.9629e-05i
-0.0014136+0.0021093i,-0.001675+0.0022835i,-0.0012813+0.001415i,-0.00022161+0.00092061i,0.00037159+0.00065591i,0.00053119-0.0008853i,3.9853e-05-0.0019814i,-0.00036728-0.00156i,0.00046154+4.9789e-05i,0.00071072+0.00075613i,0.00026258-6.1254e-05i,0.00048469-0.00089388i,0.0006777-0.00048651i,0.00022571+8.7308e-05i,-0.00021875+0.00035728i,-0.00070072+0.00046889i,-0.0007113+0.00048015i,-0.00031686-3.581e-05i,-0.00028189-0.00080117i,0.00019457-0.0010056i,0.00013023-0.00042226i,0.00013059+0.00034668i,0.00020591+0.00030249i
-0.0022881+0.0034178i,-0.0026557+0.0038493i,-0.00060912+0.0028443i,6.8389e-05+0.00026077i,-0.00039305-0.0017113i,-0.00056896-0.0022141i,-0.00087906-0.0016389i,-0.0014897-0.00049443i,-0.0012727+0.00031656i,-0.00018655-7.6584e-05i,0.00023709-0.00044647i,-9.3038e-05+2.611e-05i,-0.00048077-0.00029614i,-0.00071677-0.00074741i,-0.0010053-0.0010977i,-0.0011362-0.0012061i,-0.00062572-0.00069376i,0.00022218+0.00017245i,2.0105e-05+0.00044018i,-0.00033367+0.00035306i,0.00044514+0.00058901i,0.0010661+0.00054458i,0.00092145+0.00069431i
-0.001544+0.0011591i,-0.0020703+4.2081e-05i,-0.0016747-0.000731i,-0.0015256+0.00011961i,-0.0015065+0.0012267i,-0.00071314+0.0004631i,-0.00066306-0.00074893i,-0.00070766-0.0009023i,7.1392e-05-0.00079816i,5.815e-05-6.7585e-05i,-0.001391+0.00093252i,-0.0013133+0.0009657i,-0.0002216+0.00070858i,8.4697e-05+0.00090115i,0.00033659+0.00087524i,0.00047762-7.093e-05i,0.00033254-0.00038281i,0.00012873-0.00039194i,0.00014463+0.0002053i,6.65e-05+0.00036914i,2.7048e-05+0.00046202i,0.00026339+0.0010863i,8.3094e-05+0.00060532i
-0.00076962-0.00024442i,-0.0011445-5.9543e-05i,-0.0017356+0.00097279i,-0.0014759+0.00085431i,-0.00079486+8.8779e-05i,-0.00064569-0.00085806i,-0.0011769-0.0014384i,-0.0012813-0.00048312i,-0.00032075+1.4156e-05i,-4.5925e-05+0.00057967i,-0.00045618+0.0011795i,3.8415e-05+0.0010723i,-0.00066491+0.00040408i,-0.0014647-0.00030851i,-0.00011552+2.5294e-05i,0.00017158+0.00013052i,-0.00068166+3.1408e-05i,-0.00066796+0.00043601i,-0.00037713+0.00063563i,-5.8324e-05+0.0003751i,7.2409e-05+0.00035384i,0.0001678+0.00030912i,0.00054025+0.00039037i
-0.00071561+0.001036i,-0.0011647+0.00021825i,-9.856e-05-0.00097421i,0.0013071-0.0022296i,0.00043354-0.003109i,-0.0012406-0.0024692i,-0.0016968-0.00099956i,-0.0010162-0.00046814i,-0.00050663+0.00012998i,-0.0001079+6.222e-05i,-8.0969e-05-0.00027828i,-0.00052484-0.00036949i,-0.00057029-0.00044575i,-0.00066471-0.00021823i,-0.0010251+0.00038797i,-0.00068659+0.00081849i,-0.00061921+0.0003257i,-0.0009301-0.00010628i,-0.0011794-4.1077e-05i,-0.00021868+0.00044937i,-0.00023259+0.0005896i,-0.00059744+0.00013839i,-0.00038398-0.00060978i
-6.952e-05-0.0011872i,-8.0214e-05-0.0013104i,6.8434e-05-0.00021491i,-0.00081902-0.00020775i,-0.0017621-4.8098e-05i,-0.0017867+0.00047649i,-0.0016153+0.00062127i,-0.00054726+0.00025626i,0.00056869-0.00028132i,0.00093458-0.00092784i,0.0004095-0.00084807i,5.7185e-05-0.00047927i,-0.00017483+4.5727e-05i,-0.00079123+0.00068314i,-0.0015055+0.00022365i,-0.0015163+0.00015812i,-0.0011169+0.00049992i,-0.00075874+0.00017311i,0.00027489-0.00010957i,0.0011022+2.4432e-05i,0.00070729-3.4214e-05i,0.00081445+0.00025478i,0.00076685-1.5192e-05i
0.00041453-0.0028759i,0.00011265-0.0026404i,-0.0011436-0.00085335i,-0.0019454+0.001073i,-0.00089251+0.0013236i,-0.00055387+0.00064481i,-0.00097091+0.00018237i,-0.00047435+8.2022e-05i,-4.5979e-05+0.0004152i,-0.00014691+0.00028781i,-0.00044396+0.00031738i,-0.00061016+0.00072856i,0.00012957+0.00042866i,0.0008183+0.0009171i,0.00056634+0.0013949i,-2.7901e-05+0.00066086i,-0.00020601+1.0334e-06i,-0.00040147-0.00028834i,-0.00025206-0.00030728i,-0.00011612+4.9928e-05i,-0.00018769+0.00026922i,-6.929e-05+0.00014243i,-0.00022889-5.7623e-05i
-5.9056e-05-0.0032156i,0.00011008-0.0036621i,-0.0022753-0.0037641i,-0.0025204-0.0026504i,-0.0005744-0.0018272i,0.00018656-0.0012935i,-0.00035809-0.0010536i,-0.00028793-0.00082884i,-0.00041604+0.00012649i,-0.00095035+0.0010522i,-0.00088502+0.00092726i,0.00031449+0.00060209i,0.00056223+0.00044451i,0.00055571-2.4596e-05i,0.00084532-0.00010059i,-0.00024416-0.00013889i,-0.0011246+0.00015062i,-0.00052252+0.00071203i,0.00016543+0.00035019i,0.0010768-0.00037191i,0.0007251-0.00041709i,-0.00065865-0.00069705i,-0.00099203-0.00048935i
0.00276-0.0015059i,0.0022507-0.0021219i,0.00093701-0.0032356i,-0.001126-0.0013295i,-0.0018382+0.00080853i,-0.00085165+0.00045139i,0.00023998-0.0008189i,8.494e-06-0.00043664i,9.6965e-05+0.0001981i,0.00045293+0.00068095i,0.00012402+0.001271i,-0.00052064+0.00092906i,-0.00087529+0.00093721i,-0.00076253+0.0013103i,-0.00019917+0.00087007i,-0.00053234+0.00035338i,-0.00026325+0.00018111i,0.00057906-0.00050215i,0.0011944-0.0010556i,0.001348-0.00072185i,0.00027576-0.00056031i,-0.00066225-0.0006212i,-0.0010781-3.3353e-05i
0.00042847-0.00066857i,-0.00010851-0.00019488i,-0.00072396-0.00074516i,0.00037143-0.0012856i,0.00099032-0.00053819i,0.00039203-0.00037988i,-0.0001757-0.00067696i,-9.7842e-05-0.00036906i,0.00056358-2.1398e-06i,0.00023869+0.00083582i,-6.1141e-05+0.0011815i,0.00038327+0.00045521i,0.0006153-0.00015699i,0.00013114-0.00058538i,-0.00010043-0.00026421i,5.5153e-05+0.00062747i,-0.00076926+0.00052201i,-0.00076976-7.1639e-05i,3.0762e-05-0.0006536i,0.00044181-0.00066787i,2.3322e-05+0.00017589i,-0.00053324+0.00073516i,-0.0001095+0.00026021i
0.00076117+0.0017543i,0.00063536+0.0019453i,0.0001894+0.0012192i,-0.0010298-0.00042849i,-0.0018346-0.00037738i,-0.0015637+0.00086616i,-0.00051782+0.00033385i,-0.00025861+2.5073e-05i,-0.00060919-4.1775e-05i,-0.0002816-0.00016483i,-0.00048542+0.000234i,-0.0010075+0.00047754i,-0.00014189+0.00086921i,0.0004124+0.0013717i,-0.00048017+0.0011581i,-0.00080435+0.00062895i,-0.00041608+0.00043254i,-8.6993e-05+0.00015219i,0.00040924-2.5085e-05i,0.00011468+0.00019906i,-0.00027555+0.00067748i,2.2655e-05+0.00060483i,0.00023381+0.0004555i
-0.0041207-0.0027095i,-0.0047796-0.0022143i,-0.0052232-0.00065908i,-0.0048326+2.1515e-05i,-0.0029708+0.0012055i,4.5512e-05+0.0020622i,0.0011643+0.00077403i,0.00019302-0.00045554i,-0.00039623-0.00057985i,-0.001021-9.7056e-05i,-0.0014565+0.00028909i,-0.0011046-0.00037916i,0.0003827-0.0012449i,0.0020703-0.00042601i,0.0020558-0.00010091i,0.00094544-0.00082407i,9.8997e-05-8.5614e-05i,-8.2746e-05+0.00037574i,-0.00010822-0.00030187i,-0.00068463-0.00045251i,-0.0015269-0.00028834i,-0.0017325-0.00018198i,-0.0011117-0.00043783i
-0.0043227-0.0053179i,-0.0059745-0.0042467i,-0.0068712-0.0013585i,-0.0051089+0.00095021i,-0.0027653+0.0022139i,-0.00025+0.00094098i,0.0002292-0.0012212i,-0.000696-0.0012164i,-0.0013122+0.00037844i,-0.0019417+0.0018796i,-0.0013387+0.0025029i,0.00021787+0.0021365i,0.0018489+0.0018151i,0.0028302+0.0018502i,0.002696+0.001797i,0.0011086+0.0014914i,-2.0874e-05+0.0015061i,-1.9835e-05+0.00028571i,0.00015247-0.00090402i,-0.00026773-0.00076185i,-0.00060731-0.00042555i,-0.00061185+0.00035542i,-0.00014165+0.00050205i
0.0054698+0.0040474i,0.0077301+0.0012142i,0.010396-0.0015221i,0.0074344-0.0046717i,0.0023319-0.0071754i,-0.0024033-0.0064245i,-0.0041531-0.0027671i,-0.0030324-0.00014655i,-0.00069115+0.00085267i,0.00077648-0.00039458i,-0.00011272-0.001109i,-0.0012058-0.0005064i,-0.0025617-0.000384i,-0.0044946-0.00059696i,-0.0055404-0.00091108i,-0.0038325-8.6053e-05i,-0.00075322+0.00048963i,0.0002275+0.00010372i,-0.00033731+0.0009335i,0.00019763+0.0013684i,0.0020263+0.0004354i,0.0023022-0.00056906i,0.00082211-0.0012181i
0.0052371+0.0019319i,0.0065161+0.00057594i,0.0052732-0.0010053i,0.0013709-0.0023983i,-0.0021641-0.0033447i,-0.0045664-0.003482i,-0.0043849-0.0018162i,-0.0015807+0.00012438i,0.0011999+0.00089106i,0.0011558-0.00034732i,-0.00036018-0.0013482i,-0.00090676-0.00078769i,-0.0011382+5.2599e-05i,-0.0025634+0.00045425i,-0.0031793+0.00037939i,-0.0021296+0.00056126i,-0.00073001+0.00036093i,-0.0004794+0.00022607i,-0.0010199+0.00088765i,-0.00026497+0.0013426i,0.00099672+0.001189i,0.0010276+0.00076166i,-0.00020009+0.00043533i
0.0043568+0.00096133i,0.0035447+0.00076106i,0.0017718-0.0007932i,0.0005334-0.0018398i,-0.00056148-0.0020584i,-0.002332-0.0018631i,-0.0031549-0.00109i,-0.0016579-0.0007162i,-0.00045879-0.0012159i,-0.00032563-0.0015583i,-0.00062128-0.00074101i,-0.0013333+7.7357e-05i,-0.00081269+3.3003e-05i,4.7921e-05-9.2424e-05i,-0.00029812+0.00074955i,-0.00048941+0.00091583i,0.00055359+0.00026949i,0.00034665-3.0738e-05i,-0.00066627+4.0503e-05i,-0.00017356+0.00032976i,0.00039525+2.8724e-05i,0.00042402+0.00025461i,0.00070346+0.00065864i
0.0024143+0.0018856i,0.0017968+0.0021897i,0.001044+0.00068529i,0.00012612-0.00037154i,-0.0003282-0.00034898i,-0.00096672-0.0011225i,-0.0018792-0.0012375i,-0.0018133-0.00028979i,-0.00070547+0.0005652i,-0.0003528-5.0713e-05i,-0.00047218-0.00079373i,-0.00015412-0.00082483i,0.00011843-0.00057126i,-0.00082142-0.00040542i,-0.0018652-3.1405e-05i,-0.0013788+0.00055024i,-0.00065635+0.00055516i,-6.1323e-05-3.427e-05i,0.00071424+0.0001744i,0.00057844+0.00065947i,7.8066e-05+0.00026876i,0.00013977+6.6006e-05i,0.00085572+7.7838e-05i
0.000603+0.0051878i,0.00042168+0.0047396i,0.00061975+0.0031948i,0.00047354+0.0018222i,0.00019735+0.00023307i,-0.00064547-0.00097961i,-0.0010691-0.001105i,-0.0011786-0.00038836i,-0.00070845+0.00022246i,0.00052018+0.00030708i,0.001397-0.00014411i,0.00070241+0.00019651i,-0.00017819+0.00032921i,-0.0014061+3.3911e-05i,-0.0028214-0.00050148i,-0.0023072-0.0011701i,-0.0005875-0.00039869i,-0.00025756+0.00019684i,-0.00034915+4.3569e-05i,0.0001354-0.00014689i,0.001117-0.00052068i,0.0011933-0.00047873i,0.00077026-0.00038485i
-0.0010137-0.0010964i,-0.00123-0.0021574i,-0.0017103-0.002129i,-0.0022974-0.0011726i,-0.0010469-0.00035824i,-0.00010148-0.00063458i,-0.00089553-0.0018259i,-0.00099013-0.0016417i,-0.00052492-0.00072889i,-0.00079661-0.00025876i,-0.00079399+0.00047798i,-0.00010576+0.0011802i,-3.8829e-05+0.0010814i,0.00022501+0.0007415i,0.00081114+0.00030155i,0.00028345-0.00048427i,0.00029604-0.00053605i,0.00088111+1.7787e-05i,0.00052692-0.00016538i,-0.00028456+0.00028638i,-0.0002891+0.00049234i,0.00027127-0.00032703i,0.0002937-0.00061308i
-0.0025115+0.00066437i,-0.00073559+0.0011883i,0.00099726-8.2413e-05i,0.00044658-0.0015524i,-0.0010561-0.0010714i,-0.0018456-0.00082244i,-0.00072634-0.0022161i,0.00068399-0.0024438i,0.00082265-0.0012191i,0.00028503-0.00026624i,5.4376e-06+0.00022199i,-0.00023732-0.00012112i,-8.4614e-05-0.00037725i,0.00035341+0.00024851i,0.00024983+0.00056056i,4.0908e-06+0.0006061i,-3.5322e-05+0.00098208i,0.00041983+0.00085956i,0.0009696+0.0005244i,0.0010875+0.00080839i,0.00090316+0.00096009i,0.00052325+0.0003702i,0.00037284-0.00027324i
-0.00013068+0.00042239i,-0.00065391+0.00019578i,3.8172e-05-0.00050044i,-0.00057374-0.00096387i,-0.0014609-0.0011067i,-0.0013133-0.0013708i,-0.0011362-0.00087056i,-0.0011136+0.00053392i,-0.00054993+0.0011249i,-0.00020134+0.00043846i,-0.00028231-0.0001761i,-0.00058571-9.1229e-05i,-0.00087508-0.00047276i,-0.0013083-0.00039378i,-0.0013516+9.9625e-05i,-0.0011419+0.00025041i,-0.00073954+0.00055844i,-0.00039274+0.00028111i,-0.00063883+0.00032954i,-0.00042957+0.00064257i,0.00047837+0.00067425i,0.00057538+6.7108e-05i,0.00037585-0.0001245i
3.8729e-05-0.00019822i,0.00047825-4.119e-06i,0.00096704-9.3942e-05i,0.0010815-0.00081068i,8.6354e-05-0.0017082i,-0.0011045-0.0019801i,-0.0019195-0.0016713i,-0.0012013-0.00073905i,5.4785e-05+0.00028942i,-0.00051942+0.00065383i,-0.0013051+0.00034341i,-0.0010087+0.0005204i,-0.00063419+0.0010153i,-0.00079744+0.00069151i,-0.0010558+0.00021601i,-0.00036061+0.00090282i,0.0001561+0.0016944i,-0.0002444+0.0013955i,0.00016725+0.00031373i,0.0001903-9.6289e-05i,-0.00047174-0.00021484i,-0.00010921-0.00032815i,0.00077217-8.0586e-05i
-0.00010635-0.00050954i,-0.0021176-0.0019661i,-0.0026419-0.0031809i,-0.0024785-0.0025323i,-0.0019768-0.0019317i,-0.0013209-0.0023182i,-0.00038939-0.0017868i,-0.00028259-0.00032232i,-0.00046376+0.00027035i,0.00088837+3.5073e-05i,0.0014389+0.0002163i,0.00039384+0.00042396i,-0.00015399+0.00064151i,-0.00032696+0.00068094i,-0.00051411+0.00016373i,-0.00014238-0.00019692i,-0.00026707-0.00011933i,-0.00048302-0.0001761i,-0.00012052+0.00014697i,0.00034439+0.00061662i,0.00089332+0.00078768i,0.00063344+0.00076682i,-0.00026537+0.00069744i
0.0016045-0.0020924i,0.00080858-0.0022253i,0.00023547-0.0026064i,-0.00056186-0.0022407i,-0.0011085-0.0010016i,-0.0010561-4.2351e-05i,-0.00084325+0.0001366i,-0.00062971+0.00020087i,-0.00047817+0.00087536i,-0.00073021+0.001147i,-0.00067371+0.00063755i,-0.00048392+0.00048244i,-0.00055032+0.00033478i,-5.9427e-05+0.00023727i,0.00039968+0.00034733i,8.6405e-05+0.00042954i,-7.7414e-05+0.0009817i,0.00082+0.0010262i,0.00061755+0.00045066i,-0.00038436-4.8925e-05i,-0.00038962+0.00016666i,9.5942e-05+0.00035755i,-0.00013181+0.00051419i
0.0025209+0.0013933i,0.0017971+0.00074908i,0.0010709+0.00036598i,-1.5743e-05-0.0001166i,-0.0011937-0.0012069i,-0.0016218-0.0018856i,-0.0013978-0.0014212i,-0.0016022-0.00038758i,-0.0016364-0.00054425i,-0.00092036-0.0012897i,-0.00024225-0.00054081i,0.00052557+0.00075344i,0.00068381+0.0003591i,0.00036518-0.00062353i,-0.00060885-0.00066463i,-0.0010963-0.00063087i,-0.00063005-6.553e-05i,7.7031e-05+0.00040432i,0.0011801+0.00018836i,0.0017148+0.00011299i,0.00056768+0.000435i,-0.00056654+0.00032953i,7.1774e-05+0.00015642i
0.0041497+0.0027472i,0.0050321+0.0017418i,0.0040797-0.00013879i,0.0019203-0.0015367i,0.00040427-0.001106i,-0.00080403-0.0014386i,-0.0011469-0.0019221i,-0.00039182-0.00064415i,0.00056015+0.0004114i,-3.4133e-05-0.00045266i,-0.00087979-0.00066754i,-0.0010819-1.608e-05i,-0.0013519+0.00056962i,-0.0017966+0.00063242i,-0.0016261+0.00017222i,-0.00058915+0.00053557i,-0.00029495+0.0013792i,-0.0010614+0.0012807i,-0.00047944+0.00030653i,0.00056112+0.00083217i,0.00036253+0.0010258i,0.0003315+3.9236e-05i,0.0003624-0.000125i
-0.0011931+0.00072289i,-0.00049195+0.0011532i,0.00038927+0.0018831i,0.0009543+0.0014914i,0.00017871+0.00055396i,-0.00070576-0.00037672i,-0.00083905-0.00019795i,-0.0011545+3.6753e-05i,-0.0011811+0.00048594i,-0.00078302+0.00086153i,-0.00023029+0.0011103i,0.00041216+0.00060653i,0.00039628-0.00035998i,-0.00063919-0.0010565i,-0.00085483-0.0013772i,-0.00019498-0.0011538i,0.00058711-0.00061403i,0.00081879+9.5839e-05i,0.00064366+0.00066403i,0.00048908+0.00068889i,0.00020993+0.00034503i,0.00047688+0.00017475i,0.00057434-3.4382e-05i
-0.00095529-9.1111e-05i,-0.0011758-0.00034432i,-0.00094209+3.3674e-05i,-0.0006091-0.00072625i,-0.00010938-0.0014541i,0.00052794-0.0014909i,5.475e-05-0.00083066i,-0.00010003+0.00038697i,0.00088494+0.00083075i,0.0013393+0.00087871i,0.0011494+0.00078193i,0.0015641+0.00039734i,0.0017392+0.00036088i,0.0012342-0.00029098i,0.00051355-0.0010465i,6.0203e-05-0.00018645i,-0.00025303+0.00037554i,-0.00066174+0.00012246i,-0.00099424-0.00017991i,-0.00041218-0.00050206i,-0.00024997+0.00012541i,-0.00049513+0.00077293i,-0.00040906+0.00088772i
0.0018491-0.0012847i,0.0015207-0.0018449i,0.00075751-0.0014141i,-0.00017329-0.00018805i,-0.001241-3.2065e-05i,-0.0022546+0.00012009i,-0.0022342+6.234e-05i,-0.0018314-8.2854e-05i,-0.0014102+0.00054142i,-0.001314+0.0003333i,-0.00075991-0.00014401i,-1.7499e-05-0.00020402i,0.00037832-0.00027793i,0.00035775-3.0614e-05i,0.00017446+0.00032692i,-0.00037402+0.00049225i,-0.000271-0.00020266i,0.00018579-4.7471e-05i,0.00012239-6.1139e-05i,0.00070721+0.00018862i,0.00035534+0.00084425i,0.00016371+0.00044054i,-5.0963e-05-0.00018305i
0.0029648-0.00060625i,0.0016175-0.0017739i,-0.00033075-0.0030572i,-0.0018958-0.0026451i,-0.0020107-0.0019364i,-0.0018656-0.0023679i,-0.0013793-0.0016119i,-0.00083024+0.00016185i,-0.00055732+0.00061553i,-0.0012221-0.00046912i,-0.0016572-0.00066567i,-0.00045062+0.00029688i,-2.4586e-05+0.0007928i,-7.1834e-05+0.0017335i,0.00014809+0.0018215i,-0.00021231+0.0011576i,-0.00041148+0.00054227i,0.00010197+3.9722e-05i,0.00086259+0.00030684i,0.00051981+0.0010557i,-0.0006128+0.00062253i,-0.0010083+2.3702e-05i,-0.00066432+0.00017992i
0.0025171+0.0013056i,0.0023743+7.1122e-05i,0.0016853-0.0016199i,0.00062409-0.0022943i,0.00026205-0.0014544i,-0.00026009-0.0010171i,-0.0010519-0.00077938i,-0.00051283-0.00012545i,0.000332+8.6121e-05i,0.00025667+0.00043484i,-0.00047574+0.00025415i,-0.00058329-8.6488e-05i,-0.00031631+0.00049i,-0.0010991+0.00083767i,-0.0010746+0.0010327i,0.0002937+0.00060572i,0.00077248-0.00027813i,0.00077342-0.00032499i,0.00063504-4.782e-05i,0.00021902+0.00045845i,0.00034419+0.00044549i,0.00034596+0.00027795i,0.00051578-2.9067e-05i
