-0.00033248-0.0006829i,0.00070517-0.00092633i,-0.00048155-0.00044195i,-0.00090634+0.00051199i,-0.0011003+0.00079766i,-0.0022334+7.0101e-05i,-0.0024488+0.00041789i,-0.0013232+0.00094862i,0.00057214+0.00050488i,0.0013087+0.00072173i,0.00059098+0.00098112i,-3.4374e-05+0.00010216i,-0.00014749-0.00099574i,-0.00013248-0.0015214i,-0.00043933-0.00087744i,-0.00092196-3.706e-05i,-0.00028163+0.00013535i,9.3933e-05+0.00083332i,-0.00022676+0.0011473i,-5.0863e-05+0.00037003i,0.00046892+0.00031682i,-0.00011472+0.00035197i,-0.00060261+0.0001569i
0.00032909+0.0046683i,0.00096531+0.0027095i,0.0025273+0.0020862i,0.0035111+0.00046288i,0.0028192-0.0015708i,0.0013927-0.0022524i,0.00058337-0.0011685i,0.00019168+1.0874e-05i,0.00059068+0.00053798i,0.0012513+0.00022706i,0.0010835-0.00058672i,0.00027348-0.0013072i,0.0002248-0.0012374i,0.00069527-0.0010073i,0.00088279-0.0011277i,0.00096824-0.00094941i,0.00033806-0.00058106i,-0.00035649+8.9404e-05i,-0.00033935-8.3915e-05i,-0.00056329-0.00018738i,-0.0011519-0.00047674i,-0.00083127-0.00095249i,0.00014031+0.00011276i
0.00010993-0.00032412i,0.00066267-0.00044686i,0.001069-0.00057434i,0.00048356-0.00070302i,-0.00045389-0.0011294i,0.00017531-0.00082431i,0.00074309-3.8198e-05i,0.00071704+3.2137e-05i,0.00060278-8.7334e-05i,0.00017161-0.00032861i,2.2693e-05+0.00053487i,1.1206e-05+0.0015727i,-0.00026981+0.00095205i,-0.00044233-0.00019482i,-0.00019635-0.00037734i,-0.00014257-0.00047033i,0.00058706-0.00097222i,0.00040594-0.00077797i,-0.00035234+3.4161e-05i,6.7014e-05-7.3679e-05i,0.00038949-0.00090957i,0.00057032-0.00076741i,0.0005882+0.00027485i
-0.00040092+0.00053316i,0.00026386+0.00067692i,0.0013917+0.00054153i,0.0019996-7.5726e-06i,0.0014564-0.0012501i,0.00024451-0.0023782i,-0.00046532-0.0017186i,-0.0005561-0.00038378i,0.00042461-5.3613e-05i,0.00086041+0.00011597i,0.00052211-0.00025109i,0.00029541-0.00043257i,-7.0012e-05+0.00050404i,-0.00015654+0.00057277i,-0.00057848+0.00043941i,-0.00072489-0.00015702i,-9.043e-05-0.00055786i,0.00048947-0.00043415i,0.0008971-0.00050949i,0.00071602-0.00020107i,-0.00026232-5.802e-06i,-0.00081474+0.00043352i,-0.00054042+0.00044967i
0.0017514+0.00077628i,0.00080602+0.00045169i,0.00088738+0.00031399i,0.00088558-0.00076013i,0.0004196-0.001517i,-0.00032903-0.0016554i,-0.00052631-0.0013516i,-0.00029963-0.00064162i,-0.00046116+0.00011637i,-0.00020072-0.00059857i,3.3756e-05-0.00083832i,-0.00045867-0.00045896i,-0.00081461-0.00051166i,-0.00034833-0.00027677i,-9.601e-05+0.00014037i,-0.00042258-3.9648e-05i,-0.00052064-0.00025091i,-0.00080198+6.3928e-05i,-0.00036252-0.00015257i,0.00027123-0.00041174i,0.00031519-0.00087175i,0.00064436-0.00073219i,0.00045744+0.00014171i
-0.001464+0.0011293i,-0.001289+0.00095788i,-0.00057311+0.00081603i,0.00065574-0.00013349i,0.0012817-0.00058641i,0.00053907-0.0006873i,-0.00046122-0.00021609i,-0.00050405+0.00034796i,-0.00054658+0.00043895i,0.00048643-0.00010763i,0.0016867-0.00063635i,0.0012225+2.5879e-05i,0.00042145+0.00025446i,-4.1728e-05-8.7706e-06i,1.0899e-05-6.0569e-05i,0.00080841-0.00068868i,0.00082526-0.0010034i,0.00052818-0.000736i,0.0004304-0.00046949i,0.00017851-0.0002902i,-0.00015089-0.00012957i,-0.00033753-0.00080714i,-0.00013743-0.0009085i
-0.0008008+0.0017782i,-0.0010679+0.001729i,0.0014791+0.0010603i,0.0024829+1.0966e-05i,0.0014657-0.00034474i,0.00035624-0.00092538i,-0.00076025-0.0015944i,-0.0007068-0.00076202i,5.3679e-05+0.0002893i,0.00023108+0.00023867i,0.00024653-0.00035456i,0.00039191+3.4748e-05i,9.8744e-05-0.00035832i,-7.2945e-05-0.00054405i,0.00054909+0.00047164i,-0.00016026+0.00067575i,-0.00089856+0.00018128i,-0.00065935+3.5386e-05i,-0.00037544-0.00016037i,-0.0007223-0.00044338i,-0.0015345-0.00017563i,-0.0010583-0.0005537i,6.9371e-05-0.00071398i
-0.0008689+0.00081755i,-7.0094e-05+0.00069121i,0.00053135+0.00050714i,0.00048978-0.00046932i,-0.00069998-0.0015804i,-0.00088506-0.0020075i,-0.00028277-0.0014784i,0.00032473-0.00051501i,0.00056382-0.00033817i,0.00035516-0.00092513i,-7.7865e-05-0.00074023i,-0.00047996-0.00038447i,-0.00065134-2.0991e-05i,0.00019384+0.00035326i,0.0011228+0.00058367i,0.00050317-0.00030334i,-0.00034588-0.00089391i,8.9474e-05-0.00088758i,-0.00048126-0.0012336i,-0.0010815-0.0015308i,0.00010969-0.0011184i,0.00030678+0.00017064i,-0.00041606+0.0012192i
-0.0007266+0.0020756i,-0.00016384+0.00041173i,0.00031439-0.00095432i,0.0019222-0.0015694i,0.0024996-0.0012937i,0.0014244-0.00080238i,2.911e-05-0.00086858i,-0.00065692-0.00053026i,-0.00045306+0.00050764i,0.00066365+0.00014883i,0.0017108-0.00090785i,0.001219-0.0011909i,0.00062851-0.00116i,0.00078193-0.00090152i,0.0011483-0.00056578i,0.00086963+3.8721e-06i,-0.00018675-0.00043597i,-0.00035654-0.00072639i,0.00018262+0.00010681i,0.00010987+0.00028561i,0.00010931-0.00013535i,0.00050135+0.00026763i,0.00060887+0.00021963i
0.0013489+0.0022755i,0.00090649+0.0015186i,0.0020937+0.0013158i,0.0029594-0.0001141i,0.0027357-0.0016313i,0.0016573-0.0019011i,-7.9923e-05-0.0010821i,-0.00078655-0.00021553i,-0.00065152-0.00026797i,-0.00017075-0.00071197i,-0.00034107-0.00065021i,-0.0007527-0.00035967i,-0.00027-0.00066205i,0.00040906-0.0001532i,0.0011536+0.00038596i,0.00041833-0.00013022i,-0.00052621-0.00054828i,0.00014625-0.00085382i,0.0011032-0.00057355i,0.00050895-0.00023433i,-0.00012121-0.00049782i,0.00029216-0.00072191i,0.00021205+7.6805e-05i
-0.00045108+0.0024276i,0.00031645+0.0018113i,0.0010136+0.00025016i,0.0018409-0.0010207i,0.0011903-0.0011833i,-0.00011184-0.00080036i,-0.00051645+2.5991e-06i,7.6652e-05+0.00023036i,0.00066266-0.00021733i,0.00043465-0.00015924i,-0.00022808-8.7059e-05i,-0.00042354-0.00082123i,-0.00063215-0.00080575i,-0.00033673-0.00027163i,0.00030325-0.00013844i,0.000258+0.0002967i,0.000135+5.3774e-05i,7.9022e-05-0.00063483i,0.00026514-0.00067587i,0.00014777-0.00062761i,-0.00035145-0.00032592i,0.00026245-0.00022055i,-9.6838e-05-0.00067745i
