0.00017189+0.00046i,-0.00024047-0.00045367i,-0.0011213-0.00025846i,-0.0024302-0.00029488i,-0.0018875+0.00021555i,-0.00054756+0.0014226i,4.8085e-05+0.0018026i,0.0012733+0.0014108i,0.0020848+0.0014755i,0.0017951+0.0013837i,0.0011413-0.00011371i,0.0011721-0.0016793i,0.00025596-0.0017853i,-0.00053633-0.0010352i,-0.00089513+0.00028649i,-0.0013156+0.0010537i,-0.0013015+0.00049889i,-0.0005486-0.00041532i,-3.1648e-06-0.0010242i,0.00036125-0.00060798i,0.00065378-0.00049454i,0.00056035-0.001016i,0.0001474-0.00074174i
0.001139-0.00077377i,0.00065867+0.00025758i,0.00052438-0.00042622i,-0.00023303-0.00051882i,-0.00099773+0.00017521i,-0.0010015+0.00058927i,9.0627e-05+0.0011388i,0.0010642+0.0019528i,0.0012058+0.0020227i,2.7943e-06+0.00078894i,-0.00087637+5.4255e-05i,-0.00044715-0.00076747i,9.5434e-05-0.0012624i,0.00071476-0.00058825i,-5.8841e-05-0.0001987i,-0.0012042-0.00032604i,-0.00049619-0.00032262i,0.00040527+0.00033113i,0.00011575+0.0010918i,-8.7892e-05+0.00067888i,0.00037201+8.0924e-05i,-3.4338e-05-0.00038252i,-0.00042111-0.0010178i
-0.00085914-0.00024279i,-0.00056582-0.00014767i,-0.0012664+0.00064283i,-0.0018212+0.0013051i,-0.0021712+0.0011856i,-0.0019903+0.0005231i,-0.0014235-5.7514e-05i,-0.0013316-0.00038723i,-0.0010059-1.3859e-05i,-0.00059774+0.00056652i,0.00010876+0.00030945i,0.00055161-5.3027e-05i,0.00047657+0.00010892i,8.6605e-06+0.00030115i,-0.00062672+0.00043418i,-0.00023701-5.4288e-06i,0.00073717-0.00025328i,0.00099739+0.00054829i,0.00057229+0.00085634i,7.5762e-05+0.00038948i,-0.00018666-2.5033e-06i,-1.4923e-05+2.8244e-05i,0.00015199+0.00035119i
0.00093788-0.001472i,0.00016699-0.00094201i,0.00023166-0.00070518i,0.00046011-0.0004291i,1.6167e-05-0.00018951i,-0.00055911+0.00029247i,-0.00093954+0.001141i,-0.00035679+0.0012211i,0.00033727+0.00016232i,0.00071047-0.00073936i,0.00085486-0.00048214i,0.00073573-0.00043785i,0.00060115-0.00017127i,0.0003563+0.00034125i,8.3783e-05+0.0002429i,-0.00020784+0.00019961i,-4.6636e-05+0.00014541i,1.9964e-05+8.6638e-05i,-0.00030173+0.00018019i,-7.1279e-05+0.00031168i,0.00021052+0.00053322i,0.0005809+0.00027587i,0.00072885-0.00060184i
-0.00047406+0.0002945i,-0.00039845+0.00074264i,-0.00052097+0.0010721i,-0.00078852-8.5376e-05i,-0.00089572-0.00097607i,-0.000401-0.0006784i,-0.00030686-1.6143e-05i,-0.00061392+0.00073734i,-0.000186+0.00093116i,0.00096203+0.0003869i,0.0010184+0.00026413i,-9.7509e-05+0.00040519i,-0.00042161+0.0006236i,-0.00015154+6.4862e-05i,-3.2543e-05-0.00065956i,-0.00019488-0.0003885i,3.1618e-05-0.00029822i,0.00042225-0.00015095i,0.00078817-8.9817e-06i,4.1458e-05+0.00053987i,-0.00068216+0.00059312i,-9.3032e-05+0.00037634i,0.00010209+0.00073351i
0.0010016-0.00018025i,0.0011291-0.00059046i,0.0011618-2.2889e-05i,0.00019656+0.00051222i,-0.001318+0.00026609i,-0.0014045+0.00057877i,-0.00016074+0.0010439i,6.3116e-05+0.00061136i,-4.9402e-05+0.00092192i,0.00035542+0.0011079i,0.0003324+0.0006015i,-0.00039245+0.00088552i,-0.00065741+0.00070407i,-0.0006479-0.00034869i,-0.00030308-0.00059841i,0.00067864-0.00013144i,0.0011311+0.00054753i,0.00034056+0.00059661i,-0.00042226+0.00029673i,-0.00083161+0.00043604i,-3.5963e-05+0.00038676i,0.00068058+0.00061574i,0.00070149+0.00061204i
-0.0002318+0.00044864i,-0.0005258+5.461e-05i,-0.00092203+9.9024e-06i,-0.00084706-0.00020497i,-8.202e-05+0.0001814i,-0.00043625+0.00080566i,-0.00074234+0.00059799i,-0.00067197+0.00022266i,-0.00095909+0.00050349i,-0.0007818+0.00088829i,-2.4368e-05+0.00059224i,-6.3188e-05-0.00047371i,0.00043442-0.00065214i,0.00056792+0.00017501i,0.00041382+0.00018463i,0.00082523-8.077e-05i,0.00081115-0.00048935i,0.00058382-0.00047459i,0.00015523-0.00065255i,-0.0006348-0.00078043i,-0.00082022-0.0003115i,-0.00064438-0.00045178i,-0.0011446-0.00036319i
-0.00060807-0.00018004i,-0.0011064-0.00060651i,9.6325e-05+0.00028682i,0.0011113+0.0011482i,0.00023528+0.0012659i,-0.0002966+0.00043918i,0.0003071-4.4712e-05i,0.0010891+0.00031763i,0.0012205+0.00070186i,0.000347+4.5598e-07i,-0.00026922-0.00094399i,0.00018311-0.0012023i,0.00099169-0.00092863i,0.00049081+2.0008e-05i,0.00023474+0.00041059i,0.00068685+0.00038473i,0.00052419+0.00052544i,-0.00014095+0.00039692i,-0.00053979+0.00038877i,-0.00080805+0.00070806i,-0.00062042+0.00071676i,7.4461e-05+0.0001808i,0.00033159-0.00019661i
0.00034571+0.0010445i,0.0007485+0.00051924i,0.00021933+0.00075293i,-0.00030145+0.0010718i,-0.00054332+0.00036792i,-8.0027e-05-2.4814e-07i,0.0005991-4.7275e-05i,0.001083+5.8657e-05i,0.0011379+1.9929e-05i,0.0012221-0.00016573i,0.00063319-0.00058602i,-5.0375e-05-0.00077511i,-0.00030595-0.0004921i,-0.0005755-0.00072376i,-0.00029709-0.0010788i,0.00062076-0.0011733i,0.0010901-0.00088018i,0.00085108-9.0474e-05i,-0.0002158+0.00010801i,-0.00052514+0.00037326i,-0.0009778+0.00072638i,-0.0011125+0.00028717i,-0.0002144-4.0709e-05i
0.0005111-0.00071522i,0.00047165+0.00011308i,-0.0003169+0.00040083i,-0.00054975+0.00044485i,-0.0011826+0.00082749i,-0.001458+0.0013823i,-0.00073157+0.0012469i,-5.93e-05+0.00064929i,-0.00064688+0.00015839i,-0.00050326+0.00019872i,0.00037413+0.00057336i,0.00028052+0.00037703i,0.00052232-0.00029755i,0.00043339-0.00044196i,-1.3087e-05-0.00048165i,-0.00049649-0.00023552i,-0.00018912+0.00010233i,0.00075997-4.7618e-05i,0.00038207+0.00030194i,-0.0002622+0.00063364i,-0.00028801+0.00039979i,5.7994e-05-9.4589e-05i,0.00062696-0.00026382i
-0.00066875-0.00017739i,0.00062778-0.00028611i,0.00083703+0.00046011i,-0.00034511+0.00090384i,-0.00058983+0.0007633i,-0.00037417+0.0010075i,0.00029307+0.00074057i,0.00035557-0.00024095i,-0.00033016-6.4954e-05i,0.00015941+0.00079815i,0.00083803+0.00097287i,0.00057077+9.0928e-05i,0.00065504-0.00025691i,0.00051019+0.00070593i,-0.00068165+0.00094131i,-0.00088372-3.7376e-05i,-0.00016121-0.00040599i,4.6461e-05-0.00010364i,-0.00057218+0.0001286i,-0.00053314+0.00018166i,-0.00015893+4.2598e-05i,0.00013803+0.00010225i,-0.00022149+0.00020489i
