0.00023168+0.0010044i,0.0012411+0.00025109i,0.0021163-0.00065013i,0.0020051-0.0016959i,0.0022051-0.0029176i,0.002117-0.0029105i,0.0016822-0.0013155i,0.0015191-0.0006671i,0.0014727-0.0012535i,0.0014831-0.00069001i,0.0009384+6.9197e-05i,0.0003756-0.00018903i,0.00029923-0.00023237i,0.00022553+0.00029724i,0.00025066+0.00047684i,0.00024928+0.00059304i,-0.0002536+0.0007183i,-0.00056678+0.00070834i,-0.00070502+0.00065468i,-0.00072218+0.00042291i,-0.00046463+5.2907e-05i,3.6204e-05-0.00053595i,-0.000402-0.00047717i
0.00076637+0.0006415i,0.00023759+0.00085177i,0.00053593+0.00017731i,0.0015107-0.00080149i,0.0019278-0.0021096i,0.002576-0.0023944i,0.002196-0.0014303i,0.0014524-0.0011552i,0.0013417-0.0012849i,0.00026343-0.0013143i,-0.0012967-0.00093023i,-0.00093342-0.00033432i,1.8367e-06+0.00010918i,3.0381e-05+0.00073845i,-0.0002596+0.0010893i,-0.00019563+0.00010425i,4.2378e-05-0.00024917i,-0.00043615+0.00026559i,-0.00054935+5.3468e-05i,0.00045307-0.00034269i,0.00070468-0.00058158i,-0.00010343-0.0006676i,-7.0111e-05-0.00039992i
-0.00040154+2.0324e-05i,-0.0004487-0.00031788i,-0.00032394-0.00095185i,0.00013131-0.0018725i,0.0006604-0.0026364i,0.0012071-0.0027157i,0.0012729-0.0018241i,0.0013821-0.000874i,0.0011953-0.0008756i,-0.00027229-0.0010597i,-0.0013806-0.0012789i,-0.0014671-0.0012635i,-0.0010142-0.00028672i,1.5091e-05+0.00065129i,0.00090076+0.00054359i,0.0003753-0.00039678i,-0.00042498-0.0007243i,-0.00027161-0.00030035i,-0.00019055-0.00082539i,-0.00022523-0.00018346i,-0.00031557+0.00032397i,-0.0007088-2.4466e-05i,-0.00053283+0.00024856i
-0.0010309+0.0009623i,-0.00057868+0.0017375i,-0.00011139+0.0012864i,0.00014959-0.00017233i,0.001628-0.0015423i,0.0023063-0.0021844i,0.00063704-0.0018024i,-5.7471e-05-0.00063641i,0.00014828-0.0010358i,-0.00085085-0.001904i,-0.0012765-0.0010117i,-0.00096368-8.7297e-05i,-0.00074055-8.3303e-05i,-0.0010564+0.00049331i,-0.00095115+0.00044415i,-0.00080326-0.000458i,-0.0011435-0.00030244i,-0.00068336+0.00023757i,0.00042808+6.4284e-05i,0.00065249-0.00017249i,-7.5577e-05-0.00013565i,-3.215e-05+0.00039453i,0.00027246-0.00010086i
0.00015352-0.00032726i,0.00011463-0.00024079i,0.00081301-0.00074728i,0.0011153-0.0025502i,0.0014575-0.0030824i,0.00080388-0.0019003i,0.00022089-0.00021291i,0.00086588+0.00025574i,0.00052397-0.00012551i,0.00020774-0.00083887i,2.0464e-06-0.00048955i,0.00012022+0.00086603i,0.00029808+0.0010926i,0.00023616+0.00037918i,9.9715e-05-0.00012676i,-0.00017169-0.00022154i,-0.00069549-8.5413e-05i,-0.00028012-0.00056732i,0.00065498-0.00079273i,0.00042219-0.00066913i,0.00066452-0.00084178i,0.00081665-0.00039533i,0.00027388-6.2454e-05i
0.00084096-0.00031028i,0.00067928-0.00030714i,0.00090562+3.0097e-05i,0.0021811-0.00072548i,0.0030696-0.0018461i,0.0021352-0.0021926i,0.00094686-0.0022031i,0.00053522-0.0014258i,0.00029935-0.0001557i,0.00045115-7.1412e-05i,0.0005664-0.00046727i,0.00045885-0.00016674i,-0.00023228+0.00013659i,-0.00061406+0.0003747i,-0.0003381+0.00048391i,0.00025403+0.00016072i,0.0002728+0.00068773i,-0.00060108+0.00079891i,-0.00085388-0.00025084i,-0.00018711-0.00075609i,0.00025592-0.00019192i,0.00035076+7.2009e-05i,0.00060082-0.00048483i
-0.0012665-0.0016443i,-0.00046208-0.0021637i,-0.00078246-0.0017639i,-0.00099182-0.0015289i,-0.00046677-0.0010733i,0.00071564-0.00092536i,0.000827-0.0010417i,0.00019473-0.0012245i,-0.00052848-0.0014422i,-0.0011642-0.0010791i,-0.0008036-0.0006397i,-0.00054108-0.00052196i,-0.00082769-0.00033091i,-0.00092964-0.00046948i,-0.00024662-0.0010895i,-0.00014985-0.00091009i,-0.00091579+0.00022206i,-0.00086365+0.00028291i,-0.00056728+0.00031281i,-0.00056673+0.00056006i,-0.00045961-0.00020717i,0.00046399-0.00037122i,0.00078521-0.00043158i
0.001719-0.0014577i,0.0012909-0.00087855i,0.0012254-0.00027496i,0.0010155-0.0010019i,0.0013679-0.0021846i,0.0014329-0.0014734i,0.0016864-0.00035779i,0.0018182-0.0003183i,0.0015607-0.00065219i,0.00085336-0.00086408i,-6.6346e-06-0.0010348i,-0.00048551-0.00070884i,-0.0002869-0.00011276i,0.00027291-7.7063e-05i,0.00023642+0.0001828i,5.1563e-05-6.7873e-05i,-0.00035594-0.00055595i,-0.00064445-7.226e-05i,0.00025563+0.00091153i,0.00051967+0.001711i,6.2043e-05+0.0012996i,0.00034165+0.0007175i,-0.0006929+0.00056592i
0.00071294+0.0015569i,0.00059941+0.00082623i,0.00050519+0.00029696i,0.0016626-0.0006048i,0.0018723-0.0012569i,0.0013585-0.0017122i,0.0011815-0.0015376i,0.00087649-0.00095289i,0.00027077-0.00028177i,-0.00022436-0.00041608i,-0.00046579-0.00067637i,-0.00015309-0.00037241i,0.000475-0.00019142i,0.00061506+3.7838e-05i,0.00034468-1.2807e-05i,-0.00053087-0.00036913i,-0.00071891-0.00064645i,-0.00022611+1.6035e-06i,-0.00022396+0.0007174i,0.00043031+0.00014016i,0.00091379-0.00076552i,2.9387e-05-0.00099098i,-0.0012477-0.00090787i
0.00086434+0.00034373i,0.0016472+9.2932e-05i,0.0018611-0.0010477i,0.0027901-0.0015311i,0.0033436-0.0019735i,0.0025157-0.0016864i,0.0016334-0.00080187i,0.0013229-0.00053109i,0.00067954-0.0012909i,0.00030021-0.0015799i,0.00039599-0.00069528i,4.1089e-05-0.00049911i,-0.00063514-0.00031766i,-0.00042593+0.00030533i,-3.8e-05-0.00012903i,-0.0004262-0.00038186i,-0.00039532-0.00011526i,-4.5077e-05-0.00021308i,0.00020981+6.2995e-05i,0.00031436+6.9022e-05i,0.00036413+9.6628e-05i,0.00050553+0.00051604i,0.00052736+0.00025457i
-0.00038935+0.00049386i,-0.00011197+0.00014075i,-0.00094627+0.00022187i,2.3581e-05-0.00031858i,0.0019266-0.0004984i,0.0026684-0.00080622i,0.0023479-0.0013189i,0.0012511-0.0010538i,-0.00033135-0.00093765i,-0.0018361-0.00087368i,-0.0018993-0.00038942i,-0.00012122+0.00040662i,0.0011485+0.00061004i,0.0006112+0.00022262i,0.00061344-0.0002182i,0.00053767-0.00043189i,-0.00013552+0.00020886i,6.6288e-05+0.00036933i,0.00028082-0.00030965i,8.8933e-05-0.00032013i,2.8069e-05-0.00047983i,-0.0002024-0.00079583i,3.4513e-05-0.0011596i
-0.00076016-0.00055392i,-0.00015281-0.0005574i,0.00044027+3.5928e-05i,0.001703-6.351e-05i,0.0027364-0.00054601i,0.0023032-0.0010763i,0.0018813-0.0011973i,0.0020226-0.00099494i,0.0016178-0.0010064i,0.00065942-3.1841e-06i,-0.00033499+0.0012717i,-0.0006971+0.00099398i,-0.00052075-0.0001961i,-0.00029837-8.753e-05i,-0.00033816+0.00048051i,-0.00018456+0.00045952i,0.00027168-0.00026483i,-0.00011383-0.00038084i,-0.00069857-0.00028359i,-0.00071857-0.00044728i,-0.00087744-0.00024026i,-0.0010565-0.00026458i,-0.00045895-3.3122e-05i
0.0014061-0.00048916i,0.00060031-0.00026314i,0.00015478-0.0013054i,0.00048637-0.0024239i,0.00048167-0.0035812i,0.00074914-0.0028491i,0.0013738-0.0011668i,0.0011287-0.00046301i,0.00089161-0.0010065i,0.00042769-0.0010376i,-0.00071495-0.00060301i,-0.0009942-0.00031707i,-0.00013781-0.00040355i,0.00016509-0.00017533i,0.00037125-0.00041366i,0.00037164-0.00088217i,4.6019e-05-0.0011576i,-7.7497e-05-0.0012181i,6.7327e-05-0.00045192i,-0.00045727+0.0004081i,-0.00080487+0.00046998i,-0.00098973+0.00044451i,-0.0010699+0.00060026i
0.001921-0.0019986i,0.0021831-0.0019607i,0.0017152-0.0023287i,0.00096761-0.0031195i,0.00073535-0.0026918i,0.0010647-0.0013356i,0.00073415-0.00034772i,0.00022794-0.00092681i,9.1602e-05-0.0013086i,0.00043303-0.00096405i,0.00043721-6.0618e-05i,-0.00062905-7.7376e-05i,-0.00087605-0.00027289i,-0.0008632+3.0683e-06i,-0.00037823-0.00088709i,0.00039899-0.0013009i,7.7393e-05-0.0010575i,-8.5495e-05-0.00078262i,-0.00084231-0.00062577i,-0.0009383-0.00061125i,-8.268e-05-0.001027i,-3.4964e-05-0.00078563i,0.00030115-0.0004784i
