0.0023603+0.00020516i,0.0024871-0.0015475i,0.0016996-0.001781i,4.9086e-06-0.00092663i,-0.001197+0.00051876i,-0.0009441+0.0023581i,-0.00060862+0.0029217i,-0.00079698+0.0018891i,-2.9442e-05+0.0015069i,0.0012088+0.0010789i,0.00054595+0.00029708i,-0.00013136+7.7856e-05i,-0.00013438+0.00018836i,-0.00028682+0.0013167i,-6.6226e-06+0.0015417i,0.00034269+0.00046419i,0.00028055-0.00018658i,0.00063066-1.8989e-05i,0.00097349-5.3748e-05i,0.00074966+0.0001384i,0.00044123+0.00014507i,0.00013672+2.7659e-05i,3.8297e-05-6.3083e-05i
-5.9461e-05-0.00048394i,-0.0015003-0.00042855i,-0.0023613-0.0012782i,-0.0020175-0.00073791i,-0.00084817+0.00082803i,0.00018107+0.0015591i,0.00068143+0.0013541i,0.00063732+0.0003047i,-0.00033298+0.00015249i,-0.00092946+0.00055041i,-0.00032475+0.00024763i,-0.00043994+0.00089057i,-0.00014579+0.0011786i,0.00090225+0.00057993i,0.00068543+0.00012381i,-0.00023859+0.00019396i,-0.00045296+0.00031637i,-2.1219e-05-3.1036e-06i,0.00080119-0.00016052i,0.00053069-0.00019135i,0.00019391+0.00021104i,6.739e-05+0.0003175i,0.00036279-2.3815e-05i
-0.00071359-5.5722e-05i,0.00030774-0.00070634i,0.00050322-0.00082948i,0.00026369-0.00040427i,-0.000639+0.00013555i,-0.0010359+0.00089533i,6.5073e-05+0.0013164i,5.0741e-05+0.0015077i,0.00025115+0.0015119i,-7.8826e-05+0.00027178i,-0.00038989-0.00071271i,0.00058926-0.00063527i,0.0013258-0.00029148i,0.00077618+0.00067261i,-9.1243e-05+0.0010477i,-0.00016451+0.00039091i,9.0806e-05+0.00012261i,6.9559e-05+0.00015649i,0.00055646+0.00013152i,0.0010856-0.00043302i,0.00066143-0.0010387i,0.00036872-0.0010968i,0.00053898-0.00020471i
0.00027967-0.0015911i,-0.00074193-0.001552i,-0.00071287-0.0011788i,0.00039685-0.0015019i,-0.00020867-0.0012765i,-0.0011015-0.0009194i,-0.00069193-0.00099506i,-6.8364e-05-7.7529e-05i,-9.6133e-05+3.101e-05i,-0.00022304+6.3419e-05i,-0.00037828+0.0010872i,-0.0004732+0.00061477i,7.1332e-05-0.00028089i,0.0001968+2.7464e-05i,-0.00016177-0.00028335i,-1.3802e-05-0.00022803i,0.00031218+0.0009173i,-2.1493e-06+0.0013758i,-1.4809e-05+0.00098285i,2.7697e-05+0.00042047i,0.00042131+5.6529e-05i,0.00092353-8.7771e-06i,0.00097686+0.00026587i
0.00037714-6.0046e-05i,0.00090252-0.00014801i,0.0015477-0.00036035i,0.0010809-0.00076016i,-0.0005172-0.00035995i,-0.0010419-4.673e-05i,0.0004562+0.00043819i,0.0012057+0.00072994i,0.00055483+0.00083736i,0.00032988+0.00080723i,0.000263+0.00071735i,-0.00037881+0.00068001i,-0.00013291+0.00071866i,0.00051485+0.00027346i,0.00081365-0.00036688i,0.00041541-0.00052761i,-0.00068658-0.00019701i,-0.0010167-0.00054944i,-0.00019001-0.00023086i,-0.0004473+0.0004645i,-0.00039249+9.9732e-05i,-0.00029002+0.00031319i,-0.00058342+0.00083614i
0.0004255-0.0015088i,0.00036004-0.0012451i,-0.00021513-0.0013689i,-0.00087232-0.00121i,-0.00081951+0.00040078i,0.00084232+0.0013025i,0.0017514+0.00093544i,0.0011452+0.00081301i,-8.1705e-05+0.00069911i,-0.00046077+0.00043678i,-0.00028775+0.00029933i,-2.9716e-05+0.00041012i,8.0675e-05+0.00074331i,5.6912e-05+0.00093358i,7.7733e-05+0.0010552i,-0.0002957+0.0003891i,-0.00055-0.00035492i,-0.00051861-7.6387e-06i,-0.00046476+0.00084015i,-0.00076542+0.00027188i,-0.00086444-0.0001982i,-0.00073411+8.4752e-07i,-0.00077062-0.00013221i
0.00010702+0.00087053i,0.00012563-0.00016548i,-0.00011896-0.001252i,0.00013361-0.00082398i,0.00061018+7.2663e-05i,0.0006238+0.00086528i,-0.00028701+0.0012848i,-3.4716e-05+0.00097081i,0.00063873+2.4241e-05i,0.00021093-0.00039402i,-0.00027368-0.00050256i,-6.8304e-05+0.00023675i,7.711e-05+0.00077454i,-0.00026701+0.00012705i,-0.00069235+0.00021025i,-0.0015342+0.0002755i,-0.0016809-8.4405e-05i,-0.00080294-0.00018153i,0.00038251+5.1968e-05i,-2.2149e-06+0.00033737i,-0.00042627+0.00097678i,0.00026486+0.00096835i,0.00040483+0.00082126i
-0.0015454-0.001382i,-0.0029113-0.0011703i,-0.0034102-4.9335e-05i,-0.0022086+0.0010158i,-0.0010327+0.0010144i,-0.00044831+0.0010407i,-0.00022697+0.0013233i,-0.00031737+0.00077218i,9.0718e-05+0.00054914i,-6.9084e-05+0.0014217i,-0.00023883+0.0012074i,-0.00030171+0.00038582i,-0.00013949+3.8341e-05i,0.00059104+7.3697e-05i,0.00054165+0.00083886i,6.602e-05+0.00090673i,-0.00032855+0.00032529i,-0.0003362+9.0531e-05i,0.00029064-0.00055126i,0.00034564-0.00061928i,-0.00028035-0.0010528i,-0.0006396-0.0014135i,-0.00023215-0.00085734i
0.0025477+0.00038979i,0.0037207-0.00023289i,0.0037683-0.00087315i,0.0019589-0.0017641i,0.0011697-0.0017062i,0.00064386-3.9698e-05i,0.00015978+0.0013533i,-0.00021027+0.0015066i,-0.00086943+0.0014052i,-0.00078239+0.00068359i,-2.8743e-05+0.00022429i,0.00040643+0.00054961i,-0.0003137+0.0007551i,-0.0007742+0.0001399i,-0.00073-0.0004954i,-0.00042681-0.00065954i,-0.00017349-0.00058988i,0.00034624-0.00039657i,0.00043163-0.00022105i,0.00040147-0.00042667i,0.0002255-0.00025551i,-8.3279e-05-0.00045192i,1.3289e-05-0.00092036i
0.00031953+0.00071323i,0.00083591+0.00032078i,0.0017577+0.00029192i,0.0017781-0.00029083i,0.00078086-0.0010104i,-0.00037642+8.4922e-05i,-0.00070308+0.0010947i,-0.00077498+0.00079908i,-0.00075376+0.00025447i,4.8292e-06-0.0002262i,0.00044297-0.00081795i,0.00057105-0.00049756i,0.00034907+0.00043624i,-0.00017803+0.00023941i,-0.0001012+0.00060004i,-6.5642e-05+0.0006646i,-0.0001845-0.00023627i,0.00028913+7.3197e-05i,0.00041212+0.00067321i,-0.00020238+0.00067281i,-0.00076078+0.00043255i,-0.0011036+0.00054226i,-0.00090333+0.00086053i
0.001119+0.0011804i,0.001532+0.00072813i,0.0021627-0.00023544i,0.002171-4.3224e-05i,0.0016119+0.0005101i,0.0012042-1.2875e-05i,0.001036+0.00023413i,0.00026737+0.00085047i,-0.0002331+2.0778e-05i,0.0010751-0.00050587i,0.0017055-0.00027614i,0.00072738-0.0010294i,-0.00013187-0.0012561i,-0.0001334+5.7652e-05i,3.8978e-05-0.00023337i,0.00016558-0.0010627i,0.00024081-0.00088769i,0.00010111-0.00048334i,-0.00059184+0.00013369i,-3.5396e-05+0.00026254i,0.00065726+0.00035733i,-8.2628e-05+7.4408e-05i,-0.00053046-0.00017067i
