-0.0030849-0.00039319i,-0.0028007+0.0013138i,-0.0031572+0.0023121i,-0.0026353+0.0023934i,-0.00046298+0.0024182i,0.00042377+0.0023939i,9.4292e-05+0.0016738i,0.00091493+0.00098372i,0.00155+0.0014944i,0.0018496+0.00167i,0.0017317+0.00036501i,0.001111-0.0011663i,0.00015752-0.0014151i,-0.00028531-0.00079207i,-0.00024876-0.00016944i,-2.6143e-05+0.00051075i,0.00054672+0.0007502i,0.00056412+0.00045573i,0.00075597+6.295e-05i,0.0011004-0.00017817i,0.0011572-0.00023689i,0.00063116-0.00039573i,-3.2486e-05-0.00022777i
0.00052012-0.0016327i,0.00039626-0.0021356i,0.00083534-0.0012665i,0.0008788-0.0017346i,0.001277-0.0023944i,0.00077092-0.0015657i,0.00057725-0.0010599i,0.0012798-0.0013601i,0.001078-0.0021557i,-0.00019852-0.0016207i,-0.0010245-0.0011395i,-0.00088245-0.0007529i,-0.00054831+2.8372e-06i,1.3725e-05-0.0001338i,0.00068239-0.00031317i,0.00045107+0.00017359i,0.00013097+0.00095617i,0.00029028+0.0011248i,0.00095367+0.00090831i,0.00092949+0.0010137i,0.00066584+0.00068732i,0.00036969-2.5535e-05i,-0.00059905-0.00017569i
0.00016984-0.0010531i,0.00049821-0.00034373i,-0.00025788+0.00027158i,-0.00084678+0.00069586i,-0.00048103-0.00045958i,-9.0498e-05-0.0012654i,0.0011557-0.00052492i,0.00087031-0.00030212i,-9.9901e-05-0.00059387i,-0.00014337-0.00059126i,-3.7827e-05-0.00081454i,-0.0002087-0.000643i,-0.00073004-0.00035781i,-0.00038448+7.0345e-05i,4.773e-05+0.00023377i,0.00032524-0.00046903i,0.00029355-0.00043619i,0.00023886+0.00024671i,0.00037208+0.00091714i,-8.8736e-05+0.0010148i,-0.00043449-4.1679e-05i,-6.8203e-05-0.00020454i,0.00010363+0.00051097i
5.0939e-05-9.516e-05i,-0.0007493-5.765e-05i,-8.5458e-05-0.00056057i,0.00069386+0.0002085i,0.0009304+0.00039674i,0.0012811-0.00019344i,0.00051166-0.00016563i,-0.00054888-0.00038431i,-0.00078617-0.0001844i,9.5538e-06+0.0005845i,0.00062701-7.597e-05i,0.00030563-0.0006809i,-0.00014357-0.00045057i,-0.00016311-0.00068076i,-9.661e-05-0.00041393i,0.00035719-0.00010058i,0.00020442+1.7736e-05i,-7.4471e-05-0.00016574i,1.6279e-05+9.2876e-05i,-0.00040368+4.2736e-05i,-0.00065577-0.00023992i,-0.00026586+4.6912e-05i,-0.00021001-0.00057255i
-0.0012355-3.9064e-05i,1.297e-05+0.0004493i,0.00075864+0.00094114i,0.00038039+0.0011454i,3.9655e-06+0.0010131i,0.00080532+0.00033259i,0.0011249-0.00092242i,-0.00010273-0.00095004i,-0.00090962-0.00036991i,-0.00087764-0.0002591i,-0.00028922-0.00043476i,0.00027624-0.00054708i,0.00022512-0.00019705i,-0.00052816+0.00019728i,-0.00082591+0.00027253i,8.9256e-06+0.00053488i,0.00017142+0.00021855i,-3.5785e-05+0.00024341i,0.00046416+0.00060471i,0.00018854+0.00047871i,-0.00027644+0.00038107i,-1.7732e-07+0.00063062i,1.9327e-06+0.00038176i
0.00014505+0.0025998i,0.00031511+0.0022184i,0.00119+0.0018012i,0.0022445+0.00034747i,0.001816-0.0014577i,0.00035076-0.0014405i,-3.5952e-05-0.00043685i,0.00073391+0.00039444i,0.0010221+0.00091186i,0.00042085+0.00087246i,0.00045399+5.0813e-06i,0.0001019-0.0010538i,-0.0010622-0.0011594i,-0.0006477-0.00065247i,0.00048173-0.00015022i,0.00070338-0.00017692i,0.00038797-0.00036219i,0.00015746+7.1727e-05i,-6.3576e-05+0.00060694i,-0.0004655+0.00085898i,0.00014056+0.00069918i,0.00044479+0.00063929i,-0.00014548+0.00025882i
-0.00070247+0.00085431i,-0.00039714-5.5193e-05i,0.00053434-0.00058029i,0.0023843-0.0007055i,0.002557-0.00096642i,0.00096101-0.00052798i,0.00030335-0.0001848i,0.000776+0.00025906i,0.00041885+0.00064524i,-0.00019695+0.00013202i,-0.00033394-0.00028745i,-0.00080072-0.00021796i,-0.00072636+0.00031273i,-0.00033244+0.00073421i,0.00024426+0.00044254i,0.00095515+0.00011193i,0.0009214-0.0001336i,0.00058215-0.00026517i,-4.6842e-05-0.00044583i,0.00025029-0.00023137i,0.00041699-0.00026625i,-0.0001801-0.00097828i,1.4443e-05-0.00036343i
-0.0015411+8.903e-05i,-0.00102+1.5358e-05i,-0.00056286-0.00048433i,-0.0004521-0.00060011i,2.7748e-05+5.6669e-05i,0.00076005+0.00026843i,0.0014323-0.00052451i,0.00076735-0.0011709i,-0.0005758-0.0010006i,-0.00085606-0.00053098i,-0.00050893-0.00054448i,-0.00010993-0.00058351i,-0.00056586-0.00077821i,-0.0008054-7.9766e-06i,-0.00039752+0.00075568i,-0.00043182+0.00034296i,-7.1125e-05+0.00026868i,0.00049671+0.00035767i,0.00038521+2.3714e-05i,6.2106e-05-4.9414e-05i,0.00023705-9.302e-05i,0.00082943+0.00022588i,0.0011366+9.8824e-05i
-0.0016898-0.0015028i,-0.0025108-2.3291e-05i,-0.002518+0.0014173i,-0.0015046+0.0016551i,-0.00052803+0.00095769i,-0.00029717-0.00049216i,0.00059385-0.0014259i,0.0010796-0.0012984i,0.00032671-0.0008384i,-0.00062876-9.789e-05i,-0.00098154+0.00013461i,-0.00051169-0.00030868i,4.7514e-05-0.0012656i,0.00018317-0.0013327i,0.00062996+7.6363e-05i,0.00057109+0.0008683i,-0.0007703+0.0010747i,-0.0010268+0.0010339i,0.00031801+0.0007576i,0.00085831+0.00032305i,0.00049336+0.00043222i,0.00037188+0.00027581i,0.00025391-0.00038742i
-0.0011471-0.00012965i,-0.00059019+0.00074143i,-0.00011883+0.0016065i,9.3482e-07+0.0015188i,0.00031863+0.0011682i,0.001259+6.8743e-05i,0.0013194-0.0013415i,0.00042775-0.0016313i,-0.00036231-0.000827i,-0.00029202+0.00027231i,-0.00028326+0.00072916i,3.9066e-06+0.00072979i,0.00034286-0.00029621i,-0.00027779-0.0009368i,-0.00070977-0.00050697i,-0.00092635-0.00029387i,-0.0010238-3.8788e-05i,-0.0010675+1.02e-05i,-0.00070804-0.00022275i,-0.00015687-9.8205e-05i,0.0005402+6.8648e-05i,0.0010137+0.00013038i,0.0010762-0.00014081i
0.0014911-0.0002313i,0.0018273+0.00027275i,0.001454+0.00030007i,0.00047705-0.00038899i,-0.0012888-0.00046189i,-0.0011606+0.00018528i,0.00059896+0.00044474i,0.00086436+0.00015068i,-6.5383e-05-0.00085084i,-0.00029882-0.0010933i,-6.9882e-05-0.00073834i,-0.00019016-0.00027906i,-0.00068718+0.00045971i,-0.00052289+0.00049953i,-0.00024746+0.00012027i,-5.4201e-05-0.00012196i,0.00074921+7.4122e-05i,1.7502e-06+0.00021927i,-0.0012175-0.0005096i,-0.00047315-0.0004403i,0.00082188-5.4971e-05i,0.0010129+0.00029792i,0.00015016+0.00034743i
0.00060842+0.00018041i,0.00069864+0.00024952i,0.0010421-0.00024753i,0.0004325-0.00093268i,-7.6156e-05-0.0013707i,0.00051072-0.00087975i,0.0019308-0.00017581i,0.0020536-4.473e-05i,0.00083418-0.00028331i,0.00041457-0.00073865i,0.00056655-0.00084678i,0.00049927-0.00028138i,0.00020993+0.00028045i,0.00025001+0.00048222i,0.00075672+0.00096008i,0.0013408+0.00077138i,0.00063541-3.0467e-05i,0.00024533-0.00029122i,0.00051417+1.8622e-05i,-0.00032835+0.00034187i,-0.00068607+0.0010821i,-0.00069503+0.00075716i,-0.00024933-0.00035201i
-0.00073196-0.00072237i,-0.00019809-0.002182i,-0.0010077-0.0016084i,-0.0012904-0.00065019i,0.00018765+0.00069015i,0.00082866+0.00048251i,0.00023625-0.00067695i,7.4215e-05-0.00091448i,-0.00018678-0.00046405i,0.00018213+0.00056163i,0.00020769+0.0014496i,0.00011251+0.0013828i,-0.00020734+0.00043351i,-0.00012818+0.00013504i,0.00033777+0.00061526i,0.00047542+0.00043232i,0.00032613-0.00031312i,0.00021909+3.7157e-05i,0.00065081+0.00043075i,0.00070173+0.0002608i,-2.1043e-05+0.00024561i,-0.00020901-0.00029759i,-0.00014959-0.00059439i
