-0.0012541+0.00064764i,-0.0005798-0.00046715i,-0.00066035-0.00092991i,-0.0013247+0.00023688i,-0.0016126+0.0014233i,-0.0010332+0.0016594i,-0.00082423+0.0021473i,-0.00075119+0.0022566i,0.00014228+0.0017477i,0.0011687+0.00093166i,0.0014688+0.00030796i,0.0011915+0.00019993i,0.00087264+6.3563e-05i,0.0002681-0.00012604i,1.5612e-05-0.00023143i,0.00034831-0.00013668i,0.00019832+0.00031472i,-0.00024854+0.00078584i,-0.00032603+0.00077223i,-0.00042433+0.00018815i,-0.00036791+0.00025006i,-0.00019417+0.00066337i,-0.00012766+0.0011685i
4.4777e-05+0.001237i,0.00040551+0.0012179i,0.00055985+0.0013708i,9.6283e-05+0.0013536i,-0.00030677+0.0011609i,-0.00019151+0.00068675i,-0.0011407+7.5898e-05i,-0.0015459+0.00077199i,-0.00088396+0.0018474i,5.2149e-05+0.0013525i,0.00061031+0.00047031i,0.00056488+0.00044171i,-0.00013301+0.00013409i,-0.00021761-0.00014476i,0.00047841+9.5213e-05i,0.00032817-6.6963e-05i,0.00031473-0.00024487i,0.00031433-0.00018211i,1.3595e-05+3.4941e-05i,-0.00017466-7.5026e-05i,-0.00023562-0.00039961i,-7.92e-05-0.00013962i,-0.00021967-6.9538e-05i
0.00010481+0.0019575i,0.00053217+0.0010932i,0.00057233+0.0005344i,0.00039002+0.0014733i,0.00023352+0.0012843i,-0.00019873+0.0004934i,-0.00047423+9.9435e-06i,-0.00087231-6.6358e-05i,-0.001178+0.00055989i,-0.00041095+0.000736i,0.0003242+0.00045737i,0.00047413+0.00050838i,0.00013201+0.00020055i,-0.00037521-0.00011593i,-0.00042258-0.00028666i,-0.0006236-0.00024846i,-0.0014976-0.0002293i,-0.0011787-0.00089121i,-0.00066024-0.00066183i,-0.00047564+7.1903e-05i,5.8776e-05+0.00042717i,-2.2623e-05+0.00036136i,-0.00024598+9.9402e-05i
0.00071971+0.0010877i,0.0013641+0.001371i,0.0022266+0.00051627i,0.0018165-0.00054347i,0.00027662-0.00091575i,-0.00075061-0.00071295i,-0.0013944-0.0010133i,-0.0010781-0.00022494i,-5.3042e-06+0.00095772i,0.00027814+0.0005916i,0.00013193-0.00025185i,-0.00056182-0.00099458i,-0.0011634-0.0011807i,-0.0010684-1.0128e-06i,-0.00085355+0.00037331i,-0.00069014-0.00049216i,-0.0002112-0.00017587i,0.00032061+5.5252e-05i,0.00054856-0.00014312i,0.00081995-0.00038076i,0.00036948-0.00062273i,-0.00038149-0.00077028i,-0.0003831-0.00067751i
0.00016873-0.0027783i,0.00021958-0.001823i,-0.00013369-0.0016122i,-0.0008391-0.0015854i,-0.0011032-0.00053551i,-9.8305e-05+0.00054913i,0.00041127+0.00080476i,-0.00016789+0.00034642i,-0.00021847-0.00019483i,-0.00016337-0.00025574i,-0.00021745+5.6646e-05i,0.00043358+0.00062844i,0.00054142+0.0006785i,7.3573e-05+0.00029182i,0.0011752+0.00041887i,0.0017741+0.00058786i,0.00072378+1.4597e-05i,0.00062301+2.7079e-05i,0.0012129+0.00024706i,0.00086777+6.9989e-05i,-0.00037715+0.00065437i,-0.00093168+0.00056958i,-0.00014432-5.2851e-05i
7.9394e-05-2.3314e-05i,0.00096748+0.00015665i,0.0015761+0.00057739i,0.00020883+0.0002717i,-0.001629+0.00016904i,-0.0022237-0.0001727i,-0.0014832-0.00073447i,-0.00059415+0.00037422i,0.00023+0.00090777i,0.00052216+0.00016618i,0.00013892+8.9449e-05i,0.00033683+0.00029347i,0.0011987-0.00020548i,0.0017148-0.00018387i,0.00044906+0.0010082i,-0.00072064+0.00096293i,-0.00016998-2.6645e-05i,0.00022906+0.00022097i,-6.1711e-05+0.00021843i,-2.3449e-05+0.00035083i,-0.00031455+0.00011813i,-0.00023078-0.00013612i,-0.00017126+8.4217e-05i
-0.0014327+0.0006845i,-0.0013119+0.0011105i,0.00044613+0.0019205i,0.0012479+0.0015677i,0.00059628+0.00078477i,0.0004119+0.0010293i,-0.00014083+0.00040963i,-0.00080258-0.00065868i,-0.0002486-0.00037788i,0.00047525+0.00045439i,0.00062144+0.00080364i,-4.1718e-05-0.00024167i,-0.00043468-0.0011727i,-8.894e-05-0.00082992i,-5.5145e-05-0.00029817i,0.00019388-0.00012359i,0.00034365+0.00032418i,-0.00016727+0.0006116i,-0.0002321+0.00031447i,-0.00025157+0.00018337i,-6.4053e-06+0.00027968i,0.00066203+0.00010961i,0.00092621+0.00060342i
-0.00065397-0.00052955i,-0.0013066-0.00062506i,-0.0014033-0.00025646i,-0.0011735+0.00020104i,-0.00010257+0.00036718i,7.4358e-05+0.00052446i,-0.00057489+0.00033273i,-0.00095771+3.047e-05i,-0.00059915+0.00083896i,-0.00048323+0.0017221i,-0.00093845+0.00077236i,-0.00078253-0.00030947i,-0.00079342-0.00062671i,-0.00047582-3.2821e-05i,-0.00015152+0.0010489i,-0.00052247+0.0010855i,4.9459e-05+0.00085729i,0.00073853+0.00060169i,0.0010068-7.4468e-05i,0.00069241-0.00091003i,0.00025672-0.00082616i,0.00019429-0.00050052i,0.00027742-0.00026418i
9.9347e-05-0.0026986i,-0.00035086-0.0018907i,-0.0011455-0.0016658i,-0.0017961-0.0013403i,-0.0015295-0.00050463i,-0.00053869+0.0002588i,0.00047729+0.0006199i,0.00053009+0.0001141i,-0.00035853-0.00030792i,-0.0007615+9.5305e-05i,-0.00053234+0.0006688i,-0.0002812+0.00061016i,8.1573e-05+0.0003127i,0.00046997+0.00061395i,0.00057917+0.00091422i,0.00087627+0.00014448i,0.00034332-0.00044125i,-0.00024217-0.00023516i,7.4331e-05-0.00011165i,-0.00036734-0.00015585i,-0.0010392+0.00013307i,-0.001012+0.00056685i,-0.0010006+0.00021397i
-0.00049913-0.00035866i,-0.00037841-0.00010206i,-0.00043924+0.00053234i,0.00030186+0.00062701i,-9.7638e-05+0.0001363i,-0.0013323-0.00030686i,-0.0014487-0.00015184i,-0.0015939+2.2674e-05i,-0.0013844-0.00012005i,-0.00015638+9.7025e-05i,0.00086613+0.00076251i,0.00058385+0.0010781i,0.00035571+0.00082554i,0.00092822+0.00080782i,0.0013002+0.00055366i,0.00094844-0.00014543i,0.00032923-0.00016616i,-0.00079242+0.00070942i,-0.0010788+0.0011653i,0.00042432+0.00025548i,0.0013346-3.2436e-05i,0.0007742+0.00057279i,2.5078e-05+0.0003932i
-8.0476e-05-8.1979e-05i,0.0012865+0.00063927i,0.0026609+0.0016528i,0.0026544+0.0014617i,0.00191+0.0011866i,0.00055564+0.001444i,-0.00064057+0.0013387i,-0.0007055+0.00084935i,0.0002163+0.00081935i,0.00053704+0.00063942i,4.5519e-05-2.7452e-05i,-0.00013681-0.00022195i,-0.00061552+0.0003879i,-0.00062798+0.00068838i,-0.00069664-8.9962e-05i,-0.0010829-0.00051275i,-0.00038817+0.00010514i,5.536e-05+0.00061717i,-6.9706e-05+0.0010319i,-0.00046374+0.000857i,-0.00068163+0.00073775i,-0.00053487+0.00064069i,-0.0001006+0.00011432i
0.001475+0.0013852i,0.0019768+0.00057783i,0.0013819-0.00092398i,-0.00016487-0.0011919i,-0.00065354-0.00099836i,-0.0011868-0.0007392i,-0.00093961-0.00035265i,-0.00076469+0.00023441i,-0.00076534+3.0203e-05i,-8.5715e-06-0.00045315i,0.00011766-0.00055999i,-0.00050373-0.00011347i,-0.0010866+6.3243e-07i,-0.00087197+0.00017089i,4.8592e-05-7.7638e-05i,0.00053949-1.6633e-05i,0.00094598+0.00072441i,0.00086411+0.00057811i,0.00022302+0.00091239i,-0.00027844+0.00093588i,-0.00010282-0.00020837i,0.00043632-0.00058647i,0.00035425-0.00055243i
-0.00038649+0.00016205i,-0.00069275+0.0012502i,0.00017159+0.0013055i,0.00062111+0.00084026i,8.5132e-05+0.00027782i,-0.00063876-0.00018131i,-0.0011597-0.00050553i,-0.00099923+0.00032844i,-0.0012412+0.00075128i,-0.001573+0.00080261i,-0.0010452+0.00075799i,-0.00013709-0.00015868i,0.00067453-0.000759i,-3.2013e-05-0.0010898i,-0.00054608-0.00069231i,-0.00024965-0.00024567i,-8.2659e-05-0.0001589i,0.00042127-0.00031103i,0.00054138-0.00076556i,0.00026423-0.00073401i,-0.00082325-0.00068424i,-0.0010545-0.00028675i,-0.00047282+0.00031782i
-0.0019227-0.00070268i,-0.001235-3.1366e-05i,-0.0010779+0.0015722i,-0.00085402+0.0025742i,-0.00072776+0.00239i,0.00021967+0.00082748i,0.00037087+0.00029913i,-0.00031882+0.00084247i,-0.00017053+0.0010438i,8.8244e-05+0.00097762i,0.00030475+0.00068775i,0.0005589+0.00043264i,-5.0125e-05-0.00020388i,3.1871e-05-0.00099297i,0.00073436-0.00040379i,0.00078592+0.00020932i,0.00027842+0.00042218i,-0.00047133+0.00038809i,-0.00016444+0.00069497i,0.00024929+0.00070525i,6.3011e-05-0.00065826i,-0.00018514-0.00092584i,-0.00075577-0.00050562i
-0.00013424-8.0926e-05i,-0.00041018+0.00029628i,7.9401e-05+0.0023736i,0.00054176+0.0030958i,-0.00010196+0.0016125i,-0.00059418+0.00047619i,-0.0003166+0.00028666i,7.227e-05+0.00017217i,0.00012722+0.00064412i,0.00012548+0.00077678i,0.00047059+0.00097939i,0.00084271-1.0466e-05i,0.0010583-0.00034248i,0.00027453+4.5022e-06i,0.00048499-0.00023102i,0.0013496+1.4329e-05i,0.0007546+0.00026497i,-0.00025454-1.9837e-05i,-7.4624e-05-0.00019363i,0.00015103-0.00027602i,0.00019227-0.00058506i,0.00066868-0.00051887i,-0.00052927+0.00037506i
0.00097395+0.00093139i,0.0012747-3.4337e-05i,0.00057074-0.0011355i,0.00082248-0.0012867i,0.000945-0.0012894i,-1.5937e-05-0.00057371i,-0.0001928+0.00053748i,7.6117e-05+0.00079178i,0.00064751+0.0010313i,0.00095978+0.00069967i,0.0007197-3.7877e-05i,7.2687e-05-0.00055345i,-0.00068515-0.00084155i,-0.00097581-0.00018164i,-0.0010667+0.00033537i,-0.00052179+0.00031897i,0.00055831+0.00042695i,0.00068327+0.00029089i,0.00020397-1.9809e-05i,0.00031801-7.6293e-05i,0.00035387-5.9454e-05i,1.4005e-05-0.0002982i,-1.4581e-05-0.00036289i
-0.00010167+0.00069593i,-0.00057375+0.0015391i,-0.0012963+0.0016671i,-0.0014565+0.00079078i,-0.0011552+0.00034589i,-0.0012462+0.00032158i,-0.0017352-7.9809e-05i,-0.0014407+0.00012583i,-0.001064+0.00061808i,-0.00088634+0.00030039i,-7.4561e-05+6.8223e-05i,-2.3884e-05-7.1301e-05i,-0.00044216-0.00041581i,0.00018909-4.7408e-05i,0.00091416+0.00075169i,0.00078914+0.00041385i,0.00012594-0.0001101i,-0.00071324+0.00013234i,-0.00059087+0.00086983i,0.00057256+0.0011102i,0.0013263+0.00085135i,0.00076854+0.00081931i,0.00024423+0.00066997i
0.0022207-0.00064467i,0.001875+0.00044607i,0.00049879-0.00011181i,-0.00011524+8.4786e-06i,-0.00017005+0.0011973i,-0.00032005+0.0016989i,-0.00017469+0.0018306i,-0.00031811+0.0014181i,0.00026955+0.00070146i,0.00051786-8.9801e-05i,-0.00043668-0.00031891i,-0.00077568+0.00016103i,-0.00093307+0.00063494i,-0.00050641+0.0011933i,-0.00014031+0.001305i,-0.00023985+0.00061349i,-0.00014621+0.00036326i,0.00015851-0.00019841i,0.00033303-0.00052328i,0.00018811+0.00028097i,0.00018952-0.00017045i,0.00031468-0.00074754i,0.00076298-0.00021482i
0.00096554+0.00070002i,0.00032002+0.001462i,0.00046979+0.001292i,0.00040622+0.00077899i,2.8657e-05+0.0002281i,-0.00037029-0.00055202i,-0.0007372-6.9432e-05i,-0.00095282+0.0005773i,-0.0011421+0.00059055i,-0.00090574+0.00034574i,-0.0010598-0.00032441i,-0.00042758-0.00068257i,0.00029512-0.00037429i,0.00016426-0.0006162i,0.00037027+0.00013183i,0.00034986+0.00070056i,0.00035765+0.00075862i,-3.5189e-05-3.3527e-05i,-0.00060713-0.00083135i,-0.00015386-5.3339e-05i,0.00015894+0.00072948i,0.00041665+0.0006667i,0.00013347+0.0001575i
-0.0007519-0.00019327i,-0.0014782+0.00080383i,-0.00066979+0.0010249i,0.00011757+0.000864i,-0.0011364+0.00047761i,-0.001659+0.00054975i,-0.00087426+0.00013959i,-0.00095497-5.127e-06i,-0.0010936-0.00029874i,0.00028226-0.00062745i,0.001018-0.00012856i,0.0010749+0.0003117i,0.0014774+0.00067246i,0.0013495+0.0010677i,0.00049542+0.00084937i,-0.00017802+0.00015929i,-0.00030506+0.00015534i,-0.00010067+8.9452e-05i,0.00031036-0.00042258i,0.00053122-0.00041319i,3.7401e-05+0.00027657i,-0.00017886+0.00050184i,-0.00023938+0.0010183i
0.0003504-0.0012597i,5.4233e-06-0.0021812i,0.00036977-0.0017548i,-0.00017913-0.00067444i,-0.0010495+2.8531e-06i,-0.0012762+0.00027579i,-0.0014091+0.00050306i,-0.0014668+0.00054394i,-0.00036034+0.00042462i,0.00057953+0.00026672i,0.00011663-0.00061311i,-0.00019838-0.0014208i,-0.00044751-0.0013674i,-0.00108-0.00014525i,-0.00098026+0.00063647i,0.00018147+0.00032988i,0.00068759-5.1472e-05i,0.00041174-0.00017514i,0.00047725-0.00035628i,0.00094373-0.00035332i,0.00098221-8.24e-05i,0.00032355-0.00031793i,0.00046842-0.0006795i
