0.0024385-0.00028286i,0.0031907-0.00069231i,0.0021526-0.0023551i,5.7887e-05-0.002623i,-0.002636-0.00077879i,-0.0034361+0.00098022i,-0.0013933+0.00073906i,2.8509e-05+0.0012161i,0.00070314+0.00086322i,0.00079824-0.00029304i,0.0002055-0.00035503i,1.2859e-05-4.6832e-05i,0.00094997+0.00023584i,0.0012883+0.00066761i,-0.00011613+0.0007894i,-0.00072553+0.0005091i,-0.00026357+0.00035468i,0.00013208+5.8371e-06i,0.00015597+0.00010718i,5.7458e-05+0.00010359i,0.00014531-0.0001889i,0.0005399-0.00046214i,0.00018531-0.0005091i
-0.00075071+0.00080671i,-0.0013573+0.00040483i,-2.2544e-05-0.00037495i,0.0010022-0.00075021i,0.00092815-0.0005538i,0.0005582+0.00010216i,-0.00022293+0.0006581i,-0.00028701+0.001035i,0.00017319+0.00088375i,0.00030466+0.00063919i,0.00011151+0.00010475i,-0.00020274-0.00064986i,0.00037042-8.6996e-05i,0.0005323-0.00030076i,0.0001851-0.0013909i,-0.00016911-0.0012383i,-0.0005386-9.7862e-05i,-0.00036505+0.0009338i,5.9791e-05+0.00059341i,-3.2819e-05-0.00013891i,0.00016411-0.00012952i,0.00048955-0.00013916i,0.000688+0.00055145i
0.00015581+0.0014475i,0.00071405+0.00025476i,0.00025413+0.00075613i,0.0002304+0.0013735i,0.00032057+0.001148i,0.00019202+0.0005501i,0.00021592-0.00031624i,-0.00067506-0.00084952i,-0.0010597-0.00067257i,-0.00016994-0.0004169i,0.00044584-0.00057731i,3.1224e-05-0.00066602i,0.00038305-0.00073717i,0.00032236-4.1146e-05i,-0.00082837+0.00021178i,-0.00019559-0.00029305i,0.00026057-0.00011359i,-0.00046942+9.3345e-05i,-0.00088657+0.00096103i,-0.00034889+0.0010986i,2.3033e-05+0.00036512i,-0.00047947+4.4652e-05i,-0.00038687-0.00027841i
-0.00079124+6.5459e-05i,-0.0013417-0.00017983i,-0.00037414-0.00058551i,0.00045401+4.0789e-05i,0.00088455+0.0011022i,0.0018134+0.00085099i,0.0014236-0.00061585i,0.0002114-0.0012835i,-0.00060636-0.00092466i,-0.0012486-0.00054572i,-0.00075219-0.00066914i,0.00050949-0.00013928i,0.00094672+0.00017619i,0.00043931+0.00032251i,5.5922e-05+0.0010934i,-0.00011289+0.00040543i,1.4877e-05-0.00074107i,-7.9696e-05-0.00047233i,-0.00017409+0.00036304i,-0.00055185+0.00050575i,-0.00090469+0.00047428i,-0.0012465+0.0005234i,-0.0011978-0.00016823i
0.0034434+0.00021743i,0.0045827-0.0013369i,0.003682-0.0019332i,0.0017775-0.0021432i,0.00060778-0.0020239i,-0.00019375-0.00083248i,-0.00057078-9.5052e-05i,-0.00076665+0.00020229i,-0.00020863-0.00046198i,0.0004964-0.00098705i,0.00041013-0.00041251i,-0.00055679+0.00034353i,-0.00061604+0.00074793i,-0.00011425+0.00048981i,-0.00024295-0.00022206i,-0.00022481-0.0004086i,0.00020165-0.00027924i,0.00068023-8.2012e-05i,0.00077394+0.00074777i,0.00030528+0.0014674i,-9.8418e-05+0.0015805i,0.0001735+0.0011758i,0.00012857+0.00065271i
-0.00018224+0.00059898i,-0.00027026+0.0011408i,8.1691e-05+0.0010745i,0.00078181+0.00026011i,0.00057516+0.00014209i,-0.0001275+0.00044576i,-0.00016496+0.00016794i,-0.00017894-3.3355e-06i,-0.0006047-0.00022244i,-0.00061187-0.00028403i,0.00029575-5.8619e-05i,0.00051465-0.00027345i,-3.1317e-05-1.7754e-05i,-0.00050892-0.00010808i,-0.00075357-0.00061165i,-0.00044483-0.0005643i,7.2492e-05+3.7461e-05i,0.00039326+0.00038313i,0.0007936+5.8941e-05i,0.00043204-0.00016866i,-0.00034555+0.00034658i,-0.00072664-0.00024435i,0.00019948-0.0008977i
0.00047511+0.00081362i,0.0012649+0.0006021i,0.0011277+0.0006493i,0.00061522+0.00063864i,0.00089208+0.0007968i,0.0011066+0.00032143i,0.00018576-0.00036932i,-0.00087728-1.907e-05i,-0.00085692+0.00043274i,4.6664e-05+1.2927e-05i,7.0186e-05-0.00049085i,0.00011936-0.00036678i,-9.3814e-05+7.2154e-06i,-0.00050179-9.8613e-05i,-0.0003148-0.00026717i,0.00016027-0.0008577i,0.00011876-0.0010467i,-0.00062446-0.00075096i,-0.00089785-0.00088758i,-0.00076788-0.00054759i,-0.00036465-0.00014782i,-0.00051688+0.00012971i,-0.00063476-0.00019879i
-0.0021112+0.0018001i,-0.0021415+0.0024333i,-0.001079+0.0024766i,0.00089609+0.0013315i,0.0017019+0.00077871i,0.0013257+0.00066433i,0.0013965+0.00072744i,0.00073809+0.00083199i,-0.0010262+0.00060356i,-0.0011065+0.00017316i,-0.00047624-0.00052436i,9.8928e-05-0.00096414i,0.001028-0.00089279i,0.0010745-0.0009022i,-3.5246e-05-0.00054918i,-0.0011011+0.00044656i,-0.0013598+0.00081226i,-0.00016538+6.8556e-05i,0.00074258-0.00040773i,0.00025501-0.00017831i,-1.5814e-05+0.00023366i,0.00035997+0.00032543i,0.0001655+0.00024747i
-0.00084261-0.0026735i,-0.0013777-0.0031837i,-0.0013533-0.0023013i,-0.00038096-0.0013853i,0.00061214-0.00023181i,0.00095445+0.00032335i,0.00039452+0.00023681i,-0.00041493+0.0003873i,-0.00064695+0.00088623i,-0.00079587+0.00045204i,-0.00050276-0.00021031i,-3.8906e-05-0.00025647i,-0.00024631-0.0001495i,-0.00061529-0.00018989i,-0.00012797+0.00018188i,-0.00022649+7.7857e-05i,-0.00054059-0.00021434i,-0.00040014+0.00010453i,-0.00017049-0.00021094i,-0.00037398-0.00024136i,-0.00024001+0.00033912i,6.316e-05+0.0002154i,0.00025426-0.00032218i
0.0047734-0.0023283i,0.0040625-0.0019921i,0.0036131-0.0027343i,0.0021261-0.0031822i,-0.00080047-0.0021262i,-0.0016851-0.00056435i,-0.00059208-0.00015914i,0.00074727-0.00018907i,0.00071879-0.00042022i,-0.00070784-0.00011502i,-0.0012636-0.00045292i,-0.00052268-0.00079185i,0.0002094-0.00036606i,0.00069904+7.9362e-05i,0.00060214+0.00088375i,-8.8917e-05+0.00094934i,-0.00017075+0.00021874i,0.00033952-0.00021856i,0.0010285-0.00021558i,0.00092686+0.00034287i,0.00023932+5.0548e-05i,-0.00024188-0.0005887i,-4.3712e-06-0.00025672i
0.002378-0.00127i,0.00095143-0.0016748i,-0.0013512-0.0027731i,-0.0021823-0.0016512i,-0.0021178+0.00081696i,-0.0010727+0.0017895i,-0.00037757+0.0013932i,-0.00031079+0.0001932i,-0.00031815-0.00037833i,-4.1924e-05+0.00046175i,0.00038556+0.00064535i,0.00025562+0.00044659i,-0.00025026+0.0011255i,-7.6401e-05+0.00068173i,0.00037654-0.0002133i,0.00010971-0.00039376i,-0.00062407-0.0001538i,-0.00018723+0.00038824i,0.00086159+0.00054644i,0.00076585+0.00054232i,2.2311e-05+0.00091432i,0.00017213+0.0010477i,0.0002969+0.00081225i
-0.00018156-0.0019089i,-0.0011717-0.0013005i,-0.00012141-0.0011587i,0.0012456-0.00046141i,0.0012716+0.00021191i,0.00076047-0.00045551i,0.00082858-0.00046014i,0.00061107+0.0004742i,0.00093604+0.00087904i,0.0011176+0.00057258i,0.00069558-3.401e-05i,0.00012338-0.00041747i,-0.00017915-0.0005262i,-0.00015823-0.00051263i,0.00069265-0.00054234i,0.00034239-0.00042934i,-0.00078361-0.00012838i,-0.00047209+0.00087149i,-0.00024913+0.00085276i,-0.00070179-9.1304e-05i,-0.00066362+4.4827e-05i,-0.00084906+0.00064444i,-0.0013091+0.00046533i
-0.0015751+0.001566i,-0.00035644+0.0024471i,0.00075956+0.0030212i,0.0013403+0.0031703i,0.0015966+0.0025192i,0.0013021+0.00022703i,0.00023957-0.00087216i,-0.00024498-0.00032771i,0.00015465+0.00039653i,0.00028602+0.00076981i,0.00023751+0.00022851i,-0.0002625+4.5425e-05i,-0.0004017-0.00010896i,-7.0258e-05-0.00039438i,-0.00045558+4.4055e-05i,-3.8181e-05-0.00023834i,0.00063332-0.00057886i,0.00085785-0.0010251i,0.0010118-0.00079042i,-0.00010651+0.0003358i,-0.00090413+0.00027406i,-0.0005899-4.9446e-05i,-0.0005769+0.00010156i
-0.00050628-0.000864i,-0.0010373-0.00037039i,-0.0013561+0.00049215i,-0.00089728+0.00054578i,0.00010419+0.0002657i,0.00062235+0.00042466i,-0.00035794+0.00081103i,-0.0010009+0.0010317i,5.6981e-05+0.001528i,0.00077031+0.0016004i,9.2101e-05+0.001053i,-0.00077216+0.00038976i,-0.00081167-6.9178e-05i,-0.00074331+0.00033422i,-0.00040452+0.0002791i,0.00052426-0.00079738i,0.00070148-0.00049458i,0.00082792+0.00023616i,0.00089482+0.00083984i,0.00071304+0.00059238i,0.00062529-0.00035474i,0.00012987-0.00022362i,-0.001059+0.00031771i
0.0011677+0.00012752i,0.0019825+6.9551e-05i,0.001493-0.00025544i,0.00069787+0.00044503i,0.00082691+0.0010059i,0.0011927-9.6767e-05i,0.0010972-0.00090869i,0.00069856-0.00060108i,-8.5438e-06+0.00030881i,-0.00036765+0.00069549i,0.0001327+0.00096079i,0.00022131+0.0012219i,0.0003211+0.0012393i,0.00043043+0.00073827i,6.9653e-05+0.00014224i,-0.00028579-4.3619e-05i,-0.00070627+0.00030026i,-0.00061305+0.00025067i,-0.0010692-0.00010793i,-0.0013981+0.0002478i,-0.00051494+0.00017944i,9.9598e-06-0.00013478i,-0.00030387+8.2219e-05i
