-0.0020266-5.0024e-06i,-0.0015891+9.0534e-06i,-0.0014525+0.00017302i,-0.00019872+0.0016759i,0.00079881+0.0027981i,0.00021625+0.0026738i,-0.00034376+0.0018061i,0.00011643+0.00066656i,0.00018314+0.00052541i,0.00030046+0.00034821i,0.0016284-0.00067338i,0.0018648-0.0015456i,0.0011319-0.0017065i,0.00078508-0.0014925i,0.00054593-0.001568i,7.9998e-05-0.0011454i,-0.00036924-0.00040205i,-0.00068554+0.00022777i,-0.00061905-7.3402e-06i,-0.00053775-0.0002637i,-0.00077656+0.00034102i,-0.0010166+0.0006732i,-0.00099474-0.00023324i
0.00045962+0.0017163i,0.00067467+0.00086022i,0.0019067-0.00092122i,0.0012373-0.0019451i,-7.8216e-05-0.0019139i,-0.0015848-0.00029887i,-0.0021698+0.00087015i,-0.0018085+0.00066343i,-0.00080123-6.402e-05i,0.00027128-4.8928e-06i,-0.00015972+0.0006709i,-0.00062271+0.00063485i,-0.00023202+0.00031503i,-2.8623e-05+0.00046091i,0.00034103+0.00061063i,2.8162e-05+0.0005658i,-9.1478e-05+0.00046415i,0.00045283+0.00046615i,-0.00044305+0.00027721i,-0.00049481-0.00035569i,0.00082651-0.00087121i,0.001177-0.00088297i,-9.2396e-05-0.00017879i
0.0013839+0.00062335i,0.0011144+0.0005314i,0.0011905+0.00022644i,0.0010997+0.00039603i,0.00071569+0.0004069i,-3.5778e-07+0.00087378i,-5.0188e-05+0.00083895i,-0.00010524+0.00029816i,-0.00027214-0.00018026i,-0.00028443-0.00055925i,-0.0004912-0.00040373i,-0.00010252-0.0007461i,0.00035992-0.00082531i,0.00014349+6.7906e-05i,-0.00039874+0.00040558i,-0.00079343-4.3878e-05i,-0.00032596-0.00020446i,0.00046451+0.00010622i,0.00076303+4.2468e-05i,0.00116-3.3498e-05i,0.0006762+0.00019994i,-0.00030089-0.00028454i,-9.7286e-05-0.0010428i
-0.0012266-0.00070487i,-0.0016162-0.00074741i,-0.0014179-0.00071887i,-0.0013004-9.3631e-06i,-0.00088467+0.00048752i,-0.00011818+0.00035622i,0.0001666-0.00066324i,2.6675e-05-0.0015815i,0.00020654-0.0015799i,-9.4082e-05-0.00032768i,-0.00064284+0.00046491i,-0.00063005+1.812e-05i,-0.00062174+0.00020618i,-0.00049888+0.0011813i,5.1558e-05+0.0010581i,-0.00022015+0.00080294i,-0.00045488+0.0012418i,0.00016785+0.00096376i,-3.935e-06+0.00013402i,-0.00046829+0.00027587i,-0.00051787+0.00086168i,-0.0007422+0.001512i,-0.00097744+0.00099819i
0.00071783+0.00095913i,0.0021866+0.0015302i,0.0016164+0.0017608i,-0.00053239+0.00094342i,-0.00081092-0.00019562i,-0.000628-0.0011657i,-0.0011142-0.0015884i,-0.0010208-0.00070278i,-0.00079747+0.00030934i,-0.00072783+0.00035115i,-0.00048765-3.7475e-05i,-0.00016147-0.00017751i,3.8918e-05-0.00015166i,0.00038551-0.00022153i,0.00083963+0.0001082i,0.00057355-2.5893e-05i,0.00058097+0.00015144i,0.0011025+0.00032114i,0.0010853-1.5221e-05i,0.00061899-0.00051861i,0.00012085-0.00058229i,-0.00021542+0.00014863i,-0.00062763+8.6532e-05i
-0.00044337-0.00027684i,-0.00068921+4.7547e-05i,-0.00084594-0.00065337i,-0.00017158-0.00036051i,0.00025055+0.00030966i,-0.00028262+0.00072074i,-0.0010965+0.00045321i,-0.0011503+0.00013806i,-0.00096011+0.00057273i,-0.00059004+0.00061829i,0.00028942+0.0011523i,0.00074117+0.0018735i,0.00087355+0.0013444i,0.00095307+0.00044031i,0.0010845+0.00035662i,2.6904e-06+0.0002143i,-0.00035367+0.00097278i,1.2201e-05+0.0010548i,-0.00074273-0.0001464i,-0.00022505-0.00014685i,0.0010417+0.00040111i,0.001077+0.00097272i,0.00047601+0.0011313i
0.00081015+0.0010688i,0.0013606+0.00087491i,0.0018648+0.00093992i,0.0016009+0.00095832i,0.001265+0.00069587i,0.00085519-0.00011794i,0.00021695-0.0006904i,-0.00035142-0.00063593i,-0.0003166-0.00047327i,-0.0003517+0.00052961i,-0.00096416+0.0013835i,-0.0007627+0.0013501i,-0.00033514+0.0010054i,-0.00011909+0.00073803i,0.00031458+0.00093062i,0.00027023+0.00043865i,-0.00018711-0.00014505i,-0.00056085+9.6646e-05i,-0.00028852+7.7432e-05i,0.00024265-0.0004137i,-0.00010535-0.00028198i,-1.1798e-05-0.00069586i,0.00046236-0.00099442i
0.00074891-0.00052554i,-0.00076953-0.00078957i,-0.0008503-0.0011332i,-0.0010208-0.0013046i,-0.0012834-0.00079258i,-0.0019202-0.0002085i,-0.0021812-0.00018391i,-0.00095206-0.00060432i,-0.00032324-0.00054951i,-4.0086e-05+0.00039657i,0.00063438+0.00090057i,0.0007418+0.0011459i,8.261e-05+2.6281e-05i,0.00013109-0.00016493i,-0.00012886+0.00027619i,-1.2061e-05-0.00034718i,0.00058712-6.7675e-05i,-0.00039673+0.00011112i,-0.001081+8.8849e-05i,0.00012595-0.00055873i,0.0009297-0.0010602i,0.00069208-0.00045774i,0.0005268+2.0975e-05i
0.0011447-0.00078676i,0.0019168-0.00037102i,0.0027131-0.0002621i,0.0019305+0.00041743i,0.00010021+0.00091329i,-0.00076035+0.0013356i,-0.00051767+0.0015559i,-8.1688e-05+0.00084834i,-0.0004086-0.00025325i,-0.00066893-0.00063336i,-0.00021936-0.00035062i,0.00016569-0.00011433i,-5.3217e-05+0.00030028i,0.0005333+0.0010618i,0.00075139+0.0010975i,5.5324e-05+0.00069184i,-0.00037396+0.0012142i,-0.00032565+0.0014337i,4.5531e-05+0.0013264i,0.00018774+0.00058035i,0.00044315-0.00043498i,0.00054229-0.00048886i,0.00050448-0.00026297i
-0.00039817+0.00010724i,-0.00051434+0.00043321i,-0.0014069-0.00018145i,-0.0021807-0.00030086i,-0.0015868-0.00012891i,-0.0012629+0.00025182i,-0.0011399+0.0001257i,-0.00057136-0.00081276i,-0.00066296-0.0008003i,-0.00069183-0.00065502i,-0.00077905-0.00017818i,-0.0009421+0.00052823i,-0.00020201-0.00013748i,0.00060112-0.00042929i,0.00019992-0.00040761i,-0.00053195-0.00099248i,-0.00065106-0.0011652i,-0.00056562-0.0010396i,-1.3723e-05-0.0001958i,0.00010519+0.00064679i,-4.2949e-05+0.00061907i,0.00029729+0.00078912i,0.0010225+9.7295e-05i
-0.00016401+0.0006323i,-0.0001652+0.00045126i,-0.00055213+0.00083688i,-0.00023624+0.0014045i,0.00013568+0.00122i,0.00019516+0.00057409i,-0.00067956-0.00024921i,-0.0012573-0.00021225i,-0.00075192-0.00033667i,0.00024899-0.0002896i,0.00028733-0.00035848i,-0.0002239-0.0004938i,-0.00082297-0.00043663i,-0.00095043-0.00080968i,-0.00050282-9.1362e-05i,-0.00046124+0.00065471i,-0.00010061+0.00024068i,0.00061005-9.408e-05i,0.00079822-0.00023394i,0.00031826+0.0001126i,-7.0697e-05+0.00022376i,0.00077287+0.00034239i,0.0011228+0.00036694i
0.00019786-0.0010797i,3.9418e-05+0.00071711i,0.00054148+0.00025088i,0.0002591-1.7036e-05i,-0.00048869-0.000148i,-0.00073692-0.00036127i,-0.00039818-5.3954e-05i,0.00017685-0.00021709i,-0.00034407-0.00038566i,-0.00023416-8.5893e-05i,0.00062444+0.0003951i,0.00056989+0.00056936i,0.00064222+0.0011599i,0.0016707+0.0017769i,0.0012806+0.0019896i,0.00015665+0.0010646i,0.00043992+0.00066089i,0.00049609+0.00046055i,0.00015964+0.0002406i,-0.00034616+0.00055966i,-0.00072573+4.9424e-05i,-0.00062276-0.00070205i,0.0002965-0.00064454i
-0.0025664+0.00057074i,-0.0023549+0.0001948i,-0.0011343+0.0016997i,0.00040453+0.0020611i,0.0018359+0.00049878i,0.001778-0.0014729i,8.7335e-05-0.0021767i,-0.00044869-0.0022301i,0.00017581-0.0014652i,0.00066311-0.00018776i,0.00061919-3.8559e-05i,0.00046232-0.00055781i,-0.0002231+0.0001097i,-0.00034332+0.00032232i,2.0803e-05-0.00026825i,-0.00048866+0.00027455i,-0.00037919+0.00067787i,-8.349e-05+0.00086078i,-0.00057177+0.00014369i,-0.00064552-0.00045244i,-0.00020303-0.00061449i,0.00030828-0.00062191i,0.00089905-0.00026229i
0.00087318+0.0011813i,0.0011668+0.0016345i,-0.0007253+0.0014011i,-0.0023731+0.00042117i,-0.0020856-1.1684e-06i,-0.0018018+1.6388e-05i,-0.0014238-0.00039438i,-0.0012403-0.00081335i,-0.0010541-0.00046721i,-0.00063439-0.00014528i,-0.00033903-0.00021114i,-5.0392e-05-0.00039411i,0.00018974-0.00025152i,-5.6878e-05+0.00063572i,-0.0005247+0.00073325i,-0.00045243+0.00032622i,7.4622e-05+0.00071113i,-0.00011766+0.00058909i,-0.00014205-6.2081e-05i,0.00036171-0.00038543i,0.00084414-0.00010321i,0.0013032+2.3795e-05i,0.0010379+0.00072476i
-0.0015986+0.00086132i,-0.00086699+0.00079225i,0.00019196+0.0018707i,0.0016156+0.0019162i,0.0016438+0.0010812i,0.00051475+0.00082907i,-3.8104e-05+0.00094924i,9.1164e-05+8.7364e-05i,0.00048638-0.00024338i,0.00066882+0.00010443i,0.00039051-0.00025433i,-0.00027174-0.0003789i,-0.00043168-0.0006277i,-0.00065052-0.0010403i,-6.1484e-05-0.00068781i,0.00010904-2.3351e-06i,-6.3638e-05+0.00037333i,0.000216+0.00048911i,5.0392e-05+0.00016528i,-0.00050153-0.00065144i,-0.00060232-0.00087329i,-0.00036627-0.00039845i,-0.00027655-0.00025918i
-0.00091609-0.00037636i,-0.0017974+0.00014831i,-0.002232+0.00060258i,-0.0016536+0.00028988i,-0.00046767-0.00051128i,-0.00040927-0.0011451i,-0.00052177-0.0011998i,-0.00022298-0.001552i,-4.4105e-05-0.0005621i,0.00036095+0.00064145i,0.00031779-0.00012196i,0.00026615-0.0011615i,0.00040531-0.001261i,0.00035707-0.00054248i,0.00022874-0.00013695i,0.000148+0.00027157i,-0.00028505+0.00021502i,-0.0008405-2.406e-05i,-0.0010332-0.00091878i,0.00050987-0.00092776i,0.0018305+0.00035721i,0.0012873+0.000474i,0.00076271+0.00019522i
0.00068011-0.0002972i,0.001854-0.00075743i,0.001023-0.00057286i,-0.00095319-0.00058756i,-0.00096567-0.00050083i,-0.00023499+6.125e-05i,-0.00068235+0.00059858i,-0.0013552+0.00027537i,-0.001109-0.00016164i,-0.00061973+0.00037711i,7.8049e-05+0.00046441i,0.00087709-0.00024323i,0.0013307-0.00041392i,0.00057149+0.00031198i,-0.00011038+0.00083241i,3.7932e-05+0.0008069i,0.00017874+0.0004662i,0.00054998+0.00053364i,0.00037184-5.6428e-05i,0.00015374-0.00054756i,3.7069e-05-3.8015e-05i,-0.00044373+0.00025761i,-0.00032955+0.00028764i
-0.00059756+0.00045151i,-9.8438e-05+0.00184i,0.00038002+0.0031808i,0.0015905+0.0028423i,0.0014872+0.0010101i,0.00020659-0.00030414i,0.00014685-0.00054748i,-1.9937e-05-0.00024574i,-0.00076398-0.00018552i,-0.00027889-0.00022232i,-0.00037064-0.00026038i,-0.00094873-0.0002033i,-2.7989e-05+0.00021077i,0.0010944+0.0002234i,0.00077985+0.00018486i,0.00011781+0.00049277i,-0.00018898+0.00098036i,-0.00075942+0.0011816i,-0.00061537+0.00040419i,-0.00011275-0.00063492i,0.0005207-0.0004888i,0.0007834+0.00020178i,0.00021106-0.00024545i
0.00026361-0.00061989i,0.00082771-0.00038436i,0.00035856-0.00020387i,0.00018946-0.00013124i,0.000256+0.00050341i,0.00011296+1.3522e-05i,-0.00060137-0.00066152i,-0.00073692-0.00067713i,-0.00041545-0.00028261i,0.00018709+1.5576e-06i,-0.00039577-0.00049043i,-0.0011195-5.4168e-05i,-0.0010034+0.00074143i,-0.00027301+0.00063934i,0.00042916+0.00021971i,0.0002683-2.4677e-06i,-1.9639e-05-0.00062162i,0.00070919-0.00087008i,0.0010281-0.00031766i,0.00058-0.0005653i,0.00029809-0.0010942i,0.00056514-0.00066385i,0.00072758-0.000216i
-0.0014091+0.00042454i,-0.001901+0.0014418i,-0.0022827+0.0024263i,-0.0012057+0.0024235i,-9.2781e-05+0.0023862i,-5.5203e-05+0.0019831i,0.00047294+0.0012598i,0.00043539+0.0010221i,-1.7413e-06+0.00084988i,1.2702e-06+0.00026048i,0.00065816-0.00070652i,0.00095979-0.0006953i,0.00037801+1.9815e-05i,0.00021737+0.00038496i,0.00061226+0.00023478i,0.00094849+2.1349e-05i,0.0016127-0.00045418i,0.0021544-0.00022287i,0.0015952+0.00057397i,0.0014202+0.00069423i,0.00066568+0.00081709i,-0.00035743+0.00076259i,0.00015609+0.00018485i
0.00021272+0.00053301i,0.00033538-0.00061868i,0.0015692-0.00065625i,0.0023012+0.00023965i,0.0011693+0.00087169i,0.000358+0.00033927i,0.00022727+0.00017455i,-2.1527e-05+0.00055678i,0.0002529+0.00025883i,0.00045238-0.00056993i,0.00016425-0.00063871i,8.5727e-05-0.00070096i,0.00040219-0.00092033i,0.00049213-0.00068135i,0.00029774+0.00024551i,0.00023914+0.00017906i,0.00063259-0.00012679i,0.00082713+0.00040058i,0.0005876+6.7933e-05i,-0.00018161-0.00062455i,-0.0006004-0.00062737i,-0.00024809-9.22e-05i,0.00016299+0.00055941i
