-0.001402+0.00088868i,-0.0017511+0.00047064i,-0.0033028+0.00069953i,-0.0030849+0.00090921i,-0.0022982+0.0012438i,-0.0014966+0.0016081i,-0.00041605+0.0011892i,0.00026483+0.0012501i,0.0010368+0.00092716i,0.0013498-0.00021716i,0.0015115-4.4068e-05i,0.0011147+0.00030773i,0.00043784+0.00020444i,0.00022965-0.00036852i,-0.00022224-0.00075285i,-0.00038939-0.00014894i,-5.8961e-05+0.00034729i,0.00026695+0.00044052i,5.0677e-05+0.00027285i,-0.00029253-9.2577e-05i,-0.00023644-0.00017179i,0.00045057+4.3855e-05i,0.00024179-0.00035245i
0.0024536-0.00019312i,0.002682-0.00083627i,0.0024999-0.0010281i,0.0017893-0.0015968i,0.00063584-0.0020004i,-0.001415-0.00136i,-0.0014403+3.4422e-05i,-0.00033008+0.00081185i,0.00025662-0.00029596i,0.00079848-0.0012764i,-0.00033624-0.0009384i,-0.00097286-0.00053961i,-0.00036135-0.00034866i,-0.00034568-0.00022499i,-0.00014218-0.0002052i,0.00024075+0.00041841i,0.00043881+0.00041403i,0.00031223+0.00048064i,-1.9964e-05+0.00019926i,3.9325e-05-0.00050866i,6.1935e-05-0.00025078i,-5.729e-07+0.00010537i,0.00081496-0.00031867i
-2.707e-05+0.0011453i,-0.00046747+0.0017014i,0.00011861+0.0021651i,0.0013136+0.0015257i,0.0020219+0.00040396i,0.0014661-0.00018182i,0.00084097-0.0002017i,0.00042146+0.00010653i,0.0011203+0.00022758i,0.0011721+0.00024443i,0.00055908-5.3183e-05i,0.00061922-0.00047852i,-4.9292e-05+0.0001926i,-0.00066413+6.1943e-05i,0.00039317-0.00032309i,0.0012153-3.9381e-05i,0.00075357-0.00016976i,-1.4631e-05+0.00034847i,0.00011519+0.0011922i,5.4296e-05+0.0014209i,-0.00020196+0.0011996i,0.00024176+0.00076421i,0.0003206+0.00020027i
0.00024966-0.00088926i,0.00068571-0.0011904i,0.00079039-0.0023108i,-0.00044528-0.0026952i,-0.0019911-0.00095502i,-0.0020292+0.00070069i,-0.000442+0.00015913i,0.00067076-0.00030391i,0.00027868-0.00042396i,-0.00063032-0.00053753i,-0.00044806+0.00065959i,-0.00068592+0.0010169i,-0.0010729-0.0006253i,-0.00037274-0.0012177i,0.00047051-0.00063849i,0.00070693-0.00033847i,0.00027919+3.5812e-05i,-0.00022821-0.00013353i,-0.00016402-0.00058285i,0.00053543-0.00034471i,0.00065876-9.1938e-05i,4.2796e-05-0.00035036i,-0.0005979-0.00033979i
0.0001975+0.00021881i,-0.00033653+0.00086351i,0.00085516+0.0014513i,0.0003384+0.00095726i,-0.00045882-0.00027848i,1.2738e-05-0.0003638i,0.0002444+8.1638e-06i,0.00035749-5.696e-05i,0.0011664+0.00050044i,0.0014719+0.00098992i,0.00061912+0.0008922i,0.00016503+0.00017052i,-0.00011418-0.00051468i,-0.0007474-0.00053901i,3.7211e-05-0.0004978i,0.00078605-0.00097927i,0.00075022-0.00089967i,0.00042699-0.00029389i,0.00029759-0.00022974i,0.00075545+9.6059e-06i,0.0010508-0.0002152i,0.00025794-9.6532e-05i,-0.00067774+3.3764e-05i
0.0020398-0.0013263i,0.0014906-0.0017487i,-4.6728e-05-0.0021031i,-0.0015637-0.0019917i,-0.0011548-0.0010453i,0.00025217-6.7775e-05i,-0.0002348+0.00011375i,-0.001018-0.00010908i,-0.00035038-0.00062849i,0.00051391-0.00092144i,0.0001924-0.0005862i,0.00015509+0.00068713i,0.00034962+0.0010901i,0.0010246+0.0002404i,0.0013261+0.0010177i,0.00058932+0.0015293i,0.00046744+0.0010035i,9.1779e-05+0.00094943i,-0.0004414+0.00092812i,-0.00070637-5.1867e-05i,-0.00077093-0.0015445i,-0.0004402-0.0012765i,-0.00058359-0.00023871i
-0.00071786-0.00055848i,-0.0015795-0.0010095i,-0.0020378-0.0011749i,-0.0013278-0.00074122i,-0.0009996-0.00067767i,-0.0013209-0.00066164i,-0.00076623-0.00010348i,0.00023876-0.00022517i,0.0010757-0.00015725i,0.0011206-0.00013129i,0.00081877-0.00032856i,0.00066545+9.4884e-05i,0.00088775-0.00011187i,0.00099543-0.00067432i,0.00076812-0.00037672i,-6.4511e-05+0.00031186i,-0.00081227+6.1877e-05i,-0.00099167+0.00044488i,-0.0014036+0.00089591i,-0.0015209+0.00035797i,-0.0005047+0.00011624i,0.0002839-0.00068725i,0.00031732-0.00090245i
0.0010597-0.0010761i,0.0022078-0.0021423i,0.0029489-0.0023723i,0.0019262-0.00194i,0.00037344-0.0017565i,-0.00055181-0.0015782i,-0.00026785-0.00064971i,0.0011435-0.00021092i,0.0023083-6.9321e-06i,0.0017314-3.7604e-05i,0.00071464-0.00058185i,-0.00018401-0.00048178i,-0.00067994-0.00023734i,-0.00058602+0.00025416i,-0.00024476+0.00065754i,0.00084459-7.1138e-05i,0.0011262+2.7373e-05i,0.00045157+0.00054857i,0.00057871+0.00074655i,0.0011743+0.00065976i,0.001129+0.00044076i,6.2258e-05+0.00093882i,-0.00044725+0.00061383i
0.00091195+0.00046895i,0.0013524+0.00041845i,0.0014065-0.00047631i,0.00013311-0.0011031i,-0.00012009-0.00085002i,-1.7681e-05-0.00054932i,-8.6766e-05-0.00078644i,0.000763-0.000648i,0.0012175+0.00022726i,0.00099184+0.00046342i,0.00041414+7.3813e-05i,0.00065014+5.2126e-05i,0.0010346-0.00020486i,0.0011504-0.00028185i,0.0011339+3.4192e-05i,0.00017539+8.2179e-06i,0.00030269-0.00031443i,0.00060168+0.00037827i,0.00021485+0.00029008i,0.00058586-7.7403e-05i,0.00088871+0.00057139i,0.00069483+0.00037556i,0.0010382-6.0357e-05i
-0.0012211-0.00057971i,-0.0012039-0.00035018i,-0.00095575-0.00012319i,-0.0016551-0.00050289i,-0.0020931+7.3961e-05i,-0.0014199+0.0005897i,-0.00033026+0.00038823i,-0.00080639-0.00052836i,-0.00010278-0.0009246i,0.00074336-0.00025141i,2.0978e-05+0.0003787i,-0.00018388-8.5773e-05i,0.00080011-0.00030758i,0.00051032+0.00040482i,-0.00047954-2.8564e-05i,-8.9069e-05+7.4821e-05i,0.00027488+8.5387e-05i,-7.5182e-05+0.0003312i,-0.00045629+0.00064343i,-0.00039686+0.00010751i,0.00018766-0.00040717i,0.00052876-0.00072089i,0.00043694-0.00053779i
-6.9551e-05-0.0010573i,-0.00095782-0.00064822i,-0.0017179-0.00039309i,-0.0018805-0.0005503i,-0.0010262+0.00027148i,-0.00064615+0.0020412i,7.7068e-05+0.0017743i,0.00079704+0.00014431i,0.0010181-0.00071669i,0.00094619-0.0005031i,0.00021531+0.00079979i,-0.00021572+0.0015471i,0.00043534+0.00062347i,0.00072216-0.00020833i,0.00046615-8.9852e-05i,0.00024264+0.00071177i,0.00066074+0.0013845i,0.00056821+0.0011706i,0.00028158+8.0284e-05i,-4.328e-05-0.00071825i,9.9443e-05-0.0003874i,0.00073732-0.0006305i,0.00073693-0.00055689i
-0.0020354-0.0027909i,-0.0019565-0.0031989i,-0.0025452-0.001607i,-0.0025566-0.00062801i,-0.0017133-0.00032946i,-0.00082748+0.00059612i,-0.00044711+0.00082776i,0.00018593+0.00044072i,0.00068387+0.00055406i,0.00098637+0.00055604i,0.0012679+0.00090418i,0.00089041+0.00087899i,0.00073125+0.00024442i,0.00051546-4.317e-05i,0.00035087+0.00024327i,8.2076e-05+0.00071231i,-0.00062282+0.00076518i,-0.00052525+0.00013729i,-0.00047625-0.00021644i,-0.00065331+0.00017564i,0.00024589+0.00021952i,0.00088541+0.00030356i,-4.926e-05+0.00064938i
