-0.0014867+0.0014676i,-0.0021501+0.0020364i,-0.0033314+0.0014202i,-0.0024989+0.00024282i,-0.002104+1.2736e-05i,-0.0022208+0.00039083i,-0.0014018+0.0013643i,-0.00061519+0.0018863i,0.00027011+0.0011073i,0.0012885+7.6925e-05i,0.0010332-0.00066335i,0.00035347-0.00076355i,0.00039955-0.00060979i,0.0007593-0.00073431i,0.00023466-0.0011432i,-0.00041594-0.00099459i,-0.00053977-0.00048533i,-0.0014692-0.00074105i,-0.0014852-0.00076427i,-0.0005907-0.00011464i,-1.7818e-05+0.00029668i,0.00012791+0.0003569i,0.00049302+0.0012957i
-0.0005668-0.0025385i,-0.001507-0.0034022i,-0.0015444-0.0032131i,-0.00041151-0.0012104i,-0.00014872+0.00093183i,0.00017625+0.0016956i,0.0010782+0.0015367i,0.0010277+0.00078925i,0.00047676+0.00010258i,0.00046555+0.00010729i,0.00031889+0.00016331i,0.00026413-0.00031956i,0.00024008-0.00021811i,0.00011173+0.00065221i,-0.00049779+0.00090744i,-0.00030514+0.00015569i,0.00055973-0.00019949i,-4.7442e-05+0.00030379i,-0.00090444+0.0010037i,-0.00073499+0.0010604i,-0.00034462+0.0010978i,3.0365e-05+0.00075482i,0.00022438+0.00052444i
0.0015431+0.00082242i,0.0018558+4.532e-05i,0.0015756+5.6256e-05i,0.0014379+0.0004394i,0.0010431+0.00063547i,0.00031083+0.000228i,-0.00026864+0.00052419i,-0.00017054+0.000404i,-0.00016553-0.00019697i,-4.7621e-05-0.00020965i,0.00057326-0.00054154i,0.0011688-0.00066809i,0.00034731-0.0008835i,-0.00082517-0.0012303i,-0.0013197-0.00085053i,-0.001086-0.00065115i,-0.0005023-0.00040284i,-0.00055248-9.4416e-05i,-0.00077848-0.00031399i,-0.00034402+0.00023316i,-0.00074843+0.00024062i,-0.00082348+0.00013543i,-0.00033435+0.0002782i
0.0014408+0.0015855i,0.0011861+0.002709i,0.0012372+0.0018643i,0.0012712+0.00023151i,0.00072257-0.0003326i,-5.2933e-05+0.00033239i,0.00035255+0.001259i,0.00031739+0.0015971i,0.0005099+0.00087684i,0.00083161-0.00031455i,0.00073408-0.0015616i,0.00096039-0.0016469i,0.00072957-0.001381i,0.00018971-0.0014451i,-0.00028883-0.0004638i,-0.00022018+5.1223e-05i,0.00078199-0.00070839i,-2.9642e-05-0.0013663i,-0.0010641-0.0019883i,-0.00056914-0.0012237i,-4.4049e-05-0.00036391i,6.4743e-05-8.6288e-05i,0.00045384+0.00023829i
-0.00061158-0.00087491i,-0.0005126-9.2815e-05i,-0.0012639-0.00018774i,-0.0011018-8.7636e-05i,-3.0714e-06+0.00018447i,0.00025996+0.0012661i,-8.1883e-05+0.0014259i,-0.00015101+0.0003262i,0.00047647-0.00018505i,0.00090646-0.00057291i,0.00085769+0.00027862i,0.00051602+0.0009331i,0.0003401+0.00023376i,-0.00060694+8.2166e-05i,-0.00099238+8.7873e-05i,-0.0012884-0.00020842i,-0.0018841-0.00044269i,-0.0011807-0.00034695i,-0.00046761+0.00052394i,-6.9427e-05+0.00036452i,0.00048374-0.00047813i,-0.00023223+0.00029026i,-0.00074102+0.00059934i
0.0022991-0.00067165i,0.0013162-0.00074403i,0.00074449-0.0016613i,1.6213e-05-0.002009i,-0.00055371-0.0014201i,7.1048e-05-0.00061139i,0.00038206-2.4546e-05i,-0.00031943+9.3408e-05i,-0.00040342-0.00028976i,-0.0001563-0.00063539i,-0.00026758-0.00087943i,-0.00010645-0.0011605i,0.00053784-0.000933i,0.00019828-0.0008976i,-0.00055948-0.00099182i,-0.00057112-0.0009247i,-0.00055712-0.0011612i,-0.00055325-0.00068912i,-0.00055556-0.00032126i,-0.00053191-0.00019456i,-0.00040223+0.00025588i,-0.00068754+0.00071644i,-0.00060883+0.00071092i
0.00091531+0.0017211i,0.00080624+0.0021929i,-0.00021412+0.0026017i,0.00018518+0.0019793i,0.00035402+0.0013644i,-0.00011363+0.00089676i,-0.00040401+0.00096354i,-0.00014921+0.0012704i,7.216e-06+0.00036768i,0.00065433+6.5869e-05i,0.00077379+8.7567e-05i,0.00039677-0.0011497i,0.000117-0.0011187i,-0.00054156-0.0006946i,-0.00075581-0.00067704i,-0.00014884-0.0005886i,5.2919e-05-0.00071055i,0.00016467-0.00074577i,0.00071794-0.00087544i,0.0011379-0.00064356i,0.00062838-0.00036718i,-0.00060691+2.8005e-05i,-0.00059244+0.00011782i
-0.00013097+0.0032926i,0.00040623+0.0023509i,0.0017536+0.001934i,0.0023131+0.0020114i,0.0021792+0.00096244i,0.001494+3.1075e-06i,0.00037337+1.9353e-05i,-3.7707e-05+0.00018616i,-4.7429e-05+0.00046715i,0.0003935+0.0006691i,0.00065146+0.00074329i,9.7825e-05-5.1246e-05i,-6.0082e-05-0.0010192i,-0.00030496-0.00073045i,-0.00031341-0.00035204i,0.00010999-9.901e-05i,-0.00080175+9.0102e-05i,-0.0014346-0.00013311i,-0.0013126+6.5338e-05i,-0.00058178+0.00048811i,0.00055913+0.00032824i,0.00079388-0.00037307i,0.00034221-0.00069635i
0.00052689-0.00080505i,0.0014592-0.00040328i,0.0013586-0.00042582i,0.0004866-0.00065564i,0.00038913+0.00040123i,0.00045733+0.0013479i,0.00038803+0.00064023i,0.0011456+0.00037998i,0.001035+0.00024398i,-0.00014543-0.0005903i,-3.5497e-05-0.00042758i,0.00055897-0.00012026i,0.0003937-0.00075263i,0.00014509-0.00035329i,-0.00057462+0.00063881i,-0.0012286+0.0011945i,-0.00069833+0.0010546i,5.6977e-05+0.00071767i,-0.00033894+0.00048253i,-0.00033091-0.00020948i,-0.00047595-0.00067504i,-0.00082609-0.00045253i,-0.00057912-0.0001577i
-0.00053387-0.0010587i,-0.0012474-0.00060404i,-0.0010603-0.00018128i,-0.00086744-0.00024555i,-0.0010414+1.5721e-05i,-0.00097764+0.00013469i,-0.0011223-6.3961e-05i,-0.00089802+0.00025286i,0.00026365+0.0004761i,0.0010118-0.00024079i,0.0013263-0.0012479i,0.0015198-0.00091008i,0.00071587-0.00040522i,-0.00047412-0.00010528i,-0.00031872-6.0466e-05i,0.00035152-0.00038123i,-6.649e-05-0.00061263i,-0.00046901-0.00071988i,-0.00069353-0.00074277i,-0.0010428+0.00028705i,-0.00043907+0.0014357i,-2.4996e-05+0.00095952i,-0.00035773+0.00028486i
-0.0011585-0.00025811i,-0.00010353-0.00042649i,0.00048861+9.2838e-06i,0.00086464+0.00053739i,0.00053623+0.00077825i,-0.00028322+0.00077432i,-0.00046669+0.0014011i,-1.6354e-05+0.0018299i,0.0013365+0.00074239i,0.0013011-0.00029284i,0.00053488-0.00022614i,0.00070256+0.00016335i,0.00085331-0.00030806i,0.0005176-0.0010948i,0.00016218-0.0010975i,0.00010682-0.00082547i,0.00014454-0.00050637i,3.8799e-05-0.00017859i,-0.00054803-0.00027629i,-0.00033184-0.00080174i,0.00042812-0.00092875i,0.00043082-0.00055567i,-0.00060133-0.00030093i
