0.0010205+0.00021774i,0.0012502+0.0020469i,0.002389+0.0069968i,0.0042379+0.013861i,0.0075234+0.017797i,0.014955+0.013884i,0.017771+0.0023022i,0.011805-0.0057068i,0.0073546-0.0050965i,0.010234-0.0041248i,0.012545-0.0048642i,0.0096944-0.0028293i,0.0064771-0.00010724i,0.0039472+0.0013064i,0.0016393+0.002863i,7.2708e-05+0.0028365i,-0.0010681+0.0011898i,-0.0011775+0.00056292i,-0.0007945+0.00065003i,-0.0015279+1.5873e-05i,-0.0017914-0.00057784i,-0.0008419-0.00010169i,0.00029755+3.8053e-05i
0.0022053-0.00032539i,0.00010406-0.00028702i,-0.0046529+0.0015991i,-0.011479+0.0067714i,-0.015126+0.012994i,-0.010281+0.019943i,0.00012894+0.019374i,0.0054147+0.0082489i,0.0010349-0.0027363i,-0.0026475-0.0075493i,-0.0011114-0.0079677i,4.5296e-05-0.0056549i,-0.0001175-0.00088465i,0.0014433+0.0038444i,0.0045602+0.0049079i,0.0059005+0.002614i,0.0043514+0.00062146i,0.0022067+0.0011019i,0.00099721+0.0016413i,0.00022095+0.0005707i,0.00029004-0.00019399i,0.00085651-0.00050247i,0.0013548-0.00011317i
0.0012964+0.0013457i,-0.00074214-0.0013689i,-0.0038588-0.0064974i,-0.01077-0.013957i,-0.018832-0.015004i,-0.025222-0.0056401i,-0.022435+0.0063361i,-0.012989+0.0084694i,-0.011171-0.00017155i,-0.016388-0.0066332i,-0.016729-0.0061917i,-0.010874-0.0044241i,-0.0054105-0.002768i,-0.0003755-0.00043692i,0.0041954+0.00024722i,0.0051988-0.00017205i,0.0031273-0.00030002i,0.0012381-0.0015068i,-0.00075989-0.0013035i,-0.001372-0.00036592i,8.1816e-05-0.00022305i,0.0009803-0.0003415i,0.00014428-0.0011295i
0.0018318-0.00041746i,0.003065-0.0046966i,0.006594-0.0092333i,0.009926-0.015854i,0.0059429-0.023793i,-0.0057123-0.026096i,-0.017075-0.018285i,-0.018-0.0057943i,-0.013125-0.00060229i,-0.014631-0.00087957i,-0.016782+0.0019522i,-0.010626+0.0039799i,-0.00376+0.0016005i,-0.00056386-0.0016792i,0.00034228-0.0028907i,-0.00046144-0.001789i,0.00023398-0.00041859i,0.0013159-0.0015502i,0.00017224-0.002692i,-0.00044488-0.0014488i,0.00049458+0.00093111i,0.0011157+0.0023142i,0.00047115+0.001144i
0.0023868+0.0011459i,0.0047818-0.00039661i,0.0076906+0.0026512i,0.014632+0.0049697i,0.021742+0.00011362i,0.019457-0.011582i,0.0091973-0.019945i,0.00081623-0.01398i,0.00054915-0.0005897i,0.0021826+0.0073846i,3.4578e-05+0.0093357i,-0.0017536+0.0078856i,-0.00084087+0.0030806i,-0.001088-0.002609i,-0.002961-0.0060178i,-0.0043879-0.0058878i,-0.0043445-0.0037262i,-0.0027816-0.0020817i,-0.0012435-0.0013353i,-0.0011966-0.0013067i,-0.0013703-0.00034402i,-0.0015015+0.00096423i,-0.0014743+0.0011364i
-0.00015372-0.00025153i,-0.00064175+0.0025605i,-0.0022018+0.0056646i,-0.0021653+0.010189i,0.0039838+0.015859i,0.015172+0.013319i,0.021516+0.003307i,0.016823-0.0014803i,0.012028+0.0042886i,0.013546+0.010424i,0.01268+0.0091841i,0.0074507+0.0058361i,0.003439+0.0035812i,0.00041379+0.00068656i,-0.0026042-0.0020907i,-0.0020042-0.0033593i,-0.00028857-0.0030379i,0.0003445-0.0014009i,0.0002953-3.358e-05i,-0.0003978-0.00035804i,-0.00099723-0.0016173i,-0.0010151-0.0017086i,-0.0007662+0.00023606i
0.00022187-0.0015247i,-0.0031498-0.003917i,-0.0082346-0.0019192i,-0.014774+0.002353i,-0.01811+0.009151i,-0.011121+0.018619i,0.00090844+0.021113i,0.0077222+0.01434i,0.0071968+0.006496i,0.0079728+0.0032264i,0.010113+0.000867i,0.0071069-0.0018827i,0.0010223-0.00050869i,-0.0018266+0.0027211i,-0.0016011+0.0039041i,-0.00030591+0.0029635i,2.1775e-05+0.0011971i,-0.0011645+0.00022767i,-0.001481+0.00080027i,-0.0011399+0.0013461i,-0.00063414+0.00032552i,-0.00018258+2.1689e-05i,-0.00016339+0.0012073i
0.0037622-0.0015156i,0.003254-0.0027562i,-0.00030173-0.0082101i,-0.0064634-0.013917i,-0.012357-0.014618i,-0.019485-0.0048529i,-0.019747+0.0084508i,-0.012038+0.010433i,-0.0055532-0.00052589i,-0.0040938-0.010116i,-0.0024273-0.010228i,0.00024424-0.0058811i,-0.00052732-0.0015353i,-0.0014929+0.0034721i,-9.9452e-05+0.0065578i,0.0020091+0.006354i,0.0030191+0.0034498i,0.0021762+0.00037045i,-4.1161e-05+0.00022853i,-0.0011424+0.0011684i,9.6612e-06+0.0014322i,0.001449+0.00062104i,0.0014451-0.00043099i
-0.00029098-0.0012197i,0.00056918-0.00062448i,0.0048051-0.0035171i,0.0093505-0.0092784i,0.0073624-0.012673i,-0.0041462-0.014705i,-0.016659-0.012744i,-0.017996-0.0089702i,-0.01295-0.010427i,-0.012105-0.013162i,-0.012079-0.0089845i,-0.0069088-0.0022477i,-0.0014996+0.00073448i,0.0006211+0.00162i,0.002129+0.0021838i,0.0012458+0.0020299i,-0.00062178+0.0020133i,-0.00054691+0.0014821i,-0.00022287+0.00061753i,-0.00059151+0.0011931i,-0.00061246+0.0020632i,0.00041897+0.0021177i,0.0011534+0.0014916i
-0.0003903+0.00010701i,8.6555e-05+0.00077527i,0.0021201+0.0049325i,0.0059237+0.0098279i,0.0076693+0.0060998i,0.0063629-0.0059865i,0.0026899-0.016456i,-0.0012581-0.015393i,-0.0037279-0.0082774i,-0.0073689-0.0034749i,-0.011131+0.00032965i,-0.0080293+0.0034376i,-0.00059867+0.0022372i,0.0036359+0.00025214i,0.0048079-0.0017028i,0.0036161-0.0035246i,0.001125-0.0030183i,0.00023806-0.0019188i,-0.00017825-0.00083514i,-0.00096137-0.00054339i,-0.00089946-0.00017525i,-0.00020357+0.00019037i,-0.00070929-0.00033297i
