-0.0012806+0.00098689i,-0.0015403-0.00017073i,-0.0020998-0.00050137i,-0.0017837-0.00074159i,-0.0017254-0.00013266i,-0.0017205+0.00072008i,-0.00046959+0.00093505i,0.00094993+0.0013142i,0.0017517+0.0016908i,0.0013951+0.00077742i,0.00041671-0.00030023i,0.00024865+1.1689e-05i,0.00026316-0.00031117i,8.5764e-06-0.00055881i,0.00019333-0.00010642i,0.00037145+0.00094115i,-0.0001374+0.0019528i,-0.00027941+0.0015124i,-0.00037918+0.00052614i,-0.00077271-2.0238e-05i,-0.00029777-0.00048529i,-0.00027659-0.0006862i,-0.00079293-0.00042284i
-0.0012285-0.0011803i,-0.0010435-5.8734e-05i,-0.0021572+0.0010871i,-0.0018913+0.0010044i,-0.00097218+0.00088659i,-0.00074746+0.0010688i,-0.0001084+0.00056277i,0.00056003+3.8164e-06i,0.00048629-2.6674e-05i,-0.00075428+0.00028988i,-0.0011668+3.5153e-06i,-0.00045196-1.6241e-05i,0.00020445+0.00046413i,0.00022578+0.00022805i,-0.00023901-0.00024287i,-0.00050615+0.00032813i,-0.00056623+0.00051281i,-0.00059854-8.0875e-05i,-0.00020152-0.00067069i,5.8373e-05-0.00066188i,-0.00073948-0.00031928i,-0.001185-0.00032355i,-0.00097721-3.2712e-05i
-0.0011774+0.0006916i,-0.0010552+0.0017988i,-0.00083667+0.0021672i,0.00014211+0.00094565i,0.0012582-0.00023482i,0.00198+4.2345e-05i,0.0014434+9.6576e-05i,0.00046469-0.00027704i,0.00092162-6.8714e-05i,0.00050279+5.2679e-05i,-0.0002489+6.2763e-05i,-0.00038261+0.00059249i,0.0003948+0.00074712i,0.001174+0.00066537i,-0.00019296+0.0012306i,-0.00090422+0.0015714i,-8.1881e-05+0.0011628i,0.00094228+0.0010217i,0.00091476+0.00079272i,0.00023868-0.00017222i,-0.00016957-0.0011037i,-0.00017247-0.0011703i,-4.4702e-05-0.0010111i
-0.00053108+0.0016339i,-1.3282e-05+0.00037631i,-0.00039584+1.4536e-05i,-0.00036066+0.00058461i,-0.00018397+0.00085696i,0.00040182+0.00024444i,0.00059088-6.8648e-05i,-0.00039656-0.00011829i,-0.00034383+0.00032387i,0.00023419+0.00058518i,0.00034827+0.0008608i,-1.3555e-05+0.001433i,0.00041485+0.00093138i,0.0004928-0.00012902i,-0.00024565-0.00012507i,-0.0005155+0.00032601i,-0.00057194+0.00035721i,-0.00011775+1.9537e-05i,0.00051183+0.00022146i,0.00116+0.00028377i,0.0010456+5.5111e-05i,0.00049413+0.00022187i,0.00013028+0.00068717i
0.00030405+0.0010575i,0.00067228+0.00089216i,0.00020017+0.0024145i,-0.00027016+0.0022628i,0.00078806+0.00030068i,0.00054-0.00028091i,-0.0004371-8.4213e-05i,-0.00060503+9.1209e-05i,-0.00028011+0.00033303i,4.7648e-05+0.00022731i,-0.00072077+0.00091262i,-0.0005823+0.0016746i,0.00011091+0.0011169i,-0.00033853+0.0004543i,-0.00045959-0.00026964i,-0.00044773-0.00011055i,1.8325e-05+0.00034794i,0.00042969+0.00039047i,-0.00019568+0.00025038i,-0.0006355-0.00018319i,-0.00043097-0.00071133i,0.00023216-0.0010717i,0.00020506+3.1504e-05i
0.00044643+0.0006513i,0.00052443-0.00073728i,0.0012904-0.0011497i,0.0018015-0.0010717i,0.0015124-0.00051435i,0.00072071+1.6466e-05i,0.00052804-0.00044115i,0.0012313-0.00077434i,0.00095595-1.0603e-05i,0.00039847+0.00043881i,-0.00036973+0.00044018i,-0.0010302+0.00013784i,-0.00058399+8.5146e-05i,8.2879e-05+0.00043514i,-0.00027131+0.00091187i,-0.00081151+0.0014553i,-0.00088515+0.0016837i,-0.00065544+0.00091575i,-0.00025602-0.00012551i,-0.0003009-0.00043155i,0.00040341+2.8899e-05i,0.00068965+0.00055845i,0.00018677+0.00072652i
0.00050769+0.00058924i,0.0010074+0.00029646i,0.00055699+0.00058912i,7.3117e-06+0.00044947i,-9.7448e-05-0.0010159i,-0.00027081-0.00090484i,0.00037854+0.00031976i,0.001098-0.00068226i,0.00018338-0.0013419i,-0.00077472-0.00039029i,-0.00055595+0.00024526i,-9.1489e-05+0.00034428i,3.4636e-05-0.0006929i,-0.00032671-0.00082617i,-0.00082294+2.7969e-05i,-0.00061479+0.0001145i,0.00029446+0.00025984i,0.00078794+0.0004941i,0.0011698+8.1268e-05i,0.00095068+8.8192e-05i,-0.00011724+0.00011947i,-0.00047898-0.00041779i,-0.00026661-0.00020438i
-0.0015105-0.0011897i,-0.000279-0.00090365i,-0.00029179-0.00076371i,-0.001263+0.00024462i,-0.00029483+0.0014174i,0.0013199+0.0012167i,0.0011812+0.0003513i,0.00043078+0.000186i,0.00051099+0.00044528i,-0.00015164+0.0006134i,-0.0010654+0.0013053i,-0.00075704+0.0014111i,-0.00023099+0.0010396i,-1.5497e-05+0.00028302i,-0.00025211-0.00030755i,-0.00016972-0.00013187i,9.4484e-05+0.00028105i,9.2437e-05-0.00033325i,0.00048903-0.0011031i,0.00040268-0.00049119i,-0.00028179-0.00075674i,-0.00044706-0.00089942i,-0.00039156+3.8831e-05i
-0.00052433-0.00014715i,-0.00036769+0.00092094i,-0.00043716+0.0010556i,-0.0007418+0.00052583i,-0.0012585-0.0002313i,-0.00055692-0.00061485i,0.00021272-0.0010677i,0.0011954-0.0012488i,0.0011804-0.00059704i,-0.00022594-0.00047876i,-0.00055187-0.00042153i,0.00016054+0.00058076i,0.00042323+0.00068796i,-0.00013707+2.8293e-06i,-0.00056467-0.00039471i,-0.00025829+0.000224i,0.00023562+0.00084455i,0.00051126+0.00032778i,0.00038977+6.5338e-06i,-0.00010581+0.00011296i,2.9139e-05+0.00037339i,0.00035277-6.6495e-05i,0.00040601-0.00010987i
-0.00064384-0.00089611i,-0.0007577-0.0012506i,-0.00082172-0.0012457i,-0.00039295-0.00050072i,-0.00014485-8.0184e-06i,-0.0002065+0.00041682i,-0.00043149+0.00049823i,-0.00038151+4.3483e-05i,-9.5347e-05+0.00023617i,-2.8463e-05+0.00045486i,-6.4871e-05+0.00027871i,0.00040519+0.0007933i,0.00097664+0.00092927i,0.00077421+0.00052173i,0.00014545+8.1782e-05i,-0.00035371+0.00068079i,-0.00014973+0.00022332i,0.00031578-0.00023086i,0.00046067-0.00023896i,1.5755e-05-0.00023781i,-0.00092474-7.0069e-05i,-0.00072878+8.3543e-05i,2.1654e-05+0.00055923i
0.0019181+0.001456i,0.0012842+0.00073409i,0.00054679+0.001557i,0.00030179+0.0016445i,0.00080291+0.00018791i,0.00055966-0.00040541i,-0.0001359-0.0004768i,-0.00051547-6.4157e-05i,-0.00055734+0.00050119i,-0.00037865+9.745e-06i,-0.00052247-6.9201e-05i,-0.00089609+0.00056577i,-0.00042639+0.00038388i,-0.00030418-0.00021574i,-0.00076037+0.00053799i,-0.0012975+0.0010058i,-0.00085394+0.00060409i,-0.0004571+0.00069088i,0.00035668+0.00049936i,0.00013407+0.0001436i,-0.001026-0.00040083i,-0.0012361-0.00071145i,-0.0010746-0.00035035i
