0.00075783+0.00169i,0.00073354+0.0016659i,-0.00029388+0.00068488i,-0.00098714-9.1163e-05i,-0.0015779+0.00076218i,-0.0015237+0.00063514i,-0.0007519+0.00018909i,-0.00064317+0.00061139i,0.00037247+0.00047352i,0.0017514+3.4734e-05i,0.0014953-0.00085719i,0.00058252-0.0017505i,-0.00015707-0.0010339i,-0.00046717-0.00063659i,-0.00070427-0.0011467i,-0.00081316-0.0012211i,-0.00062143-0.00086713i,-0.00047087-0.00013094i,0.00010222-0.00011388i,0.00042005+0.00015061i,-3.7432e-05+0.00027314i,-0.00063245-0.00027382i,-0.0010292-0.0002662i
-0.00030197+0.00020671i,-0.0009999-0.00050408i,-0.00052975-0.00142i,-0.00031332-0.0014371i,-0.00025633-0.0010695i,9.9237e-05-0.0003601i,0.000719+0.00021439i,0.00079391+0.00054509i,0.00043025+0.0008554i,0.0010182+0.00028715i,0.00038176-6.9352e-05i,-0.00073547-0.00023684i,-0.00040648-2.3144e-05i,0.00032954+0.0004594i,-3.7197e-06+0.0011063i,-0.00014625+0.0009346i,8.4523e-05-0.00019778i,0.00020058-0.0007823i,0.00028638-0.00059475i,0.00038083-0.00019389i,0.0004786+0.00031605i,0.00028879+2.8563e-05i,0.00013399-0.00075543i
-0.0012447+0.0015732i,-0.00082113+0.0019243i,3.9988e-05+0.00063254i,0.0002869-0.00070716i,-0.00026664-0.00025129i,-1.9659e-05-0.00021457i,3.7548e-05-0.00060057i,-0.00016558-0.00078523i,-0.00064162-0.00018711i,-0.00052819+0.00061048i,-0.00016009+0.00081298i,-0.000302+0.00073686i,0.00028341+0.00023602i,3.1351e-05-9.7193e-05i,-1.845e-06+0.00016561i,0.0001687+0.00042886i,0.00039169+0.00039512i,0.0013038+0.00059195i,0.001134+0.00065272i,0.00056911+0.00062654i,0.00048442+0.00079809i,0.00017603+0.00037848i,-0.00039011-0.00014436i
-0.0032261-0.00045939i,-0.003485-0.00030293i,-0.0017171+0.0007888i,-0.00053339+0.0016631i,-0.0005993+0.0011924i,-0.00043737+0.00060619i,-0.00013309-2.8896e-05i,-0.00021685-0.0001239i,-0.00077381+0.00045111i,-0.00073825+0.00034214i,-3.152e-05-0.00041388i,0.00048936-0.00051319i,0.00014162+0.00010876i,-0.00057355-0.00014007i,-0.00044964-0.00030903i,-9.7906e-05+0.00041307i,0.00020963+0.00032154i,-8.0312e-05-0.00016412i,-0.00084801-0.00057842i,-0.00099064-0.0011559i,-0.00045383-0.00096445i,0.00042637-0.0011309i,0.00052975-0.00088831i
0.00070728-0.00067922i,-9.3259e-05-3.5378e-05i,3.4565e-05+0.00020241i,6.232e-05+0.00017066i,0.00056189+1.5655e-05i,0.0014144+0.00055376i,0.0007816+0.0010368i,-0.00027774+0.00022941i,-0.00034507-0.00031061i,-9.6214e-05+0.00045311i,-0.00028189+0.0005313i,-0.00079653+0.00014729i,-0.00034068-0.00018284i,0.00020566-0.00058649i,0.00010333-0.00036439i,0.00022973-0.00024119i,0.00070323-0.00042945i,0.00044429-7.5741e-05i,-0.00059756-0.00034367i,-0.00056524-0.00044039i,-0.0002605-0.00050602i,-0.00032952-0.00047727i,-0.00018051-0.00028932i
0.00085741+0.00092565i,0.0011898+0.0011771i,0.0015627+0.00099916i,0.001472+0.00041438i,0.00081783-0.000705i,0.00029409-0.00059756i,0.00049269-0.00010021i,0.00063614-3.8328e-05i,-0.0001039+0.00044181i,-0.00048486+0.00073584i,-0.00013092-5.2163e-06i,-0.00011403+4.7982e-05i,-0.00025692+0.00083069i,-0.00053541+0.00060778i,-0.0011104+4.3309e-05i,-0.0011139-0.00054201i,-0.00054776-0.00021305i,-0.00020594+0.00052076i,-0.00024685+0.00023962i,-0.00011876-0.0005145i,0.00020022-0.00053811i,0.00027502+0.00022178i,-0.00015458+0.00027304i
0.00019432-0.0010213i,-0.0014197+1.3968e-05i,-0.0021471+0.00083118i,-0.00092537+0.00066091i,-9.2648e-05+0.0011774i,0.00062079+0.0015711i,0.00021042+0.00088258i,-0.0005429+0.00032105i,-0.00015931-0.0001125i,0.00021393-0.00057872i,-0.00030694-0.00054456i,-0.00016274-1.0198e-05i,0.00025053+0.00015206i,-6.6172e-05-0.00025465i,-0.00029377-0.00055849i,-0.00037154-0.00035625i,-0.00037931-0.0001813i,-0.00054049-0.00073433i,-0.00065059-0.00093098i,0.00034614-0.00068536i,0.00054557-0.00095487i,0.00039007-0.0011572i,0.00055144-0.00055819i
-0.00063727+0.0020848i,-0.00034258+0.0021625i,0.00089287+0.001272i,0.0010961+0.00059691i,0.00083178+0.00038008i,0.00044042-0.00051377i,0.00016754-0.00042939i,0.00034643+0.00022205i,0.00043497+0.00014278i,-6.6237e-06-0.00054782i,0.00027822-0.00041067i,0.00035148-0.00039063i,-0.0005796-0.0006013i,-0.00071363-0.00064354i,-0.00079474+1.7472e-05i,-0.00082465+0.00072166i,0.00015834+0.0006789i,-1.739e-05-0.00049868i,-0.00059861-0.00075676i,-0.00026111+0.0006618i,-0.00070708+0.0008474i,-0.00071524-9.3598e-05i,0.0001061-0.00047672i
-0.0003532-0.0015529i,-0.00035112-0.0010374i,-0.00020656-0.0004958i,0.00021252+0.00034873i,0.00021564+0.0009276i,0.00027169+0.00048959i,0.00044448+0.00047642i,0.00062745+0.00044945i,0.0004557+0.00014787i,-0.00088908-0.00014631i,-0.0012297-0.00039789i,-0.00059103-0.00054231i,-0.00018938-0.00026785i,0.00015646-0.00021145i,7.336e-05-0.00013048i,-0.0001515+0.00013405i,6.5535e-05-0.00045782i,-0.00025365-0.00036415i,-0.0004289-0.00029499i,0.00022619-0.00034585i,0.0003338-2.53e-05i,-0.00025993+0.00041234i,-0.00077925+9.7781e-05i
-0.0016085+0.00053435i,-0.00098375+0.00079577i,0.0010632+0.00023745i,0.0013253-0.00040661i,0.00049989-0.00018557i,-0.00016545+0.00023498i,-0.00014808+0.00038507i,0.00098321+0.00064516i,0.0017231+0.00050056i,0.0011858-0.00037506i,4.2879e-05-0.0013613i,-0.00015557-0.0011301i,-0.00026502-0.00027514i,-0.00090247+0.00029566i,-0.0012487+0.00038992i,-0.0014066+0.00035649i,-0.0007767+0.00022083i,-0.00045392+0.00017267i,-0.00068095-0.00058739i,-0.00058304-0.00056216i,-0.00048139-0.00047256i,-5.6737e-05-0.00057304i,5.0734e-05-0.00018909i
-0.00087031-0.00011857i,-0.00081577-0.00056219i,-0.00027084-0.00056979i,0.00083356-0.00067596i,0.0017744-1.7344e-05i,0.00052147-0.00063797i,-0.00067961-0.0015467i,-0.00047796-0.00017798i,-0.00030314+0.0008301i,-0.00023029+0.00060421i,0.00019305+0.00020057i,0.0002541-0.00056172i,2.6607e-05-0.0004029i,-0.00034514-0.00020753i,-0.00046082-9.448e-05i,-0.00015599+0.00039913i,-7.506e-05+0.00087525i,-8.6898e-05+0.00081454i,-7.9027e-05+0.00019855i,-0.00063103-0.00032411i,-7.5322e-05-0.0006782i,0.00078115-0.00077604i,0.00044234-0.0006354i
