-2.3573e-05-0.0010412i,-0.00060705-0.002024i,-0.0017952-0.0019023i,-0.0019899-0.0013272i,-0.0020539-9.8519e-05i,-0.0010356+0.0014827i,0.00056695+0.0012595i,0.0015386+0.0015156i,0.001355+0.0010842i,0.00094289-8.1633e-05i,0.00050542-0.0003769i,-0.00055666-0.00071806i,-0.00068375-0.0011708i,0.00012444-0.0013297i,0.0002878-0.0010909i,-3.2565e-05-0.000578i,-0.00052139+0.00036686i,-0.00051424+0.00038374i,-0.00038922-0.00015368i,-0.00085371-6.1593e-05i,-0.00097283+0.00024076i,-0.00027641+0.00057065i,-1.6808e-05+0.00048453i
-0.0009949-0.0017315i,-0.001351+0.00020493i,-0.002272+0.0015963i,-0.0018775+0.0020686i,-0.00058757+0.0026274i,0.00015263+0.0018363i,0.00079189+0.00033992i,0.0012487-6.0772e-06i,0.0006376+0.00067848i,0.00051976+0.001301i,0.00076977+0.00088345i,0.00028378-0.00033371i,0.00044135-0.00084211i,0.001079-0.00089405i,0.0010256-0.0011965i,0.00058818-0.00095438i,0.00044464-0.00074258i,7.3129e-05-0.00039242i,-0.00095854+6.7737e-05i,-0.0010309-0.00014927i,-0.00022663-5.7287e-05i,0.00024974+0.0006212i,0.00094058+0.00076356i
-0.00035294-0.00072437i,-0.00045553-0.00058112i,-0.0010279+0.0011071i,-0.00061012+0.0018117i,6.0862e-05+0.0012536i,-6.9516e-05+0.00090395i,0.00012784+0.00015386i,0.00023895-9.2201e-05i,-0.00020862+2.8498e-06i,-0.00055562-0.00022957i,-0.00025723+0.00015106i,0.00035674+0.00079171i,0.00084562+0.00095478i,0.00075395+0.001017i,0.00044169+0.00036025i,0.00064321-0.00021454i,0.00047853-0.00016391i,0.00020131-0.00056273i,0.00035099-0.001047i,0.00089392-0.00055484i,0.00090133-0.00041169i,-9.0033e-05-0.00031219i,-0.00097043+0.00038568i
0.0016906-0.0010963i,0.0014693-1.2974e-06i,0.00050187-0.0004179i,-0.0006441-0.00070783i,-0.0011075+0.00016824i,-0.0010205+0.00079518i,-0.00095932+0.0012771i,-0.00027331+0.0015073i,-0.00055457+0.00091568i,-0.0011183-0.00025868i,-0.0004322-0.00080474i,-0.00012935-0.00044151i,-3.7921e-05+0.00031421i,0.00047432+0.0007112i,0.00019104-0.00013434i,-0.00036223-0.00086981i,-0.00015422-0.00073526i,1.5504e-05-0.00098662i,0.00052966-0.00064497i,0.0010426-0.00037089i,0.00061096-0.00013178i,0.00081072+3.5491e-05i,0.0012502-0.00038089i
0.00078852-0.0011145i,-0.00018598-0.00098755i,-0.0012627-0.00090936i,-0.0014615-0.00050622i,-0.00066591-0.0006841i,-0.00037477-0.00058217i,-0.00017963-0.00030956i,0.00035421-1.398e-05i,0.001112-2.4377e-05i,0.00092836-0.00018838i,0.00012093-0.00045206i,-4.0864e-05-0.00052114i,0.00042147+0.00024876i,0.00021766+0.00087791i,-0.00048163-0.00015945i,-0.00020221-0.00098631i,0.00079448-0.00036767i,0.00071805-3.0123e-05i,9.1491e-05+3.1296e-05i,-0.00016213-0.00056522i,5.2407e-05-0.00096356i,-0.00017367-4.9137e-05i,-0.00061422+0.00074626i
3.1391e-05-0.00051834i,-0.00040649+0.0004833i,-0.00043951+0.00091297i,-0.00068907+0.0013928i,-0.0011669+0.0018197i,-0.00053+0.0012752i,-2.8745e-05+0.00034777i,-0.00025355+3.5412e-05i,-0.00039801-4.527e-05i,-0.00023393-0.00027503i,0.00010869+0.00040889i,0.00065602+0.00044884i,0.00044276-7.4146e-05i,0.00043784-0.00064801i,0.0011223-0.0010334i,0.00055498-0.00098082i,0.00016025-0.00061657i,0.00050198-0.0003709i,0.00088008-0.00015779i,0.00099516+0.00059889i,0.00084974+0.0006774i,0.00063291-0.00019816i,0.00037555-0.00025577i
-0.0015824-0.0013525i,-0.001709-0.0010092i,-0.001245+0.00059874i,-0.00019488+0.0015006i,0.00011822+0.0017355i,0.00032935+0.0019734i,0.00025906+0.0011502i,8.1693e-05+0.00013417i,-0.00012186-0.00043264i,-0.00018101-0.0005175i,0.00052973-0.00035258i,0.00048311+0.0004372i,-0.00018516+0.0013527i,-2.5954e-05+0.0010698i,-6.2514e-05+0.00050951i,0.00015434+0.0002258i,0.00061216+0.00041312i,4.4539e-05+0.00066069i,-0.00061056-3.7617e-05i,-0.00069733-0.00012811i,-0.00088938-0.0001691i,-0.0015408-0.00046781i,-0.0014186-0.00010646i
0.00077122-0.0011192i,0.00014919-0.0010241i,-0.00099682-0.00094299i,-0.0019938+6.3434e-06i,-0.002454-3.286e-05i,-0.00175-0.00090708i,-0.001092-0.00058464i,-0.00052+0.00012837i,-0.00048032+0.00012609i,-0.00083441+0.00010506i,3.3943e-05+0.00030192i,0.00067241+0.00082896i,0.00026552+0.00078205i,0.00041393+0.00070056i,0.00040091+0.00075946i,-0.00037274+0.00033947i,7.5848e-05+0.000368i,0.00065229+0.00078198i,0.00019121+0.00028709i,-0.00016701-0.00041601i,-9.3138e-05-0.0010116i,0.00010331-0.0012541i,6.1588e-06-0.00061755i
-0.0012791+0.0016265i,-0.00062178+0.002481i,-0.00025596+0.0017432i,-0.0010433+0.0018969i,-0.00063705+0.0019239i,-9.6295e-05+0.0012168i,-0.00046273+0.00062299i,-0.00030407+0.00057452i,-0.00033144+0.00076849i,0.00026889+0.0001068i,0.00096062-0.00072213i,0.00085601-0.00089825i,0.00036102-0.00082387i,0.00051533-0.00079277i,0.00046576-0.00043867i,-0.00029485-0.00029088i,-0.00019918-0.00052337i,9.2962e-05-0.00042853i,-0.00018896+0.00011951i,-0.00056422+7.3552e-05i,-0.00026278+6.8457e-06i,-0.00026243-0.00013966i,7.2137e-05-0.00031868i
-0.001933+0.0018402i,-0.0013282+0.0027585i,-0.00031476+0.0026904i,0.00080045+0.00095844i,0.0015275-0.00034921i,0.0016003-0.00039842i,0.0012253+0.00051562i,-0.00019211+0.0010016i,-0.0015332+0.00054501i,-0.0012931+0.0003481i,-0.00030285-0.00019876i,-4.0041e-05-0.00062438i,0.00044724-0.00071083i,0.00089954-0.00083622i,0.00068128-0.0015759i,9.9347e-05-0.0016122i,-7.5587e-06-0.0010795i,0.0004839-0.00063953i,0.00078889+3.2987e-05i,0.00045145+0.00029179i,0.00042083+0.00020316i,0.00057235-9.0338e-05i,0.0001192-0.00085836i
-3.3124e-05-0.0014174i,0.00062915-0.0022439i,0.0013484-0.0020363i,-3.1662e-05-0.0016848i,-0.0010902-0.0012438i,-0.00090848-8.9173e-05i,-0.00051428+0.00018381i,-0.00051426+3.4751e-05i,-0.00041551-4.7402e-05i,-0.00027854-0.00026341i,-0.0012414+0.0004216i,-0.0015473+0.00085167i,-0.0011506+0.00038216i,-0.0011392+8.6487e-05i,-0.0007246+0.00015169i,-0.00061743-4.8716e-05i,-0.00023737-0.00042498i,-0.0001096-0.00025503i,-0.00021021-0.00021144i,0.00020825-0.00076773i,-1.3767e-05-0.00084425i,-0.00011027-0.00090776i,0.00082504-0.00039188i
-0.0008718-0.00088778i,-0.0013424+0.00053564i,-0.0019639+0.0016767i,-0.0018864+0.0024224i,-0.00076114+0.0016492i,0.00071658+0.00017115i,0.001122-0.00011898i,0.00075553-0.00027383i,-8.5452e-06-0.00066839i,-0.00094794-0.00024142i,-0.00050124-0.00019008i,-0.00023496+0.00027735i,-0.00016959+0.00040998i,0.00013426-0.00032552i,-7.291e-05+0.00010356i,-0.00022117+0.00049759i,-0.00019768+0.00061037i,-0.00014745-1.7824e-05i,0.00022372-0.0002887i,0.00064384-9.0232e-05i,-0.00017097-0.00064253i,-0.0014048-0.00058922i,-0.00089929+5.2753e-05i
0.001703+0.00036874i,0.0022473+0.00043482i,0.0016065-0.00024013i,0.00076982+7.0489e-05i,-0.0003601+0.00059719i,-0.0010981+0.0003508i,-0.00023067-7.9226e-05i,8.2608e-05+3.8299e-05i,0.00021223+0.00018381i,0.00034461-1.9456e-05i,-0.00023059-0.00033981i,-0.0001601-0.00057117i,0.00031174-8.9404e-06i,3.4787e-05+0.0010294i,-0.00075926+0.00089441i,-0.00016698+2.3166e-06i,0.00060128-0.00015717i,0.00059055+0.00039788i,0.0008442+0.00014452i,0.001635-0.00079716i,0.0013315-0.00052573i,0.00026359-0.00017301i,5.0029e-05-0.00028755i
0.00018524-0.00064316i,-0.0018166+0.00015367i,-0.0015081+0.00033231i,-0.0010431+0.00020554i,-0.001436+0.00050005i,-0.0011417+0.00099045i,0.00014984+0.0016133i,0.00094386+0.0018453i,-9.9708e-05+0.0012829i,-0.00073654+0.00040523i,-0.00028726-5.9869e-05i,-1.8355e-05+0.00015582i,-0.00065598+0.00065013i,-0.0007667+0.0004979i,-0.00073587-0.00015655i,-0.00070951-8.0617e-05i,-5.3093e-05+7.6384e-07i,0.00032308+1.7484e-05i,-2.0079e-05+2.5617e-05i,-0.00017925-0.00056071i,0.00011347-0.00054667i,0.00023213-3.8882e-05i,0.00013364+0.00040743i
0.00041829-0.00063375i,-0.00028631-0.00030967i,-0.00046747-0.0011722i,-0.00095519-0.0016846i,-0.0010081-0.00039722i,-0.0007463-0.00018498i,-0.00099741-0.00079452i,-0.00087585-0.00048468i,-0.0001875-0.00027427i,0.00080597+0.00016025i,0.00027265+0.00025185i,-0.00022202+0.00044901i,0.00034906+0.00057927i,0.00048225+0.00019611i,-0.00025089-0.00041458i,-0.00062174-0.00066946i,-0.00056323-0.00059124i,-0.00072399-0.00071519i,-0.00014129-0.00045277i,0.00010581+0.00037794i,-0.00027675+0.0010394i,-0.00016563+0.00033727i,0.0001429-0.0002878i
0.001892+0.0011164i,0.0023804-8.3252e-05i,0.0016853-5.7101e-06i,0.00026595+0.00050087i,-0.00087203-0.00013874i,-0.0015942+2.5306e-05i,-0.0012258+0.00029535i,-0.00073801+0.0001163i,-0.00062141+0.00081094i,-0.00034986+0.00098709i,-0.00039629+0.00036393i,-0.00033057+6.3707e-05i,-0.00058761+0.00050211i,-0.00043979+0.00066249i,-3.3e-05-0.0001077i,-0.00050995-0.0004111i,-0.0012134-0.00033974i,-0.00093779-0.00055618i,-0.0003215-0.00044395i,-0.00011786+0.00044461i,0.00030229+0.00071821i,0.00048459+0.00027761i,0.00038686-8.0356e-05i
-0.001333+0.00079816i,-0.00088556+0.0011235i,-0.00065695+0.0010659i,-0.00034377+0.0011314i,0.00034454+0.00024854i,0.0010847-0.00057917i,0.00043255-0.00063438i,-0.00024039-0.00094514i,-1.1801e-05-0.00084965i,0.00030519-0.00036005i,0.00037691-0.00061536i,0.00020155-0.00054017i,0.00016809-0.00020489i,0.0003267-2.9994e-05i,0.0002218+0.00017646i,0.00058801+0.00052036i,0.0012439-1.073e-05i,0.00058898-0.0011734i,-0.00025456-0.00080901i,-0.00049037+0.00025261i,-0.00076652+0.00016532i,-0.00084603-0.00035511i,-0.00034053-0.00035891i
