-0.0013885+0.00058001i,-0.00063159+0.00034993i,-0.0017094+0.0020936i,-0.0016928+0.0024686i,-0.0012802+0.0021169i,-0.0015018+0.0017954i,-0.00063046+0.0018268i,0.00076273+0.0025558i,0.00173+0.0018257i,0.0019692+0.00093896i,0.0011509-1.4482e-06i,0.00052988-0.0004171i,0.00014626+2.3748e-05i,-0.00078924+0.00010799i,-0.00040658-0.00033422i,0.00057601-0.00022882i,0.00086232-0.00044375i,0.0011422-0.00056146i,0.0010693-0.00043028i,0.00038733-8.5117e-05i,-2.3097e-05+0.00011695i,-0.00021152-1.835e-05i,-0.00057716+0.00049461i
0.0011774+0.00036799i,0.0022436+0.0015383i,0.0021891+0.0015719i,0.0006976+0.001572i,-0.00086366+0.0013753i,-0.00027533+0.00062516i,0.00058119+0.00061531i,-0.00031564+0.00099203i,0.00011162+0.0010462i,0.0012971+0.0012791i,0.0012681+0.00067752i,0.00061577+0.00017059i,0.00027084+0.00042551i,0.00012897+0.0004813i,-0.00026935+0.00073654i,-0.00024945+0.00070707i,0.00031226+4.4794e-05i,0.00059624-0.00031551i,0.00044998-0.0003211i,0.00019812-0.00035539i,4.6493e-06-0.00033254i,-0.0001938+0.0001793i,-0.00039115+0.0002849i
0.00038082+0.00035774i,-0.00044395-2.0945e-05i,-0.00031098-0.00041235i,0.00022347-0.00039371i,0.00011596-7.6439e-05i,-0.00085373-0.00021194i,-0.00096989+0.00029341i,-3.5377e-05+0.0014269i,0.00058672+0.0015627i,0.00036113+0.00027687i,-7.2845e-05-0.00027597i,-8.7637e-05-3.7817e-05i,-6.2118e-06-0.00021689i,-0.0001245-0.00013307i,-0.00046051+0.00015935i,-0.00038892+0.00045361i,-0.00049312+9.8424e-05i,-0.00043702-0.00072627i,-0.00026671-0.00080216i,-0.00082259-0.00042003i,-0.00093282-0.00054238i,-0.00072465-0.00032371i,-0.0004232-0.00025444i
-0.00055277-0.00098674i,-9.1356e-05+4.9074e-05i,0.00032856-6.1538e-05i,0.00060857+3.3727e-06i,0.00048198+0.00017187i,0.00022675+0.00021947i,3.769e-05+0.00025606i,-0.00018424+0.00031444i,-0.00025867+0.00012233i,2.0942e-05+4.613e-05i,0.00028233+0.00026153i,-0.00030339+0.00047891i,-0.00029799+0.00038989i,0.00054952+0.00016537i,-0.00038494+0.00035269i,-0.00061187+8.5846e-06i,0.00053094-0.00058309i,0.00063746-0.00032307i,0.00028344-1.6075e-05i,0.00016365-0.0003876i,-1.8068e-05-0.0004809i,-0.00048494+1.0825e-05i,-2.0151e-05-0.00029882i
0.0012781-0.0011853i,0.00060657-0.0014943i,-0.00030091-0.0015084i,-0.0011565-0.0013831i,-0.0017088-0.00049129i,-0.0014452-0.00021777i,-0.00092225-0.00016555i,-0.00024405-1.2656e-05i,1.634e-06+0.00012123i,-0.0003618+0.00031767i,-0.00072168+0.00045552i,-0.00070499+0.00087702i,9.0771e-05+0.00064204i,0.00095645-0.00024196i,0.00089973-0.00080656i,0.0001175-0.0010431i,-0.00050185-0.00086388i,-0.00019051-0.00023032i,0.00011281+0.00032926i,-0.00099467+0.00066i,-0.0012739+0.00035421i,-0.00040553+0.0001073i,0.00011591+0.00029084i
-0.0002547+9.7869e-05i,-8.917e-06+0.001369i,-0.0006641+0.0018679i,-0.00039364+0.0016377i,-0.00035483+0.0012412i,-0.00055444+0.000962i,-0.00070433+0.0010253i,-0.00011499+0.0014405i,0.00045871+0.0015402i,8.3236e-05+0.00084052i,-0.00046224+0.00068645i,-0.00055415+0.00087914i,-0.00018034+0.0004526i,-0.0005545+7.5652e-05i,-0.00073942-0.00056265i,-0.00052386-0.00072991i,-0.00019937-0.00034751i,-4.5322e-05-0.00033612i,-1.4529e-05-4.4085e-05i,0.00024935-3.6229e-05i,-0.0004726-0.00057553i,-0.00069004-0.00043389i,0.00034741-3.7821e-05i
-0.00029837-0.00029947i,-0.00013225+8.5684e-07i,2.6994e-05-0.00011529i,0.00047395-8.7522e-05i,-9.0148e-05+0.0008941i,-0.0008182+0.001052i,-0.0005003-0.0004112i,0.00041743-0.00046985i,0.00098031+0.00030401i,0.00085212-0.00041405i,0.00027101-0.00070113i,0.00015694-0.00052989i,0.00065718-0.00035751i,0.0010736+0.00026636i,0.00084664+0.00034821i,0.00058752+0.00015339i,0.0005893+2.3499e-05i,0.00062486-0.00026427i,0.00052859-0.00077996i,0.00037281-0.00091728i,0.0003975-0.00078377i,3.8892e-05-0.00035206i,-0.00020218-0.00010256i
-0.00013685+0.0011298i,0.00060833+0.0002261i,0.0011321-7.9403e-05i,0.00052163-5.2485e-05i,0.00062845-0.00047135i,0.00093199-0.00066846i,0.00058175-0.00075898i,0.00021761-7.5792e-05i,0.0001766+0.00021684i,0.00054801-0.00053086i,0.00068214-0.00053893i,0.00068936+0.00070931i,0.00010005+0.00045449i,-0.00062594-0.00024248i,-0.00059313-0.00045167i,0.00023472-0.00060739i,0.00088555-0.00018802i,0.00034285-0.00037482i,-0.00056027-0.0012931i,-7.3129e-05-0.001287i,0.00083395-0.00072392i,0.0011686-0.00010492i,0.00043895-0.00046862i
0.0031609+3.342e-05i,0.0022209-0.00071879i,0.0011039-0.0014583i,0.00010652-0.0015477i,-0.0008421-0.001995i,-0.0016061-0.0013099i,-0.0011558+0.00062585i,-0.00032968+0.0016382i,-0.00055597+0.0011538i,-0.00086445+0.000626i,-0.00022855+0.00062533i,1.956e-05+0.00054406i,-9.8571e-06+0.0006876i,0.00054269+0.00081783i,0.0010718+0.00079872i,0.00078111+0.0004427i,2.5627e-08+0.00062216i,-0.00041413+0.00046724i,-0.00079528+0.00014262i,-0.00071007+2.2462e-05i,-0.00010104-0.00028566i,0.00074632+9.0277e-05i,0.00086505+5.0227e-05i
0.00090685+1.5074e-05i,-0.00010039+0.00055497i,-0.0010209+0.00097688i,-0.00093731+0.0015816i,-0.00018606+0.0013884i,0.00022973+0.0001501i,0.00058882+0.0003203i,0.00046203+0.0014345i,0.00014008+0.0013274i,-0.00013935+0.00041323i,-0.00017033+7.4383e-05i,0.00070603+0.00012976i,0.0005194+0.00080756i,8.1633e-05+0.00076098i,0.00023465+0.00055508i,-0.00020656+0.00042951i,-0.00064655+0.00020444i,-0.00021515-0.00023619i,0.00054283-0.0005247i,-0.00020167-0.00072199i,-0.00084001-0.00049452i,0.00015355-0.0001195i,0.00011316+6.0169e-05i
0.00060405+0.0010424i,-0.00039848+0.0011653i,-0.00042226+0.0018117i,7.1355e-05+0.0011885i,0.00054473-0.0002729i,0.00046734+0.00014342i,-0.00022112+0.0011454i,-5.6038e-05+0.0013349i,0.00042032+0.0008186i,0.00075461+0.00063667i,0.00077898+0.00043753i,0.00070229+0.00040166i,0.00081797+0.0008444i,0.00059164+0.0010696i,0.0003924+0.0010247i,0.00099345+0.00087274i,0.00083084+0.00054122i,0.00036302-0.00014676i,0.00016552+0.0001402i,-0.00056483+0.00030051i,-0.00073442-0.00012722i,5.641e-05+0.00053094i,-8.6228e-05+0.00033258i
