0.0011308-0.0017798i,0.00080082-0.0020642i,-0.0010468-0.0021008i,-0.001899-0.0010369i,-0.001731+0.00039365i,-0.0010778+0.00033786i,0.00030916+0.00029333i,0.001374-4.8577e-05i,0.0014756-0.00058526i,0.00066185+0.0003089i,-0.00011976+0.00099826i,-4.8702e-05+0.0012608i,0.00040748+0.0018659i,0.00096451+0.0018179i,0.00075277+0.0012404i,-4.9064e-05+0.00063287i,-0.00058935+0.00037445i,-0.00055324+0.00021399i,-0.00042448+0.00016181i,-0.00041843-0.00038265i,-3.0252e-05-0.001028i,0.00010036-0.00063446i,0.00057276+0.00014072i
0.0013861-0.00078875i,0.0010709-0.00090294i,-0.00019338-0.00028144i,-0.00096787+5.3987e-05i,-0.0010298+0.00043918i,-0.00013231+0.00093013i,0.00070721+0.00076313i,0.00070384+0.00022869i,0.0004369+0.00013877i,0.00010877+0.00017368i,0.0001103-8.6168e-05i,0.00036919-0.00071658i,0.00072488-0.00046752i,0.00064495+0.00094958i,0.00028342+0.0014677i,0.00022848+0.00089789i,0.00038879+0.00050437i,0.00030472+0.00018196i,0.00029365+0.00017181i,0.00074678+0.00056974i,0.00065447+0.00050843i,0.00018185+0.00027179i,0.00011485+0.00021762i
-0.0011815-0.00012103i,-2.8748e-05+0.0001276i,0.00018497+0.00048386i,8.2915e-05+0.00061846i,-7.5935e-05+0.00014992i,-0.00039866-1.5356e-05i,-0.00029144+2.087e-05i,8.3714e-05-0.00056281i,0.00030598-0.0012066i,0.00011119-0.00077271i,0.00044808+0.00018486i,0.00022448+0.00047399i,-0.00076763-3.7414e-06i,-0.00073592-0.00039912i,-4.4076e-05+0.0001096i,0.00024138+0.00058749i,0.00050686+0.00013609i,0.00081007-0.00014913i,0.0010717-0.00018805i,0.00098945-0.00083933i,0.00029984-0.00067277i,-4.8384e-05-0.00030282i,0.00027061+5.5015e-05i
0.00027473-0.0012406i,-0.00035616-0.0013616i,3.0529e-06-0.0024645i,7.2319e-05-0.0018204i,-0.00061756-0.00030536i,-0.0012787+0.00035884i,-0.00076756+0.00014001i,0.00025038-3.6007e-05i,0.00039105+0.00047441i,0.00034638+0.00034333i,0.00016097-0.0003591i,-7.9279e-05-0.00017714i,-9.547e-05+0.00020723i,-0.00038147+0.00026075i,-0.00049915+0.00095508i,-0.00078597+0.0016227i,-0.0012669+0.00088082i,-0.00059433+0.0006328i,-0.00039398+0.00022144i,-0.00010864-0.000186i,0.0006119-0.00024797i,0.0006301-0.00040977i,0.00053525-0.000531i
-0.00013874-0.00040205i,-0.00072123-0.00080794i,-0.0013965+0.00026687i,-0.00046886+0.00094409i,0.00025615+0.0015006i,-0.00029487+0.0016272i,-0.00046642+0.0013993i,-0.00042661+0.0011543i,-0.00030324+0.00050212i,-7.2315e-05-0.00077097i,0.00016931-0.00077495i,0.00016979+7.6524e-06i,-0.00017194+0.00062752i,-0.00016983+0.00073874i,9.4444e-05+5.4114e-06i,-0.00028749+0.00036528i,-0.00057917+0.00088178i,-0.00052331+3.9266e-06i,-0.00018402-0.00015757i,-0.00020917+0.00025162i,-5.6551e-06+0.00016741i,0.00063003+0.0001841i,0.00074539+0.00015081i
-0.00046257-0.00080901i,0.00066066-0.0015298i,0.0015673-0.0018515i,0.00083082-0.00084493i,0.00013568+0.00016943i,0.00012824+0.00016081i,0.00038073+0.00025918i,0.00043318+0.00048396i,0.00046676+0.00015156i,0.00030078+0.00019457i,-0.00022037+0.00028623i,-0.00032368-0.00020951i,0.00015882-0.00056988i,0.0005849-0.00048569i,0.0011139+0.00019017i,0.00092101+0.0008313i,5.6003e-05+0.001097i,-0.00080349+0.0010266i,-0.0011086+0.00083703i,-0.00086575+0.0006639i,-0.00047927-0.00014934i,-0.00042568-0.0006429i,-0.00031279-0.0002958i
0.00081499+0.00081887i,0.0013074-0.00014106i,0.00061443-0.00079553i,-0.00046716-0.0010006i,-0.00045939-0.00024582i,-1.4947e-05+0.00032245i,0.00062354+0.00037623i,0.00086296-0.00031653i,0.00021354-0.0011333i,6.8692e-05-0.00080008i,0.00032356-0.00021124i,0.00032862+0.00013032i,0.00037957+0.00031307i,-0.00039147+0.00043033i,-0.00053428+0.0003294i,5.8352e-05-0.00023492i,0.00053422-0.00025927i,0.00073006+1.4818e-05i,0.00036371-0.00028139i,-0.00030915-0.00034875i,-0.00053613-0.00025266i,1.1541e-05-0.0001348i,0.00047372+0.00010021i
0.0010325+0.0011619i,0.00035941+0.001178i,-0.00036761+0.00027394i,-0.00082397+0.00019191i,-0.00081473+0.00028383i,-0.0013442+0.00052589i,-0.00090936+0.00023697i,0.00068417+9.6955e-05i,0.00058434+0.00010364i,-0.00054739-0.00026854i,-0.0010497-0.00048336i,-0.00083231-0.00041654i,-0.00066328-4.6137e-05i,-0.00092237-8.6904e-05i,-0.00030785-0.00018065i,3.7604e-05-0.00057881i,-0.0001519-0.00080687i,-0.00063652-0.00041938i,-0.00091107+0.00053672i,-0.0005273+0.00086854i,0.00048309-0.00012873i,0.00052399-0.00050748i,-0.00052792+6.7012e-05i
-0.00012491+5.4275e-05i,-2.3572e-05+0.00029003i,0.00042747-0.0007306i,0.00020061-0.00117i,-0.00020287-0.00077992i,0.00027828+2.7912e-05i,0.00028051+0.0006255i,0.00066902+0.0001346i,0.00096315-0.00098087i,-0.00030898-0.0013886i,-0.0015151-0.00096856i,-0.0014208-0.00045058i,-0.00028575-0.00055582i,0.00055358-0.00073774i,0.00027199-0.00025134i,-0.00031166-0.00013228i,-0.00013443-0.0010506i,0.0010389-0.00097065i,0.0012361+0.00037975i,0.0005832+0.00056729i,0.00070409+0.00039904i,0.00075938+0.00065685i,0.00060108+0.00024747i
0.00012791-0.0017837i,-0.0003783-0.0013063i,-0.00084298-0.00028556i,-0.0007749+0.00081692i,-0.00040522+0.00053577i,-0.00044095-0.00022356i,0.00053263-0.00022177i,0.0016729-0.00021058i,0.0015591-0.00011357i,0.0017003-0.00011506i,0.0012053+0.00028258i,0.00025085+0.00028784i,-0.00066086+0.00023588i,-0.00057418+0.00088169i,0.00038316+0.00064105i,0.00089567+0.0005394i,0.00075626+0.00056874i,0.00047688-0.00023402i,-6.9069e-05-0.00085481i,-0.0004303-0.0001388i,-0.00051997+0.00013467i,-0.00026466+1.1962e-05i,4.8363e-05+0.0002106i
