-0.0040457+5.9036e-05i,-0.0029585-0.00046393i,-0.0018908+0.00015908i,-0.001234+0.001178i,-0.00073077+0.0017438i,0.00098082+0.0010318i,0.0014256+0.00095521i,0.00033108+0.0012592i,0.00068382+0.0012066i,0.0015102+0.00031879i,0.0013122-0.00039775i,0.00049256-0.0013784i,-5.2884e-05-0.0020402i,0.00013462-0.0013121i,3.7606e-05-0.00016385i,-0.00027431+0.00040722i,-0.00015122+0.00076793i,-0.00035414+0.00084823i,-0.00028205+0.00029268i,0.00067051+0.00083292i,0.00064398+0.0012144i,-8.0768e-05+0.00066417i,-0.00038176+8.2378e-05i
0.00089143+0.00017083i,0.0001593+0.0009966i,0.00019942+0.0012069i,0.0014128+0.0003094i,0.0020293-0.00049159i,0.0015463-0.00060272i,0.0007723-0.00013211i,-0.00010087+0.00051049i,-0.00062331+0.000685i,-0.00073694+0.0005646i,-4.2308e-06+0.00049806i,0.00057818+0.00025263i,0.00033877+4.3989e-05i,0.00060281-0.00013773i,0.00076018-0.00041563i,0.00055047-0.00037777i,2.7642e-05+0.00013962i,0.00010377+0.00032501i,0.00055887-0.00027235i,4.7823e-05-0.00039917i,-0.00085697-0.00061406i,-0.00072904-0.00083908i,-0.00028759+0.00019403i
0.001356-0.00082929i,0.00040568-0.00086064i,0.00044011-0.0021115i,-0.00086889-0.0036449i,-0.0023057-0.0039793i,-0.0013096-0.0029242i,-8.2762e-05-0.0016998i,0.00045337-0.00097682i,0.00045265-0.00030887i,-0.00040283+0.00062994i,0.00017523+0.00082634i,0.00099943+0.00067005i,0.00049042+0.00059523i,-8.9166e-05+0.00045994i,-0.00070332+0.00067105i,-0.00035018+0.00032228i,-0.00011775-8.8123e-05i,-0.00069284+8.0333e-05i,-0.00083132+0.00034013i,-0.00022784+0.0001163i,0.00037582-5.2969e-05i,0.00037228+0.00077592i,-0.00040422+0.00096555i
-0.00063344-0.00024901i,-0.0015099-0.00043685i,-0.0024272-0.00038636i,-0.0022905-0.00049976i,-0.0010515-0.00076205i,0.00057429-0.00013597i,0.00031399+4.1426e-05i,-0.00013412-0.00010128i,0.00044143-0.00012853i,1.3637e-05-0.00015033i,-0.00044104+0.00017869i,-0.00058327+0.0003472i,-0.00025824+0.00032687i,0.00037279+0.00023374i,0.0001365-0.00023509i,-0.00064606-0.00049775i,-0.00030768-0.00049187i,0.00041034-0.0003808i,0.00014395-0.00012009i,0.00019227-0.00010964i,0.00085621-8.7945e-05i,0.00055634+0.00029974i,0.00030788+0.00029068i
0.0006286+0.00019147i,0.0018444-0.00010451i,0.0023777-0.00070668i,0.0024004-0.0021823i,0.0018703-0.0032491i,0.0010306-0.0031357i,0.00081203-0.0024866i,0.0011379-0.0013047i,0.0011394-0.00037059i,0.00077167+9.4801e-05i,0.0003076+0.00019371i,-7.8674e-05+0.00012946i,0.00024393+0.00067925i,0.00044949+0.00073928i,0.00060649-0.00016775i,0.0010223-0.00051879i,0.00045259-0.00030314i,-3.0959e-05-0.00050657i,0.00026777-0.00099178i,7.5273e-05-0.00095057i,-5.6495e-05-0.00070777i,-8.2635e-05-0.00067859i,-0.00026588-9.2525e-05i
0.0006987-0.0021099i,0.00068398-0.0027406i,0.0012786-0.003269i,0.0011606-0.0034235i,0.00024186-0.0020025i,-0.00029196+0.00031262i,0.00034355+0.00059256i,0.0007356-0.00037805i,0.00014684-6.5117e-05i,-7.8673e-05+0.00072596i,0.0003567+0.00076843i,0.00063409+0.0013701i,0.00022821+0.0011749i,-0.00064232+0.00052314i,-0.00068398+0.00031134i,-7.4316e-05+0.00089114i,-0.00012592+0.0011439i,0.00028316+0.001044i,0.00060539-0.00031056i,0.00079723-0.0004488i,0.00095761+0.0006352i,4.474e-05+9.7609e-05i,-0.00067436-0.00036518i
-0.00075977+0.00015762i,-0.00078221+0.0011223i,0.00036812+0.0018433i,0.0006382+0.0018207i,0.00024+0.00097986i,0.0001677+3.8286e-05i,-0.00030796-0.0010616i,-0.00093743-0.00072681i,-0.00039071+0.0001975i,0.00015616+2.8717e-05i,0.000405-0.00011312i,0.00035167-0.00036456i,-1.9355e-05-0.00043421i,-3.0793e-05-5.4822e-05i,-0.00033539-7.2021e-05i,-0.000292-0.00031665i,-0.00026178-0.00089779i,-0.00060432-0.001124i,-0.00038979-0.00068682i,0.00029332-0.00027262i,0.00021903-0.00038432i,-0.00027336-5.2184e-05i,-0.00093407+0.0002971i
-0.00060486-0.00013588i,0.00020426+0.00026849i,-0.00019834+0.0006633i,0.00016284+0.00044661i,0.0010465+2.8265e-05i,0.0016903-0.00083964i,0.00079742-0.0012816i,0.00020504-0.0011578i,0.00059058+0.0001427i,0.00075462+0.00083537i,0.0011398+0.00098379i,0.0011087+0.00097985i,0.0005488+0.00012986i,0.00074112-0.00028448i,0.00055554-5.9665e-05i,0.00058796+0.00029232i,0.0010968-8.2864e-05i,0.0010402+0.00020481i,0.0013807+0.00091745i,0.0010988+0.00057363i,-0.00010688-0.00014224i,-0.0008628+6.0202e-05i,-0.0001135+0.00033349i
0.00090537-0.0025091i,-0.00082458-0.0038678i,-0.00098068-0.0042062i,-0.00013087-0.0037564i,-0.0001595-0.0026735i,-0.00013308-0.0010515i,0.0005154-0.000111i,0.0001924+0.00018884i,-0.0006301+0.00026187i,0.00020808+6.8064e-05i,0.0015183-0.00012306i,0.0011822+9.2904e-05i,0.0010314+0.00094231i,0.0009693+0.00066713i,0.0011425-0.00063558i,0.001492-0.00036863i,0.0010412+0.00050817i,0.0004428+0.00047044i,8.0494e-05+0.00047304i,0.00017354+0.00013377i,0.00028175-0.00016148i,-3.5218e-05-0.00055996i,9.9416e-05-0.00085897i
1.0327e-05+0.0023785i,-0.00083861+0.00072315i,-0.0012479+0.0016416i,0.00024022+0.0017548i,0.0018116+1.3471e-05i,0.0011013-0.001487i,7.9468e-05-0.001163i,-0.00048384+0.00027785i,-0.00063418+0.0006783i,0.00044854+0.00053608i,0.00076303+0.00029559i,0.00043283+0.00014726i,-0.00024037+0.0004105i,-0.00057016+0.00051362i,-0.00054905-0.00031347i,-0.00077465-0.0010394i,-0.00029378-0.00061649i,-1.9841e-05-0.00044569i,-0.00028477-1.1196e-07i,-0.00048271+0.00081203i,-0.00032691+0.00056579i,-0.00024264-0.0004609i,0.00037495-0.0010061i
-0.00037843-0.001475i,-0.00020465-0.00089178i,0.00098409-0.00083978i,0.0021938-0.0013202i,0.0017251-0.0010953i,0.00097314-0.0013706i,0.00092992-0.0012984i,0.0010141-0.00043016i,-6.083e-06+3.6499e-05i,-0.00032277-6.7447e-05i,0.00047546-0.00018964i,0.00045545-0.00019353i,-0.00016316+0.00027479i,-0.00051655+0.00063674i,-0.00066444+0.00093516i,-0.00026088+0.0012413i,5.975e-05+0.00048971i,-0.00016418-0.00013697i,-0.00020354-0.00040122i,0.00030191-0.00084433i,0.00045222-0.0002412i,-2.8283e-05-3.756e-05i,-0.00033754+0.00016046i
