-0.0027376+0.00060649i,-0.0013038+0.00044392i,-0.0020133+0.0010116i,-0.0015972+0.0011801i,-0.00090007+0.0016636i,-0.00026293+0.0013357i,-0.00064806+0.00093379i,-0.00090103+0.0013084i,0.00037234+0.0013622i,0.00087223+0.00058442i,0.00089997-0.00076693i,0.0015434-0.00091071i,0.0012771-0.00043904i,0.00015484-0.00019908i,-0.00094729+1.601e-05i,-0.0017034-0.00018469i,-0.0014081-0.00037283i,-0.00029506-0.0006372i,0.00045889-0.00043895i,8.7045e-05-4.0624e-05i,-0.00036535-0.00033888i,-0.00029608-0.0010168i,-0.00028167-0.00057646i
-0.0001021+0.0017917i,-0.00030537+0.00092718i,-0.0005851+0.0013002i,-0.00014763+0.0021937i,0.00083041+0.0020087i,0.00091166+0.00084142i,0.00049358+0.00039421i,-0.00014348+0.00053623i,-0.00019709-1.3774e-05i,5.2231e-05-0.00011595i,-2.6237e-05+0.00013691i,-0.00013001-0.00036586i,-0.00013536-0.0006344i,0.00020318+0.00013075i,0.00056497+0.0010876i,0.00092737+0.00075802i,0.0010944+0.00041388i,0.00099839+0.00032806i,0.00067888+0.00038972i,0.00039271+0.00056959i,0.00042182+8.1577e-05i,-0.00032074-0.00079581i,-0.00042989-0.00087002i
-0.0015637+0.00027281i,-0.00038908+0.0012238i,-0.00071636+0.001493i,0.00075488+0.0015516i,0.0021813+0.00076134i,0.0019174+2.4659e-05i,0.00038004-0.00017043i,-0.00043816+3.9167e-05i,-0.0003744+0.0009374i,-0.0005775+0.0010148i,-0.00051071+0.00039879i,-0.00048813+0.00062205i,-0.00089135+7.8203e-05i,-0.00047427+0.00011563i,-0.00080428+0.00066303i,-0.0001489-0.00020605i,0.001021-0.00084811i,0.00086097-0.0010497i,0.00044857-0.0009988i,-0.00043067-0.00095789i,-0.00040225-0.0008889i,9.9541e-05-0.0007045i,-5.7061e-06-0.00016831i
0.00029861-0.0012678i,-0.00066097-0.00093223i,-0.00053993-0.00029559i,-0.001101-0.00026171i,-0.00065028-0.00044925i,-0.00054372-0.00063246i,-0.00080746-0.00085082i,-0.00010163+0.0003257i,0.00034246+0.00069073i,0.00054893-0.00052761i,0.00039352-0.0011574i,0.00033147-0.0015331i,0.0011508-0.00073006i,0.00094895+4.7209e-05i,0.0005757-0.00018957i,0.00049867-0.00026019i,0.00025992+0.00036866i,3.5487e-05+0.00038001i,-0.00046142-1.7218e-05i,-0.00053093+3.8178e-06i,-0.00023191-0.00035182i,-0.00015437-0.00050591i,-0.00053353-6.8387e-05i
-0.00092507+0.00018603i,-0.00094463+9.5321e-05i,-0.00055762+0.0010979i,-0.00049825+0.0010957i,-0.00014527+0.00043089i,-6.0143e-05-0.00021418i,-0.00010741-0.0004733i,-0.00026558-0.00014348i,-0.00042671-0.00021432i,9.4771e-05-0.00032377i,0.00074262+9.0847e-05i,0.00047505+0.00013965i,-0.00036933-0.00036625i,-0.00049332-0.00022743i,-6.2786e-05+0.00011113i,0.00013551+0.00045174i,-0.00021135+0.00062127i,-3.7058e-05+0.00039232i,0.00045399+0.00071326i,0.00077044+0.00046388i,0.00071951+8.2577e-05i,0.00011301-1.037e-05i,3.4392e-05+7.712e-05i
-0.00055012-0.00072558i,9.7713e-05-0.00092516i,-0.0005006-0.00057438i,-0.00072582-0.00084642i,0.00048294-0.00064168i,0.00019015-0.00016559i,-0.00046782-8.8198e-05i,-0.00047624-5.1597e-05i,-0.001018-0.00054991i,-0.00033899-0.00094908i,0.0010569-0.0005305i,0.0012486+9.6552e-05i,-2.4296e-05-9.3305e-05i,-0.00027087-0.00015516i,0.00025209-8.806e-05i,-0.00032381+2.572e-05i,2.5998e-05+0.00067452i,0.00038823+0.00050932i,0.00067937-0.00065403i,0.00039265-0.001153i,-0.00042161-0.0011411i,-0.00074229-0.00098155i,-0.00022268-0.0013576i
0.00035895-0.00030646i,-0.0008785-0.00010207i,-0.0014735-0.00062655i,-0.0012503-0.0009611i,-0.0017285-0.000363i,-0.00191-0.00026641i,-0.00051802-0.00089143i,-0.00031182-0.00033334i,-0.00033888-0.00045497i,-9.4003e-05-0.00097232i,-0.00049854-0.0004962i,-0.00096762+0.0001909i,-0.00029675+0.00017772i,0.00039683+0.00028689i,4.2103e-05+0.00033568i,-1.3047e-05+0.00075277i,-0.00012709+0.00023634i,2.9005e-05-0.00015899i,-5.0881e-05+0.00064696i,4.6075e-05+0.001147i,0.00080431+0.00055715i,0.00050383-0.00022232i,-0.00035647-0.00052852i
0.001738+0.00059294i,0.0013631-0.00042503i,0.0016204-0.0013277i,0.0011948-0.0018615i,0.00074837-0.0022411i,0.00064694-0.0016091i,0.00054862-0.00051263i,0.00068977-0.00015233i,0.00096119-0.00049955i,0.00018813-0.00048845i,-0.00070309-0.00015702i,-0.0004934+0.00063969i,-0.00057557+0.0011385i,-0.00023855+0.00096233i,2.5821e-08+0.0008127i,-0.00019946+0.0012117i,-0.00052319+0.00084012i,6.0912e-05-0.00011203i,0.00048888-0.00021341i,0.00027729-0.00052992i,-0.00010605-0.00086996i,-0.00068304-0.00022696i,-0.00014162+0.0002472i
-0.00017549-0.0017387i,-0.0011457-0.0023749i,-0.0029603-0.0023549i,-0.0033178-0.0013386i,-0.0022151+0.00042335i,-0.0008462+0.0012147i,-4.1026e-06+0.00028055i,0.00031892-0.00054302i,0.00026248-0.0008474i,-0.00014576-0.00029315i,-0.00048668-9.0863e-05i,-2.1944e-05-9.815e-05i,0.0012948+7.0704e-05i,0.0016654+0.00014777i,0.0011416-0.00019958i,0.0003203-0.0003588i,-0.0009773-0.00057125i,-0.0014496-0.00061162i,-0.00080081+0.00022657i,-0.00056251+0.00054603i,-0.00099902+8.4086e-05i,-0.0008531-0.00018339i,0.00014662-0.00016125i
-0.00050052-0.0009909i,-0.00026056+0.00049652i,-0.00055798+0.00060783i,-0.00026464+0.0010118i,-7.1629e-05+0.0016518i,0.00066615+0.00094556i,0.00083237+0.00060705i,0.00028077+0.00021068i,-0.00074812-0.00072898i,-0.00061677-0.00094877i,0.00038635-0.00058669i,0.0010982+0.00045697i,0.0010784+0.00038095i,0.00035536-0.00065389i,-0.00032132-0.00026154i,-0.00052394+0.00028148i,0.00035526+0.00025705i,0.00024433-0.00021501i,-0.00038556-0.00053515i,-0.00026508-0.00032796i,-0.00019505+0.00045716i,-0.00016652+0.00016475i,8.2116e-05-0.00062827i
0.00097899-2.5939e-05i,0.00065155+0.00018864i,0.0002702-0.00011215i,-5.9171e-05-0.00082934i,-0.00036677-0.00052477i,-0.0003573-0.00058918i,-0.00018641-0.00048961i,-0.00030152-0.00028954i,-0.00042262+2.2882e-05i,-0.00015078+0.00047654i,-0.0001973+0.00019689i,-0.00041257-0.00026823i,-0.00017382+0.00010732i,-8.3565e-05+0.00061845i,0.00048134+0.00042879i,0.00021101+0.00027703i,-0.00082308+0.00012802i,-0.0010513+0.00035736i,-1.7769e-06+0.00049516i,0.00050483-0.00022307i,0.00071663-0.00040385i,0.00088266+0.00029065i,0.00039136+0.00020612i
