4.8959e-05+0.00026527i,0.0007531+0.00029365i,0.0012661-0.0016616i,0.00032025-0.0025453i,-0.00098519-0.0011758i,-0.0015356+0.00035719i,-0.00082552+0.001485i,0.00013222+0.0017782i,0.0007166+0.00086682i,0.00084792-0.0001044i,0.0005007+7.763e-05i,-5.7324e-05+0.00076927i,3.9986e-05+0.00069091i,-8.7086e-05+0.00053741i,-0.00067639+0.00034958i,-0.0010793+0.00012997i,-0.00093049-6.4812e-05i,-0.00046141-2.3962e-05i,0.00024308-3.7937e-05i,0.00018521+0.00012864i,0.00021816+0.00035384i,0.00040761+0.00024691i,3.7831e-05+0.00034475i
0.00043851-0.0010956i,0.0010477-0.00068504i,0.0006369-0.00039414i,0.00030797+0.00018554i,-0.00075808+0.00073227i,-0.00057945+0.00042089i,-0.00056078+0.00022465i,-0.0010213+0.00081294i,-0.00055657+0.00099576i,0.0001326+0.00067827i,-0.00045517+0.00039221i,-0.00069035-0.00011441i,0.00063683+0.00020438i,0.0011683+0.00011349i,-9.2709e-05-0.00077053i,-0.00047586-0.001289i,-1.2465e-05-0.00068764i,-2.7402e-05+0.00015901i,0.00028475-0.00016697i,0.00053861-0.00050628i,0.00046891-0.00035281i,0.00031604+0.00021828i,-2.9966e-06+0.00059444i
-0.00031855+5.9497e-05i,0.00032218+0.00030247i,0.00022609-0.00029065i,-5.579e-05-0.00013867i,-0.00023861+0.0013239i,-0.00077714+0.0023516i,-0.00046146+0.0016954i,-0.00016946+0.00074231i,-0.00045689+0.0005497i,-0.00062329+0.00083307i,6.8664e-06+0.00060654i,0.00029212+0.00021471i,-0.00032458-0.00023135i,0.00030846-0.0002736i,0.00073381-0.00015196i,-0.00014316-0.00044551i,-0.00054525-0.00082945i,-0.00020724-0.00039816i,0.00012595-0.00035886i,0.00047788-0.0005293i,7.1071e-05-0.00022976i,-0.00046702-0.00032758i,-0.00056255-0.00059933i
-0.00016249-7.6004e-05i,0.0006406-0.0011478i,0.00011957-0.0013272i,-0.00071223-0.00055814i,-0.00059804-9.1909e-06i,0.00016493+0.00067968i,-8.0277e-05+0.00031819i,-0.00040939+0.00036325i,-4.7861e-05+0.00031183i,0.00016772-2.2593e-05i,0.00047269-0.0001281i,0.00078155-0.00028043i,0.00047652-0.00042994i,-0.00030609-0.00030139i,-0.0004323-0.00013507i,-0.00011135-0.0001165i,0.00010018-0.00027138i,9.0891e-05+0.00026791i,-0.0004438+0.0007217i,-0.0002577+0.00073637i,0.00013548+0.00084771i,9.5892e-05+0.00054457i,0.00065695+0.00050695i
0.00030583-0.00038498i,-0.00069168+0.00026356i,-0.001412+1.3245e-05i,-0.0012516+0.00067942i,-0.00058898+0.0015816i,-0.0006499+0.0017158i,-0.0011523+0.0016173i,-0.00044889+0.00077443i,-8.7415e-05-0.00025178i,-0.00027825+0.00024926i,0.00037616+0.0011024i,0.00050571+0.00057574i,7.5477e-05+8.7205e-05i,-1.7938e-05+0.00067929i,0.00019476+0.00064176i,-0.00020129+5.8653e-06i,-0.00029234-0.00052455i,0.0004118-1.3924e-05i,0.00068821+0.00062324i,0.00035021-6.4238e-05i,-0.00054627-0.00029707i,-0.00043416-5.2988e-05i,-0.00019325+0.00021382i
-0.00022052+0.00014706i,-0.00011076-0.00040274i,-0.001051+2.1727e-05i,-0.0011766+0.00037623i,-0.00088121+0.00042587i,-0.00040753+0.0013153i,-7.1943e-05+0.0012867i,-0.00011069-3.1543e-05i,-0.00014325-0.00062484i,-0.00047764-0.00049185i,-0.00062204-0.00018495i,-0.00056564-0.00013721i,-0.00049599-0.00063061i,-0.00026806-0.00036317i,-0.00034784-0.00018307i,-0.0011435-0.00039196i,-0.0014076-0.00054814i,-0.00075911-0.00069129i,-0.000286-0.00046465i,-4.4886e-05-0.00012979i,-0.00035527+0.00040456i,-0.00049313+0.00081624i,-0.0008248+0.00042137i
-7.5859e-05-0.0021819i,-0.00069706-0.00062442i,-0.00098771-0.00021267i,-0.00064306-0.00058734i,-0.0009365+0.00061666i,-0.0017587+0.0019458i,-0.0013784+0.0015069i,-0.00074752+0.0010128i,-0.00080613+0.00055769i,-0.00074764+0.00015218i,-6.2202e-05+0.00021222i,0.0008128-0.00027854i,0.00038497-0.00067463i,-0.00027783-0.00055747i,-0.0006232-0.00091636i,-0.00064192-0.00096972i,-0.00038727-8.4384e-05i,-0.00022566+2.7959e-05i,-2.3128e-05-0.00030686i,-3.9331e-05-0.00032421i,-0.00014275+6.9241e-05i,-0.00076826+0.0001289i,-0.0001459-0.00010109i
0.00011401-0.00010164i,0.00091811-0.00027264i,0.00075448+0.00033504i,0.00074051+0.0011931i,0.0011918+0.0009855i,0.00081659+0.0010343i,-5.6721e-05+0.0015662i,-0.00023754+0.0011258i,-0.00078869+0.00026577i,-0.00083628-4.3893e-05i,0.00046987+0.00042892i,0.00049153+0.00043733i,-0.00014189+0.00038033i,-0.00012922+0.00018118i,4.848e-05-0.00015832i,-0.00027313-0.00024104i,-0.00085204-0.00076497i,-0.00071675-0.00034255i,5.5411e-05+0.0011445i,3.2941e-05+0.0017637i,-0.00061785+0.00092138i,-9.1978e-05-0.00042356i,0.0006061-0.00019476i
0.00023456-0.0001019i,0.00029685+0.00092354i,0.00081915+0.00027631i,0.0012222+0.00040711i,0.00018058+0.0010395i,-0.00095419+0.0012532i,-0.00035696+0.0015162i,-0.00030383+0.0010895i,-0.00052205+0.0011328i,-0.00029644+0.00089529i,3.4468e-05+0.00018501i,-0.00039694-0.00044253i,-0.0013216-0.00083749i,-0.0007224-0.00069345i,-0.00021792-0.0004566i,-0.00022718-0.0006397i,-0.00017443-0.00082652i,-7.8761e-05-0.00090913i,1.3683e-06-0.00086668i,0.00036817-0.00024314i,0.00092242+4.0423e-05i,0.00090903+0.00015579i,0.001016+0.0013021i
-7.9531e-05+0.00011191i,0.00035722-0.0012286i,0.00048166-0.0012764i,0.00040441-0.00061271i,-0.00019569+0.00046555i,-0.00052456+0.00063022i,-0.00014572+0.00080797i,-0.00061353+0.00095805i,-0.00077435+0.00098441i,-0.00063529+0.0011913i,-0.00033315+0.00052489i,0.00011873+5.9656e-05i,-0.00017859+1.4321e-05i,-0.00054437-0.00015658i,-0.00085977-0.00035182i,-0.00042966+2.8371e-05i,0.00016744+9.0702e-05i,-6.0348e-05-0.00018774i,-0.00048752+0.00019714i,-0.00016792+0.00032665i,0.00042053-0.00016969i,0.0001748-0.00079349i,0.00020105-0.00057476i
-0.0007253-0.00058388i,-0.00015463-0.00023542i,-0.00091504+0.00030197i,-0.0018941+0.00054345i,-0.0024008+0.00088338i,-0.0018202+0.0012035i,-0.00081132+0.0010916i,-0.00054075+0.0004947i,-0.00081651+0.00050451i,-0.0011403+0.00087624i,-0.00024433+0.0006123i,0.00057164+0.00017681i,0.00062117-0.00037669i,0.00042855-0.0013716i,0.00036912-0.0015288i,0.00020265-0.0011608i,-0.00067105-0.0011146i,-0.0010034-0.00042269i,-0.00069186-0.00028856i,0.00023547-0.00021572i,0.00029091+0.00050297i,0.00049408+0.00048256i,0.00034043+0.00023108i
