-0.001774+0.0011397i,-0.0018208+0.0016221i,-0.00050787+0.0023201i,0.0013627+0.0022319i,0.0024302+0.00096556i,0.0015502+9.7658e-05i,0.00042682+0.00055373i,0.00063594+0.00043565i,0.0013743-5.9172e-05i,0.0015875-0.00047202i,0.0009019-0.00079246i,-0.00030186-3.8961e-05i,-0.00084173+0.00060423i,-0.00046054+0.00031355i,-0.00027647+6.8561e-05i,-0.00077706-7.1144e-06i,-0.0004342-0.00082871i,0.0003037-0.00073119i,-7.9106e-05+0.00045415i,-0.00026506+0.0006085i,0.00016753+0.00017608i,-0.00023881+0.00043932i,-0.00072244+0.00095519i
0.0015804+0.00065413i,-0.00067241+0.0019577i,-0.0024639+0.0041713i,-0.0015489+0.0077818i,0.0030829+0.0085896i,0.0073749+0.0052465i,0.0061748+0.0011396i,0.0038085-0.00051097i,0.0027809-0.0018326i,0.00093957-0.0026902i,7.5787e-05-0.001595i,0.00078538-2.1105e-05i,0.00088026+0.00019129i,0.00036753-0.00053294i,0.00019572-0.0011504i,-0.00017574-0.0012077i,-0.00088585-0.0012569i,-0.0007343-0.0011886i,-0.00023925-0.00061851i,0.00042099-0.00020725i,0.00047637-4.6592e-05i,0.00066043-0.00016625i,-1.0234e-05-0.00055124i
-0.00065249+0.001878i,-0.001374+0.0038036i,0.00064159+0.0065402i,0.0046422+0.0056533i,0.0076561-0.00053792i,0.0058508-0.0056225i,0.0021524-0.0057119i,6.5913e-05-0.0035278i,-0.0016514-0.002182i,-0.0022625-0.00096772i,-0.0012593+0.00024644i,-9.0558e-05-0.00023408i,2.3413e-05-0.00086307i,-6.8662e-05-0.00087383i,-0.00016166-1.3561e-05i,-0.0005468+0.001298i,-0.00098399+0.0016436i,-0.00060003+0.00054425i,0.00048024-5.4529e-05i,0.0009154+0.00084089i,0.00095653+0.0015061i,0.00041255+0.0013385i,-0.00048272+0.00030873i
-0.00099959-0.001978i,0.0014797-0.00070133i,0.0017879+0.00049107i,0.0007104-0.00018718i,-0.0025865-0.00052833i,-0.0056895-0.00053143i,-0.0044875-0.0007174i,-0.0018531-0.00038882i,-0.0011812+0.0012544i,-0.00039175+0.0024958i,-0.00013377+0.0014511i,-0.00086217+3.9796e-05i,-0.0014942+7.7458e-05i,-0.0014411+0.00074844i,-0.00082759+0.0010089i,-0.00031477+0.0014055i,0.00061224+0.001896i,0.00088585+0.0016951i,0.00081567+0.00066695i,0.0011656-0.0002096i,0.00088866-0.00051324i,0.00083893-7.2403e-05i,0.0011827-2.3247e-05i
-0.0038855+0.0013722i,-0.0033032+0.00023246i,-0.0035625+0.0013446i,-0.0036308+0.0044734i,-0.0017121+0.0076796i,-0.00018453+0.0090149i,0.00019152+0.0064703i,0.0014659+0.0031443i,0.002949+0.0024414i,0.0031848+0.0021643i,0.0018775+0.0014454i,0.00028661+0.001751i,-0.00013706+0.001504i,0.00039546+0.00055085i,0.001688+0.00080623i,0.0022467+0.00010962i,0.0017719-0.00085541i,0.0017664-0.00033896i,0.0012883-4.3284e-05i,0.00069951-0.00015701i,0.00060953-0.00034575i,0.00028977-0.00038212i,0.00034797-0.00058217i
-0.0030845+0.0030045i,-0.0046923+0.0040519i,-0.0048641+0.0063088i,-0.00021438+0.0086329i,0.0069512+0.0079385i,0.0098507+0.0040938i,0.0066613+0.0012i,0.0035821-0.00031288i,0.003408-0.0013704i,0.002728-0.0010949i,0.0012674+0.0001784i,0.00026121+0.00084259i,0.00051716+0.00036539i,0.0012268-0.00054072i,0.00072179-0.0010925i,-0.00026574-0.0006592i,-0.0010871-0.00026701i,-0.0013198-0.00060607i,-0.0011265-0.00075456i,-0.00019054-0.00086642i,-0.00044177-0.0012013i,-0.0011613-0.0012105i,-0.000559-0.00068619i
0.0032646+0.0024413i,0.0015297+0.0056898i,0.0018833+0.0081461i,0.0039424+0.0053443i,0.0042693-0.0025128i,0.0025972-0.0075377i,0.00090254-0.0071312i,0.00083669-0.0050895i,7.1826e-05-0.0042438i,-0.0010678-0.0029708i,-0.00058156-0.0012192i,0.00076573-0.00041961i,0.00092661-0.00090698i,4.7655e-05-0.0013633i,-0.00048471-0.00016815i,-0.00025794+0.0010154i,0.00084993+0.0011469i,0.00069352+0.001102i,-0.00042896+0.00051849i,-0.00059634+0.00029889i,-0.00042232+0.0011087i,-0.00056597+0.0017785i,-0.00047631+0.0012097i
0.0018587-0.0010476i,0.0033973-0.0013804i,0.0024141-0.0003221i,0.00028778+0.001497i,-0.0043786+0.0016578i,-0.0082854+0.0011314i,-0.0072047+0.00046724i,-0.0048958+2.3515e-05i,-0.0037534+0.00023362i,-0.0019336+0.00087463i,-0.0008526+0.00061787i,-0.00091223-0.00015657i,-0.0014846-0.00016848i,-0.0019388+4.7245e-05i,-0.0010094+0.00078237i,0.00041973+0.001118i,0.00046079+0.00095674i,0.00058994+0.0003433i,0.00072288+7.7625e-05i,0.00084075+0.00050051i,0.0011518+0.00032551i,0.00084335-0.00032356i,0.000147-0.0004462i
-0.0022409-0.0022885i,-0.00293-0.0035669i,-0.0036884-0.00031236i,-0.0016318+0.0049915i,0.00153+0.0095794i,0.0022792+0.01004i,0.0015228+0.0066039i,0.00074562+0.004036i,0.00084044+0.0030354i,0.0020099+0.0019535i,0.0017682+0.00033438i,-2.744e-05-0.00045824i,-0.0010804+0.00035987i,-0.00039851+0.0012346i,0.00055771+0.00071124i,0.0012078+0.00011213i,0.00094425-0.0001351i,0.00045091+0.00052005i,0.00052973+0.00097536i,0.00039471+0.00033534i,0.00011195-0.00075944i,0.00065465-0.0013832i,0.0013877-0.0011995i
-0.0028216+0.004592i,-0.0032359+0.003969i,-0.0020229+0.0051859i,0.0030259+0.0066447i,0.0096968+0.0032617i,0.0098446-0.0012779i,0.0057226-0.0011117i,0.0040515+0.00023197i,0.0037305-0.0010258i,0.0028924-0.0017909i,0.001203-0.00039183i,0.0011017+0.0015542i,0.0016571+0.0017039i,0.0018027+0.00043343i,0.0018176-0.00060868i,0.001016-0.001425i,0.00023987-0.0014125i,0.00024547-5.5251e-05i,-2.7393e-05+0.00083025i,-5.5594e-05+0.00057505i,-8.0455e-06+0.00055509i,-0.00084517+0.00030401i,-0.0013559+0.00020763i
0.002205+0.0050955i,2.215e-05+0.0051903i,0.0016534+0.0045041i,0.0039545+0.00081551i,0.0029808-0.005089i,-0.00037103-0.0074478i,-0.00070269-0.00552i,0.0010085-0.0039632i,0.00065485-0.0042045i,-0.00011615-0.0036903i,-9.282e-05-0.0020058i,0.0004072-0.00077496i,0.00088148-0.00023727i,0.00067705-0.00070315i,-8.0037e-05-0.00096557i,-0.0013674-0.00097969i,-0.001229-0.00023851i,0.0001089+0.00082699i,0.00022866+0.0008122i,-0.00031447+0.0004963i,4.1026e-05+0.00016173i,0.00061248+0.00018899i,0.00028551+0.00066507i
0.0031518-0.002364i,0.003412+0.0012364i,0.0012609+0.0031135i,-0.0030329+0.0032153i,-0.0060664+0.0048587i,-0.0058687+0.0049515i,-0.0036791+0.001368i,-0.0028567-0.0017727i,-0.0040819-0.0016494i,-0.0040053+0.00012714i,-0.0022547+0.00066911i,-0.00096427-5.2842e-05i,-0.00081474-0.00073042i,-0.00044998-0.00021734i,0.00016014+0.00036511i,-4.2975e-05+0.0006855i,2.3993e-05+0.0010499i,0.0002967+0.00079427i,0.00038965-0.000126i,0.00088226-0.00070075i,0.00075173-0.00084627i,0.00099903-0.00057925i,0.0016673-0.00018846i
-0.0028266-0.0023689i,-0.0034255-0.0024502i,-0.0031338+0.0012149i,-7.6206e-05+0.0054049i,0.0041401+0.0076971i,0.0054865+0.0061814i,0.0030489+0.0028954i,-0.00060383+0.0026524i,-0.0019455+0.0040885i,-0.00014379+0.0038941i,-1.314e-05+0.0023515i,-0.0013568+0.00085164i,-0.0011513+0.00036234i,0.00025428+0.00050207i,0.0012117+0.00080929i,0.00085592+0.00011943i,0.00019499-0.00038799i,-0.00027755-0.00014156i,-0.00073576+0.0003471i,-0.00051905+0.00016993i,-0.0002854-0.00079067i,-0.00085196-0.0012283i,-0.00084663-0.0012681i
-0.0015938-0.0012289i,-0.003213-0.00064587i,-0.0024848+0.0023794i,0.0015707+0.0043971i,0.005523+0.00066572i,0.0056041-0.0032534i,0.0029514-0.002388i,0.0027716-2.8477e-05i,0.0037364+0.00094761i,0.0029823+0.00060356i,0.0017601+0.00076133i,0.00043956+0.0011033i,6.8421e-05+0.00088035i,0.00045743+0.00087563i,0.0010101+0.00047712i,0.0011302-0.00020832i,9.8946e-05+0.0002178i,-0.00052251+0.00097207i,-0.00028572+0.00043465i,0.0003439+4.3399e-05i,0.00031589+0.00013086i,-2.392e-05-2.2502e-05i,-0.00080648+0.00016843i
-0.0041191+0.0051027i,-0.0052729+0.0054656i,-0.0024174+0.006929i,0.00088287+0.0054638i,0.00071293-0.00025615i,-0.0021834-0.0033191i,-0.0015208-0.0016781i,0.0018858-0.0011505i,0.0025586-0.0025683i,0.0018697-0.0023271i,0.0014337-0.0010507i,0.0020145-0.0006374i,0.0026629-0.00093423i,0.0015388-0.00097865i,-0.00014877-0.00071223i,-0.00070557-0.00073111i,-8.5124e-06-0.00029076i,0.0001185+0.00018266i,-0.00048-3.0228e-05i,0.00028625+3.5424e-05i,0.00077693+0.000125i,0.00075485+0.00011774i,0.00057817+0.0011214i
0.0071657+0.003478i,0.0066741+0.0041348i,0.0042189+0.0024273i,-8.1416e-05+0.0024043i,-0.0033728+0.0058037i,-0.002763+0.0067655i,0.00028422+0.003432i,0.0014428-0.00035171i,-0.00051019-0.0021246i,-0.0014895-0.0022569i,-0.00058922-0.0016377i,0.00048412-0.0013706i,0.0011991-0.0013163i,0.0006464-0.00051366i,-0.00041029+0.00012525i,-0.00064235+0.0003229i,-0.00078936-0.00054256i,-0.00032747-0.0013005i,0.00080454-0.00082399i,0.00078736+0.00014361i,6.0916e-05+6.1999e-05i,0.00023579-0.0009034i,0.00097204-0.00091273i
-0.00072105-0.0028472i,0.00064032-0.00058575i,0.00024756+0.003547i,0.0012083+0.0072501i,0.0060535+0.008513i,0.0091391+0.0050345i,0.0055412-0.00029367i,0.00089459-0.0020208i,-0.00068171+0.00028125i,-0.0012029+0.0023317i,-0.0014671+0.0023647i,-0.0016704+0.00054433i,-0.0016428-0.00042911i,-0.00099098+3.0335e-06i,-0.00066453+0.00027226i,0.00011974+0.00028184i,0.00072387-0.00012071i,0.00045035-0.00036752i,0.00064951-4.8093e-05i,0.00059174+0.00019444i,-2.7494e-08+0.00018913i,-8.9681e-05-0.00066979i,-0.00024881-0.0018015i
-0.0046556-0.0025419i,-0.0045628-0.0021326i,-0.0020757+0.0014521i,0.0032079+0.0019738i,0.0072729-0.0024447i,0.0049781-0.0058412i,-0.00065137-0.0036109i,-0.0022154-5.6634e-05i,-0.00017954+0.0010239i,0.0012923+0.00027847i,0.0016814-0.00018525i,0.00076999+0.00087735i,-0.00035202+0.0016773i,-0.00059888+0.0014393i,-5.0338e-07+0.00075313i,0.00055913-3.1977e-05i,0.0004877-0.0001414i,-1.3433e-05+0.00027994i,-0.00027327+0.00057835i,-0.00023395+0.00067929i,-0.00027725+0.00085916i,-3.0359e-05+0.0011531i,-0.00071231+0.0012324i
-0.0025907+0.0016377i,-0.0038976+0.0024369i,-0.0021531+0.0039234i,-0.0012209+0.002061i,-0.0040624-0.0012535i,-0.0065417-0.00092137i,-0.0037729+0.00077202i,0.00098107+0.0010999i,0.0018596+0.00029762i,0.0014983-0.00052369i,0.0021875-0.00058716i,0.0019702-0.00040596i,0.00073492-0.00024885i,-0.00048321-0.0003247i,-0.0010605-0.00013132i,-0.00088558+0.00041403i,-0.00019241+0.00080981i,0.00074336+0.0012596i,0.0014713+0.0014773i,0.0007478+0.00099449i,0.00016015-0.00044091i,0.00095929-0.0014226i,0.0011519-0.00047902i
0.0029812+0.0023474i,0.00012648+0.0040997i,-0.0029172+0.0041073i,-0.0034784+0.0054084i,-0.0019726+0.0078236i,0.00097775+0.0088984i,0.003314+0.0051089i,0.0033502-0.00098396i,0.0010751-0.0035739i,-0.00063416-0.0027978i,-0.00078825-0.0016374i,-0.00086072-0.0011664i,-0.00040496-0.0015439i,-3.467e-06-0.00060952i,-0.00049905+0.00022895i,-0.00039321-0.00023661i,6.6346e-06+1.326e-05i,0.00041195-0.00019913i,0.00040835-0.00078803i,-0.00023496-0.0017924i,-0.00019352-0.0022647i,-0.00013814-0.0015879i,0.00020461-0.0020502i
0.0082254-0.0027866i,0.0070491-0.0007775i,0.003197+0.0031997i,0.0024168+0.0053967i,0.0060552+0.0036949i,0.0076193-0.00042097i,0.0046212-0.0039307i,0.0014826-0.0041333i,-0.0013697-0.0023563i,-0.0025114-0.00010552i,-0.0018695+0.00079222i,-0.0014778+0.00045465i,-0.0014639-7.8454e-05i,-0.00096107-0.00038627i,-0.00073748-3.4321e-05i,-0.0009217+0.00014504i,-0.00078635-0.00028919i,-0.00098465-0.00050739i,-0.0010844-0.00039963i,-0.00038906-0.00038117i,-0.00055185-0.00031007i,-0.0016169-0.00052937i,-0.0021268-0.00078622i
-0.0037832-0.0054576i,-0.0032229-0.0036222i,-0.0014305+0.0017129i,0.00079939+0.0028997i,0.0024749-0.0018621i,0.0002125-0.0056441i,-0.0022215-0.0041233i,-0.0015464-0.00088051i,-4.4423e-05+0.00067913i,0.00096837+0.0018024i,0.00090649+0.0018437i,0.00030841+0.0012163i,7.1813e-05+0.0017063i,0.00022215+0.0015534i,-0.00025586+0.00095603i,1.4035e-05+0.00061359i,0.00030188-0.00037807i,-0.00057365-0.00019267i,-0.00022716+0.00060815i,0.00038765+0.00087153i,0.00034661+0.00088253i,0.00084402+0.00046765i,0.00067935+0.00056555i
-0.0038124+0.0025259i,-0.002861-7.427e-05i,0.00091938+0.00054221i,0.0017614+0.002285i,-0.0012531+0.0026473i,-0.0037478+0.0034321i,-0.0027017+0.0053259i,0.00031518+0.0048124i,0.0019748+0.0024593i,0.0023314+0.00076129i,0.0017937+0.00010151i,0.0012175+7.8933e-05i,0.0015699+0.00062309i,0.001648+0.00054009i,0.0010156+0.00090213i,0.00059341+0.0015883i,0.00087004+0.0016696i,0.0012166+0.0014759i,0.00071904+0.00092916i,6.2843e-06+0.00050897i,-3.2325e-05+0.00033916i,0.00085314-0.00023959i,0.00105+5.7993e-05i
-0.00188+0.007134i,-0.0043776+0.0074245i,-0.0032797+0.0052911i,0.00032578+0.0059295i,0.0027498+0.007518i,0.0048291+0.0070527i,0.0063304+0.0040745i,0.0059429+0.0011329i,0.003902-0.0016266i,0.0012333-0.0033666i,-0.00053259-0.0022271i,-0.00063108-0.00063015i,-0.00071343-0.00058578i,-0.0012504+0.00018459i,-0.0010751+0.00072623i,0.00011851-0.00026187i,0.0010379-0.00077499i,0.0013635-0.00073318i,0.001489-0.0011672i,0.00078084-0.00082629i,2.1134e-05-0.00053696i,0.00027305-0.00095973i,0.00065034-0.00088367i
0.0038714+3.0077e-05i,0.0016473+0.0012977i,-0.0021176+0.0031785i,-0.00054848+0.0036119i,0.0046893+0.00060991i,0.0062994-0.0037126i,0.0040222-0.0054819i,0.0014693-0.0052093i,1.958e-05-0.0042626i,-0.00087142-0.0023258i,-0.0012682-0.00090393i,-0.0013337-0.0007447i,-0.0021808-0.00040053i,-0.001584+0.00016749i,0.00025242-0.00016349i,0.00041975-0.0010974i,0.0006739-0.0012065i,0.00073246-0.00082249i,-0.00030963-0.0013281i,-0.00072161-0.0012927i,-0.00066053-0.00063718i,-0.00095488-2.7354e-05i,-0.0010714+0.0001487i
0.0010164-0.0079059i,0.0015928-0.0039509i,-0.00071111+0.0027778i,-0.0028678+0.0052242i,-0.0039779+0.00082806i,-0.0052904-0.0018231i,-0.0061096-0.0013918i,-0.0048239-0.0015463i,-0.0032264-0.00080989i,-0.0015223+0.00078269i,-2.2955e-05+0.002023i,0.00037682+0.0018857i,-6.1063e-06+0.0010292i,-0.00047422+0.00068634i,-0.00022046+4.3687e-05i,-7.1117e-05-0.00024025i,-0.00052924+0.00029776i,-0.00027989-0.00030786i,0.00024525-2.8919e-05i,-0.00014627+0.0006149i,-0.00015249+0.00085853i,3.8534e-05+0.0015693i,-6.4311e-05+0.0020355i
