-2.1995e-05+0.00069047i,-0.00055004-2.303e-05i,-0.0012947+0.00038898i,-0.0010083+0.00098196i,-0.0014839+0.0013167i,-0.0017847+0.001614i,-0.00050232+0.0012255i,0.00073271+0.00061227i,0.00064028+0.00096057i,0.00081682+0.00048536i,0.00066956-0.00078609i,0.00039323-0.0009512i,0.00041134-0.00012578i,0.00026997-4.0714e-05i,0.00072717-0.00052046i,0.00066846+0.00029772i,0.00053301+0.0012737i,0.00048373+0.00072577i,-0.00088216-0.00044201i,-0.0014281-0.00061483i,-0.00087605+0.00036807i,-0.00066055+0.00056398i,-0.0002555+0.0005964i
0.0010321+0.00013111i,0.00073035+0.00038834i,0.00094548+0.00044249i,0.0007648+5.6187e-06i,0.00082442-0.00024373i,-0.0002473+0.00010182i,-0.00043892+5.9252e-05i,3.9034e-05-0.0008021i,0.00012674-0.00059216i,0.00064695-0.00044983i,0.00048846-0.00011497i,-0.00037728+0.00072554i,-0.0014653+0.00031241i,-0.0020828-0.0001394i,-0.0014657-0.00020697i,-0.0011005-0.00043486i,-0.00028264-0.00056367i,0.00054584-0.0004884i,0.00078999-0.00011471i,0.00042111+7.1661e-05i,0.0005375-0.00032538i,0.0005743-0.00027302i,0.00056391+0.00031889i
0.00039406+9.7357e-05i,0.00059746-0.0004965i,0.0013546-0.0014294i,0.00069079-0.0015173i,0.00015338-0.00085489i,0.0006614-0.00030275i,0.0012128+0.00037807i,0.0013011+0.00033744i,2.8818e-05-1.6438e-05i,-0.00079265-0.00023408i,-0.0010755-0.00037117i,-0.0010808-0.00056984i,-0.00053269-0.00082063i,-0.00015922-0.00037332i,-3.4626e-05-0.00076031i,0.00047672-0.0012586i,0.00069163-0.00084505i,-0.00013794-0.00039693i,-0.00031319+0.0002734i,-1.9823e-05-4.7841e-05i,-0.00027683-0.00093326i,-0.00058314-0.00075661i,-0.00028698-0.00038561i
-0.0024987+0.0010479i,-0.0022987+0.0019166i,-0.0016758+0.0019847i,-0.00089859+0.0014047i,0.00045677+0.0010006i,0.0013551+0.00020465i,0.00059788+0.00022012i,-0.00066374+4.1453e-05i,-0.0013871+0.00022494i,-0.00062702+0.00086336i,0.00056277+0.0009703i,0.00029822+0.00076558i,0.00018509+0.00035877i,0.00034319-0.00017048i,0.00042517-0.0010508i,0.00037062-0.00045808i,0.00011933+0.00023192i,-0.00027485+0.00024135i,-0.00038219+0.00080421i,-0.00013051+0.00037767i,-3.1276e-06-0.00028014i,8.9506e-05-0.00036897i,-0.00025027+0.00011294i
-0.00096645-0.00033767i,-0.00035354-0.0005592i,-0.00046703+0.00045545i,-0.00072015+0.00072369i,-5.7225e-05+0.00072955i,0.00045039+0.00093748i,0.00060085+0.00055888i,0.00043631+0.0001912i,0.00018674+3.1214e-05i,0.00024325-0.00066107i,0.0006146-0.00078896i,0.00054069+5.2123e-05i,-0.00018711+0.00044844i,-0.0004659+0.00047956i,3.5624e-05+0.00062818i,0.00054597+0.00059048i,0.00032603+0.00040388i,2.7435e-05-7.8079e-06i,0.00011688-0.00010498i,0.00043819+0.00028378i,9.8121e-05+0.00019386i,-0.00032119-0.00061443i,-0.00027262-0.00040226i
-0.00025644-0.00099417i,-6.1073e-05-0.00011485i,7.09e-05+0.0010791i,0.00036719+0.0011051i,0.00093104+0.00082319i,0.00097303+0.00064243i,0.0002088+0.0005602i,-3.3711e-05+0.00090862i,-0.00069207+0.00059037i,-0.00081667-0.00032635i,0.00060748-0.00034839i,0.00054032+0.00051553i,0.00012369+0.00055476i,9.2896e-05-0.0004585i,0.00034576-0.000622i,0.001328-0.00032791i,0.0013715-0.00015942i,0.0010749-0.00014299i,0.0006011-0.0003807i,-0.00045983-0.00050598i,-0.0013185-0.00010519i,-0.00056819+0.00016016i,0.00060872+0.00011675i
-0.00091169+0.001173i,-0.00013768+0.00091984i,-4.0172e-06+0.00028493i,0.00061214+0.0013977i,0.00095926+0.0015761i,0.0010155+0.00058637i,0.00089127+0.00030069i,0.00055678+1.9135e-05i,0.00033787+0.00010768i,0.00018626+0.00032877i,0.00014823+0.00017465i,4.0025e-05+0.00010185i,-0.00020868-3.7676e-05i,-0.00048833-9.3005e-05i,-0.00024463-0.00023549i,0.00035811-0.0006978i,0.00055688-0.00023757i,-0.00030369+0.00052405i,-0.0010645-1.8165e-05i,-0.0005534-0.00040739i,-0.00017641-0.00068569i,5.8959e-05-0.0011931i,0.00037795-0.00067285i
-0.0005633-0.001544i,-0.00085171-0.00068968i,-0.0013478-4.8088e-05i,-0.0020332+0.00022853i,-0.0016007+0.00066913i,-0.00059321+0.0013245i,-9.6672e-05+0.0015432i,0.00068278+0.00053639i,0.00060681-0.00050491i,-0.0001344-0.00029552i,-0.00048216-0.00047177i,0.00013568-7.5813e-05i,0.00086341+0.00069511i,0.0011468+0.00067776i,0.0009733-0.000159i,0.00027184-0.00042625i,0.0009177-0.00030535i,0.0013657-0.00031784i,0.00049163-0.00061579i,-0.0002669-0.00080196i,-0.00054239-0.00050977i,-0.00017828-0.00059304i,0.00064137-0.00062214i
0.00081061-0.00069436i,0.0011172-0.00063055i,0.00043811-0.00060699i,0.00050509-4.4784e-05i,0.00040524+0.00037802i,-6.5483e-05+0.0007465i,-0.00056626+9.1754e-05i,-0.00051431-0.00043377i,-0.00068108+6.222e-05i,-0.00082622+0.001202i,-0.0012076+0.00086615i,-0.0013384+0.00051537i,-0.00037786+0.00085272i,-0.00014678+0.00086262i,3.9381e-05+0.00017579i,0.0002161-0.00033296i,1.0188e-05+0.00018302i,-0.00037093+0.00060413i,-0.00075836+0.00011848i,-0.00064322-0.00056065i,-0.00062946-0.00041804i,-0.00056731-0.00013536i,-0.00014536+0.00013614i
-0.0013497+0.00047597i,-0.00017251+0.0014153i,0.00079814+0.0011274i,0.0010342+0.00013405i,0.00092106-0.0002744i,0.00084384-0.0010025i,0.0004939-0.001408i,0.00016881-0.00018571i,-3.0188e-05+0.00020426i,-0.00010722-8.3706e-05i,0.00013779-0.00015935i,8.7373e-05-5.9932e-05i,-0.00031794+2.2501e-05i,-0.00073298+0.00026595i,-0.00069974-0.00039903i,0.00041086-0.00097734i,0.00033206-0.00053795i,-0.00038865-0.00010341i,6.5805e-05-0.00044736i,2.8575e-05-0.00021108i,-0.00015901+0.00048514i,9.9881e-05+0.00032879i,-0.00028638+0.00015527i
0.00077467+0.0001173i,0.0013224-2.7389e-05i,0.00090612+0.00067149i,-0.00011132+0.00094178i,-0.00021011+0.0003434i,-0.00045284-4.6679e-06i,-0.00076353-0.00051519i,-0.00082369-0.00012089i,-0.00073354+0.00057961i,-0.00057896-0.00010992i,-0.00025621-0.00012571i,-0.00047021-7.5065e-05i,-0.00059491+9.6226e-05i,-0.00086019+0.00045179i,-0.00072396-0.00015347i,-0.0002611-1.7283e-05i,-0.0003413+0.00045337i,-3.5197e-05+0.0011346i,-0.00037703+0.00066674i,-0.00045496+2.8363e-05i,-0.00015763+0.00035115i,0.0002752+0.00062132i,9.8397e-05+0.00041548i
0.0021324+0.0023636i,0.0029032+0.0015241i,0.0020185+0.00026292i,0.00098714-0.00038677i,0.001203+0.00027288i,0.00085137+0.00035119i,0.00054718+0.00040706i,1.2582e-05+0.00053967i,-0.000143+0.00070718i,0.0003907+0.00063747i,0.00023837+7.9369e-05i,-0.0002631-0.00043711i,-0.00021056-0.00087667i,-0.00027181-0.00045552i,0.0001057-0.00044488i,5.467e-05-0.00065008i,-0.00091204-0.00062354i,-0.00097708-0.00070568i,-6.6564e-05+0.00023944i,0.0002084+0.00068916i,0.00026393-5.829e-05i,-0.00021603+0.00056332i,-0.00051791+0.00066815i
0.0016385+0.00036184i,0.001142-7.6435e-05i,8.4326e-05+0.00053484i,-0.00024888+0.00069076i,-0.00024678-0.00025561i,-0.00074899-0.000148i,-0.00076134+0.00065887i,-9.9436e-05+4.1073e-05i,2.1822e-05-0.0012894i,-0.00023-0.001669i,0.00011195-0.0001567i,0.00043826+0.0014486i,0.00082355+0.00061422i,0.00025217-9.9352e-05i,-0.00078287+0.00042282i,-0.00051554+6.2084e-05i,0.00019411-0.00027016i,0.00056403+0.00028713i,0.00041338+0.00043603i,0.00033182+0.00026219i,0.00024528-0.00022275i,-0.00050263-0.00081284i,-0.00083057-0.00023571i
0.0016405+0.00070005i,0.0024289-0.00066043i,0.0031223-0.0012836i,0.0030969-0.0012487i,0.0013206-0.00086826i,-0.0003703+0.0002349i,-0.0005273+0.00053195i,-0.00078059+0.0005585i,-0.00058582+0.00060415i,0.00013298+0.00021961i,0.00035268+0.00069277i,-0.00012714+0.00094972i,-0.0005721+0.00064025i,0.00011119+0.00048319i,0.00070579+0.0012406i,0.00048717+0.0016338i,0.00081087+0.00066691i,0.00069379-0.00020242i,-4.1006e-06-0.00021137i,-6.4727e-05+6.9235e-07i,8.7378e-05-0.00012666i,0.00040472-0.0007597i,0.00032932-0.00094638i
-0.00025003+0.00056168i,-0.00046627+0.0003312i,-0.0010326+0.001746i,-0.0013639+0.0022033i,-0.00081518+0.0013478i,4.6088e-05+0.00093279i,0.00045067+0.00078509i,0.00058018+0.00042289i,0.0006606+0.00076587i,0.00076937+0.0010425i,0.00065774+0.00039089i,0.0010114-0.00011756i,0.00054856-0.00012018i,-0.00023106-5.0119e-05i,6.7065e-05-0.00066617i,8.9412e-05-0.00064784i,0.0003601-0.0005354i,0.00012241-0.00026788i,-0.00014938-0.00037148i,-4.2208e-05-0.00041776i,-0.00045897+0.00027353i,-0.001022-6.2906e-05i,-0.00065798-0.0011103i
-0.00030956-0.00028147i,8.6114e-05-0.00038879i,0.00056943-0.0013427i,0.0010885-0.0016573i,0.0010922-0.00083168i,0.00049345+0.00025392i,-0.00023254+0.00023546i,-0.00023936+9.3866e-05i,-0.00010596-5.1939e-05i,-1.4901e-05-0.00020269i,0.00015068-0.00087144i,0.00040683-0.0011837i,0.00012963-0.00051238i,-0.00022366+0.00011159i,-0.00043291+0.00031583i,-0.00029703-0.00017566i,0.00063171-0.00027283i,0.00082754+0.00031054i,0.00032871+0.00051779i,8.9879e-05+2.3027e-05i,0.00049635-7.9104e-05i,0.00093213+0.000211i,0.00085316+1.4863e-05i
-0.0010832+0.0013705i,-0.00015427+0.0011773i,-0.0010511+0.00088849i,-0.0012738+0.0011493i,3.7324e-05+0.0009688i,0.00075921+0.0002151i,0.00024347+0.00037321i,-0.0002485+0.00038743i,-0.00047924+7.3912e-05i,-0.00055723+0.00025357i,-5.0233e-05+0.00015438i,0.00046262-0.00013038i,-4.1956e-05-0.00033315i,-0.00040354+5.2364e-05i,0.00010781-0.00044787i,0.00088228-0.0010522i,0.00021706-0.00078686i,-0.00056796-0.0010493i,-0.0006874-0.001061i,-0.00083562-0.00098086i,-0.0010736-0.00018884i,-0.00035319+0.00064603i,0.0014189+0.00098964i
-0.0012252-0.0018758i,-0.00073932-0.0024388i,-0.0017135-0.001576i,-0.0022638-2.6387e-05i,-0.0013646+0.00087997i,0.00025726+0.0007309i,0.00097204+0.00037505i,0.00063964-0.0003148i,2.5185e-06-0.0003665i,-0.00052958-6.886e-05i,-0.00061327-1.6343e-05i,-0.00034772-0.00010017i,0.00032621+0.00044581i,0.001265+0.0007961i,0.0019153+0.00061684i,0.0014952+0.00011105i,0.00079097+0.0003177i,0.00015331+0.00038392i,-0.00024868-0.00013208i,0.0001888-0.0002758i,-0.0003534+2.3696e-06i,-0.00059757+0.00010114i,-0.00073764-8.3664e-05i
-0.0007463+0.00077177i,0.0006327+0.0006032i,0.00083284+0.00077218i,0.00051798+0.00058601i,0.00083717-0.00017061i,0.00086135+0.00020608i,-7.9554e-05+0.00085437i,-0.00092569+0.00050395i,-0.00099584+2.0137e-05i,-0.00085901-0.00019534i,-0.00079464+1.7418e-06i,-0.00081955+0.00025246i,-0.00081534-9.2756e-05i,-0.00047547-0.0010536i,-0.00060141-0.001045i,5.0855e-05-0.00086905i,0.00067604-0.00014455i,0.00016271-9.7931e-05i,-0.00063206-0.00089785i,-0.00069501-0.00066258i,-0.00047662+8.17e-05i,-0.00021702+0.00065162i,6.0895e-05+0.00068228i
-0.00037333-0.0016247i,-0.0012321-0.00015128i,-0.0025786+0.00022803i,-0.0020294-0.00046684i,-0.00058645-7.2655e-05i,0.00093548+0.00074417i,0.00055937+0.00099107i,-0.00016227+0.00045923i,-3.9542e-05-0.00050336i,-0.00053184-0.0010809i,-0.00061636-0.00055258i,-4.7768e-05+6.9742e-05i,0.00019531+0.00017122i,0.00023498-4.2218e-05i,0.00042354-9.7648e-05i,0.00062675+0.00057778i,0.00049333+0.00092557i,0.00060522+0.0012491i,0.00088581+0.00076591i,0.00096365+0.00010089i,-7.1815e-05-0.00026015i,-0.0011664+3.6014e-05i,-0.00088409-0.00030435i
0.0014772+0.00055712i,0.0017618-0.00041733i,0.0021345-0.00085116i,0.0013749-0.0010768i,0.00045206-0.00062167i,-0.00051715+0.00086616i,-0.00076789+0.0015803i,-0.00043902+0.0015649i,-0.00018989+0.0010613i,-0.00049402+0.00056841i,-0.00094797+3.7201e-05i,-0.00062685-0.00014817i,-0.00062938-0.00016751i,-0.0004169+0.00040798i,6.5576e-05+0.00054231i,0.00053645+0.00050408i,0.00047792+0.0007061i,0.00025981+0.00063234i,0.00035302+0.00038793i,0.00068382-0.0002786i,0.00082059+0.00014417i,0.00041105+0.00039278i,8.2695e-05-9.7163e-05i
-0.00054207+0.001268i,-0.0009934+0.00024704i,-0.00060868-0.0002375i,-0.0011346+0.00052524i,-0.001324+0.00098571i,-0.0012089+0.00080835i,-0.0008663+0.0008466i,6.4712e-05+0.0002799i,-0.00010509-0.0008898i,0.00010627-0.0016461i,0.00016649-0.00095913i,-0.00067421+0.00045462i,-0.0006913+0.00094511i,-0.00050202+0.00048116i,-0.00027364-0.00034574i,-0.00010803+0.00053622i,0.00025657+0.0010247i,0.00039447+0.00058015i,-0.00014021+9.1698e-05i,4.5822e-05-0.0012015i,0.00021621-0.0015735i,-0.00014139-0.0011681i,-0.00066724-0.00048839i
0.00060131-0.0028102i,-0.00017541-0.0011907i,-0.00032339+7.9311e-05i,0.00014765+0.00061845i,-0.00037078+0.00072942i,0.00028103+0.00064392i,0.00095671+0.00090538i,6.8434e-05+0.00073964i,-0.00042087+0.00011501i,-0.00038421+0.00039596i,-1.7175e-06+0.0011805i,0.0003902+0.0011489i,0.00083377+0.0002232i,0.0013161-0.00055532i,0.0018771-0.00073877i,0.0011768-0.001283i,0.00028099-0.00093362i,0.00053663-0.00024116i,-0.00011235-0.00016841i,-0.00092654-6.1877e-06i,-0.001249+0.00045146i,-0.001544+0.00030672i,-0.0009549-5.2814e-05i
-0.0019339+0.00017435i,-0.001963+0.00085163i,-0.0016813+0.0010089i,-0.0012651+0.00033305i,-0.00083093+0.00012414i,-0.00018433+0.00037747i,-0.00020947+0.00018314i,-0.00048671+0.00021653i,-0.00019181+0.00032629i,0.00012716+0.00052931i,-0.0003996+0.00043968i,-0.00048799-4.5305e-05i,-0.00046274-0.00075466i,-0.00046548-0.0008345i,-0.00037578-4.3065e-05i,-0.00052838+0.00069939i,-0.00059027+0.00070174i,-0.00024665-0.00020427i,0.00041657-0.0001085i,0.0005189+8.8306e-05i,0.00023397-0.00026995i,-0.00036306-0.00010264i,-0.00079876+0.0001899i
