-0.0014418+0.00021747i,-0.00099048+0.00055i,-0.0010592-3.5732e-05i,-0.00057592-0.0008784i,-0.00091047-0.00037897i,-0.00068737+0.00035224i,4.7578e-05+0.00025391i,-0.0001045-0.00029737i,-0.00040773-7.7299e-05i,-0.00033818+0.00053286i,0.0001372+0.00013787i,0.00019393-0.00048316i,6.5876e-05-0.00097549i,0.00013025-0.0011555i,5.7711e-05-0.00042275i,2.258e-05+0.00044417i,0.0001173+6.7538e-05i,-4.7525e-05-0.00060463i,0.00035133-7.5051e-05i,0.000539+0.00028854i,0.00045678+0.00024426i,0.00029123-0.00034472i,-0.00034785-0.00049679i
-6.8578e-05+0.00077595i,8.6163e-05+0.00036273i,0.0015165+0.00086229i,0.0025631+0.00074684i,0.0026331+0.0010395i,0.0009001+0.00045982i,-0.00042151-0.00035275i,-5.6321e-05-3.2601e-05i,8.1244e-05+0.00011076i,-0.00056607-0.00033936i,-0.00074255+0.00039086i,-0.00092573+0.00075724i,-0.00097476+0.00014473i,-0.00060625+9.7798e-05i,-0.00031438+0.00038367i,0.00040311-5.5011e-05i,0.00075243-0.00092369i,-0.00018958-0.00082353i,-0.00025402-0.00091476i,3.6928e-05-0.00076949i,8.7263e-05+1.2956e-05i,0.0004676+0.00025765i,0.00039439+0.00013833i
-0.00023437+0.00070004i,-0.0010139-0.0008365i,-0.0011106-0.00068256i,-0.00060767+0.00059112i,-0.00023495+0.001447i,-0.00042478+0.0016134i,-0.00054263+0.001183i,-0.00050068+0.00088383i,-0.00078501-7.6992e-05i,-0.0010416-0.00070324i,-0.00056711-0.00021282i,4.1156e-05-0.00017549i,0.00027274+8.2951e-05i,-0.00016774+0.00065214i,-0.00070026+0.00033816i,-0.00074519+5.3853e-05i,-0.000231-0.00063487i,0.00010144-0.00061097i,0.00033412+2.2258e-05i,-0.00024055+0.0003195i,-0.0010545-0.0001019i,-0.0011896-0.00038897i,-0.0012891+0.00024339i
-0.00068831+5.0943e-05i,-0.00064541+0.00082612i,0.00037815+0.00040818i,0.00093714-0.00049403i,0.00053923+2.0045e-05i,0.00047066+0.00058984i,0.00081168-0.00013176i,0.00039549-0.0010726i,7.8384e-05-0.0011216i,0.00011246-0.00034748i,-0.00046897-0.0002313i,-0.00062367-0.00015824i,-0.00040154+0.00033986i,-9.4032e-05+7.8856e-05i,0.00054266-0.00049043i,0.00055179-0.00098303i,0.00022852-0.00080284i,0.00038664-4.772e-05i,-0.00020851-0.00037867i,-0.0011962-0.00037947i,-0.00095317-0.00013619i,-0.00014623-0.0001315i,0.00012983+0.00072143i
-0.00088819+0.0009417i,-0.00047929+0.00031813i,-6.2951e-05+0.00095862i,-2.604e-05+0.0014891i,0.00081756+0.00057481i,0.00079373-0.00019824i,0.00011847-0.00025752i,0.000165-0.00020787i,0.00023487-0.00036007i,-3.5973e-05-0.00090211i,0.00014474-0.0016029i,0.00046356-0.0012074i,-0.00017248-0.0001871i,-8.2678e-05+5.4552e-05i,0.00028636+0.00068549i,0.00019484+0.00027406i,0.00032305-0.00057942i,0.00097188-0.00056489i,0.0007794-0.0002796i,-0.00035159-0.00066129i,-0.00069375-0.00015185i,-0.00068956+0.00059072i,-0.00037854-0.0001137i
0.00055007-0.00083165i,-0.00098957-0.0011718i,-0.00031532-0.0012614i,0.00049612-0.00085416i,-0.00022948-0.000598i,-0.00069725-0.00010982i,-0.0003015+0.00025302i,0.00024135+0.00028339i,-2.9928e-05-0.0009474i,-0.00077506-0.0018003i,-0.00095257-0.0012443i,-0.00078653+7.8406e-05i,-0.00028044+0.00056144i,0.00021851+0.00036651i,0.00070649+0.00069684i,0.00080825+0.0002741i,0.00026311-5.2358e-05i,0.00028557-0.00018627i,0.00042331-6.3864e-06i,-7.4846e-05+0.000315i,-0.0002928+0.00010278i,0.00024026+0.00015241i,-1.2417e-05+0.00063405i
-0.00071434+0.00068479i,-0.0011576+0.00035005i,-0.0011384+0.0013607i,-0.00078072+0.0012686i,0.00067055+0.00062374i,0.0018727+0.00060797i,0.00082687+0.00072954i,-0.0004803+0.00013862i,-0.00031472-0.00013387i,-0.00022365-6.1445e-05i,-0.00073866+2.1549e-05i,-0.00088139+0.00062338i,-0.00052689+0.00067808i,-6.2171e-05+0.00022165i,-0.00041454-1.6084e-05i,-0.0009034-0.00032469i,-0.00030912-0.00011516i,0.00010776-0.00039082i,7.2786e-05-0.00079616i,-2.989e-05-0.00038548i,-6.8016e-05-0.0001327i,0.00019124-0.00016143i,0.00024281+2.9569e-05i
0.00037501-0.0010025i,0.00094091-0.00032739i,-0.00022197-6.3297e-05i,-0.0010437+0.00045828i,-0.00067316+0.0014199i,-8.5604e-05+0.0018977i,0.00064311+0.0010921i,0.00013396-0.00024497i,-0.00074985-0.0013362i,-6.4084e-05-0.001492i,-2.5039e-05-0.0011576i,-0.00010949-0.0012476i,0.00016531-0.0002967i,-0.00011784+0.00041529i,-9.3256e-06+9.6622e-05i,7.0316e-05-0.00065332i,-0.00025277-0.0011478i,-0.00053646-0.00017231i,-0.000408+0.00014262i,-0.00064139-0.0010056i,-0.00038424-0.001062i,0.00012409-0.0003803i,0.00047578-0.00021796i
-0.00012565+0.00067564i,-7.333e-05-0.00014088i,2.9394e-05-0.00029619i,0.00017648+0.00033802i,0.00018769-0.00018657i,7.736e-05-0.00080143i,0.00043646-0.00059186i,-5.0251e-05-0.00023193i,-0.00024985-0.00037095i,-0.0005715-0.00084496i,-0.00087072-0.0013265i,-0.00081032-0.0013893i,-0.00085639-0.0011971i,-0.00018436-0.00031003i,0.00013434+7.2581e-06i,0.00010915-0.00051897i,0.00018515-0.00025156i,1.2562e-05+0.0001903i,-3.5067e-05+0.00059744i,-0.00060984+0.00076221i,-0.001397+0.00064168i,-0.00069207+0.00028756i,0.00028722+0.00040721i
-0.00051126+0.0012812i,-0.0011464+0.0013535i,-0.00072569+0.0017043i,-0.00044366+0.0006672i,0.00059126-0.00066959i,0.0013547-0.00043889i,0.00054913+1.8731e-05i,0.00013266+0.0003039i,-0.00044113+0.0002541i,-0.00089243+0.00045744i,-0.0012261+0.00016312i,-0.0013678-0.00030289i,-0.00050302+0.00040958i,-0.00015226+0.00071851i,-0.00031308+0.00063156i,0.00016695+0.00069663i,0.00021934+0.00054012i,0.00014262+0.00028542i,0.00011536+0.00046913i,-7.7917e-05+0.00077814i,-0.00033985+0.0005618i,-0.00069364+0.00056358i,-0.00074344+0.00051446i
0.00034347+0.00072067i,0.0010136+0.00039975i,0.00086543-0.0014042i,-6.4719e-05-0.0018699i,-0.00017002-0.00070246i,-0.00027964+0.00014644i,-0.00024802-0.00020381i,-0.00064004-0.00081531i,-0.0015324-0.0012398i,-0.0016133-0.0011082i,-0.0010694-1.2456e-05i,-0.00068655+0.00056206i,-0.00037642+0.00037664i,-0.00022539+7.8891e-05i,-0.00017484+2.5932e-05i,-0.00037058-0.00026116i,-0.0004254-0.00020348i,-0.00072898-0.00018466i,-0.00076978-0.00016317i,-0.00042909+0.00010002i,-0.00053682-0.000244i,-0.00016249+9.2452e-05i,-0.00013172+0.00072458i
0.00072636-0.00054315i,0.00065923-0.00087427i,0.00065266-0.00089959i,0.00025971-0.00072678i,0.0001866-0.0009017i,-0.00038841-0.00024872i,-0.00027955+0.00037309i,0.00016229-4.1529e-05i,7.572e-05-0.0010504i,-0.00041558-0.00089508i,-0.0011587+4.7778e-05i,-0.0012853+0.00054079i,-0.001228+0.00069746i,-0.00099628+0.00035463i,-0.00063152+0.00041119i,-0.00028922+0.00031645i,-0.00028303-0.00014727i,-0.00068685-0.00015379i,-0.00061535-4.8318e-05i,-0.00068902+0.00013405i,-0.0010376+0.00055716i,-0.00014401-5.195e-05i,0.001133-0.00027957i
-0.00020413-0.0012853i,-0.0018754-0.00047286i,-0.0022256-0.00095743i,-0.0016938-0.00096557i,-0.0012317+6.4873e-05i,-0.00068749+0.0008176i,-0.00045226+0.0010458i,7.0655e-06+0.00018978i,-7.148e-05-0.0010143i,-0.00081032-0.0014654i,-0.0012471-0.0012314i,-0.0010517-0.0011415i,-0.00027678-0.0013737i,0.00018952-0.00061805i,0.00055159+0.00017395i,0.00099173+0.00018847i,0.00064928+0.0003609i,0.00011241+0.00063832i,-0.000146+0.00012798i,0.00022405-2.3019e-05i,0.00015062+2.404e-05i,-0.00040505-0.00046418i,-8.4478e-05-0.00020837i
8.3295e-05-0.00050263i,-0.000467-0.00067034i,-0.00093467-0.00041028i,-0.00088397-0.00096143i,-0.00036549-0.0014026i,-0.00070953-0.00016601i,-0.00050669+0.00069845i,-0.00060418+0.00051024i,-0.00098138-4.3675e-06i,-0.00049774-0.00056848i,0.00024651-0.00068603i,0.00022911-0.00063152i,-0.00055573+0.00038709i,-6.7952e-05+0.0015319i,0.00057343+0.0010022i,0.00018364+0.00064112i,-0.0008267+0.00017166i,-0.00045908+0.00014232i,0.00063804+0.00051746i,0.00069758-0.00025329i,0.00039284-0.00041246i,0.00081501+0.00019317i,0.00069824+0.00048197i
-0.00078435+0.00024143i,-0.00028509+0.00068942i,0.0007315+0.0015909i,0.0013341+0.0011115i,0.00093336+0.00018516i,-0.00055133+0.00019148i,-0.0012841-0.00013693i,-0.00059687-0.00055091i,0.00026047-0.00061324i,0.00054759-0.0002761i,0.0004429+0.00017829i,-0.00049183-0.00022213i,-0.0005279-0.0011499i,0.00038506-0.00044853i,0.0010855+0.00052246i,0.00086001+0.00097141i,8.7178e-05+0.00022916i,-0.00048637-0.00045505i,-0.00057025-0.0003696i,1.1163e-05+4.7657e-05i,0.00018803+0.00027277i,0.00012496+0.00072906i,1.3851e-05+0.00075828i
-0.0010118-0.00011682i,-0.0013539+0.00018748i,-0.0020918+3.5504e-06i,-0.0016001+0.0010434i,-0.0007805+0.0014626i,-7.6005e-07+0.00073214i,3.5603e-06-0.00055579i,0.00012748-0.0016478i,-0.00048299-0.0012963i,-0.00088531-0.00046899i,0.00010902+0.00038012i,0.00071655-0.00012131i,5.5637e-05-0.0010378i,-0.0004562-0.0011637i,-0.000404-0.0005679i,-0.00041052-0.00069901i,-0.00011289-0.001052i,6.2776e-05-5.0109e-05i,-0.00026225+0.00022103i,-0.00029529+0.00018537i,-0.0005347+0.00070907i,-0.00011563+0.00044584i,4.3045e-06+0.00048094i
0.0023714+0.00052076i,0.0011634-0.00030747i,0.0014783+5.6245e-06i,0.0015846-0.00061659i,0.00025667-0.0015241i,-0.00088953-0.0011763i,-0.00098106-0.00022669i,0.00011647-0.00018761i,0.00049265-0.00061538i,-0.00010613-0.000792i,-0.00022339-0.00098161i,-0.00020583-0.00091551i,0.00032318-0.00013417i,0.0003946+0.0002595i,0.00075451-0.00035585i,0.00086335-0.00048386i,0.00066046+0.00023858i,6.3799e-05+0.0002818i,-3.1846e-05+0.00010935i,0.00062938+0.00091981i,0.00032864+0.0006667i,-0.0004649-0.0005548i,-0.0014591-0.00095423i
