-0.0032627+0.00024933i,-0.0030308+0.0020611i,-0.0033708+0.0034606i,-0.0025498+0.0032164i,-0.0012583+0.0022792i,-0.00066304+0.0013556i,-0.00010948+0.001164i,0.00029954+0.0022364i,3.2766e-05+0.0026652i,-0.00015053+0.0014748i,0.00024473-0.00063506i,0.00092902-0.0017117i,0.00048078-0.001962i,0.00017681-0.0018817i,0.00022271-0.00088018i,-0.0002935-1.2819e-05i,-0.00084915+6.4214e-05i,-0.00101-0.00042992i,-0.00017477-8.892e-05i,4.3163e-05+0.00039697i,-0.00056602+0.00046028i,-0.00079068+6.4173e-05i,-0.00050561-0.00071272i
-0.00046551+0.00091128i,-0.0003748+0.0012009i,-0.00030839+0.0012224i,0.00091396+0.00034995i,0.0013538-0.00014214i,0.00055348-0.00020822i,0.00055293+2.892e-05i,0.00051571+0.00055323i,3.8863e-05+0.00079256i,-1.8051e-05+0.00090194i,-0.00018777+0.00083586i,-0.00068295+0.00028628i,-0.00089378-8.6176e-05i,-0.00016998-0.00024507i,0.0004277-0.00045132i,0.00036144-0.00025131i,7.6521e-05-0.00030436i,0.00033014-0.00074089i,0.00074413-0.00089807i,0.00058862-0.0002277i,0.00047523-0.00032639i,5.628e-05-0.00046857i,-0.00020569-0.00029074i
-0.0014385-0.0018453i,-0.0018164-0.0011121i,-0.0021315-0.0007614i,-0.0016974-0.00072148i,-0.0010495-0.00031739i,-0.00066907+0.0006757i,-6.52e-05+0.001119i,0.00062022+0.00063922i,0.0010544+5.4185e-06i,0.0012142-5.0578e-05i,8.202e-05+0.00019264i,-5.8568e-05+1.8757e-06i,0.00076813-9.7742e-05i,0.00085975+4.3164e-05i,0.00091297-0.00011619i,0.00067762-0.00042879i,0.00058779-0.00062659i,0.00057655-0.00063301i,0.00023654-0.00045068i,0.00026343-0.00033466i,0.00070699-0.00027022i,0.00038933-0.00012464i,-0.00024318+0.00013811i
0.00016172+0.0012521i,-0.00075158-8.4442e-05i,0.00018847-0.00042107i,0.0010804-0.00052371i,0.0011542-0.0011108i,-0.000136-0.0011408i,-0.0010247-0.00091413i,-8.7489e-05-0.00011858i,0.00099187+0.00030163i,0.0011043-0.00028824i,5.1317e-05-0.00069149i,-0.00026748-0.00052745i,7.0352e-05-0.00018595i,0.00018319+0.00010165i,0.00018463+0.00062035i,0.0005936-0.00031194i,0.00047685-0.0011569i,-0.00061229-0.0013562i,5.2387e-05-0.0015344i,0.00051065-0.0011733i,-0.00037557-0.0011395i,-0.00069231-0.00046211i,-0.00035565+0.0004014i
-0.0011916+0.00054377i,0.00020005+0.0014113i,0.0013865+0.0018581i,0.0013151+0.0011052i,0.0010557+0.00028228i,0.00014018-1.2957e-05i,-0.00039605-0.00031862i,-2.8485e-05-0.00010641i,0.00035536+0.00023448i,3.514e-05+0.00023873i,-0.00018423-0.00042643i,-0.0002246-0.0010458i,-6.5825e-05-0.0010907i,-6.4319e-06-0.00035549i,-6.9309e-05-0.00019415i,-6.2764e-05-0.00014392i,-5.1999e-05-8.3807e-05i,0.00018242-0.00015615i,0.00050599-0.00018304i,0.0011076-0.00062553i,0.0010309-0.0010487i,0.00085614-0.0010226i,0.00061869-0.00074894i
0.00059183-0.00090008i,-0.00024598-0.0013271i,-0.0005319-0.00099991i,0.00050516-0.00122i,0.0008966-0.0018495i,-0.00055966-0.0010517i,-0.0014054+0.00038042i,-0.00032083+0.00076943i,0.00053044+0.0001823i,0.0003895-0.00018056i,-0.00013475-1.0627e-05i,2.3004e-05+9.224e-05i,0.00063825+3.6307e-05i,8.7306e-05-0.00014574i,-0.00042978-0.00012729i,3.2595e-05-0.0006421i,0.00030677-0.00044687i,-3.6756e-05+0.0004654i,0.00023735+0.00060069i,0.00057991+0.00044855i,-3.8013e-05+4.714e-05i,-0.00025028-0.00063589i,-6.7097e-05-0.00099273i
-6.2692e-05+0.00055652i,0.0011326+0.00066053i,0.001476-0.0011725i,0.00080114-0.0017763i,-0.00029773-0.0014914i,-9.6982e-05-0.001488i,7.0396e-05-0.00083708i,0.0002184+0.00016684i,0.00062402+0.00020185i,0.00074522+1.9169e-05i,0.0002231+0.00028404i,-0.00028839+0.00022706i,-0.00064596+9.9287e-05i,-3.3681e-06+0.00063801i,0.00041515+0.00052323i,-6.9793e-05+0.00023906i,-0.00047959+0.00049712i,3.3057e-05+0.00039602i,0.00070437+0.00019247i,0.0007147-0.0002531i,0.00045927-0.00067773i,-0.00042361-0.00026795i,-0.00097514+0.00056326i
0.00023946-7.883e-05i,-8.3004e-05-0.0018108i,0.00025588-0.0033128i,0.00027456-0.0029326i,-0.00021217-0.0018413i,-0.0012739-0.00085063i,-0.0010868+0.00081073i,-0.00018597+0.0010806i,-0.00043648-0.0001811i,-0.00094285-0.00022643i,-0.00023773+0.00063147i,0.00041627+0.00094443i,0.00040445+0.00067942i,0.00022641-0.00035338i,0.00042728-0.0015277i,2.9352e-05-0.001267i,-2.7338e-05-0.00098368i,0.00027048-0.00065363i,0.00033918-0.00078869i,0.00021974-0.0011591i,-0.00014533-0.00069915i,-7.312e-05-0.00016877i,-0.00057798+6.4561e-05i
0.0022394+0.0017593i,0.0026418+0.0012001i,0.0031954+0.0006961i,0.002597-0.00010748i,0.0019326-2.076e-05i,0.00095103+7.7288e-05i,4.0651e-05-0.0001389i,0.00038654+0.00050818i,0.00087447+0.00034971i,0.00088423-0.00014025i,6.2005e-05+0.00021873i,-0.00040375+0.00035256i,0.00066115+0.00015449i,0.00073616+0.00037694i,-0.00014542+6.9024e-05i,-0.00055442-0.00090924i,-0.00068572-0.0011017i,-0.00067154-0.0010944i,-0.00033692-0.00082939i,0.00031046-0.00042359i,0.00040786-0.00068505i,0.00048989-0.00064038i,0.00058675-0.00025155i
0.0020254-0.00038477i,0.0025404-0.00086932i,0.0023686-0.0018824i,0.0013233-0.0034866i,0.00071445-0.003638i,-0.00060911-0.0017843i,-0.00073753-0.00065525i,0.00043511+0.00019197i,0.00029262+0.00073956i,-0.00022707+0.00067967i,-8.8531e-05+0.00086232i,-0.00032886+0.0011906i,-0.00042068+0.0010428i,7.5302e-05+0.0004988i,0.00011751-0.00051016i,-0.00026318-0.00071921i,2.492e-05-0.00047715i,6.0758e-06-0.00019421i,-0.00052407+0.00028134i,-0.0003516-0.00012399i,-0.00041948-0.00066984i,-0.00042389-0.00050549i,9.7548e-05-0.00084844i
0.0011199-0.00037766i,2.4224e-05-0.0002531i,-0.00059639-6.1486e-05i,0.00047546-0.00021567i,-0.00019204-7.366e-05i,-0.0011874+0.00049692i,-0.00060307+0.00092968i,0.00013351+0.0006184i,0.0015219-3.5841e-05i,0.0015507-0.00045228i,-5.1836e-05-0.00026818i,-0.00087587+6.3115e-05i,-0.00028261+0.00045933i,-0.0001844+1.8889e-05i,-0.0009701-0.001196i,-0.00055479-0.00072457i,-0.00013119-6.8566e-05i,-2.4584e-05-7.7088e-05i,8.791e-05+0.00044624i,-0.00047417+0.00049339i,-0.00040496+0.00020192i,-0.00040977+1.1646e-05i,-3.8296e-05-0.00013572i
