1.8501e-05-0.0010171i,-0.00059494-0.00070937i,-0.00076329+0.0010237i,-0.00053613+0.0013272i,-0.00024738+0.0017339i,-0.00039909+0.0016072i,-0.00038283+0.00077131i,0.00048884+0.0013331i,0.0013519+0.0011238i,0.0016933-0.00017154i,0.0010582-0.00077827i,-0.00021973-0.00072194i,-5.3654e-05-0.00037622i,0.00033724+0.00046238i,-0.00021884+0.00082714i,-0.00030905+0.00038246i,-0.00035194-0.00022426i,-0.00062974-0.00037307i,0.00039374-0.00012349i,0.00090368+0.00014126i,-0.00016605+0.00025146i,-0.0004283-0.00012235i,-0.00018744+1.0758e-05i
-0.00010272+0.00060803i,-0.00076472+0.00068281i,-0.0017462+0.00038701i,-0.001342+0.00077619i,-0.00052946+0.0016377i,-0.00015424+0.001633i,-0.00059613+0.00099672i,-0.00014577+0.0003429i,0.00065014-0.0010767i,0.00055303-0.0015833i,0.00013309-0.0016071i,0.00021571-0.0019056i,0.00041232-0.002117i,0.0003322-0.0011776i,-9.0626e-06+0.00012364i,0.00013671+3.8495e-05i,4.2414e-05-3.2886e-05i,-0.00045496+0.00076572i,-0.00032826+0.00057941i,-0.00036398+0.00042816i,-0.00041441+0.00083977i,0.00012082+0.00090301i,0.00017896+0.00044485i
0.00044525+0.0013442i,0.00051549-8.7434e-05i,-0.00018707-0.00032844i,-0.0006168+0.0014736i,-0.0010576+0.0028389i,-0.00092419+0.0025113i,0.0002613+0.0012126i,0.00024929+0.0003515i,-0.00046916+0.00026193i,-0.00010637+0.00016965i,0.00043168+0.00040905i,0.00012685+0.00026258i,-0.00043997+0.00027125i,-0.00042788+0.00039828i,0.00081907+0.00013256i,0.0014414+0.00049946i,0.00058595+0.0004666i,0.00028489-0.00015366i,0.00064723-0.00085464i,0.00037369-0.00031942i,0.0002885+0.00095493i,0.00026508+0.00084697i,-0.00026267+0.00030671i
0.00082448+0.00026118i,0.0005796-0.00063333i,0.00059943-0.0011863i,0.0013148-0.00072507i,0.0011413+4.9203e-05i,0.00030056+0.0013108i,1.8212e-06+0.0022543i,-0.00010321+0.0015205i,-0.00016497+0.00062792i,0.00064104+0.00044583i,0.0006991-4.1388e-05i,-0.00017677-4.6055e-05i,-0.0006108+0.00032085i,-0.0010251-0.00013156i,-0.00082753-0.00021726i,0.00016307+0.00036965i,0.00061452+0.00084829i,0.00039821+0.00081136i,-0.00021445+0.00032976i,-0.00058001+0.00031499i,-0.0010655+0.00037437i,-0.00072011-1.6165e-05i,0.00010923+8.2487e-05i
-0.00017462-0.00056028i,0.00020876-0.0007003i,0.00089664-0.00055339i,0.00052409-0.00027221i,-4.0068e-05+0.0010361i,0.00034804+0.0026388i,-0.00024619+0.0030876i,-0.0013532+0.0018588i,-0.0013386+0.00040527i,-0.00050746-0.00013792i,0.0001704-8.966e-05i,0.00012079-0.00036759i,-3.5318e-05-2.5484e-05i,-1.2033e-05+0.00035587i,-6.8682e-05+0.0002966i,-0.00057765-2.007e-05i,-0.00032939-0.00054748i,7.4744e-05-0.00056699i,-4.284e-05-0.00035442i,5.917e-05-0.00030327i,-0.00043385-0.00031386i,-0.00064768+0.00054122i,-0.00026613+0.00017038i
-0.00048632+0.000707i,-7.9284e-05+0.0016299i,-0.00027046+0.0022617i,0.00094738+0.001597i,0.0025006+0.00067968i,0.0025271+0.00015556i,0.0010118-0.00013626i,-0.00051183-9.2551e-05i,-0.00071999+0.00034307i,0.00051288+0.00023347i,0.00092872-0.0003435i,0.00022436-0.00089463i,-0.00013695-0.00059052i,-0.00027016+0.00051396i,-0.00044337+0.00037879i,-0.0005596-0.00079793i,0.00010153-0.00088163i,0.00032225-0.00042107i,0.00022577+5.5714e-05i,-0.00020886+0.0010129i,-0.00021757+0.00094875i,3.523e-05+0.00031716i,-0.00014823+0.00036399i
0.00091492+0.0011623i,0.0020487+0.00046997i,0.0015376+0.00072185i,-0.00042868+0.00056442i,-0.0013343+0.00071821i,-0.0015503+0.00066759i,-0.0017555+0.00029909i,-0.001428+0.00014088i,-0.00073738+0.0004401i,0.00029633+1.7891e-05i,0.00051808-0.00019385i,-0.00050882-0.00049973i,-0.0010636-0.00062288i,-0.0012575-0.00071203i,-0.0014393-0.00054181i,-0.00059472-0.00024127i,-0.00037996+0.00032355i,-0.0005838+0.00093519i,0.00060438+0.00047554i,0.0013288+0.00017379i,0.00097919+9.099e-05i,0.00095569-0.00061361i,0.0004334-0.00019252i
0.00080543-0.0003367i,0.00091764-0.0011981i,0.0010934-0.00098159i,0.00016867-6.8198e-05i,-0.00072376+0.00085122i,-0.0014331+0.0019i,-0.0010159+0.0016555i,-0.00021796-0.00012792i,0.00023662-0.00073523i,0.00038662-0.00059379i,0.00066063-0.0009806i,0.00053004-0.0010853i,0.00031397-0.00014i,-0.00030771+0.0010528i,-0.0014206+0.00028527i,-0.00033425+2.2207e-05i,0.00028531+0.00049475i,-0.00030062-2.9968e-05i,-0.00036514+7.7298e-05i,-0.00067079+0.0004989i,-0.000175-0.00010501i,0.00053238-0.00066706i,0.00044774-0.00061762i
0.00042401-0.0015629i,0.00043915-0.0017426i,0.00051467-0.00036342i,0.00029959+0.0015605i,-0.00064649+0.0025278i,-0.00080857+0.0028869i,-0.00040604+0.0024294i,-0.00039865+0.00089712i,-3.6401e-05-0.00037655i,0.00030078-0.00085002i,0.00057196-0.00065298i,0.00087466-0.00041967i,0.00014458+1.1063e-05i,-0.00070687-0.00016483i,-0.00078504+8.3609e-05i,-0.00088716+0.0006341i,-0.00072672+0.00068121i,-0.00030286+7.8081e-05i,-0.00067044-0.00055045i,-0.00052217-0.00064064i,-0.00024725-0.00062633i,0.00016474-0.00040508i,0.0010386+0.00029431i
0.0002308-0.00077678i,0.00019242-0.0015579i,0.000734-0.00087997i,0.0013245+0.00025312i,0.0007963+0.0016401i,0.00039953+0.002325i,-0.00028131+0.0022304i,-0.00023872+0.0013541i,0.00087817+0.00057431i,0.00055787+0.000896i,-0.00019932+0.00026816i,0.00020807-0.00073973i,0.00068577-0.00088787i,1.3601e-05-9.0341e-05i,-0.00067936+0.0001542i,-0.0003541-9.8373e-05i,-8.757e-05-6.7962e-05i,-9.1347e-05+9.6871e-05i,-0.00017387-0.00029472i,-0.00011522-0.00035659i,-0.00016719+0.00035627i,-0.00027086+0.00061934i,3.6109e-06+0.00049184i
-0.00025545+0.00058111i,0.00030007+0.0013012i,0.00073233+0.00093531i,0.0013223+0.00082393i,0.0012561+0.00082996i,0.0011748+0.00064959i,0.0019725+0.00052121i,0.0013287+9.2276e-05i,-0.00018869-0.00056536i,-0.00021846-0.0008285i,0.00068539-0.00065034i,0.0013058-3.6625e-05i,0.001451+0.00030487i,0.0010424+8.3106e-05i,0.00027858+0.00064162i,-0.00025878+0.00078877i,-0.00023769-0.00010094i,-1.5048e-05-5.0645e-05i,-0.00012071+0.00065355i,-6.9312e-05+0.00072327i,-0.00041075+0.0011701i,-0.0005801+0.00094419i,0.00079105+0.00044868i
-0.00058979-0.0005324i,0.00010615+5.8453e-05i,-0.00035159-0.00024492i,-0.0014075+5.908e-05i,-0.0009779+0.00057423i,0.00019861+0.00036955i,0.0002846-0.00023352i,0.00020353-8.8311e-05i,0.00033086+0.00069187i,0.00051692-4.9387e-05i,0.00095054-0.00085682i,0.0010684-0.00059214i,0.00065419-6.272e-05i,0.00024589+0.0002416i,-0.00045934+0.00045251i,-0.00070493+0.0003928i,0.00013776+0.00021728i,0.00022719+0.00034367i,0.00036488+0.00037643i,0.00076425+0.00044352i,0.00066394+0.00081262i,5.3836e-05+0.00031058i,2.0389e-05-0.00051348i
0.00047602-0.0010596i,-3.2302e-05-0.00095344i,-0.0011511-0.0011341i,-0.0011807+2.8858e-05i,-0.00095884+0.00069545i,-0.00071405+0.0010886i,-0.00044211+0.0010528i,-0.00027632+0.00035872i,-0.000696-0.00030842i,-0.0012336-0.00054271i,-0.0010287-0.00092294i,-0.00079837-0.00096789i,-0.00075732-0.00042478i,-8.9604e-05-0.0003237i,0.00016355-0.00012572i,-0.00029826+0.0002022i,-0.00019517+0.00079977i,-0.00037924+0.00086649i,-0.00029802+0.00067181i,0.00066432+0.00012766i,0.00058303-0.0010025i,-2.2646e-05-0.0014956i,-0.00029882-0.00061027i
